year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,54208.0,4.82,54208.0,4.82,54208.0,4.82,54208.0,4.82,2.1,107195.0
1961,55434.0,4.655,55434.0,4.655,55434.0,4.655,55434.0,4.655,2.1,107195.0
1962,56234.0,4.471,56234.0,4.471,56234.0,4.471,56234.0,4.471,2.1,107195.0
1963,56699.0,4.271,56699.0,4.271,56699.0,4.271,56699.0,4.271,2.1,107195.0
1964,57029.0,4.059,57029.0,4.059,57029.0,4.059,57029.0,4.059,2.1,107195.0
1965,57357.0,3.842,57357.0,3.842,57357.0,3.842,57357.0,3.842,2.1,107195.0
1966,57702.0,3.625,57702.0,3.625,57702.0,3.625,57702.0,3.625,2.1,107195.0
1967,58044.0,3.417,58044.0,3.417,58044.0,3.417,58044.0,3.417,2.1,107195.0
1968,58377.0,3.226,58377.0,3.226,58377.0,3.226,58377.0,3.226,2.1,107195.0
1969,58734.0,3.054,58734.0,3.054,58734.0,3.054,58734.0,3.054,2.1,107195.0
1970,59070.0,2.908,59070.0,2.908,59070.0,2.908,59070.0,2.908,2.1,107195.0
1971,59442.0,2.788,59442.0,2.788,59442.0,2.788,59442.0,2.788,2.1,107195.0
1972,59849.0,2.691,59849.0,2.691,59849.0,2.691,59849.0,2.691,2.1,107195.0
1973,60236.0,2.613,60236.0,2.613,60236.0,2.613,60236.0,2.613,2.1,107195.0
1974,60527.0,2.552,60527.0,2.552,60527.0,2.552,60527.0,2.552,2.1,107195.0
1975,60653.0,2.506,60653.0,2.506,60653.0,2.506,60653.0,2.506,2.1,107195.0
1976,60586.0,2.472,60586.0,2.472,60586.0,2.472,60586.0,2.472,2.1,107195.0
1977,60366.0,2.446,60366.0,2.446,60366.0,2.446,60366.0,2.446,2.1,107195.0
1978,60102.0,2.425,60102.0,2.425,60102.0,2.425,60102.0,2.425,2.1,107195.0
