year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,130836765.0,6.723308124,130836765.0,6.723308124,130836765.0,6.723308124,130836765.0,6.723308124,2.1,694665117.0
1961,134159786.0,6.738650825,134159786.0,6.738650825,134159786.0,6.738650825,134159786.0,6.738650825,2.1,694665117.0
1962,137614644.0,6.752818318,137614644.0,6.752818318,137614644.0,6.752818318,137614644.0,6.752818318,2.1,694665117.0
1963,141202036.0,6.765399958,141202036.0,6.765399958,141202036.0,6.765399958,141202036.0,6.765399958,2.1,694665117.0
1964,144920186.0,6.775405736,144920186.0,6.775405736,144920186.0,6.775405736,144920186.0,6.775405736,2.1,694665117.0
1965,148769974.0,6.783356656,148769974.0,6.783356656,148769974.0,6.783356656,148769974.0,6.783356656,2.1,694665117.0
1966,152752671.0,6.789885496,152752671.0,6.789885496,152752671.0,6.789885496,152752671.0,6.789885496,2.1,694665117.0
1967,156876454.0,6.796040447,156876454.0,6.796040447,156876454.0,6.796040447,156876454.0,6.796040447,2.1,694665117.0
1968,161156430.0,6.80147753,161156430.0,6.80147753,161156430.0,6.80147753,161156430.0,6.80147753,2.1,694665117.0
1969,165611760.0,6.806247544,165611760.0,6.806247544,165611760.0,6.806247544,165611760.0,6.806247544,2.1,694665117.0
1970,170257189.0,6.810062979,170257189.0,6.810062979,170257189.0,6.810062979,170257189.0,6.810062979,2.1,694665117.0
1971,175100167.0,6.81140349,175100167.0,6.81140349,175100167.0,6.81140349,175100167.0,6.81140349,2.1,694665117.0
1972,180141148.0,6.810668105,180141148.0,6.810668105,180141148.0,6.810668105,180141148.0,6.810668105,2.1,694665117.0
1973,185376550.0,6.806765472,185376550.0,6.806765472,185376550.0,6.806765472,185376550.0,6.806765472,2.1,694665117.0
1974,190800796.0,6.799592859,190800796.0,6.799592859,190800796.0,6.799592859,190800796.0,6.799592859,2.1,694665117.0
1975,196409937.0,6.789525741,196409937.0,6.789525741,196409937.0,6.789525741,196409937.0,6.789525741,2.1,694665117.0
1976,202205766.0,6.776642974,202205766.0,6.776642974,202205766.0,6.776642974,202205766.0,6.776642974,2.1,694665117.0
1977,208193045.0,6.763316432,208193045.0,6.763316432,208193045.0,6.763316432,208193045.0,6.763316432,2.1,694665117.0
1978,214368393.0,6.748155766,214368393.0,6.748155766,214368393.0,6.748155766,214368393.0,6.748155766,2.1,694665117.0
1979,220740384.0,6.731254247,220740384.0,6.731254247,220740384.0,6.731254247,220740384.0,6.731254247,2.1,694665117.0
1980,227305945.0,6.712571025,227305945.0,6.712571025,227305945.0,6.712571025,227305945.0,6.712571025,2.1,694665117.0
1981,234058404.0,6.690097226,234058404.0,6.690097226,234058404.0,6.690097226,234058404.0,6.690097226,2.1,694665117.0
1982,240999134.0,6.663041543,240999134.0,6.663041543,240999134.0,6.663041543,240999134.0,6.663041543,2.1,694665117.0
1983,248146290.0,6.633643733,248146290.0,6.633643733,248146290.0,6.633643733,248146290.0,6.633643733,2.1,694665117.0
1984,255530063.0,6.597500669,255530063.0,6.597500669,255530063.0,6.597500669,255530063.0,6.597500669,2.1,694665117.0
1985,263161451.0,6.555029515,263161451.0,6.555029515,263161451.0,6.555029515,263161451.0,6.555029515,2.1,694665117.0
1986,271050065.0,6.505685667,271050065.0,6.505685667,271050065.0,6.505685667,271050065.0,6.505685667,2.1,694665117.0
1987,279184536.0,6.447605594,279184536.0,6.447605594,279184536.0,6.447605594,279184536.0,6.447605594,2.1,694665117.0
1988,287524258.0,6.383627433,287524258.0,6.383627433,287524258.0,6.383627433,287524258.0,6.383627433,2.1,694665117.0
1989,296024639.0,6.311511167,296024639.0,6.311511167,296024639.0,6.311511167,296024639.0,6.311511167,2.1,694665117.0
1990,304648010.0,6.234900963,304648010.0,6.234900963,304648010.0,6.234900963,304648010.0,6.234900963,2.1,694665117.0
1991,313394693.0,6.153273661,313394693.0,6.153273661,313394693.0,6.153273661,313394693.0,6.153273661,2.1,694665117.0
1992,322270073.0,6.072895894,322270073.0,6.072895894,322270073.0,6.072895894,322270073.0,6.072895894,2.1,694665117.0
1993,331265579.0,5.997354726,331265579.0,5.997354726,331265579.0,5.997354726,331265579.0,5.997354726,2.1,694665117.0
1994,340379934.0,5.927070654,340379934.0,5.927070654,340379934.0,5.927070654,340379934.0,5.927070654,2.1,694665117.0
1995,349605660.0,5.861960989,349605660.0,5.861960989,349605660.0,5.861960989,349605660.0,5.861960989,2.1,694665117.0
1996,358953595.0,5.800563047,358953595.0,5.800563047,358953595.0,5.800563047,358953595.0,5.800563047,2.1,694665117.0
1997,368440591.0,5.741203229,368440591.0,5.741203229,368440591.0,5.741203229,368440591.0,5.741203229,2.1,694665117.0
1998,378098393.0,5.68403287,378098393.0,5.68403287,378098393.0,5.68403287,378098393.0,5.68403287,2.1,694665117.0
1999,387977990.0,5.628409024,387977990.0,5.628409024,387977990.0,5.628409024,387977990.0,5.628409024,2.1,694665117.0
2000,398113044.0,5.573420635,398113044.0,5.573420635,398113044.0,5.573420635,398113044.0,5.573420635,2.1,694665117.0
2001,408522129.0,5.519798023,408522129.0,5.519798023,408522129.0,5.519798023,408522129.0,5.519798023,2.1,694665117.0
2002,419223717.0,5.468439023,419223717.0,5.468439023,419223717.0,5.468439023,419223717.0,5.468439023,2.1,694665117.0
2003,430246635.0,5.418054778,430246635.0,5.418054778,430246635.0,5.418054778,430246635.0,5.418054778,2.1,694665117.0
2004,441630149.0,5.369067382,441630149.0,5.369067382,441630149.0,5.369067382,441630149.0,5.369067382,2.1,694665117.0
2005,453404076.0,5.319319874,453404076.0,5.319319874,453404076.0,5.319319874,453404076.0,5.319319874,2.1,694665117.0
2006,465581372.0,5.267323783,465581372.0,5.267323783,465581372.0,5.267323783,465581372.0,5.267323783,2.1,694665117.0
2007,478166911.0,5.213181254,478166911.0,5.213181254,478166911.0,5.213181254,478166911.0,5.213181254,2.1,694665117.0
2008,491173160.0,5.155492943,491173160.0,5.155492943,491173160.0,5.155492943,491173160.0,5.155492943,2.1,694665117.0
2009,504604672.0,5.093841084,504604672.0,5.093841084,504604672.0,5.093841084,504604672.0,5.093841084,2.1,694665117.0
2010,518468229.0,5.027697539,518468229.0,5.027697539,518468229.0,5.027697539,518468229.0,5.027697539,2.1,694665117.0
2011,532760424.0,4.956841766,532760424.0,4.956841766,532760424.0,4.956841766,532760424.0,4.956841766,2.1,694665117.0
2012,547482863.0,4.882058153,547482863.0,4.882058153,547482863.0,4.882058153,547482863.0,4.882058153,2.1,694665117.0
2013,562601578.0,4.804515752,562601578.0,4.804515752,562601578.0,4.804515752,562601578.0,4.804515752,2.1,694665117.0
2014,578075373.0,4.726220442,578075373.0,4.726220442,578075373.0,4.726220442,578075373.0,4.726220442,2.1,694665117.0
