year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8996967.0,7.45,8996967.0,7.45,8996967.0,7.45,8996967.0,7.45,2.1,39835428.0
1961,9169406.0,7.45,9169406.0,7.45,9169406.0,7.45,9169406.0,7.45,2.1,39835428.0
1962,9351442.0,7.45,9351442.0,7.45,9351442.0,7.45,9351442.0,7.45,2.1,39835428.0
1963,9543200.0,7.45,9543200.0,7.45,9543200.0,7.45,9543200.0,7.45,2.1,39835428.0
1964,9744772.0,7.45,9744772.0,7.45,9744772.0,7.45,9744772.0,7.45,2.1,39835428.0
1965,9956318.0,7.45,9956318.0,7.45,9956318.0,7.45,9956318.0,7.45,2.1,39835428.0
1966,10174840.0,7.45,10174840.0,7.45,10174840.0,7.45,10174840.0,7.45,2.1,39835428.0
1967,10399936.0,7.45,10399936.0,7.45,10399936.0,7.45,10399936.0,7.45,2.1,39835428.0
1968,10637064.0,7.45,10637064.0,7.45,10637064.0,7.45,10637064.0,7.45,2.1,39835428.0
1969,10893772.0,7.45,10893772.0,7.45,10893772.0,7.45,10893772.0,7.45,2.1,39835428.0
1970,11173654.0,7.45,11173654.0,7.45,11173654.0,7.45,11173654.0,7.45,2.1,39835428.0
1971,11475450.0,7.45,11475450.0,7.45,11475450.0,7.45,11475450.0,7.45,2.1,39835428.0
1972,11791222.0,7.45,11791222.0,7.45,11791222.0,7.45,11791222.0,7.45,2.1,39835428.0
1973,12108963.0,7.45,12108963.0,7.45,12108963.0,7.45,12108963.0,7.45,2.1,39835428.0
1974,12412960.0,7.45,12412960.0,7.45,12412960.0,7.45,12412960.0,7.45,2.1,39835428.0
1975,12689164.0,7.45,12689164.0,7.45,12689164.0,7.45,12689164.0,7.45,2.1,39835428.0
1976,12943093.0,7.45,12943093.0,7.45,12943093.0,7.45,12943093.0,7.45,2.1,39835428.0
1977,13171294.0,7.449,13171294.0,7.449,13171294.0,7.449,13171294.0,7.449,2.1,39835428.0
1978,13341199.0,7.449,13341199.0,7.449,13341199.0,7.449,13341199.0,7.449,2.1,39835428.0
1979,13411060.0,7.449,13411060.0,7.449,13411060.0,7.449,13411060.0,7.449,2.1,39835428.0
1980,13356500.0,7.449,13356500.0,7.449,13356500.0,7.449,13356500.0,7.449,2.1,39835428.0
1981,13171679.0,7.449,13171679.0,7.449,13171679.0,7.449,13171679.0,7.449,2.1,39835428.0
1982,12882518.0,7.45,12882518.0,7.45,12882518.0,7.45,12882518.0,7.45,2.1,39835428.0
1983,12537732.0,7.452,12537732.0,7.452,12537732.0,7.452,12537732.0,7.452,2.1,39835428.0
1984,12204306.0,7.455,12204306.0,7.455,12204306.0,7.455,12204306.0,7.455,2.1,39835428.0
1985,11938204.0,7.458,11938204.0,7.458,11938204.0,7.458,11938204.0,7.458,2.1,39835428.0
1986,11736177.0,7.46,11736177.0,7.46,11736177.0,7.46,11736177.0,7.46,2.1,39835428.0
1987,11604538.0,7.461,11604538.0,7.461,11604538.0,7.461,11604538.0,7.461,2.1,39835428.0
1988,11618008.0,7.461,11618008.0,7.461,11618008.0,7.461,11618008.0,7.461,2.1,39835428.0
1989,11868873.0,7.461,11868873.0,7.461,11868873.0,7.461,11868873.0,7.461,2.1,39835428.0
1990,12412311.0,7.466,12412311.0,7.466,12412311.0,7.466,12412311.0,7.466,2.1,39835428.0
1991,13299016.0,7.479,13299016.0,7.479,13299016.0,7.479,13299016.0,7.479,2.1,39835428.0
1992,14485543.0,7.502,14485543.0,7.502,14485543.0,7.502,14485543.0,7.502,2.1,39835428.0
1993,15816601.0,7.535,15816601.0,7.535,15816601.0,7.535,15816601.0,7.535,2.1,39835428.0
1994,17075728.0,7.572,17075728.0,7.572,17075728.0,7.572,17075728.0,7.572,2.1,39835428.0
1995,18110662.0,7.606,18110662.0,7.606,18110662.0,7.606,18110662.0,7.606,2.1,39835428.0
1996,18853444.0,7.629,18853444.0,7.629,18853444.0,7.629,18853444.0,7.629,2.1,39835428.0
1997,19357126.0,7.632,19357126.0,7.632,19357126.0,7.632,19357126.0,7.632,2.1,39835428.0
1998,19737770.0,7.61,19737770.0,7.61,19737770.0,7.61,19737770.0,7.61,2.1,39835428.0
1999,20170847.0,7.561,20170847.0,7.561,20170847.0,7.561,20170847.0,7.561,2.1,39835428.0
2000,20779957.0,7.485,20779957.0,7.485,20779957.0,7.485,20779957.0,7.485,2.1,39835428.0
2001,21606992.0,7.387,21606992.0,7.387,21606992.0,7.387,21606992.0,7.387,2.1,39835428.0
2002,22600774.0,7.272,22600774.0,7.272,22600774.0,7.272,22600774.0,7.272,2.1,39835428.0
2003,23680871.0,7.148,23680871.0,7.148,23680871.0,7.148,23680871.0,7.148,2.1,39835428.0
2004,24726689.0,7.016,24726689.0,7.016,24726689.0,7.016,24726689.0,7.016,2.1,39835428.0
2005,25654274.0,6.875,25654274.0,6.875,25654274.0,6.875,25654274.0,6.875,2.1,39835428.0
2006,26433058.0,6.722,26433058.0,6.722,26433058.0,6.722,26433058.0,6.722,2.1,39835428.0
2007,27100542.0,6.555,27100542.0,6.555,27100542.0,6.555,27100542.0,6.555,2.1,39835428.0
2008,27722281.0,6.373,27722281.0,6.373,27722281.0,6.373,27722281.0,6.373,2.1,39835428.0
2009,28394806.0,6.18,28394806.0,6.18,28394806.0,6.18,28394806.0,6.18,2.1,39835428.0
2010,29185511.0,5.977,29185511.0,5.977,29185511.0,5.977,29185511.0,5.977,2.1,39835428.0
2011,30117411.0,5.77,30117411.0,5.77,30117411.0,5.77,30117411.0,5.77,2.1,39835428.0
2012,31161378.0,5.562,31161378.0,5.562,31161378.0,5.562,31161378.0,5.562,2.1,39835428.0
2013,32269592.0,5.359,32269592.0,5.359,32269592.0,5.359,32269592.0,5.359,2.1,39835428.0
2014,33370804.0,5.163,33370804.0,5.163,33370804.0,5.163,33370804.0,5.163,2.1,39835428.0
2015,34413603.0,4.976,34413603.0,4.976,34413603.0,4.976,34413603.0,4.976,2.1,39835428.0
2016,35383028.0,4.8,35383028.0,4.8,35383028.0,4.8,35383028.0,4.8,2.1,39835428.0
2017,36296111.0,4.633,36296111.0,4.633,36296111.0,4.633,36296111.0,4.633,2.1,39835428.0
2018,37171922.0,4.473,37171922.0,4.473,37171922.0,4.473,37171922.0,4.473,2.1,39835428.0
2019,38041757.0,4.321,38041757.0,4.321,38041757.0,4.321,38041757.0,4.321,2.1,39835428.0
2020,38928341.0,4.176,38928341.0,4.176,38928341.0,4.176,38928341.0,4.176,2.1,39835428.0
2021,39835428.0,4.176,39835428.0,4.176,39835428.0,4.176,39835428.0,4.176,2.1,39835428.0
2022,40427926.184,4.136,40393261.134,4.017,40405792.574,4.06,40439667.571,4.176,2.1,39835428.0
2023,41008796.401,4.096,40906459.629,3.863,40943226.246,3.946,41043907.143,4.176,2.1,39835428.0
2024,41578150.979,4.056,41376727.634,3.716,41448646.801,3.836,41648146.714,4.176,2.1,39835428.0
2025,42136101.158,4.017,41805704.237,3.574,41922946.445,3.73,42252386.286,4.176,2.1,39835428.0
2026,42682757.105,3.978,42194965.942,3.437,42366992.517,3.626,42856625.857,4.176,2.1,39835428.0
2027,43218227.922,3.94,42546029.065,3.306,42781628.184,3.525,43460865.429,4.176,2.1,39835428.0
2028,43742621.658,3.902,42860352.027,3.18,43167673.114,3.426,44065105.0,4.176,2.1,39835428.0
2029,44256045.316,3.864,43139337.569,3.059,43525924.131,3.331,44669344.571,4.176,2.1,39835428.0
2030,44758604.869,3.827,43384334.871,2.942,43857155.852,3.238,45273584.143,4.176,2.1,39835428.0
2031,45250405.262,3.79,43596641.607,2.829,44162121.304,3.148,45877823.714,4.176,2.1,39835428.0
2032,45731550.431,3.753,43777505.9,2.721,44441552.528,3.06,46482063.286,4.176,2.1,39835428.0
2033,46202143.303,3.717,43928128.225,2.617,44696161.163,2.975,47086302.857,4.176,2.1,39835428.0
