year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,96396419.0,6.439001541,96396419.0,6.439001541,96396419.0,6.439001541,96396419.0,6.439001541,2.1,470898870.0
1961,98407221.0,6.455523021,98407221.0,6.455523021,98407221.0,6.455523021,98407221.0,6.455523021,2.1,470898870.0
1962,100506960.0,6.47139947,100506960.0,6.47139947,100506960.0,6.47139947,100506960.0,6.47139947,2.1,470898870.0
1963,102691339.0,6.487245753,102691339.0,6.487245753,102691339.0,6.487245753,102691339.0,6.487245753,2.1,470898870.0
1964,104953470.0,6.50261929,104953470.0,6.50261929,104953470.0,6.50261929,104953470.0,6.50261929,2.1,470898870.0
1965,107289875.0,6.519049876,107289875.0,6.519049876,107289875.0,6.519049876,107289875.0,6.519049876,2.1,470898870.0
1966,109701811.0,6.537614607,109701811.0,6.537614607,109701811.0,6.537614607,109701811.0,6.537614607,2.1,470898870.0
1967,112195950.0,6.560078223,112195950.0,6.560078223,112195950.0,6.560078223,112195950.0,6.560078223,2.1,470898870.0
1968,114781116.0,6.58666459,114781116.0,6.58666459,114781116.0,6.58666459,114781116.0,6.58666459,2.1,470898870.0
1969,117468741.0,6.617137465,117468741.0,6.617137465,117468741.0,6.617137465,117468741.0,6.617137465,2.1,470898870.0
1970,120269044.0,6.650564094,120269044.0,6.650564094,120269044.0,6.650564094,120269044.0,6.650564094,2.1,470898870.0
1971,123184308.0,6.68593147,123184308.0,6.68593147,123184308.0,6.68593147,123184308.0,6.68593147,2.1,470898870.0
1972,126218502.0,6.721698405,126218502.0,6.721698405,126218502.0,6.721698405,126218502.0,6.721698405,2.1,470898870.0
1973,129384954.0,6.755679236,129384954.0,6.755679236,129384954.0,6.755679236,129384954.0,6.755679236,2.1,470898870.0
1974,132699537.0,6.785903461,132699537.0,6.785903461,132699537.0,6.785903461,132699537.0,6.785903461,2.1,470898870.0
1975,136173544.0,6.811646765,136173544.0,6.811646765,136173544.0,6.811646765,136173544.0,6.811646765,2.1,470898870.0
1976,139813171.0,6.832240085,139813171.0,6.832240085,139813171.0,6.832240085,139813171.0,6.832240085,2.1,470898870.0
1977,143615715.0,6.847959555,143615715.0,6.847959555,143615715.0,6.847959555,143615715.0,6.847959555,2.1,470898870.0
1978,147571063.0,6.858350021,147571063.0,6.858350021,147571063.0,6.858350021,147571063.0,6.858350021,2.1,470898870.0
1979,151663853.0,6.863557421,151663853.0,6.863557421,151663853.0,6.863557421,151663853.0,6.863557421,2.1,470898870.0
1980,155882270.0,6.86229486,155882270.0,6.86229486,155882270.0,6.86229486,155882270.0,6.86229486,2.1,470898870.0
1981,160223588.0,6.85419535,160223588.0,6.85419535,160223588.0,6.85419535,160223588.0,6.85419535,2.1,470898870.0
1982,164689764.0,6.838567852,164689764.0,6.838567852,164689764.0,6.838567852,164689764.0,6.838567852,2.1,470898870.0
1983,169279422.0,6.816308638,169279422.0,6.816308638,169279422.0,6.816308638,169279422.0,6.816308638,2.1,470898870.0
1984,173991851.0,6.788058072,173991851.0,6.788058072,173991851.0,6.788058072,173991851.0,6.788058072,2.1,470898870.0
1985,178826553.0,6.754004249,178826553.0,6.754004249,178826553.0,6.754004249,178826553.0,6.754004249,2.1,470898870.0
1986,183785612.0,6.713787334,183785612.0,6.713787334,183785612.0,6.713787334,183785612.0,6.713787334,2.1,470898870.0
1987,188868567.0,6.668965813,188868567.0,6.668965813,188868567.0,6.668965813,188868567.0,6.668965813,2.1,470898870.0
1988,194070079.0,6.620662874,194070079.0,6.620662874,194070079.0,6.620662874,194070079.0,6.620662874,2.1,470898870.0
1989,199382783.0,6.570139894,199382783.0,6.570139894,199382783.0,6.570139894,199382783.0,6.570139894,2.1,470898870.0
1990,204803865.0,6.51814633,204803865.0,6.51814633,204803865.0,6.51814633,204803865.0,6.51814633,2.1,470898870.0
1991,210332267.0,6.465487774,210332267.0,6.465487774,210332267.0,6.465487774,210332267.0,6.465487774,2.1,470898870.0
