year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5454938.0,6.708,5454938.0,6.708,5454938.0,6.708,5454938.0,6.708,2.1,33933611.0
1961,5531451.0,6.79,5531451.0,6.79,5531451.0,6.79,5531451.0,6.79,2.1,33933611.0
1962,5608499.0,6.872,5608499.0,6.872,5608499.0,6.872,5608499.0,6.872,2.1,33933611.0
1963,5679409.0,6.954,5679409.0,6.954,5679409.0,6.954,5679409.0,6.954,2.1,33933611.0
1964,5734995.0,7.036,5734995.0,7.036,5734995.0,7.036,5734995.0,7.036,2.1,33933611.0
1965,5770573.0,7.116,5770573.0,7.116,5770573.0,7.116,5770573.0,7.116,2.1,33933611.0
1966,5781305.0,7.194,5781305.0,7.194,5781305.0,7.194,5781305.0,7.194,2.1,33933611.0
1967,5774440.0,7.267,5774440.0,7.267,5774440.0,7.267,5774440.0,7.267,2.1,33933611.0
1968,5771973.0,7.332,5771973.0,7.332,5771973.0,7.332,5771973.0,7.332,2.1,33933611.0
1969,5803677.0,7.388,5803677.0,7.388,5803677.0,7.388,5803677.0,7.388,2.1,33933611.0
1970,5890360.0,7.434,5890360.0,7.434,5890360.0,7.434,5890360.0,7.434,2.1,33933611.0
1971,6041239.0,7.467,6041239.0,7.467,6041239.0,7.467,6041239.0,7.467,2.1,33933611.0
1972,6248965.0,7.488,6248965.0,7.488,6248965.0,7.488,6248965.0,7.488,2.1,33933611.0
1973,6497283.0,7.498,6497283.0,7.498,6497283.0,7.498,6497283.0,7.498,2.1,33933611.0
1974,6761623.0,7.5,6761623.0,7.5,6761623.0,7.5,6761623.0,7.5,2.1,33933611.0
1975,7023994.0,7.494,7023994.0,7.494,7023994.0,7.494,7023994.0,7.494,2.1,33933611.0
1976,7279630.0,7.485,7279630.0,7.485,7279630.0,7.485,7279630.0,7.485,2.1,33933611.0
1977,7533814.0,7.475,7533814.0,7.475,7533814.0,7.475,7533814.0,7.475,2.1,33933611.0
1978,7790774.0,7.467,7790774.0,7.467,7790774.0,7.467,7790774.0,7.467,2.1,33933611.0
1979,8058112.0,7.461,8058112.0,7.461,8058112.0,7.461,8058112.0,7.461,2.1,33933611.0
1980,8341290.0,7.459,8341290.0,7.459,8341290.0,7.459,8341290.0,7.459,2.1,33933611.0
1981,8640478.0,7.459,8640478.0,7.459,8640478.0,7.459,8640478.0,7.459,2.1,33933611.0
1982,8952971.0,7.461,8952971.0,7.461,8952971.0,7.461,8952971.0,7.461,2.1,33933611.0
1983,9278104.0,7.462,9278104.0,7.462,9278104.0,7.462,9278104.0,7.462,2.1,33933611.0
1984,9614756.0,7.459,9614756.0,7.459,9614756.0,7.459,9614756.0,7.459,2.1,33933611.0
1985,9961993.0,7.451,9961993.0,7.451,9961993.0,7.451,9961993.0,7.451,2.1,33933611.0
1986,10320116.0,7.435,10320116.0,7.435,10320116.0,7.435,10320116.0,7.435,2.1,33933611.0
1987,10689247.0,7.409,10689247.0,7.409,10689247.0,7.409,10689247.0,7.409,2.1,33933611.0
1988,11068051.0,7.373,11068051.0,7.373,11068051.0,7.373,11068051.0,7.373,2.1,33933611.0
1989,11454784.0,7.328,11454784.0,7.328,11454784.0,7.328,11454784.0,7.328,2.1,33933611.0
1990,11848385.0,7.272,11848385.0,7.272,11848385.0,7.272,11848385.0,7.272,2.1,33933611.0
1991,12248901.0,7.208,12248901.0,7.208,12248901.0,7.208,12248901.0,7.208,2.1,33933611.0
1992,12657361.0,7.138,12657361.0,7.138,12657361.0,7.138,12657361.0,7.138,2.1,33933611.0
1993,13075044.0,7.065,13075044.0,7.065,13075044.0,7.065,13075044.0,7.065,2.1,33933611.0
1994,13503753.0,6.99,13503753.0,6.99,13503753.0,6.99,13503753.0,6.99,2.1,33933611.0
1995,13945205.0,6.918,13945205.0,6.918,13945205.0,6.918,13945205.0,6.918,2.1,33933611.0
1996,14400722.0,6.851,14400722.0,6.851,14400722.0,6.851,14400722.0,6.851,2.1,33933611.0
1997,14871572.0,6.789,14871572.0,6.789,14871572.0,6.789,14871572.0,6.789,2.1,33933611.0
1998,15359600.0,6.732,15359600.0,6.732,15359600.0,6.732,15359600.0,6.732,2.1,33933611.0
1999,15866871.0,6.683,15866871.0,6.683,15866871.0,6.683,15866871.0,6.683,2.1,33933611.0
2000,16395477.0,6.639,16395477.0,6.639,16395477.0,6.639,16395477.0,6.639,2.1,33933611.0
2001,16945753.0,6.601,16945753.0,6.601,16945753.0,6.601,16945753.0,6.601,2.1,33933611.0
2002,17519418.0,6.567,17519418.0,6.567,17519418.0,6.567,17519418.0,6.567,2.1,33933611.0
2003,18121477.0,6.533,18121477.0,6.533,18121477.0,6.533,18121477.0,6.533,2.1,33933611.0
2004,18758138.0,6.499,18758138.0,6.499,18758138.0,6.499,18758138.0,6.499,2.1,33933611.0
2005,19433604.0,6.461,19433604.0,6.461,19433604.0,6.461,19433604.0,6.461,2.1,33933611.0
2006,20149905.0,6.419,20149905.0,6.419,20149905.0,6.419,20149905.0,6.419,2.1,33933611.0
2007,20905360.0,6.372,20905360.0,6.372,20905360.0,6.372,20905360.0,6.372,2.1,33933611.0
2008,21695636.0,6.32,21695636.0,6.32,21695636.0,6.32,21695636.0,6.32,2.1,33933611.0
2009,22514275.0,6.26,22514275.0,6.26,22514275.0,6.26,22514275.0,6.26,2.1,33933611.0
2010,23356247.0,6.194,23356247.0,6.194,23356247.0,6.194,23356247.0,6.194,2.1,33933611.0
2011,24220660.0,6.12,24220660.0,6.12,24220660.0,6.12,24220660.0,6.12,2.1,33933611.0
2012,25107925.0,6.039,25107925.0,6.039,25107925.0,6.039,25107925.0,6.039,2.1,33933611.0
2013,26015786.0,5.953,26015786.0,5.953,26015786.0,5.953,26015786.0,5.953,2.1,33933611.0
2014,26941773.0,5.864,26941773.0,5.864,26941773.0,5.864,26941773.0,5.864,2.1,33933611.0
2015,27884380.0,5.774,27884380.0,5.774,27884380.0,5.774,27884380.0,5.774,2.1,33933611.0
2016,28842482.0,5.686,28842482.0,5.686,28842482.0,5.686,28842482.0,5.686,2.1,33933611.0
2017,29816769.0,5.6,29816769.0,5.6,29816769.0,5.6,29816769.0,5.6,2.1,33933611.0
