year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1608800.0,6.489,1608800.0,6.489,1608800.0,6.489,1608800.0,6.489,2.1,2811666.0
1961,1659800.0,6.401,1659800.0,6.401,1659800.0,6.401,1659800.0,6.401,2.1,2811666.0
1962,1711319.0,6.282,1711319.0,6.282,1711319.0,6.282,1711319.0,6.282,2.1,2811666.0
1963,1762621.0,6.133,1762621.0,6.133,1762621.0,6.133,1762621.0,6.133,2.1,2811666.0
1964,1814135.0,5.96,1814135.0,5.96,1814135.0,5.96,1814135.0,5.96,2.1,2811666.0
1965,1864791.0,5.773,1864791.0,5.773,1864791.0,5.773,1864791.0,5.773,2.1,2811666.0
1966,1914573.0,5.581,1914573.0,5.581,1914573.0,5.581,1914573.0,5.581,2.1,2811666.0
1967,1965598.0,5.394,1965598.0,5.394,1965598.0,5.394,1965598.0,5.394,2.1,2811666.0
1968,2022272.0,5.218,2022272.0,5.218,2022272.0,5.218,2022272.0,5.218,2.1,2811666.0
1969,2081695.0,5.057,2081695.0,5.057,2081695.0,5.057,2081695.0,5.057,2.1,2811666.0
1970,2135479.0,4.91,2135479.0,4.91,2135479.0,4.91,2135479.0,4.91,2.1,2811666.0
1971,2187853.0,4.775,2187853.0,4.775,2187853.0,4.775,2187853.0,4.775,2.1,2811666.0
1972,2243126.0,4.642,2243126.0,4.642,2243126.0,4.642,2243126.0,4.642,2.1,2811666.0
1973,2296752.0,4.509,2296752.0,4.509,2296752.0,4.509,2296752.0,4.509,2.1,2811666.0
1974,2350124.0,4.373,2350124.0,4.373,2350124.0,4.373,2350124.0,4.373,2.1,2811666.0
1975,2404831.0,4.235,2404831.0,4.235,2404831.0,4.235,2404831.0,4.235,2.1,2811666.0
1976,2458526.0,4.099,2458526.0,4.099,2458526.0,4.099,2458526.0,4.099,2.1,2811666.0
1977,2513546.0,3.966,2513546.0,3.966,2513546.0,3.966,2513546.0,3.966,2.1,2811666.0
1978,2566266.0,3.841,2566266.0,3.841,2566266.0,3.841,2566266.0,3.841,2.1,2811666.0
1979,2617832.0,3.725,2617832.0,3.725,2617832.0,3.725,2617832.0,3.725,2.1,2811666.0
1980,2671997.0,3.621,2671997.0,3.621,2671997.0,3.621,2671997.0,3.621,2.1,2811666.0
1981,2726056.0,3.53,2726056.0,3.53,2726056.0,3.53,2726056.0,3.53,2.1,2811666.0
1982,2784278.0,3.452,2784278.0,3.452,2784278.0,3.452,2784278.0,3.452,2.1,2811666.0
1983,2843960.0,3.383,2843960.0,3.383,2843960.0,3.383,2843960.0,3.383,2.1,2811666.0
