year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,13410.0,,13410.0,,13410.0,,13410.0,,2.1,77354.0
1961,14378.0,,14378.0,,14378.0,,14378.0,,2.1,77354.0
1962,15379.0,,15379.0,,15379.0,,15379.0,,2.1,77354.0
1963,16407.0,,16407.0,,16407.0,,16407.0,,2.1,77354.0
1964,17466.0,,17466.0,,17466.0,,17466.0,,2.1,77354.0
1965,18542.0,,18542.0,,18542.0,,18542.0,,2.1,77354.0
1966,19646.0,,19646.0,,19646.0,,19646.0,,2.1,77354.0
1967,20760.0,,20760.0,,20760.0,,20760.0,,2.1,77354.0
1968,21886.0,,21886.0,,21886.0,,21886.0,,2.1,77354.0
1969,23053.0,,23053.0,,23053.0,,23053.0,,2.1,77354.0
1970,24275.0,,24275.0,,24275.0,,24275.0,,2.1,77354.0
1971,25571.0,,25571.0,,25571.0,,25571.0,,2.1,77354.0
1972,26885.0,,26885.0,,26885.0,,26885.0,,2.1,77354.0
1973,28232.0,,28232.0,,28232.0,,28232.0,,2.1,77354.0
1974,29515.0,,29515.0,,29515.0,,29515.0,,2.1,77354.0
1975,30705.0,,30705.0,,30705.0,,30705.0,,2.1,77354.0
1976,31782.0,,31782.0,,31782.0,,31782.0,,2.1,77354.0
1977,32769.0,,32769.0,,32769.0,,32769.0,,2.1,77354.0
1978,33744.0,,33744.0,,33744.0,,33744.0,,2.1,77354.0
1979,34825.0,,34825.0,,34825.0,,34825.0,,2.1,77354.0
1980,36063.0,,36063.0,,36063.0,,36063.0,,2.1,77354.0
1981,37498.0,,37498.0,,37498.0,,37498.0,,2.1,77354.0
1982,39115.0,,39115.0,,39115.0,,39115.0,,2.1,77354.0
1983,40854.0,,40854.0,,40854.0,,40854.0,,2.1,77354.0
1984,42706.0,,42706.0,,42706.0,,42706.0,,2.1,77354.0
1985,44593.0,,44593.0,,44593.0,,44593.0,,2.1,77354.0
1986,46520.0,,46520.0,,46520.0,,46520.0,,2.1,77354.0
1987,48459.0,,48459.0,,48459.0,,48459.0,,2.1,77354.0
1988,50433.0,,50433.0,,50433.0,,50433.0,,2.1,77354.0
1989,52452.0,,52452.0,,52452.0,,52452.0,,2.1,77354.0
1990,54508.0,,54508.0,,54508.0,,54508.0,,2.1,77354.0
1991,56666.0,,56666.0,,56666.0,,56666.0,,2.1,77354.0
1992,58882.0,,58882.0,,58882.0,,58882.0,,2.1,77354.0
1993,60974.0,,60974.0,,60974.0,,60974.0,,2.1,77354.0
1994,62676.0,,62676.0,,62676.0,,62676.0,,2.1,77354.0
1995,63860.0,,63860.0,,63860.0,,63860.0,,2.1,77354.0
1996,64363.0,,64363.0,,64363.0,,64363.0,,2.1,77354.0
1997,64318.0,,64318.0,,64318.0,,64318.0,,2.1,77354.0
1998,64140.0,,64140.0,,64140.0,,64140.0,,2.1,77354.0
