year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,92197715.0,6.977256181,92197715.0,6.977256181,92197715.0,6.977256181,92197715.0,6.977256181,2.1,444517783.0
1961,94724540.0,6.998634815,94724540.0,6.998634815,94724540.0,6.998634815,94724540.0,6.998634815,2.1,444517783.0
1962,97334438.0,7.018724778,97334438.0,7.018724778,97334438.0,7.018724778,97334438.0,7.018724778,2.1,444517783.0
1963,100034191.0,7.035035625,100034191.0,7.035035625,100034191.0,7.035035625,100034191.0,7.035035625,2.1,444517783.0
1964,102832792.0,7.045690188,102832792.0,7.045690188,102832792.0,7.045690188,102832792.0,7.045690188,2.1,444517783.0
1965,105736428.0,7.049042311,105736428.0,7.049042311,105736428.0,7.049042311,105736428.0,7.049042311,2.1,444517783.0
1966,108758634.0,7.042589758,108758634.0,7.042589758,108758634.0,7.042589758,108758634.0,7.042589758,2.1,444517783.0
1967,111899335.0,7.02689298,111899335.0,7.02689298,111899335.0,7.02689298,111899335.0,7.02689298,2.1,444517783.0
1968,115136161.0,7.002192573,115136161.0,7.002192573,115136161.0,7.002192573,115136161.0,7.002192573,2.1,444517783.0
1969,118437193.0,6.967883913,118437193.0,6.967883913,118437193.0,6.967883913,118437193.0,6.967883913,2.1,444517783.0
1970,121785630.0,6.924981313,121785630.0,6.924981313,121785630.0,6.924981313,121785630.0,6.924981313,2.1,444517783.0
1971,125164720.0,6.874841736,125164720.0,6.874841736,125164720.0,6.874841736,125164720.0,6.874841736,2.1,444517783.0
1972,128598743.0,6.820079141,128598743.0,6.820079141,128598743.0,6.820079141,128598743.0,6.820079141,2.1,444517783.0
1973,132161302.0,6.763120799,132161302.0,6.763120799,132161302.0,6.763120799,132161302.0,6.763120799,2.1,444517783.0
1974,135952270.0,6.705269759,135952270.0,6.705269759,135952270.0,6.705269759,135952270.0,6.705269759,2.1,444517783.0
1975,140040580.0,6.647578909,140040580.0,6.647578909,140040580.0,6.647578909,140040580.0,6.647578909,2.1,444517783.0
1976,144453278.0,6.59020341,144453278.0,6.59020341,144453278.0,6.59020341,144453278.0,6.59020341,2.1,444517783.0
1977,149161836.0,6.532157371,149161836.0,6.532157371,149161836.0,6.532157371,149161836.0,6.532157371,2.1,444517783.0
1978,154111160.0,6.471967372,154111160.0,6.471967372,154111160.0,6.471967372,154111160.0,6.471967372,2.1,444517783.0
1979,159218539.0,6.407259347,159218539.0,6.407259347,159218539.0,6.407259347,159218539.0,6.407259347,2.1,444517783.0
1980,164420771.0,6.337064055,164420771.0,6.337064055,164420771.0,6.337064055,164420771.0,6.337064055,2.1,444517783.0
1981,169698978.0,6.260359161,169698978.0,6.260359161,169698978.0,6.260359161,169698978.0,6.260359161,2.1,444517783.0
1982,175061794.0,6.174983853,175061794.0,6.174983853,175061794.0,6.174983853,175061794.0,6.174983853,2.1,444517783.0
1983,180505967.0,6.081141323,180505967.0,6.081141323,180505967.0,6.081141323,180505967.0,6.081141323,2.1,444517783.0
1984,186035280.0,5.977995811,186035280.0,5.977995811,186035280.0,5.977995811,186035280.0,5.977995811,2.1,444517783.0
1985,191650328.0,5.865643178,191650328.0,5.865643178,191650328.0,5.865643178,191650328.0,5.865643178,2.1,444517783.0
1986,197338140.0,5.74114897,197338140.0,5.74114897,197338140.0,5.74114897,197338140.0,5.74114897,2.1,444517783.0
1987,203084958.0,5.608078921,203084958.0,5.608078921,203084958.0,5.608078921,203084958.0,5.608078921,2.1,444517783.0
1988,208889669.0,5.468058564,208889669.0,5.468058564,208889669.0,5.468058564,208889669.0,5.468058564,2.1,444517783.0
1989,214753965.0,5.322720204,214753965.0,5.322720204,214753965.0,5.322720204,214753965.0,5.322720204,2.1,444517783.0
1990,222653371.0,5.186831401,222653371.0,5.186831401,222653371.0,5.186831401,222653371.0,5.186831401,2.1,444517783.0
1991,228731671.0,5.03609135,228731671.0,5.03609135,228731671.0,5.03609135,228731671.0,5.03609135,2.1,444517783.0
1992,232956364.0,4.903709827,232956364.0,4.903709827,232956364.0,4.903709827,232956364.0,4.903709827,2.1,444517783.0
1993,239243294.0,4.750052844,239243294.0,4.750052844,239243294.0,4.750052844,239243294.0,4.750052844,2.1,444517783.0
1994,245449429.0,4.599175958,245449429.0,4.599175958,245449429.0,4.599175958,245449429.0,4.599175958,2.1,444517783.0
1995,253107302.0,4.44181871,253107302.0,4.44181871,253107302.0,4.44181871,253107302.0,4.44181871,2.1,444517783.0
1996,259000937.0,4.304188834,259000937.0,4.304188834,259000937.0,4.304188834,259000937.0,4.304188834,2.1,444517783.0
1997,264822167.0,4.174583315,264822167.0,4.174583315,264822167.0,4.174583315,264822167.0,4.174583315,2.1,444517783.0
1998,270575777.0,4.053980603,270575777.0,4.053980603,270575777.0,4.053980603,270575777.0,4.053980603,2.1,444517783.0
1999,276393809.0,3.943607209,276393809.0,3.943607209,276393809.0,3.943607209,276393809.0,3.943607209,2.1,444517783.0
2000,282344141.0,3.84571251,282344141.0,3.84571251,282344141.0,3.84571251,282344141.0,3.84571251,2.1,444517783.0
2001,288432153.0,3.760436711,288432153.0,3.760436711,288432153.0,3.760436711,288432153.0,3.760436711,2.1,444517783.0
2002,294665202.0,3.687280608,294665202.0,3.687280608,294665202.0,3.687280608,294665202.0,3.687280608,2.1,444517783.0
2003,301113869.0,3.62645988,301113869.0,3.62645988,301113869.0,3.62645988,301113869.0,3.62645988,2.1,444517783.0
2004,307862846.0,3.576135572,307862846.0,3.576135572,307862846.0,3.576135572,307862846.0,3.576135572,2.1,444517783.0
2005,314965776.0,3.537575867,314965776.0,3.537575867,314965776.0,3.537575867,314965776.0,3.537575867,2.1,444517783.0
2006,322452764.0,3.508948197,322452764.0,3.508948197,322452764.0,3.508948197,322452764.0,3.508948197,2.1,444517783.0
2007,330290752.0,3.491093633,330290752.0,3.491093633,330290752.0,3.491093633,330290752.0,3.491093633,2.1,444517783.0
2008,338395936.0,3.48070063,338395936.0,3.48070063,338395936.0,3.48070063,338395936.0,3.48070063,2.1,444517783.0
2009,346629179.0,3.475024449,346629179.0,3.475024449,346629179.0,3.475024449,346629179.0,3.475024449,2.1,444517783.0
2010,354890097.0,3.470383881,354890097.0,3.470383881,354890097.0,3.470383881,354890097.0,3.470383881,2.1,444517783.0
2011,363156846.0,3.463102289,363156846.0,3.463102289,363156846.0,3.463102289,363156846.0,3.463102289,2.1,444517783.0
2012,371437642.0,3.450660912,371437642.0,3.450660912,371437642.0,3.450660912,371437642.0,3.450660912,2.1,444517783.0
2013,379696477.0,3.430476955,379696477.0,3.430476955,379696477.0,3.430476955,379696477.0,3.430476955,2.1,444517783.0
2014,387899835.0,3.402070429,387899835.0,3.402070429,387899835.0,3.402070429,387899835.0,3.402070429,2.1,444517783.0
2015,396028301.0,3.365221112,396028301.0,3.365221112,396028301.0,3.365221112,396028301.0,3.365221112,2.1,444517783.0
2016,404042892.0,3.322437279,404042892.0,3.322437279,404042892.0,3.322437279,404042892.0,3.322437279,2.1,444517783.0
2017,411942825.0,3.276487463,411942825.0,3.276487463,411942825.0,3.276487463,411942825.0,3.276487463,2.1,444517783.0
2018,419851989.0,3.231001101,419851989.0,3.231001101,419851989.0,3.231001101,419851989.0,3.231001101,2.1,444517783.0
2019,427870273.0,3.187157135,427870273.0,3.187157135,427870273.0,3.187157135,427870273.0,3.187157135,2.1,444517783.0
2020,436080728.0,3.1457567,436080728.0,3.1457567,436080728.0,3.1457567,436080728.0,3.1457567,2.1,444517783.0
2021,444517783.0,3.1457567,444517783.0,3.1457567,444517783.0,3.1457567,444517783.0,3.1457567,2.1,444517783.0
2022,447461697.404,3.104,447504138.98,3.118,447474891.198,3.108,447584962.502,3.146,2.1,444517783.0
2023,450283993.532,3.062,450410379.451,3.091,450323241.243,3.071,450652142.004,3.146,2.1,444517783.0
2024,452986296.203,3.021,453237206.226,3.064,453064130.619,3.035,453719321.506,3.146,2.1,444517783.0
2025,455570208.53,2.981,455985314.968,3.037,455698841.333,2.998,456786501.009,3.146,2.1,444517783.0
2026,458037312.209,2.941,458655395.248,3.01,458228640.095,2.963,459853680.511,3.146,2.1,444517783.0
2027,460389167.803,2.902,461248130.594,2.984,460654778.506,2.927,462920860.013,3.146,2.1,444517783.0
2028,462627315.026,2.863,463764198.549,2.958,462978493.233,2.892,465988039.515,3.146,2.1,444517783.0
2029,464753273.022,2.825,466204270.718,2.932,465201006.19,2.858,469055219.017,3.146,2.1,444517783.0
2030,466768540.639,2.787,468569012.826,2.906,467323524.716,2.824,472122398.519,3.146,2.1,444517783.0
2031,468674596.701,2.75,470859084.762,2.881,469347241.743,2.79,475189578.021,3.146,2.1,444517783.0
2032,470472900.274,2.713,473075140.638,2.856,471273335.973,2.757,478256757.523,3.146,2.1,444517783.0
2033,472164890.932,2.677,475217828.835,2.831,473102972.047,2.724,481323937.026,3.146,2.1,444517783.0
2034,473751989.014,2.641,477287792.053,2.806,474837300.71,2.691,484391116.528,3.146,2.1,444517783.0
2035,475235595.885,2.606,479285667.364,2.781,476477458.979,2.659,487458296.03,3.146,2.1,444517783.0
2036,476617094.189,2.571,481212086.256,2.757,478024570.308,2.627,490525475.532,3.146,2.1,444517783.0
2037,477897848.096,2.537,483067674.689,2.733,479479744.746,2.596,493592655.034,3.146,2.1,444517783.0
2038,479079203.55,2.503,484853053.138,2.709,480844079.1,2.565,496659834.536,3.146,2.1,444517783.0
2039,480162488.515,2.469,486568836.641,2.685,482118657.094,2.535,499727014.038,3.146,2.1,444517783.0
2040,481149013.214,2.436,488215634.851,2.661,483304549.519,2.504,502794193.54,3.146,2.1,444517783.0
2041,482040070.362,2.404,489794052.079,2.638,484402814.395,2.474,505861373.043,3.146,2.1,444517783.0
2042,482836935.407,2.372,491304687.341,2.615,485414497.118,2.445,508928552.545,3.146,2.1,444517783.0
2043,483540866.755,2.34,492748134.409,2.592,486340630.615,2.416,511995732.047,3.146,2.1,444517783.0
2044,484153106.0,2.309,494124981.85,2.569,487182235.486,2.387,515062911.549,3.146,2.1,444517783.0
2045,484674878.148,2.278,495435813.078,2.547,487940320.158,2.358,518130091.051,3.146,2.1,444517783.0
2046,485107391.841,2.247,496681206.394,2.525,488615881.028,2.33,521197270.553,3.146,2.1,444517783.0
2047,485451839.571,2.217,497861735.035,2.503,489209902.604,2.303,524264450.055,3.146,2.1,444517783.0
2048,485709397.899,2.188,498977967.215,2.481,489723357.651,2.275,527331629.558,3.146,2.1,444517783.0
2049,485881227.668,2.159,500030466.171,2.459,490157207.326,2.248,530398809.06,3.146,2.1,444517783.0
2050,485968474.211,2.13,501019790.206,2.437,490512401.322,2.221,533465988.562,3.146,2.1,444517783.0
2051,485972267.561,2.101,501946492.732,2.416,490789878.001,2.195,536533168.064,3.146,2.1,444517783.0
