year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,92417.0,6.929,92417.0,6.929,92417.0,6.929,92417.0,6.929,2.1,9991083.0
1961,100801.0,6.91,100801.0,6.91,100801.0,6.91,100801.0,6.91,2.1,9991083.0
1962,112112.0,6.892,112112.0,6.892,112112.0,6.892,112112.0,6.892,2.1,9991083.0
1963,125130.0,6.875,125130.0,6.875,125130.0,6.875,125130.0,6.875,2.1,9991083.0
1964,138049.0,6.857,138049.0,6.857,138049.0,6.857,138049.0,6.857,2.1,9991083.0
1965,149855.0,6.838,149855.0,6.838,149855.0,6.838,149855.0,6.838,2.1,9991083.0
1966,159979.0,6.817,159979.0,6.817,159979.0,6.817,159979.0,6.817,2.1,9991083.0
1967,169768.0,6.791,169768.0,6.791,169768.0,6.791,169768.0,6.791,2.1,9991083.0
1968,182620.0,6.757,182620.0,6.757,182620.0,6.757,182620.0,6.757,2.1,9991083.0
1969,203103.0,6.713,203103.0,6.713,203103.0,6.713,203103.0,6.713,2.1,9991083.0
1970,234512.0,6.655,234512.0,6.655,234512.0,6.655,234512.0,6.655,2.1,9991083.0
1971,277463.0,6.579,277463.0,6.579,277463.0,6.579,277463.0,6.579,2.1,9991083.0
1972,330968.0,6.484,330968.0,6.484,330968.0,6.484,330968.0,6.484,2.1,9991083.0
1973,394625.0,6.372,394625.0,6.372,394625.0,6.372,394625.0,6.372,2.1,9991083.0
1974,467457.0,6.245,467457.0,6.245,467457.0,6.245,467457.0,6.245,2.1,9991083.0
1975,548295.0,6.111,548295.0,6.111,548295.0,6.111,548295.0,6.111,2.1,9991083.0
1976,637926.0,5.973,637926.0,5.973,637926.0,5.973,637926.0,5.973,2.1,9991083.0
1977,735347.0,5.84,735347.0,5.84,735347.0,5.84,735347.0,5.84,2.1,9991083.0
1978,835498.0,5.716,835498.0,5.716,835498.0,5.716,835498.0,5.716,2.1,9991083.0
1979,931752.0,5.603,931752.0,5.603,931752.0,5.603,931752.0,5.603,2.1,9991083.0
1980,1019507.0,5.505,1019507.0,5.505,1019507.0,5.505,1019507.0,5.505,2.1,9991083.0
1981,1096602.0,5.422,1096602.0,5.422,1096602.0,5.422,1096602.0,5.422,2.1,9991083.0
1982,1164816.0,5.35,1164816.0,5.35,1164816.0,5.35,1164816.0,5.35,2.1,9991083.0
1983,1228457.0,5.283,1228457.0,5.283,1228457.0,5.283,1228457.0,5.283,2.1,9991083.0
1984,1293970.0,5.215,1293970.0,5.215,1293970.0,5.215,1293970.0,5.215,2.1,9991083.0
1985,1366165.0,5.139,1366165.0,5.139,1366165.0,5.139,1366165.0,5.139,2.1,9991083.0
1986,1446386.0,5.047,1446386.0,5.047,1446386.0,5.047,1446386.0,5.047,2.1,9991083.0
