year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,20481781.0,3.109,20481781.0,3.109,20481781.0,3.109,20481781.0,3.109,2.1,45808747.0
1961,20817270.0,3.1,20817270.0,3.1,20817270.0,3.1,20817270.0,3.1,2.1,45808747.0
1962,21153042.0,3.09,21153042.0,3.09,21153042.0,3.09,21153042.0,3.09,2.1,45808747.0
1963,21488916.0,3.079,21488916.0,3.079,21488916.0,3.079,21488916.0,3.079,2.1,45808747.0
1964,21824427.0,3.068,21824427.0,3.068,21824427.0,3.068,21824427.0,3.068,2.1,45808747.0
1965,22159644.0,3.059,22159644.0,3.059,22159644.0,3.059,22159644.0,3.059,2.1,45808747.0
1966,22494031.0,3.053,22494031.0,3.053,22494031.0,3.053,22494031.0,3.053,2.1,45808747.0
1967,22828872.0,3.05,22828872.0,3.05,22828872.0,3.05,22828872.0,3.05,2.1,45808747.0
1968,23168268.0,3.053,23168268.0,3.053,23168268.0,3.053,23168268.0,3.053,2.1,45808747.0
1969,23517613.0,3.062,23517613.0,3.062,23517613.0,3.062,23517613.0,3.062,2.1,45808747.0
1970,23880564.0,3.079,23880564.0,3.079,23880564.0,3.079,23880564.0,3.079,2.1,45808747.0
1971,24259564.0,3.109,24259564.0,3.109,24259564.0,3.109,24259564.0,3.109,2.1,45808747.0
1972,24653172.0,3.149,24653172.0,3.149,24653172.0,3.149,24653172.0,3.149,2.1,45808747.0
1973,25056475.0,3.198,25056475.0,3.198,25056475.0,3.198,25056475.0,3.198,2.1,45808747.0
1974,25462305.0,3.251,25462305.0,3.251,25462305.0,3.251,25462305.0,3.251,2.1,45808747.0
1975,25865775.0,3.301,25865775.0,3.301,25865775.0,3.301,25865775.0,3.301,2.1,45808747.0
1976,26264681.0,3.339,26264681.0,3.339,26264681.0,3.339,26264681.0,3.339,2.1,45808747.0
1977,26661397.0,3.359,26661397.0,3.359,26661397.0,3.359,26661397.0,3.359,2.1,45808747.0
1978,27061041.0,3.359,27061041.0,3.359,27061041.0,3.359,27061041.0,3.359,2.1,45808747.0
1979,27471046.0,3.339,27471046.0,3.339,27471046.0,3.339,27471046.0,3.339,2.1,45808747.0
1980,27896532.0,3.301,27896532.0,3.301,27896532.0,3.301,27896532.0,3.301,2.1,45808747.0
1981,28338514.0,3.253,28338514.0,3.253,28338514.0,3.253,28338514.0,3.253,2.1,45808747.0
1982,28794550.0,3.204,28794550.0,3.204,28794550.0,3.204,28794550.0,3.204,2.1,45808747.0
1983,29262049.0,3.159,29262049.0,3.159,29262049.0,3.159,29262049.0,3.159,2.1,45808747.0
1984,29737097.0,3.123,29737097.0,3.123,29737097.0,3.123,29737097.0,3.123,2.1,45808747.0
1985,30216284.0,3.095,30216284.0,3.095,30216284.0,3.095,30216284.0,3.095,2.1,45808747.0
1986,30698964.0,3.075,30698964.0,3.075,30698964.0,3.075,30698964.0,3.075,2.1,45808747.0
1987,31184411.0,3.059,31184411.0,3.059,31184411.0,3.059,31184411.0,3.059,2.1,45808747.0
1988,31668939.0,3.042,31668939.0,3.042,31668939.0,3.042,31668939.0,3.042,2.1,45808747.0
1989,32148137.0,3.022,32148137.0,3.022,32148137.0,3.022,32148137.0,3.022,2.1,45808747.0
1990,32618648.0,2.997,32618648.0,2.997,32618648.0,2.997,32618648.0,2.997,2.1,45808747.0
1991,33079002.0,2.965,33079002.0,2.965,33079002.0,2.965,33079002.0,2.965,2.1,45808747.0
1992,33529320.0,2.925,33529320.0,2.925,33529320.0,2.925,33529320.0,2.925,2.1,45808747.0
1993,33970103.0,2.879,33970103.0,2.879,33970103.0,2.879,33970103.0,2.879,2.1,45808747.0
1994,34402669.0,2.828,34402669.0,2.828,34402669.0,2.828,34402669.0,2.828,2.1,45808747.0
1995,34828168.0,2.773,34828168.0,2.773,34828168.0,2.773,34828168.0,2.773,2.1,45808747.0
1996,35246376.0,2.718,35246376.0,2.718,35246376.0,2.718,35246376.0,2.718,2.1,45808747.0
1997,35657438.0,2.666,35657438.0,2.666,35657438.0,2.666,35657438.0,2.666,2.1,45808747.0
1998,36063451.0,2.618,36063451.0,2.618,36063451.0,2.618,36063451.0,2.618,2.1,45808747.0
1999,36467218.0,2.577,36467218.0,2.577,36467218.0,2.577,36467218.0,2.577,2.1,45808747.0
2000,36870796.0,2.542,36870796.0,2.542,36870796.0,2.542,36870796.0,2.542,2.1,45808747.0
2001,37275644.0,2.512,37275644.0,2.512,37275644.0,2.512,37275644.0,2.512,2.1,45808747.0
2002,37681743.0,2.486,37681743.0,2.486,37681743.0,2.486,37681743.0,2.486,2.1,45808747.0
2003,38087866.0,2.461,38087866.0,2.461,38087866.0,2.461,38087866.0,2.461,2.1,45808747.0
2004,38491970.0,2.438,38491970.0,2.438,38491970.0,2.438,38491970.0,2.438,2.1,45808747.0
2005,38892924.0,2.416,38892924.0,2.416,38892924.0,2.416,38892924.0,2.416,2.1,45808747.0
2006,39289876.0,2.397,39289876.0,2.397,39289876.0,2.397,39289876.0,2.397,2.1,45808747.0
2007,39684303.0,2.38,39684303.0,2.38,39684303.0,2.38,39684303.0,2.38,2.1,45808747.0
2008,40080159.0,2.366,40080159.0,2.366,40080159.0,2.366,40080159.0,2.366,2.1,45808747.0
2009,40482786.0,2.355,40482786.0,2.355,40482786.0,2.355,40482786.0,2.355,2.1,45808747.0
2010,40788453.0,2.346,40788453.0,2.346,40788453.0,2.346,40788453.0,2.346,2.1,45808747.0
2011,41261490.0,2.338,41261490.0,2.338,41261490.0,2.338,41261490.0,2.338,2.1,45808747.0
2012,41733271.0,2.33,41733271.0,2.33,41733271.0,2.33,41733271.0,2.33,2.1,45808747.0
