year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1874119.0,4.786,1874119.0,4.786,1874119.0,4.786,1874119.0,4.786,2.1,2968128.0
1961,1941498.0,4.67,1941498.0,4.67,1941498.0,4.67,1941498.0,4.67,2.1,2968128.0
1962,2009524.0,4.521,2009524.0,4.521,2009524.0,4.521,2009524.0,4.521,2.1,2968128.0
1963,2077584.0,4.345,2077584.0,4.345,2077584.0,4.345,2077584.0,4.345,2.1,2968128.0
1964,2145004.0,4.15,2145004.0,4.15,2145004.0,4.15,2145004.0,4.15,2.1,2968128.0
1965,2211316.0,3.95,2211316.0,3.95,2211316.0,3.95,2211316.0,3.95,2.1,2968128.0
1966,2276038.0,3.758,2276038.0,3.758,2276038.0,3.758,2276038.0,3.758,2.1,2968128.0
1967,2339133.0,3.582,2339133.0,3.582,2339133.0,3.582,2339133.0,3.582,2.1,2968128.0
1968,2401142.0,3.429,2401142.0,3.429,2401142.0,3.429,2401142.0,3.429,2.1,2968128.0
1969,2462938.0,3.302,2462938.0,3.302,2462938.0,3.302,2462938.0,3.302,2.1,2968128.0
1970,2525067.0,3.199,2525067.0,3.199,2525067.0,3.199,2525067.0,3.199,2.1,2968128.0
1971,2587716.0,3.114,2587716.0,3.114,2587716.0,3.114,2587716.0,3.114,2.1,2968128.0
1972,2650484.0,3.035,2650484.0,3.035,2650484.0,3.035,2650484.0,3.035,2.1,2968128.0
1973,2712780.0,2.956,2712780.0,2.956,2712780.0,2.956,2712780.0,2.956,2.1,2968128.0
1974,2773750.0,2.875,2773750.0,2.875,2773750.0,2.875,2773750.0,2.875,2.1,2968128.0
1975,2832752.0,2.792,2832752.0,2.792,2832752.0,2.792,2832752.0,2.792,2.1,2968128.0
1976,2889583.0,2.712,2889583.0,2.712,2889583.0,2.712,2889583.0,2.712,2.1,2968128.0
1977,2944375.0,2.641,2944375.0,2.641,2944375.0,2.641,2944375.0,2.641,2.1,2968128.0
1978,2997419.0,2.582,2997419.0,2.582,2997419.0,2.582,2997419.0,2.582,2.1,2968128.0
1979,3049107.0,2.538,3049107.0,2.538,3049107.0,2.538,3049107.0,2.538,2.1,2968128.0
1980,3099759.0,2.51,3099759.0,2.51,3099759.0,2.51,3099759.0,2.51,2.1,2968128.0
1981,3148096.0,2.499,3148096.0,2.499,3148096.0,2.499,3148096.0,2.499,2.1,2968128.0
1982,3193696.0,2.503,3193696.0,2.503,3193696.0,2.503,3193696.0,2.503,2.1,2968128.0
1983,3238592.0,2.517,3238592.0,2.517,3238592.0,2.517,3238592.0,2.517,2.1,2968128.0
1984,3285593.0,2.538,3285593.0,2.538,3285593.0,2.538,3285593.0,2.538,2.1,2968128.0
1985,3335935.0,2.559,3335935.0,2.559,3335935.0,2.559,3335935.0,2.559,2.1,2968128.0
1986,3392264.0,2.578,3392264.0,2.578,3392264.0,2.578,3392264.0,2.578,2.1,2968128.0
1987,3451947.0,2.591,3451947.0,2.591,3451947.0,2.591,3451947.0,2.591,2.1,2968128.0
1988,3504667.0,2.592,3504667.0,2.592,3504667.0,2.592,3504667.0,2.592,2.1,2968128.0
1989,3536473.0,2.578,3536473.0,2.578,3536473.0,2.578,3536473.0,2.578,2.1,2968128.0
1990,3538164.0,2.544,3538164.0,2.544,3538164.0,2.544,3538164.0,2.544,2.1,2968128.0
1991,3505249.0,2.484,3505249.0,2.484,3505249.0,2.484,3505249.0,2.484,2.1,2968128.0
1992,3442820.0,2.4,3442820.0,2.4,3442820.0,2.4,3442820.0,2.4,2.1,2968128.0
1993,3363111.0,2.297,3363111.0,2.297,3363111.0,2.297,3363111.0,2.297,2.1,2968128.0
1994,3283664.0,2.179,3283664.0,2.179,3283664.0,2.179,3283664.0,2.179,2.1,2968128.0
1995,3217349.0,2.056,3217349.0,2.056,3217349.0,2.056,3217349.0,2.056,2.1,2968128.0
1996,3168213.0,1.938,3168213.0,1.938,3168213.0,1.938,3168213.0,1.938,2.1,2968128.0
1997,3133081.0,1.832,3133081.0,1.832,3133081.0,1.832,3133081.0,1.832,2.1,2968128.0
1998,3108691.0,1.747,3108691.0,1.747,3108691.0,1.747,3108691.0,1.747,2.1,2968128.0
1999,3089020.0,1.685,3089020.0,1.685,3089020.0,1.685,3089020.0,1.685,2.1,2968128.0
2000,3069597.0,1.648,3069597.0,1.648,3069597.0,1.648,3069597.0,1.648,2.1,2968128.0
2001,3050686.0,1.634,3050686.0,1.634,3050686.0,1.634,3050686.0,1.634,2.1,2968128.0
2002,3033976.0,1.635,3033976.0,1.635,3033976.0,1.635,3033976.0,1.635,2.1,2968128.0
2003,3017938.0,1.645,3017938.0,1.645,3017938.0,1.645,3017938.0,1.645,2.1,2968128.0
2004,3000715.0,1.659,3000715.0,1.659,3000715.0,1.659,3000715.0,1.659,2.1,2968128.0
2005,2981262.0,1.675,2981262.0,1.675,2981262.0,1.675,2981262.0,1.675,2.1,2968128.0
2006,2958301.0,1.69,2958301.0,1.69,2958301.0,1.69,2958301.0,1.69,2.1,2968128.0
2007,2932615.0,1.702,2932615.0,1.702,2932615.0,1.702,2932615.0,1.702,2.1,2968128.0
2008,2907615.0,1.712,2907615.0,1.712,2907615.0,1.712,2907615.0,1.712,2.1,2968128.0
2009,2888094.0,1.719,2888094.0,1.719,2888094.0,1.719,2888094.0,1.719,2.1,2968128.0
2010,2877314.0,1.722,2877314.0,1.722,2877314.0,1.722,2877314.0,1.722,2.1,2968128.0
2011,2876536.0,1.724,2876536.0,1.724,2876536.0,1.724,2876536.0,1.724,2.1,2968128.0
2012,2884239.0,1.725,2884239.0,1.725,2884239.0,1.725,2884239.0,1.725,2.1,2968128.0
2013,2897593.0,1.728,2897593.0,1.728,2897593.0,1.728,2897593.0,1.728,2.1,2968128.0
2014,2912403.0,1.732,2912403.0,1.732,2912403.0,1.732,2912403.0,1.732,2.1,2968128.0
2015,2925559.0,1.738,2925559.0,1.738,2925559.0,1.738,2925559.0,1.738,2.1,2968128.0
2016,2936147.0,1.744,2936147.0,1.744,2936147.0,1.744,2936147.0,1.744,2.1,2968128.0
2017,2944789.0,1.75,2944789.0,1.75,2944789.0,1.75,2944789.0,1.75,2.1,2968128.0
2018,2951741.0,1.755,2951741.0,1.755,2951741.0,1.755,2951741.0,1.755,2.1,2968128.0
2019,2957728.0,1.758,2957728.0,1.758,2957728.0,1.758,2957728.0,1.758,2.1,2968128.0
2020,2963234.0,1.76,2963234.0,1.76,2963234.0,1.76,2963234.0,1.76,2.1,2968128.0
2021,2968128.0,1.76,2968128.0,1.76,2968128.0,1.76,2968128.0,1.76,2.1,2968128.0
2022,2961191.444,1.731,2961827.687,1.765,2961751.959,1.761,2961739.724,1.76,2.1,2968128.0
2023,2953715.7,1.702,2955615.57,1.769,2955388.158,1.761,2955351.448,1.76,2.1,2968128.0
2024,2945709.706,1.674,2949491.885,1.774,2949036.602,1.762,2948963.171,1.76,2.1,2968128.0
2025,2937182.254,1.646,2943456.866,1.779,2942697.295,1.763,2942574.895,1.76,2.1,2968128.0
2026,2928141.991,1.619,2937510.75,1.784,2936370.241,1.763,2936186.619,1.76,2.1,2968128.0
2027,2918597.418,1.592,2931653.773,1.788,2930055.445,1.764,2929798.343,1.76,2.1,2968128.0
2028,2908556.897,1.566,2925886.172,1.793,2923752.912,1.765,2923410.067,1.76,2.1,2968128.0
2029,2898028.651,1.54,2920208.185,1.798,2917462.646,1.765,2917021.79,1.76,2.1,2968128.0
2030,2887020.766,1.514,2914620.049,1.803,2911184.652,1.766,2910633.514,1.76,2.1,2968128.0
2031,2875541.195,1.489,2909122.005,1.807,2904918.934,1.767,2904245.238,1.76,2.1,2968128.0
2032,2863597.758,1.464,2903714.292,1.812,2898665.497,1.767,2897856.962,1.76,2.1,2968128.0
2033,2851198.146,1.44,2898397.15,1.817,2892424.345,1.768,2891468.686,1.76,2.1,2968128.0
2034,2838349.923,1.416,2893170.82,1.822,2886195.483,1.768,2885080.41,1.76,2.1,2968128.0
2035,2825060.526,1.393,2888035.544,1.827,2879978.915,1.769,2878692.133,1.76,2.1,2968128.0
2036,2811337.27,1.37,2882991.563,1.832,2873774.647,1.77,2872303.857,1.76,2.1,2968128.0
2037,2797187.349,1.347,2878039.121,1.836,2867582.682,1.77,2865915.581,1.76,2.1,2968128.0
2038,2782617.836,1.325,2873178.461,1.841,2861403.024,1.771,2859527.305,1.76,2.1,2968128.0
2039,2767635.689,1.303,2868409.828,1.846,2855235.68,1.772,2853139.029,1.76,2.1,2968128.0
