year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,20127.0,,20127.0,,20127.0,,20127.0,,2.1,55103.0
1961,20605.0,,20605.0,,20605.0,,20605.0,,2.1,55103.0
1962,21246.0,,21246.0,,21246.0,,21246.0,,2.1,55103.0
1963,22029.0,,22029.0,,22029.0,,22029.0,,2.1,55103.0
1964,22850.0,,22850.0,,22850.0,,22850.0,,2.1,55103.0
1965,23675.0,,23675.0,,23675.0,,23675.0,,2.1,55103.0
1966,24473.0,,24473.0,,24473.0,,24473.0,,2.1,55103.0
1967,25235.0,,25235.0,,25235.0,,25235.0,,2.1,55103.0
1968,25980.0,,25980.0,,25980.0,,25980.0,,2.1,55103.0
1969,26698.0,,26698.0,,26698.0,,26698.0,,2.1,55103.0
1970,27362.0,,27362.0,,27362.0,,27362.0,,2.1,55103.0
1971,27982.0,,27982.0,,27982.0,,27982.0,,2.1,55103.0
1972,28564.0,,28564.0,,28564.0,,28564.0,,2.1,55103.0
1973,29103.0,,29103.0,,29103.0,,29103.0,,2.1,55103.0
1974,29595.0,,29595.0,,29595.0,,29595.0,,2.1,55103.0
1975,30045.0,,30045.0,,30045.0,,30045.0,,2.1,55103.0
1976,30455.0,,30455.0,,30455.0,,30455.0,,2.1,55103.0
1977,30834.0,,30834.0,,30834.0,,30834.0,,2.1,55103.0
1978,31262.0,,31262.0,,31262.0,,31262.0,,2.1,55103.0
1979,31842.0,,31842.0,,31842.0,,31842.0,,2.1,55103.0
1980,32648.0,,32648.0,,32648.0,,32648.0,,2.1,55103.0
1981,33697.0,,33697.0,,33697.0,,33697.0,,2.1,55103.0
1982,34969.0,,34969.0,,34969.0,,34969.0,,2.1,55103.0
1983,36413.0,,36413.0,,36413.0,,36413.0,,2.1,55103.0
1984,37946.0,,37946.0,,37946.0,,37946.0,,2.1,55103.0
1985,39521.0,,39521.0,,39521.0,,39521.0,,2.1,55103.0
1986,41114.0,,41114.0,,41114.0,,41114.0,,2.1,55103.0
1987,42741.0,,42741.0,,42741.0,,42741.0,,2.1,55103.0
1988,44346.0,,44346.0,,44346.0,,44346.0,,2.1,55103.0
1989,45894.0,,45894.0,,45894.0,,45894.0,,2.1,55103.0
1990,47351.0,,47351.0,,47351.0,,47351.0,,2.1,55103.0
1991,48682.0,,48682.0,,48682.0,,48682.0,,2.1,55103.0
1992,49900.0,,49900.0,,49900.0,,49900.0,,2.1,55103.0
1993,51025.0,,51025.0,,51025.0,,51025.0,,2.1,55103.0
1994,52099.0,,52099.0,,52099.0,,52099.0,,2.1,55103.0
1995,53158.0,,53158.0,,53158.0,,53158.0,,2.1,55103.0
1996,54209.0,,54209.0,,54209.0,,54209.0,,2.1,55103.0
1997,55227.0,,55227.0,,55227.0,,55227.0,,2.1,55103.0
1998,56180.0,,56180.0,,56180.0,,56180.0,,2.1,55103.0
1999,57049.0,,57049.0,,57049.0,,57049.0,,2.1,55103.0
2000,57816.0,,57816.0,,57816.0,,57816.0,,2.1,55103.0
2001,58496.0,,58496.0,,58496.0,,58496.0,,2.1,55103.0
2002,59077.0,,59077.0,,59077.0,,59077.0,,2.1,55103.0
2003,59495.0,,59495.0,,59495.0,,59495.0,,2.1,55103.0
2004,59684.0,,59684.0,,59684.0,,59684.0,,2.1,55103.0
2005,59557.0,,59557.0,,59557.0,,59557.0,,2.1,55103.0
2006,59109.0,,59109.0,,59109.0,,59109.0,,2.1,55103.0
2007,58367.0,,58367.0,,58367.0,,58367.0,,2.1,55103.0
2008,57490.0,,57490.0,,57490.0,,57490.0,,2.1,55103.0
2009,56675.0,,56675.0,,56675.0,,56675.0,,2.1,55103.0
2010,56084.0,,56084.0,,56084.0,,56084.0,,2.1,55103.0
2011,55755.0,,55755.0,,55755.0,,55755.0,,2.1,55103.0
2012,55669.0,,55669.0,,55669.0,,55669.0,,2.1,55103.0
