year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,54132.0,4.425,54132.0,4.425,54132.0,4.425,54132.0,4.425,2.1,98728.0
1961,55005.0,4.386,55005.0,4.386,55005.0,4.386,55005.0,4.386,2.1,98728.0
1962,55849.0,4.344,55849.0,4.344,55849.0,4.344,55849.0,4.344,2.1,98728.0
1963,56701.0,4.299,56701.0,4.299,56701.0,4.299,56701.0,4.299,2.1,98728.0
1964,57641.0,4.25,57641.0,4.25,57641.0,4.25,57641.0,4.25,2.1,98728.0
1965,58699.0,4.193,58699.0,4.193,58699.0,4.193,58699.0,4.193,2.1,98728.0
1966,59912.0,4.125,59912.0,4.125,59912.0,4.125,59912.0,4.125,2.1,98728.0
1967,61240.0,4.042,61240.0,4.042,61240.0,4.042,61240.0,4.042,2.1,98728.0
1968,62523.0,3.942,62523.0,3.942,62523.0,3.942,62523.0,3.942,2.1,98728.0
1969,63553.0,3.823,63553.0,3.823,63553.0,3.823,63553.0,3.823,2.1,98728.0
1970,64184.0,3.683,64184.0,3.683,64184.0,3.683,64184.0,3.683,2.1,98728.0
1971,64354.0,3.516,64354.0,3.516,64354.0,3.516,64354.0,3.516,2.1,98728.0
1972,64134.0,3.327,64134.0,3.327,64134.0,3.327,64134.0,3.327,2.1,98728.0
1973,63649.0,3.121,63649.0,3.121,63649.0,3.121,63649.0,3.121,2.1,98728.0
1974,63108.0,2.909,63108.0,2.909,63108.0,2.909,63108.0,2.909,2.1,98728.0
1975,62671.0,2.702,62671.0,2.702,62671.0,2.702,62671.0,2.702,2.1,98728.0
1976,62353.0,2.516,62353.0,2.516,62353.0,2.516,62353.0,2.516,2.1,98728.0
1977,62162.0,2.361,62162.0,2.361,62162.0,2.361,62162.0,2.361,2.1,98728.0
1978,62038.0,2.242,62038.0,2.242,62038.0,2.242,62038.0,2.242,2.1,98728.0
1979,61948.0,2.162,61948.0,2.162,61948.0,2.162,61948.0,2.162,2.1,98728.0
1980,61861.0,2.118,61861.0,2.118,61861.0,2.118,61861.0,2.118,2.1,98728.0
1981,61789.0,2.101,61789.0,2.101,61789.0,2.101,61789.0,2.101,2.1,98728.0
1982,61780.0,2.098,61780.0,2.098,61780.0,2.098,61780.0,2.098,2.1,98728.0
1983,61779.0,2.099,61779.0,2.099,61779.0,2.099,61779.0,2.099,2.1,98728.0
1984,61784.0,2.098,61784.0,2.098,61784.0,2.098,61784.0,2.098,2.1,98728.0
1985,61785.0,2.093,61785.0,2.093,61785.0,2.093,61785.0,2.093,2.1,98728.0
1986,61754.0,2.083,61754.0,2.083,61754.0,2.083,61754.0,2.083,2.1,98728.0
1987,61713.0,2.073,61713.0,2.073,61713.0,2.073,61713.0,2.073,2.1,98728.0
1988,61758.0,2.067,61758.0,2.067,61758.0,2.067,61758.0,2.067,2.1,98728.0
1989,62007.0,2.064,62007.0,2.064,62007.0,2.064,62007.0,2.064,2.1,98728.0
1990,62533.0,2.067,62533.0,2.067,62533.0,2.067,62533.0,2.067,2.1,98728.0
1991,63363.0,2.075,63363.0,2.075,63363.0,2.075,63363.0,2.075,2.1,98728.0
1992,64459.0,2.088,64459.0,2.088,64459.0,2.088,64459.0,2.088,2.1,98728.0
1993,65777.0,2.107,65777.0,2.107,65777.0,2.107,65777.0,2.107,2.1,98728.0
1994,67201.0,2.128,67201.0,2.128,67201.0,2.128,67201.0,2.128,2.1,98728.0
1995,68672.0,2.15,68672.0,2.15,68672.0,2.15,68672.0,2.15,2.1,98728.0
1996,70176.0,2.17,70176.0,2.17,70176.0,2.17,70176.0,2.17,2.1,98728.0
1997,71707.0,2.187,71707.0,2.187,71707.0,2.187,71707.0,2.187,2.1,98728.0
1998,73219.0,2.199,73219.0,2.199,73219.0,2.199,73219.0,2.199,2.1,98728.0
1999,74674.0,2.203,74674.0,2.203,74674.0,2.203,74674.0,2.203,2.1,98728.0
2000,76007.0,2.2,76007.0,2.2,76007.0,2.2,76007.0,2.2,2.1,98728.0
2001,77212.0,2.187,77212.0,2.187,77212.0,2.187,77212.0,2.187,2.1,98728.0
2002,78298.0,2.166,78298.0,2.166,78298.0,2.166,78298.0,2.166,2.1,98728.0
2003,79311.0,2.14,79311.0,2.14,79311.0,2.14,79311.0,2.14,2.1,98728.0
2004,80347.0,2.109,80347.0,2.109,80347.0,2.109,80347.0,2.109,2.1,98728.0
2005,81462.0,2.077,81462.0,2.077,81462.0,2.077,81462.0,2.077,2.1,98728.0
2006,82715.0,2.048,82715.0,2.048,82715.0,2.048,82715.0,2.048,2.1,98728.0
2007,84029.0,2.023,84029.0,2.023,84029.0,2.023,84029.0,2.023,2.1,98728.0
2008,85394.0,2.005,85394.0,2.005,85394.0,2.005,85394.0,2.005,2.1,98728.0
2009,86743.0,1.993,86743.0,1.993,86743.0,1.993,86743.0,1.993,2.1,98728.0
2010,88030.0,1.988,88030.0,1.988,88030.0,1.988,88030.0,1.988,2.1,98728.0
2011,89250.0,1.989,89250.0,1.989,89250.0,1.989,89250.0,1.989,2.1,98728.0
2012,90407.0,1.993,90407.0,1.993,90407.0,1.993,90407.0,1.993,2.1,98728.0
2013,91510.0,1.998,91510.0,1.998,91510.0,1.998,91510.0,1.998,2.1,98728.0
2014,92562.0,2.001,92562.0,2.001,92562.0,2.001,92562.0,2.001,2.1,98728.0
2015,93571.0,2.003,93571.0,2.003,93571.0,2.003,93571.0,2.003,2.1,98728.0
2016,94520.0,2.003,94520.0,2.003,94520.0,2.003,94520.0,2.003,2.1,98728.0
2017,95425.0,1.999,95425.0,1.999,95425.0,1.999,95425.0,1.999,2.1,98728.0
2018,96282.0,1.994,96282.0,1.994,96282.0,1.994,96282.0,1.994,2.1,98728.0
2019,97115.0,1.987,97115.0,1.987,97115.0,1.987,97115.0,1.987,2.1,98728.0
2020,97928.0,1.978,97928.0,1.978,97928.0,1.978,97928.0,1.978,2.1,98728.0
2021,98728.0,1.978,98728.0,1.978,98728.0,1.978,98728.0,1.978,2.1,98728.0
2022,98637.65,1.952,98652.612,1.976,98647.625,1.968,98653.696,1.978,2.1,98728.0
2023,98531.466,1.926,98576.141,1.974,98561.208,1.958,98579.392,1.978,2.1,98728.0
2024,98409.661,1.9,98498.587,1.973,98468.781,1.948,98505.089,1.978,2.1,98728.0
2025,98272.442,1.875,98419.952,1.971,98370.373,1.938,98430.785,1.978,2.1,98728.0
2026,98120.015,1.85,98340.237,1.969,98266.016,1.929,98356.481,1.978,2.1,98728.0
2027,97952.582,1.825,98259.443,1.967,98155.738,1.919,98282.177,1.978,2.1,98728.0
2028,97770.342,1.801,98177.57,1.966,98039.57,1.909,98207.873,1.978,2.1,98728.0
2029,97573.494,1.777,98094.619,1.964,97917.541,1.9,98133.57,1.978,2.1,98728.0
2030,97362.231,1.753,98010.592,1.962,97789.681,1.89,98059.266,1.978,2.1,98728.0
2031,97136.746,1.73,97925.49,1.96,97656.019,1.881,97984.962,1.978,2.1,98728.0
2032,96897.229,1.707,97839.313,1.959,97516.584,1.871,97910.658,1.978,2.1,98728.0
2033,96643.865,1.684,97752.063,1.957,97371.407,1.862,97836.354,1.978,2.1,98728.0
2034,96376.84,1.662,97663.74,1.955,97220.515,1.852,97762.05,1.978,2.1,98728.0
2035,96096.336,1.639,97574.346,1.953,97063.937,1.843,97687.747,1.978,2.1,98728.0
2036,95802.531,1.618,97483.881,1.951,96901.702,1.834,97613.443,1.978,2.1,98728.0
2037,95495.604,1.596,97392.346,1.95,96733.839,1.824,97539.139,1.978,2.1,98728.0
2038,95175.728,1.575,97299.742,1.948,96560.375,1.815,97464.835,1.978,2.1,98728.0
2039,94843.078,1.554,97206.071,1.946,96381.34,1.806,97390.531,1.978,2.1,98728.0
2040,94497.821,1.533,97111.333,1.944,96196.761,1.797,97316.228,1.978,2.1,98728.0
2041,94140.128,1.513,97015.529,1.943,96006.666,1.788,97241.924,1.978,2.1,98728.0
2042,93770.162,1.493,96918.66,1.941,95811.082,1.779,97167.62,1.978,2.1,98728.0
2043,93388.088,1.473,96820.727,1.939,95610.039,1.77,97093.316,1.978,2.1,98728.0
2044,92994.067,1.453,96721.732,1.937,95403.562,1.761,97019.012,1.978,2.1,98728.0
2045,92588.259,1.434,96621.674,1.936,95191.68,1.752,96944.709,1.978,2.1,98728.0
2046,92170.819,1.415,96520.555,1.934,94974.42,1.743,96870.405,1.978,2.1,98728.0
2047,91741.903,1.396,96418.376,1.932,94751.809,1.734,96796.101,1.978,2.1,98728.0
2048,91301.664,1.377,96315.138,1.93,94523.873,1.726,96721.797,1.978,2.1,98728.0
2049,90850.253,1.359,96210.842,1.929,94290.64,1.717,96647.493,1.978,2.1,98728.0
2050,90387.819,1.341,96105.489,1.927,94052.136,1.708,96573.19,1.978,2.1,98728.0
2051,89914.507,1.323,95999.079,1.925,93808.389,1.7,96498.886,1.978,2.1,98728.0
2052,89430.464,1.305,95891.614,1.924,93559.423,1.691,96424.582,1.978,2.1,98728.0
2053,88935.832,1.288,95783.095,1.922,93305.266,1.683,96350.278,1.978,2.1,98728.0
2054,88430.753,1.271,95673.522,1.92,93045.944,1.674,96275.974,1.978,2.1,98728.0
2055,87915.364,1.254,95562.897,1.918,92781.483,1.666,96201.67,1.978,2.1,98728.0
2056,87389.805,1.237,95451.22,1.917,92511.909,1.657,96127.367,1.978,2.1,98728.0
2057,86854.209,1.221,95338.492,1.915,92237.247,1.649,96053.063,1.978,2.1,98728.0
2058,86308.712,1.204,95224.715,1.913,91957.523,1.641,95978.759,1.978,2.1,98728.0
2059,85753.444,1.188,95109.889,1.911,91672.763,1.632,95904.455,1.978,2.1,98728.0
2060,85188.536,1.172,94994.016,1.91,91382.991,1.624,95830.151,1.978,2.1,98728.0
2061,84614.117,1.157,94877.096,1.908,91088.235,1.616,95755.848,1.978,2.1,98728.0
2062,84030.312,1.141,94759.129,1.906,90788.517,1.608,95681.544,1.978,2.1,98728.0
2063,83437.247,1.126,94640.118,1.905,90483.864,1.6,95607.24,1.978,2.1,98728.0
2064,82835.046,1.111,94520.063,1.903,90174.3,1.592,95532.936,1.978,2.1,98728.0
2065,82223.83,1.096,94398.965,1.901,89859.851,1.584,95458.632,1.978,2.1,98728.0
2066,81603.719,1.082,94276.825,1.899,89540.54,1.576,95384.329,1.978,2.1,98728.0
2067,80974.831,1.067,94153.643,1.898,89216.392,1.568,95310.025,1.978,2.1,98728.0
2068,80337.284,1.053,94029.421,1.896,88887.431,1.56,95235.721,1.978,2.1,98728.0
2069,79691.193,1.039,93904.16,1.894,88553.683,1.552,95161.417,1.978,2.1,98728.0
2070,79036.671,1.025,93777.861,1.893,88215.17,1.544,95087.113,1.978,2.1,98728.0
2071,78373.832,1.012,93650.524,1.891,87871.918,1.536,95012.81,1.978,2.1,98728.0
2072,77702.785,0.998,93522.151,1.889,87523.949,1.529,94938.506,1.978,2.1,98728.0
2073,77023.64,0.985,93392.742,1.888,87171.288,1.521,94864.202,1.978,2.1,98728.0
2074,76336.505,0.972,93262.298,1.886,86813.958,1.513,94789.898,1.978,2.1,98728.0
2075,75641.487,0.959,93130.821,1.884,86451.982,1.506,94715.594,1.978,2.1,98728.0
2076,74938.69,0.946,92998.311,1.882,86085.385,1.498,94641.29,1.978,2.1,98728.0
2077,74228.217,0.933,92864.769,1.881,85714.19,1.491,94566.987,1.978,2.1,98728.0
2078,73510.173,0.921,92730.197,1.879,85338.419,1.483,94492.683,1.978,2.1,98728.0
2079,72784.656,0.909,92594.594,1.877,84958.096,1.476,94418.379,1.978,2.1,98728.0
2080,72051.766,0.897,92457.962,1.876,84573.243,1.468,94344.075,1.978,2.1,98728.0
2081,71311.603,0.885,92320.302,1.874,84183.885,1.461,94269.771,1.978,2.1,98728.0
