year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,10276477.0,3.453,10276477.0,3.453,10276477.0,3.453,10276477.0,3.453,2.1,25739256.0
1961,10483000.0,3.54,10483000.0,3.54,10483000.0,3.54,10483000.0,3.54,2.1,25739256.0
1962,10742000.0,3.442,10742000.0,3.442,10742000.0,3.442,10742000.0,3.442,2.1,25739256.0
1963,10950000.0,3.332,10950000.0,3.332,10950000.0,3.332,10950000.0,3.332,2.1,25739256.0
1964,11167000.0,3.146,11167000.0,3.146,11167000.0,3.146,11167000.0,3.146,2.1,25739256.0
1965,11388000.0,2.977,11388000.0,2.977,11388000.0,2.977,11388000.0,2.977,2.1,25739256.0
1966,11651000.0,2.881,11651000.0,2.881,11651000.0,2.881,11651000.0,2.881,2.1,25739256.0
1967,11799000.0,2.848,11799000.0,2.848,11799000.0,2.848,11799000.0,2.848,2.1,25739256.0
1968,12009000.0,2.888,12009000.0,2.888,12009000.0,2.888,12009000.0,2.888,2.1,25739256.0
1969,12263000.0,2.886,12263000.0,2.886,12263000.0,2.886,12263000.0,2.886,2.1,25739256.0
1970,12507000.0,2.859,12507000.0,2.859,12507000.0,2.859,12507000.0,2.859,2.1,25739256.0
1971,12937000.0,2.961,12937000.0,2.961,12937000.0,2.961,12937000.0,2.961,2.1,25739256.0
1972,13177000.0,2.744,13177000.0,2.744,13177000.0,2.744,13177000.0,2.744,2.1,25739256.0
1973,13380000.0,2.491,13380000.0,2.491,13380000.0,2.491,13380000.0,2.491,2.1,25739256.0
1974,13723000.0,2.397,13723000.0,2.397,13723000.0,2.397,13723000.0,2.397,2.1,25739256.0
1975,13893000.0,2.148,13893000.0,2.148,13893000.0,2.148,13893000.0,2.148,2.1,25739256.0
1976,14033000.0,2.06,14033000.0,2.06,14033000.0,2.06,14033000.0,2.06,2.1,25739256.0
1977,14192000.0,2.007,14192000.0,2.007,14192000.0,2.007,14192000.0,2.007,2.1,25739256.0
1978,14358000.0,1.949,14358000.0,1.949,14358000.0,1.949,14358000.0,1.949,2.1,25739256.0
1979,14514000.0,1.907,14514000.0,1.907,14514000.0,1.907,14514000.0,1.907,2.1,25739256.0
1980,14692000.0,1.891,14692000.0,1.891,14692000.0,1.891,14692000.0,1.891,2.1,25739256.0
1981,14927000.0,1.935,14927000.0,1.935,14927000.0,1.935,14927000.0,1.935,2.1,25739256.0
1982,15178000.0,1.929,15178000.0,1.929,15178000.0,1.929,15178000.0,1.929,2.1,25739256.0
1983,15369000.0,1.924,15369000.0,1.924,15369000.0,1.924,15369000.0,1.924,2.1,25739256.0
1984,15544000.0,1.84,15544000.0,1.84,15544000.0,1.84,15544000.0,1.84,2.1,25739256.0
1985,15758000.0,1.923,15758000.0,1.923,15758000.0,1.923,15758000.0,1.923,2.1,25739256.0
1986,16018400.0,1.868,16018400.0,1.868,16018400.0,1.868,16018400.0,1.868,2.1,25739256.0
1987,16263900.0,1.845,16263900.0,1.845,16263900.0,1.845,16263900.0,1.845,2.1,25739256.0
1988,16532200.0,1.831,16532200.0,1.831,16532200.0,1.831,16532200.0,1.831,2.1,25739256.0
1989,16814400.0,1.838,16814400.0,1.838,16814400.0,1.838,16814400.0,1.838,2.1,25739256.0
1990,17065100.0,1.902,17065100.0,1.902,17065100.0,1.902,17065100.0,1.902,2.1,25739256.0
1991,17284000.0,1.849,17284000.0,1.849,17284000.0,1.849,17284000.0,1.849,2.1,25739256.0
1992,17495000.0,1.888,17495000.0,1.888,17495000.0,1.888,17495000.0,1.888,2.1,25739256.0
1993,17667000.0,1.859,17667000.0,1.859,17667000.0,1.859,17667000.0,1.859,2.1,25739256.0
1994,17855000.0,1.842,17855000.0,1.842,17855000.0,1.842,17855000.0,1.842,2.1,25739256.0
1995,18072000.0,1.822,18072000.0,1.822,18072000.0,1.822,18072000.0,1.822,2.1,25739256.0
1996,18311000.0,1.796,18311000.0,1.796,18311000.0,1.796,18311000.0,1.796,2.1,25739256.0
1997,18517000.0,1.778,18517000.0,1.778,18517000.0,1.778,18517000.0,1.778,2.1,25739256.0
1998,18711000.0,1.762,18711000.0,1.762,18711000.0,1.762,18711000.0,1.762,2.1,25739256.0
1999,18926000.0,1.755,18926000.0,1.755,18926000.0,1.755,18926000.0,1.755,2.1,25739256.0
2000,19153000.0,1.756,19153000.0,1.756,19153000.0,1.756,19153000.0,1.756,2.1,25739256.0
2001,19413000.0,1.739,19413000.0,1.739,19413000.0,1.739,19413000.0,1.739,2.1,25739256.0
2002,19651400.0,1.756,19651400.0,1.756,19651400.0,1.756,19651400.0,1.756,2.1,25739256.0
2003,19895400.0,1.748,19895400.0,1.748,19895400.0,1.748,19895400.0,1.748,2.1,25739256.0
2004,20127400.0,1.768,20127400.0,1.768,20127400.0,1.768,20127400.0,1.768,2.1,25739256.0
2005,20394800.0,1.807,20394800.0,1.807,20394800.0,1.807,20394800.0,1.807,2.1,25739256.0
2006,20697900.0,1.908,20697900.0,1.908,20697900.0,1.908,20697900.0,1.908,2.1,25739256.0
2007,20827600.0,1.959,20827600.0,1.959,20827600.0,1.959,20827600.0,1.959,2.1,25739256.0
2008,21249200.0,1.984,21249200.0,1.984,21249200.0,1.984,21249200.0,1.984,2.1,25739256.0
2009,21691700.0,1.971,21691700.0,1.971,21691700.0,1.971,21691700.0,1.971,2.1,25739256.0
2010,22031750.0,1.928,22031750.0,1.928,22031750.0,1.928,22031750.0,1.928,2.1,25739256.0
2011,22340024.0,1.926,22340024.0,1.926,22340024.0,1.926,22340024.0,1.926,2.1,25739256.0
2012,22733465.0,1.92,22733465.0,1.92,22733465.0,1.92,22733465.0,1.92,2.1,25739256.0
2013,23128129.0,1.855,23128129.0,1.855,23128129.0,1.855,23128129.0,1.855,2.1,25739256.0
2014,23475686.0,1.826,23475686.0,1.826,23475686.0,1.826,23475686.0,1.826,2.1,25739256.0
2015,23815995.0,1.814,23815995.0,1.814,23815995.0,1.814,23815995.0,1.814,2.1,25739256.0
2016,24190907.0,1.752,24190907.0,1.752,24190907.0,1.752,24190907.0,1.752,2.1,25739256.0
2017,24601860.0,1.741,24601860.0,1.741,24601860.0,1.741,24601860.0,1.741,2.1,25739256.0
2018,24982688.0,1.74,24982688.0,1.74,24982688.0,1.74,24982688.0,1.74,2.1,25739256.0
2019,25365745.0,1.657,25365745.0,1.657,25365745.0,1.657,25365745.0,1.657,2.1,25739256.0
2020,25693267.0,1.581,25693267.0,1.581,25693267.0,1.581,25693267.0,1.581,2.1,25739256.0
2021,25739256.0,1.581,25739256.0,1.581,25739256.0,1.581,25739256.0,1.581,2.1,25739256.0
2022,25659840.466,1.561,25658668.937,1.553,25662143.93,1.577,25662798.403,1.581,2.1,25739256.0
2023,25577504.561,1.541,25574025.623,1.525,25584379.227,1.572,25586340.806,1.581,2.1,25739256.0
2024,25492285.374,1.522,25485397.976,1.498,25505963.724,1.568,25509883.209,1.581,2.1,25739256.0
2025,25404219.523,1.502,25392856.638,1.472,25426899.25,1.563,25433425.611,1.581,2.1,25739256.0
2026,25313343.159,1.483,25296470.999,1.446,25347187.629,1.559,25356968.014,1.581,2.1,25739256.0
2027,25219691.978,1.464,25196309.218,1.42,25266830.679,1.555,25280510.417,1.581,2.1,25739256.0
2028,25123301.218,1.446,25092438.246,1.395,25185830.214,1.55,25204052.82,1.581,2.1,25739256.0
2029,25024205.672,1.427,24984923.848,1.37,25104188.041,1.546,25127595.223,1.581,2.1,25739256.0
2030,24922439.692,1.409,24873830.62,1.346,25021905.965,1.541,25051137.626,1.581,2.1,25739256.0
2031,24818037.191,1.391,24759222.017,1.322,24938985.782,1.537,24974680.029,1.581,2.1,25739256.0
2032,24711031.654,1.374,24641160.364,1.299,24855429.287,1.533,24898222.431,1.581,2.1,25739256.0
2033,24601456.139,1.356,24519706.886,1.276,24771238.268,1.529,24821764.834,1.581,2.1,25739256.0
2034,24489343.285,1.339,24394921.718,1.253,24686414.506,1.524,24745307.237,1.581,2.1,25739256.0
2035,24374725.316,1.322,24266863.933,1.231,24600959.781,1.52,24668849.64,1.581,2.1,25739256.0
2036,24257634.047,1.305,24135591.552,1.209,24514875.865,1.516,24592392.043,1.581,2.1,25739256.0
2037,24138100.889,1.289,24001161.572,1.187,24428164.527,1.511,24515934.446,1.581,2.1,25739256.0
2038,24016156.854,1.272,23863629.976,1.166,24340827.529,1.507,24439476.849,1.581,2.1,25739256.0
2039,23891832.56,1.256,23723051.757,1.146,24252866.629,1.503,24363019.251,1.581,2.1,25739256.0
2040,23765158.236,1.24,23579480.929,1.125,24164283.581,1.499,24286561.654,1.581,2.1,25739256.0
