year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7047539.0,2.69,7047539.0,2.69,7047539.0,2.69,7047539.0,2.69,2.1,8956279.0
1961,7086299.0,2.78,7086299.0,2.78,7086299.0,2.78,7086299.0,2.78,2.1,8956279.0
1962,7129864.0,2.8,7129864.0,2.8,7129864.0,2.8,7129864.0,2.8,2.1,8956279.0
1963,7175811.0,2.82,7175811.0,2.82,7175811.0,2.82,7175811.0,2.82,2.1,8956279.0
1964,7223801.0,2.79,7223801.0,2.79,7223801.0,2.79,7223801.0,2.79,2.1,8956279.0
1965,7270889.0,2.7,7270889.0,2.7,7270889.0,2.7,7270889.0,2.7,2.1,8956279.0
1966,7322066.0,2.66,7322066.0,2.66,7322066.0,2.66,7322066.0,2.66,2.1,8956279.0
1967,7376998.0,2.62,7376998.0,2.62,7376998.0,2.62,7376998.0,2.62,2.1,8956279.0
1968,7415403.0,2.58,7415403.0,2.58,7415403.0,2.58,7415403.0,2.58,2.1,8956279.0
1969,7441055.0,2.49,7441055.0,2.49,7441055.0,2.49,7441055.0,2.49,2.1,8956279.0
1970,7467086.0,2.29,7467086.0,2.29,7467086.0,2.29,7467086.0,2.29,2.1,8956279.0
1971,7500482.0,2.2,7500482.0,2.2,7500482.0,2.2,7500482.0,2.2,2.1,8956279.0
1972,7544201.0,2.08,7544201.0,2.08,7544201.0,2.08,7544201.0,2.08,2.1,8956279.0
1973,7586115.0,1.94,7586115.0,1.94,7586115.0,1.94,7586115.0,1.94,2.1,8956279.0
1974,7599038.0,1.91,7599038.0,1.91,7599038.0,1.91,7599038.0,1.91,2.1,8956279.0
1975,7578903.0,1.83,7578903.0,1.83,7578903.0,1.83,7578903.0,1.83,2.1,8956279.0
1976,7565525.0,1.69,7565525.0,1.69,7565525.0,1.69,7565525.0,1.69,2.1,8956279.0
1977,7568430.0,1.63,7568430.0,1.63,7568430.0,1.63,7568430.0,1.63,2.1,8956279.0
1978,7562305.0,1.6,7562305.0,1.6,7562305.0,1.6,7562305.0,1.6,2.1,8956279.0
1979,7549425.0,1.6,7549425.0,1.6,7549425.0,1.6,7549425.0,1.6,2.1,8956279.0
1980,7549433.0,1.65,7549433.0,1.65,7549433.0,1.65,7549433.0,1.65,2.1,8956279.0
1981,7568710.0,1.67,7568710.0,1.67,7568710.0,1.67,7568710.0,1.67,2.1,8956279.0
