year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3895398.0,5.878,3895398.0,5.878,3895398.0,5.878,3895398.0,5.878,2.1,10145212.0
1961,4030325.0,5.937,4030325.0,5.937,4030325.0,5.937,4030325.0,5.937,2.1,10145212.0
1962,4171428.0,5.961,4171428.0,5.961,4171428.0,5.961,4171428.0,5.961,2.1,10145212.0
1963,4315127.0,5.945,4315127.0,5.945,4315127.0,5.945,4315127.0,5.945,2.1,10145212.0
1964,4456691.0,5.888,4456691.0,5.888,4456691.0,5.888,4456691.0,5.888,2.1,10145212.0
1965,4592601.0,5.792,4592601.0,5.792,4592601.0,5.792,4592601.0,5.792,2.1,10145212.0
1966,4721528.0,5.663,4721528.0,5.663,4721528.0,5.663,4721528.0,5.663,2.1,10145212.0
1967,4843872.0,5.512,4843872.0,5.512,4843872.0,5.512,4843872.0,5.512,2.1,10145212.0
1968,4960237.0,5.351,4960237.0,5.351,4960237.0,5.351,4960237.0,5.351,2.1,10145212.0
1969,5071930.0,5.185,5071930.0,5.185,5071930.0,5.185,5071930.0,5.185,2.1,10145212.0
1970,5180032.0,5.018,5180032.0,5.018,5180032.0,5.018,5180032.0,5.018,2.1,10145212.0
1971,5284518.0,4.85,5284518.0,4.85,5284518.0,4.85,5284518.0,4.85,2.1,10145212.0
1972,5385266.0,4.681,5385266.0,4.681,5385266.0,4.681,5385266.0,4.681,2.1,10145212.0
1973,5483088.0,4.51,5483088.0,4.51,5483088.0,4.51,5483088.0,4.51,2.1,10145212.0
1974,5579071.0,4.341,5579071.0,4.341,5579071.0,4.341,5579071.0,4.341,2.1,10145212.0
1975,5674129.0,4.176,5674129.0,4.176,5674129.0,4.176,5674129.0,4.176,2.1,10145212.0
1976,5768730.0,4.018,5768730.0,4.018,5768730.0,4.018,5768730.0,4.018,2.1,10145212.0
1977,5863138.0,3.869,5863138.0,3.869,5863138.0,3.869,5863138.0,3.869,2.1,10145212.0
1978,5957927.0,3.73,5957927.0,3.73,5957927.0,3.73,5957927.0,3.73,2.1,10145212.0
1979,6053635.0,3.605,6053635.0,3.605,6053635.0,3.605,6053635.0,3.605,2.1,10145212.0
1980,6150735.0,3.497,6150735.0,3.497,6150735.0,3.497,6150735.0,3.497,2.1,10145212.0
1981,6249312.0,3.41,6249312.0,3.41,6249312.0,3.41,6249312.0,3.41,2.1,10145212.0
