year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2797925.0,6.944,2797925.0,6.944,2797925.0,6.944,2797925.0,6.944,2.1,12255429.0
1961,2852438.0,6.985,2852438.0,6.985,2852438.0,6.985,2852438.0,6.985,2.1,12255429.0
1962,2907320.0,7.028,2907320.0,7.028,2907320.0,7.028,2907320.0,7.028,2.1,12255429.0
1963,2964416.0,7.072,2964416.0,7.072,2964416.0,7.072,2964416.0,7.072,2.1,12255429.0
1964,3026292.0,7.114,3026292.0,7.114,3026292.0,7.114,3026292.0,7.114,2.1,12255429.0
1965,3094378.0,7.152,3094378.0,7.152,3094378.0,7.152,3094378.0,7.152,2.1,12255429.0
1966,3170496.0,7.183,3170496.0,7.183,3170496.0,7.183,3170496.0,7.183,2.1,12255429.0
1967,3253215.0,7.208,3253215.0,7.208,3253215.0,7.208,3253215.0,7.208,2.1,12255429.0
1968,3336930.0,7.227,3336930.0,7.227,3336930.0,7.227,3336930.0,7.227,2.1,12255429.0
1969,3413909.0,7.239,3413909.0,7.239,3413909.0,7.239,3413909.0,7.239,2.1,12255429.0
1970,3479070.0,7.249,3479070.0,7.249,3479070.0,7.249,3479070.0,7.249,2.1,12255429.0
1971,3530000.0,7.258,3530000.0,7.258,3530000.0,7.258,3530000.0,7.258,2.1,12255429.0
1972,3569655.0,7.271,3569655.0,7.271,3569655.0,7.271,3569655.0,7.271,2.1,12255429.0
1973,3605120.0,7.288,3605120.0,7.288,3605120.0,7.288,3605120.0,7.288,2.1,12255429.0
1974,3646428.0,7.31,3646428.0,7.31,3646428.0,7.31,3646428.0,7.31,2.1,12255429.0
1975,3700879.0,7.334,3700879.0,7.334,3700879.0,7.334,3700879.0,7.334,2.1,12255429.0
1976,3770870.0,7.357,3770870.0,7.357,3770870.0,7.357,3770870.0,7.357,2.1,12255429.0
