year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9153489.0,2.54,9153489.0,2.54,9153489.0,2.54,9153489.0,2.54,2.1,11587882.0
1961,9183948.0,2.63,9183948.0,2.63,9183948.0,2.63,9183948.0,2.63,2.1,11587882.0
1962,9220578.0,2.59,9220578.0,2.59,9220578.0,2.59,9220578.0,2.59,2.1,11587882.0
1963,9289770.0,2.68,9289770.0,2.68,9289770.0,2.68,9289770.0,2.68,2.1,11587882.0
1964,9378113.0,2.71,9378113.0,2.71,9378113.0,2.71,9378113.0,2.71,2.1,11587882.0
1965,9463667.0,2.61,9463667.0,2.61,9463667.0,2.61,9463667.0,2.61,2.1,11587882.0
1966,9527807.0,2.52,9527807.0,2.52,9527807.0,2.52,9527807.0,2.52,2.1,11587882.0
1967,9580991.0,2.41,9580991.0,2.41,9580991.0,2.41,9580991.0,2.41,2.1,11587882.0
1968,9618756.0,2.31,9618756.0,2.31,9618756.0,2.31,9618756.0,2.31,2.1,11587882.0
1969,9646032.0,2.27,9646032.0,2.27,9646032.0,2.27,9646032.0,2.27,2.1,11587882.0
1970,9655549.0,2.25,9655549.0,2.25,9655549.0,2.25,9655549.0,2.25,2.1,11587882.0
1971,9673162.0,2.21,9673162.0,2.21,9673162.0,2.21,9673162.0,2.21,2.1,11587882.0
1972,9711115.0,2.09,9711115.0,2.09,9711115.0,2.09,9711115.0,2.09,2.1,11587882.0
1973,9741720.0,1.95,9741720.0,1.95,9741720.0,1.95,9741720.0,1.95,2.1,11587882.0
1974,9772419.0,1.83,9772419.0,1.83,9772419.0,1.83,9772419.0,1.83,2.1,11587882.0
1975,9800700.0,1.74,9800700.0,1.74,9800700.0,1.74,9800700.0,1.74,2.1,11587882.0
1976,9818227.0,1.73,9818227.0,1.73,9818227.0,1.73,9818227.0,1.73,2.1,11587882.0
1977,9830358.0,1.71,9830358.0,1.71,9830358.0,1.71,9830358.0,1.71,2.1,11587882.0
1978,9839534.0,1.69,9839534.0,1.69,9839534.0,1.69,9839534.0,1.69,2.1,11587882.0
1979,9848382.0,1.69,9848382.0,1.69,9848382.0,1.69,9848382.0,1.69,2.1,11587882.0
1980,9859242.0,1.68,9859242.0,1.68,9859242.0,1.68,9859242.0,1.68,2.1,11587882.0
1981,9858982.0,1.66,9858982.0,1.66,9858982.0,1.66,9858982.0,1.66,2.1,11587882.0
1982,9856303.0,1.61,9856303.0,1.61,9856303.0,1.61,9856303.0,1.61,2.1,11587882.0
1983,9855520.0,1.57,9855520.0,1.57,9855520.0,1.57,9855520.0,1.57,2.1,11587882.0
1984,9855372.0,1.54,9855372.0,1.54,9855372.0,1.54,9855372.0,1.54,2.1,11587882.0
1985,9858308.0,1.51,9858308.0,1.51,9858308.0,1.51,9858308.0,1.51,2.1,11587882.0
1986,9861823.0,1.54,9861823.0,1.54,9861823.0,1.54,9861823.0,1.54,2.1,11587882.0
1987,9870234.0,1.54,9870234.0,1.54,9870234.0,1.54,9870234.0,1.54,2.1,11587882.0
1988,9901664.0,1.57,9901664.0,1.57,9901664.0,1.57,9901664.0,1.57,2.1,11587882.0
1989,9937697.0,1.58,9937697.0,1.58,9937697.0,1.58,9937697.0,1.58,2.1,11587882.0
1990,9967379.0,1.62,9967379.0,1.62,9967379.0,1.62,9967379.0,1.62,2.1,11587882.0
1991,10004486.0,1.66,10004486.0,1.66,10004486.0,1.66,10004486.0,1.66,2.1,11587882.0
1992,10045158.0,1.65,10045158.0,1.65,10045158.0,1.65,10045158.0,1.65,2.1,11587882.0
1993,10084475.0,1.61,10084475.0,1.61,10084475.0,1.61,10084475.0,1.61,2.1,11587882.0
1994,10115603.0,1.56,10115603.0,1.56,10115603.0,1.56,10115603.0,1.56,2.1,11587882.0
1995,10136811.0,1.56,10136811.0,1.56,10136811.0,1.56,10136811.0,1.56,2.1,11587882.0
1996,10156637.0,1.59,10156637.0,1.59,10156637.0,1.59,10156637.0,1.59,2.1,11587882.0
1997,10181245.0,1.6,10181245.0,1.6,10181245.0,1.6,10181245.0,1.6,2.1,11587882.0
1998,10203008.0,1.6,10203008.0,1.6,10203008.0,1.6,10203008.0,1.6,2.1,11587882.0
1999,10226419.0,1.62,10226419.0,1.62,10226419.0,1.62,10226419.0,1.62,2.1,11587882.0
2000,10251250.0,1.67,10251250.0,1.67,10251250.0,1.67,10251250.0,1.67,2.1,11587882.0
2001,10286570.0,1.67,10286570.0,1.67,10286570.0,1.67,10286570.0,1.67,2.1,11587882.0
2002,10332785.0,1.65,10332785.0,1.65,10332785.0,1.65,10332785.0,1.65,2.1,11587882.0
2003,10376133.0,1.67,10376133.0,1.67,10376133.0,1.67,10376133.0,1.67,2.1,11587882.0
2004,10421137.0,1.72,10421137.0,1.72,10421137.0,1.72,10421137.0,1.72,2.1,11587882.0
2005,10478617.0,1.76,10478617.0,1.76,10478617.0,1.76,10478617.0,1.76,2.1,11587882.0
2006,10547958.0,1.8,10547958.0,1.8,10547958.0,1.8,10547958.0,1.8,2.1,11587882.0
2007,10625700.0,1.82,10625700.0,1.82,10625700.0,1.82,10625700.0,1.82,2.1,11587882.0
2008,10709973.0,1.85,10709973.0,1.85,10709973.0,1.85,10709973.0,1.85,2.1,11587882.0
2009,10796493.0,1.84,10796493.0,1.84,10796493.0,1.84,10796493.0,1.84,2.1,11587882.0
2010,10895586.0,1.86,10895586.0,1.86,10895586.0,1.86,10895586.0,1.86,2.1,11587882.0
2011,11038264.0,1.81,11038264.0,1.81,11038264.0,1.81,11038264.0,1.81,2.1,11587882.0
2012,11106932.0,1.8,11106932.0,1.8,11106932.0,1.8,11106932.0,1.8,2.1,11587882.0
2013,11159407.0,1.76,11159407.0,1.76,11159407.0,1.76,11159407.0,1.76,2.1,11587882.0
2014,11209057.0,1.74,11209057.0,1.74,11209057.0,1.74,11209057.0,1.74,2.1,11587882.0
2015,11274196.0,1.7,11274196.0,1.7,11274196.0,1.7,11274196.0,1.7,2.1,11587882.0
2016,11331422.0,1.68,11331422.0,1.68,11331422.0,1.68,11331422.0,1.68,2.1,11587882.0
2017,11375158.0,1.65,11375158.0,1.65,11375158.0,1.65,11375158.0,1.65,2.1,11587882.0
2018,11427054.0,1.62,11427054.0,1.62,11427054.0,1.62,11427054.0,1.62,2.1,11587882.0
2019,11488980.0,1.6,11488980.0,1.6,11488980.0,1.6,11488980.0,1.6,2.1,11587882.0
2020,11544241.0,1.55,11544241.0,1.55,11544241.0,1.55,11544241.0,1.55,2.1,11587882.0
2021,11587882.0,1.55,11587882.0,1.55,11587882.0,1.55,11587882.0,1.55,2.1,11587882.0
2022,11549467.72,1.538,11548797.628,1.528,11550336.83,1.55,11550318.833,1.55,2.1,11587882.0
2023,11510209.17,1.525,11508213.909,1.506,11512809.658,1.551,11512755.667,1.55,2.1,11587882.0
2024,11470113.138,1.513,11466152.39,1.484,11475300.489,1.551,11475192.5,1.55,2.1,11587882.0
2025,11429186.358,1.501,11422634.306,1.463,11437809.326,1.551,11437629.333,1.55,2.1,11587882.0
2026,11387435.507,1.489,11377680.589,1.442,11400336.17,1.551,11400066.167,1.55,2.1,11587882.0
