year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,2431617.0,6.282,2431617.0,6.282,2431617.0,6.282,2431617.0,6.282,2.1,12451031.0
1961,2465865.0,6.339,2465865.0,6.339,2465865.0,6.339,2465865.0,6.339,2.1,12451031.0
1962,2502897.0,6.394,2502897.0,6.394,2502897.0,6.394,2502897.0,6.394,2.1,12451031.0
1963,2542864.0,6.447,2542864.0,6.447,2542864.0,6.447,2542864.0,6.447,2.1,12451031.0
1964,2585961.0,6.497,2585961.0,6.497,2585961.0,6.497,2585961.0,6.497,2.1,12451031.0
1965,2632361.0,6.544,2632361.0,6.544,2632361.0,6.544,2632361.0,6.544,2.1,12451031.0
1966,2682159.0,6.588,2682159.0,6.588,2682159.0,6.588,2682159.0,6.588,2.1,12451031.0
1967,2735308.0,6.63,2735308.0,6.63,2735308.0,6.63,2735308.0,6.63,2.1,12451031.0
1968,2791588.0,6.671,2791588.0,6.671,2791588.0,6.671,2791588.0,6.671,2.1,12451031.0
1969,2850657.0,6.71,2850657.0,6.71,2850657.0,6.71,2850657.0,6.71,2.1,12451031.0
1970,2912338.0,6.748,2912338.0,6.748,2912338.0,6.748,2912338.0,6.748,2.1,12451031.0
1971,2976575.0,6.786,2976575.0,6.786,2976575.0,6.786,2976575.0,6.786,2.1,12451031.0
1972,3043563.0,6.823,3043563.0,6.823,3043563.0,6.823,3043563.0,6.823,2.1,12451031.0
1973,3113681.0,6.86,3113681.0,6.86,3113681.0,6.86,3113681.0,6.86,2.1,12451031.0
1974,3187413.0,6.896,3187413.0,6.896,3187413.0,6.896,3187413.0,6.896,2.1,12451031.0
1975,3265167.0,6.929,3265167.0,6.929,3265167.0,6.929,3265167.0,6.929,2.1,12451031.0
1976,3347169.0,6.959,3347169.0,6.959,3347169.0,6.959,3347169.0,6.959,2.1,12451031.0
1977,3433445.0,6.984,3433445.0,6.984,3433445.0,6.984,3433445.0,6.984,2.1,12451031.0
1978,3523933.0,7.004,3523933.0,7.004,3523933.0,7.004,3523933.0,7.004,2.1,12451031.0
1979,3618519.0,7.018,3618519.0,7.018,3618519.0,7.018,3618519.0,7.018,2.1,12451031.0
1980,3717161.0,7.025,3717161.0,7.025,3717161.0,7.025,3717161.0,7.025,2.1,12451031.0
1981,3820126.0,7.025,3820126.0,7.025,3820126.0,7.025,3820126.0,7.025,2.1,12451031.0
1982,3927717.0,7.021,3927717.0,7.021,3927717.0,7.021,3927717.0,7.021,2.1,12451031.0
1983,4039940.0,7.01,4039940.0,7.01,4039940.0,7.01,4039940.0,7.01,2.1,12451031.0
1984,4156819.0,6.994,4156819.0,6.994,4156819.0,6.994,4156819.0,6.994,2.1,12451031.0
1985,4278502.0,6.972,4278502.0,6.972,4278502.0,6.972,4278502.0,6.972,2.1,12451031.0
1986,4404504.0,6.942,4404504.0,6.942,4404504.0,6.942,4404504.0,6.942,2.1,12451031.0
1987,4535262.0,6.904,4535262.0,6.904,4535262.0,6.904,4535262.0,6.904,2.1,12451031.0
1988,4672844.0,6.858,4672844.0,6.858,4672844.0,6.858,4672844.0,6.858,2.1,12451031.0
1989,4820020.0,6.805,4820020.0,6.805,4820020.0,6.805,4820020.0,6.805,2.1,12451031.0
1990,4978489.0,6.744,4978489.0,6.744,4978489.0,6.744,4978489.0,6.744,2.1,12451031.0
1991,5149496.0,6.677,5149496.0,6.677,5149496.0,6.677,5149496.0,6.677,2.1,12451031.0
1992,5331805.0,6.603,5331805.0,6.603,5331805.0,6.603,5331805.0,6.603,2.1,12451031.0
1993,5521761.0,6.526,5521761.0,6.526,5521761.0,6.526,5521761.0,6.526,2.1,12451031.0
1994,5714215.0,6.446,5714215.0,6.446,5714215.0,6.446,5714215.0,6.446,2.1,12451031.0
1995,5905552.0,6.364,5905552.0,6.364,5905552.0,6.364,5905552.0,6.364,2.1,12451031.0
1996,6094272.0,6.282,6094272.0,6.282,6094272.0,6.282,6094272.0,6.282,2.1,12451031.0
1997,6281644.0,6.199,6281644.0,6.199,6281644.0,6.199,6281644.0,6.199,2.1,12451031.0
1998,6470275.0,6.118,6470275.0,6.118,6470275.0,6.118,6470275.0,6.118,2.1,12451031.0
1999,6664102.0,6.038,6664102.0,6.038,6664102.0,6.038,6664102.0,6.038,2.1,12451031.0
2000,6865946.0,5.962,6865946.0,5.962,6865946.0,5.962,6865946.0,5.962,2.1,12451031.0
2001,7076728.0,5.889,7076728.0,5.889,7076728.0,5.889,7076728.0,5.889,2.1,12451031.0
2002,7295400.0,5.82,7295400.0,5.82,7295400.0,5.82,7295400.0,5.82,2.1,12451031.0
2003,7520556.0,5.754,7520556.0,5.754,7520556.0,5.754,7520556.0,5.754,2.1,12451031.0
2004,7750003.0,5.691,7750003.0,5.691,7750003.0,5.691,7750003.0,5.691,2.1,12451031.0
2005,7982223.0,5.632,7982223.0,5.632,7982223.0,5.632,7982223.0,5.632,2.1,12451031.0
2006,8216893.0,5.576,8216893.0,5.576,8216893.0,5.576,8216893.0,5.576,2.1,12451031.0
2007,8454790.0,5.522,8454790.0,5.522,8454790.0,5.522,8454790.0,5.522,2.1,12451031.0
2008,8696915.0,5.469,8696915.0,5.469,8696915.0,5.469,8696915.0,5.469,2.1,12451031.0
2009,8944713.0,5.416,8944713.0,5.416,8944713.0,5.416,8944713.0,5.416,2.1,12451031.0
2010,9199254.0,5.362,9199254.0,5.362,9199254.0,5.362,9199254.0,5.362,2.1,12451031.0
2011,9460829.0,5.305,9460829.0,5.305,9460829.0,5.305,9460829.0,5.305,2.1,12451031.0
2012,9729254.0,5.246,9729254.0,5.246,9729254.0,5.246,9729254.0,5.246,2.1,12451031.0
2013,10004594.0,5.183,10004594.0,5.183,10004594.0,5.183,10004594.0,5.183,2.1,12451031.0
2014,10286839.0,5.116,10286839.0,5.116,10286839.0,5.116,10286839.0,5.116,2.1,12451031.0
2015,10575962.0,5.047,10575962.0,5.047,10575962.0,5.047,10575962.0,5.047,2.1,12451031.0
2016,10872072.0,4.977,10872072.0,4.977,10872072.0,4.977,10872072.0,4.977,2.1,12451031.0
2017,11175192.0,4.906,11175192.0,4.906,11175192.0,4.906,11175192.0,4.906,2.1,12451031.0
2018,11485035.0,4.836,11485035.0,4.836,11485035.0,4.836,11485035.0,4.836,2.1,12451031.0
2019,11801151.0,4.767,11801151.0,4.767,11801151.0,4.767,11801151.0,4.767,2.1,12451031.0
2020,12123198.0,4.7,12123198.0,4.7,12123198.0,4.7,12123198.0,4.7,2.1,12451031.0
2021,12451031.0,4.7,12451031.0,4.7,12451031.0,4.7,12451031.0,4.7,2.1,12451031.0
2022,12697173.326,4.677,12693231.971,4.636,12693793.098,4.642,12699359.476,4.7,2.1,12451031.0
2023,12941140.148,4.654,12929389.077,4.573,12931057.841,4.584,12947687.952,4.7,2.1,12451031.0
2024,13182942.062,4.632,13159584.818,4.51,13162893.395,4.527,13196016.429,4.7,2.1,12451031.0
2025,13422589.609,4.609,13383900.565,4.449,13389367.084,4.471,13444344.905,4.7,2.1,12451031.0
2026,13660093.283,4.587,13602416.581,4.388,13610545.393,4.416,13692673.381,4.7,2.1,12451031.0
2027,13895463.523,4.564,13815212.031,4.328,13826493.987,4.361,13941001.857,4.7,2.1,12451031.0
2028,14128710.72,4.542,14022365.002,4.269,14037277.713,4.307,14189330.333,4.7,2.1,12451031.0
2029,14359845.212,4.52,14223952.514,4.211,14242960.615,4.254,14437658.81,4.7,2.1,12451031.0
2030,14588877.289,4.498,14420050.535,4.153,14443605.944,4.201,14685987.286,4.7,2.1,12451031.0
2031,14815817.189,4.476,14610733.996,4.096,14639276.166,4.149,14934315.762,4.7,2.1,12451031.0
2032,15040675.101,4.454,14796076.807,4.041,14830032.971,4.097,15182644.238,4.7,2.1,12451031.0
2033,15263461.164,4.433,14976151.867,3.985,15015937.288,4.046,15430972.714,4.7,2.1,12451031.0
2034,15484185.469,4.411,15151031.081,3.931,15197049.285,3.996,15679301.19,4.7,2.1,12451031.0
2035,15702858.056,4.39,15320785.372,3.877,15373428.389,3.947,15927629.667,4.7,2.1,12451031.0
2036,15919488.917,4.368,15485484.695,3.824,15545133.286,3.898,16175958.143,4.7,2.1,12451031.0
2037,16134087.996,4.347,15645198.052,3.772,15712221.938,3.849,16424286.619,4.7,2.1,12451031.0
2038,16346665.186,4.326,15799993.499,3.721,15874751.585,3.802,16672615.095,4.7,2.1,12451031.0
2039,16557230.335,4.305,15949938.167,3.67,16032778.759,3.755,16920943.571,4.7,2.1,12451031.0
2040,16765793.241,4.284,16095098.27,3.62,16186359.291,3.708,17169272.048,4.7,2.1,12451031.0
2041,16972363.655,4.263,16235539.115,3.57,16335548.319,3.662,17417600.524,4.7,2.1,12451031.0
2042,17176951.281,4.242,16371325.121,3.522,16480400.299,3.617,17665929.0,4.7,2.1,12451031.0
2043,17379565.774,4.221,16502519.827,3.474,16620969.008,3.572,17914257.476,4.7,2.1,12451031.0
2044,17580216.745,4.201,16629185.904,3.426,16757307.56,3.527,18162585.952,4.7,2.1,12451031.0
2045,17778913.755,4.18,16751385.167,3.379,16889468.409,3.484,18410914.429,4.7,2.1,12451031.0
2046,17975666.319,4.16,16869178.589,3.333,17017503.358,3.441,18659242.905,4.7,2.1,12451031.0
2047,18170483.909,4.14,16982626.309,3.288,17141463.569,3.398,18907571.381,4.7,2.1,12451031.0
2048,18363375.946,4.12,17091787.646,3.243,17261399.568,3.356,19155899.857,4.7,2.1,12451031.0
2049,18554351.808,4.1,17196721.11,3.199,17377361.255,3.314,19404228.333,4.7,2.1,12451031.0
2050,18743420.827,4.08,17297484.41,3.155,17489397.912,3.273,19652556.81,4.7,2.1,12451031.0
2051,18930592.29,4.06,17394134.47,3.112,17597558.209,3.232,19900885.286,4.7,2.1,12451031.0
2052,19115875.437,4.04,17486727.435,3.069,17701890.214,3.192,20149213.762,4.7,2.1,12451031.0
2053,19299279.465,4.02,17575318.685,3.028,17802441.396,3.153,20397542.238,4.7,2.1,12451031.0
2054,19480813.525,4.001,17659962.843,2.986,17899258.639,3.114,20645870.714,4.7,2.1,12451031.0
2055,19660486.723,3.981,17740713.786,2.945,17992388.243,3.075,20894199.19,4.7,2.1,12451031.0
2056,19838308.122,3.962,17817624.658,2.905,18081875.934,3.037,21142527.667,4.7,2.1,12451031.0
2057,20014286.741,3.942,17890747.875,2.866,18167766.872,2.999,21390856.143,4.7,2.1,12451031.0
2058,20188431.553,3.923,17960135.139,2.826,18250105.658,2.962,21639184.619,4.7,2.1,12451031.0
2059,20360751.49,3.904,18025837.444,2.788,18328936.338,2.925,21887513.095,4.7,2.1,12451031.0
2060,20531255.437,3.885,18087905.092,2.75,18404302.412,2.889,22135841.571,4.7,2.1,12451031.0
2061,20699952.24,3.866,18146387.696,2.712,18476246.842,2.853,22384170.048,4.7,2.1,12451031.0
2062,20866850.7,3.847,18201334.19,2.675,18544812.055,2.818,22632498.524,4.7,2.1,12451031.0
2063,21031959.573,3.829,18252792.843,2.639,18610039.955,2.783,22880827.0,4.7,2.1,12451031.0
2064,21195287.575,3.81,18300811.264,2.603,18671971.923,2.748,23129155.476,4.7,2.1,12451031.0
2065,21356843.38,3.791,18345436.412,2.567,18730648.83,2.714,23377483.952,4.7,2.1,12451031.0
2066,21516635.617,3.773,18386714.605,2.532,18786111.038,2.681,23625812.429,4.7,2.1,12451031.0
2067,21674672.876,3.755,18424691.53,2.498,18838398.409,2.647,23874140.905,4.7,2.1,12451031.0
2068,21830963.702,3.736,18459412.248,2.464,18887550.312,2.615,24122469.381,4.7,2.1,12451031.0
2069,21985516.602,3.718,18490921.207,2.43,18933605.626,2.582,24370797.857,4.7,2.1,12451031.0
2070,22138340.039,3.7,18519262.247,2.397,18976602.749,2.55,24619126.333,4.7,2.1,12451031.0
2071,22289442.435,3.682,18544478.61,2.364,19016579.603,2.519,24867454.81,4.7,2.1,12451031.0
2072,22438832.171,3.664,18566612.949,2.332,19053573.638,2.487,25115783.286,4.7,2.1,12451031.0
2073,22586517.59,3.646,18585707.332,2.3,19087621.842,2.456,25364111.762,4.7,2.1,12451031.0
2074,22732506.99,3.629,18601803.256,2.269,19118760.743,2.426,25612440.238,4.7,2.1,12451031.0
2075,22876808.63,3.611,18614941.649,2.238,19147026.416,2.396,25860768.714,4.7,2.1,12451031.0
2076,23019430.732,3.593,18625162.881,2.207,19172454.49,2.366,26109097.19,4.7,2.1,12451031.0
2077,23160381.473,3.576,18632506.773,2.177,19195080.151,2.337,26357425.667,4.7,2.1,12451031.0
2078,23299668.994,3.558,18637012.598,2.147,19214938.148,2.308,26605754.143,4.7,2.1,12451031.0
2079,23437301.394,3.541,18638719.098,2.118,19232062.801,2.279,26854082.619,4.7,2.1,12451031.0
2080,23573286.733,3.524,18637664.482,2.089,19246488.003,2.251,27102411.095,4.7,2.1,12451031.0
2081,23707633.034,3.507,18633886.441,2.06,19258247.227,2.223,27350739.571,4.7,2.1,12451031.0
2082,23840348.277,3.49,18627422.148,2.032,19267373.532,2.196,27599068.048,4.7,2.1,12451031.0
2083,23971440.407,3.473,18618308.271,2.005,19273899.565,2.168,27847396.524,4.7,2.1,12451031.0
2084,24100917.328,3.456,18606580.978,1.977,19277857.57,2.141,28095725.0,4.7,2.1,12451031.0
2085,24228786.905,3.439,18592275.94,1.95,19279279.391,2.115,28344053.476,4.7,2.1,12451031.0
2086,24355056.967,3.422,18575428.345,1.924,19278196.476,2.089,28592381.952,4.7,2.1,12451031.0
2087,24479735.303,3.405,18556072.898,1.897,19274639.884,2.063,28840710.429,4.7,2.1,12451031.0
2088,24602829.666,3.389,18534243.831,1.871,19268640.289,2.037,29089038.905,4.7,2.1,12451031.0
2089,24724347.768,3.372,18509974.91,1.846,19260227.983,2.012,29337367.381,4.7,2.1,12451031.0
2090,24844297.287,3.356,18483299.438,1.821,19249432.885,1.987,29585695.857,4.7,2.1,12451031.0
2091,24962685.861,3.34,18454250.265,1.796,19236284.54,1.962,29834024.333,4.7,2.1,12451031.0
2092,25079521.092,3.323,18422859.792,1.771,19220812.13,1.938,30082352.81,4.7,2.1,12451031.0
2093,25194810.545,3.307,18389159.977,1.747,19203044.473,1.914,30330681.286,4.7,2.1,12451031.0
2094,25308561.748,3.291,18353182.343,1.723,19183010.03,1.89,30579009.762,4.7,2.1,12451031.0
2095,25420782.192,3.275,18314957.982,1.7,19160736.908,1.867,30827338.238,4.7,2.1,12451031.0
2096,25531479.332,3.259,18274517.563,1.677,19136252.868,1.844,31075666.714,4.7,2.1,12451031.0
2097,25640660.586,3.243,18231891.333,1.654,19109585.324,1.821,31323995.19,4.7,2.1,12451031.0
2098,25748333.337,3.227,18187109.131,1.631,19080761.353,1.798,31572323.667,4.7,2.1,12451031.0
2099,25854504.932,3.212,18140200.383,1.609,19049807.695,1.776,31820652.143,4.7,2.1,12451031.0
2100,25959182.68,3.196,18091194.119,1.587,19016750.756,1.754,32068980.619,4.7,2.1,12451031.0
2101,26062373.857,3.18,18040118.969,1.565,18981616.618,1.732,32317309.095,4.7,2.1,12451031.0
2102,26164085.702,3.165,17987003.174,1.544,18944431.038,1.711,32565637.571,4.7,2.1,12451031.0
2103,26264325.421,3.15,17931874.587,1.523,18905219.454,1.689,32813966.048,4.7,2.1,12451031.0
2104,26363100.181,3.134,17874760.684,1.502,18864006.989,1.669,33062294.524,4.7,2.1,12451031.0
2105,26460417.118,3.119,17815688.565,1.482,18820818.453,1.648,33310623.0,4.7,2.1,12451031.0
2106,26556283.331,3.104,17754684.958,1.461,18775678.35,1.627,33558951.476,4.7,2.1,12451031.0
2107,26650705.884,3.089,17691776.229,1.441,18728610.878,1.607,33807279.952,4.7,2.1,12451031.0
2108,26743691.81,3.074,17626988.383,1.422,18679639.939,1.587,34055608.429,4.7,2.1,12451031.0
2109,26835248.103,3.059,17560347.07,1.402,18628789.133,1.568,34303936.905,4.7,2.1,12451031.0
2110,26925381.727,3.044,17491877.589,1.383,18576081.773,1.548,34552265.381,4.7,2.1,12451031.0
2111,27014099.61,3.029,17421604.895,1.364,18521540.878,1.529,34800593.857,4.7,2.1,12451031.0
2112,27101408.646,3.014,17349553.602,1.346,18465189.186,1.51,35048922.333,4.7,2.1,12451031.0
2113,27187315.696,2.999,17275747.988,1.327,18407049.149,1.491,35297250.81,4.7,2.1,12451031.0
2114,27271827.589,2.985,17200211.998,1.309,18347142.943,1.473,35545579.286,4.7,2.1,12451031.0
2115,27354951.118,2.97,17122969.254,1.291,18285492.469,1.455,35793907.762,4.7,2.1,12451031.0
2116,27436693.045,2.956,17044043.051,1.274,18222119.356,1.436,36042236.238,4.7,2.1,12451031.0
2117,27517060.098,2.941,16963456.37,1.256,18157044.965,1.419,36290564.714,4.7,2.1,12451031.0
2118,27596058.974,2.927,16881231.876,1.239,18090290.39,1.401,36538893.19,4.7,2.1,12451031.0
2119,27673696.334,2.913,16797391.924,1.222,18021876.467,1.384,36787221.667,4.7,2.1,12451031.0
2120,27749978.81,2.899,16711958.567,1.206,17951823.772,1.367,37035550.143,4.7,2.1,12451031.0
2121,27824913.0,2.885,16624953.553,1.189,17880152.624,1.35,37283878.619,4.7,2.1,12451031.0
