year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4829289.0,6.291,4829289.0,6.291,4829289.0,6.291,4829289.0,6.291,2.1,21497097.0
1961,4894580.0,6.316,4894580.0,6.316,4894580.0,6.316,4894580.0,6.316,2.1,21497097.0
1962,4960328.0,6.344,4960328.0,6.344,4960328.0,6.344,4960328.0,6.344,2.1,21497097.0
1963,5027811.0,6.377,5027811.0,6.377,5027811.0,6.377,5027811.0,6.377,2.1,21497097.0
1964,5098891.0,6.414,5098891.0,6.414,5098891.0,6.414,5098891.0,6.414,2.1,21497097.0
1965,5174874.0,6.454,5174874.0,6.454,5174874.0,6.454,5174874.0,6.454,2.1,21497097.0
1966,5256360.0,6.493,5256360.0,6.493,5256360.0,6.493,5256360.0,6.493,2.1,21497097.0
1967,5343025.0,6.53,5343025.0,6.53,5343025.0,6.53,5343025.0,6.53,2.1,21497097.0
1968,5434046.0,6.563,5434046.0,6.563,5434046.0,6.563,5434046.0,6.563,2.1,21497097.0
1969,5528172.0,6.593,5528172.0,6.593,5528172.0,6.593,5528172.0,6.593,2.1,21497097.0
1970,5624592.0,6.623,5624592.0,6.623,5624592.0,6.623,5624592.0,6.623,2.1,21497097.0
1971,5723378.0,6.657,5723378.0,6.657,5723378.0,6.657,5723378.0,6.657,2.1,21497097.0
1972,5825174.0,6.697,5825174.0,6.697,5825174.0,6.697,5825174.0,6.697,2.1,21497097.0
1973,5930493.0,6.744,5930493.0,6.744,5930493.0,6.744,5930493.0,6.744,2.1,21497097.0
1974,6040045.0,6.799,6040045.0,6.799,6040045.0,6.799,6040045.0,6.799,2.1,21497097.0
1975,6154554.0,6.859,6154554.0,6.859,6154554.0,6.859,6154554.0,6.859,2.1,21497097.0
1976,6274032.0,6.922,6274032.0,6.922,6274032.0,6.922,6274032.0,6.922,2.1,21497097.0
1977,6398933.0,6.984,6398933.0,6.984,6398933.0,6.984,6398933.0,6.984,2.1,21497097.0
1978,6530820.0,7.041,6530820.0,7.041,6530820.0,7.041,6530820.0,7.041,2.1,21497097.0
1979,6671656.0,7.09,6671656.0,7.09,6671656.0,7.09,6671656.0,7.09,2.1,21497097.0
1980,6822837.0,7.127,6822837.0,7.127,6822837.0,7.127,6822837.0,7.127,2.1,21497097.0
1981,6985166.0,7.152,6985166.0,7.152,6985166.0,7.152,6985166.0,7.152,2.1,21497097.0
1982,7158259.0,7.165,7158259.0,7.165,7158259.0,7.165,7158259.0,7.165,2.1,21497097.0
1983,7340910.0,7.167,7340910.0,7.167,7340910.0,7.167,7340910.0,7.167,2.1,21497097.0
1984,7531239.0,7.159,7531239.0,7.159,7531239.0,7.159,7531239.0,7.159,2.1,21497097.0
1985,7727908.0,7.142,7727908.0,7.142,7727908.0,7.142,7727908.0,7.142,2.1,21497097.0
1986,7930689.0,7.119,7930689.0,7.119,7930689.0,7.119,7930689.0,7.119,2.1,21497097.0
1987,8140080.0,7.092,8140080.0,7.092,8140080.0,7.092,8140080.0,7.092,2.1,21497097.0
