year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,48013505.0,6.725,48013505.0,6.725,48013505.0,6.725,48013505.0,6.725,2.1,166303494.0
1961,49362834.0,6.761,49362834.0,6.761,49362834.0,6.761,49362834.0,6.761,2.1,166303494.0
1962,50752150.0,6.794,50752150.0,6.794,50752150.0,6.794,50752150.0,6.794,2.1,166303494.0
1963,52202008.0,6.825,52202008.0,6.825,52202008.0,6.825,52202008.0,6.825,2.1,166303494.0
1964,53741721.0,6.853,53741721.0,6.853,53741721.0,6.853,53741721.0,6.853,2.1,166303494.0
1965,55385114.0,6.878,55385114.0,6.878,55385114.0,6.878,55385114.0,6.878,2.1,166303494.0
1966,57157651.0,6.901,57157651.0,6.901,57157651.0,6.901,57157651.0,6.901,2.1,166303494.0
1967,59034250.0,6.92,59034250.0,6.92,59034250.0,6.92,59034250.0,6.92,2.1,166303494.0
1968,60918452.0,6.935,60918452.0,6.935,60918452.0,6.935,60918452.0,6.935,2.1,166303494.0
1969,62679765.0,6.945,62679765.0,6.945,62679765.0,6.945,62679765.0,6.945,2.1,166303494.0
1970,64232486.0,6.947,64232486.0,6.947,64232486.0,6.947,64232486.0,6.947,2.1,166303494.0
1971,65531635.0,6.942,65531635.0,6.942,65531635.0,6.942,65531635.0,6.942,2.1,166303494.0
1972,66625706.0,6.928,66625706.0,6.928,66625706.0,6.928,66625706.0,6.928,2.1,166303494.0
1973,67637541.0,6.904,67637541.0,6.904,67637541.0,6.904,67637541.0,6.904,2.1,166303494.0
1974,68742222.0,6.869,68742222.0,6.869,68742222.0,6.869,68742222.0,6.869,2.1,166303494.0
1975,70066310.0,6.821,70066310.0,6.821,70066310.0,6.821,70066310.0,6.821,2.1,166303494.0
1976,71652386.0,6.758,71652386.0,6.758,71652386.0,6.758,71652386.0,6.758,2.1,166303494.0
1977,73463593.0,6.681,73463593.0,6.681,73463593.0,6.681,73463593.0,6.681,2.1,166303494.0
1978,75450033.0,6.59,75450033.0,6.59,75450033.0,6.59,75450033.0,6.59,2.1,166303494.0
1979,77529040.0,6.483,77529040.0,6.483,77529040.0,6.483,77529040.0,6.483,2.1,166303494.0
1980,79639498.0,6.359,79639498.0,6.359,79639498.0,6.359,79639498.0,6.359,2.1,166303494.0
1981,81767516.0,6.217,81767516.0,6.217,81767516.0,6.217,81767516.0,6.217,2.1,166303494.0
1982,83932132.0,6.058,83932132.0,6.058,83932132.0,6.058,83932132.0,6.058,2.1,166303494.0
1983,86142490.0,5.884,86142490.0,5.884,86142490.0,5.884,86142490.0,5.884,2.1,166303494.0
1984,88416529.0,5.698,88416529.0,5.698,88416529.0,5.698,88416529.0,5.698,2.1,166303494.0
1985,90764180.0,5.501,90764180.0,5.501,90764180.0,5.501,90764180.0,5.501,2.1,166303494.0
1986,93187593.0,5.298,93187593.0,5.298,93187593.0,5.298,93187593.0,5.298,2.1,166303494.0
1987,95671159.0,5.092,95671159.0,5.092,95671159.0,5.092,95671159.0,5.092,2.1,166303494.0
1988,98186350.0,4.887,98186350.0,4.887,98186350.0,4.887,98186350.0,4.887,2.1,166303494.0
1989,100695496.0,4.686,100695496.0,4.686,100695496.0,4.686,100695496.0,4.686,2.1,166303494.0
1990,103171957.0,4.495,103171957.0,4.495,103171957.0,4.495,103171957.0,4.495,2.1,166303494.0
1991,105599125.0,4.315,105599125.0,4.315,105599125.0,4.315,105599125.0,4.315,2.1,166303494.0
1992,107983708.0,4.146,107983708.0,4.146,107983708.0,4.146,107983708.0,4.146,2.1,166303494.0
1993,110350641.0,3.99,110350641.0,3.99,110350641.0,3.99,110350641.0,3.99,2.1,166303494.0
1994,112737684.0,3.846,112737684.0,3.846,112737684.0,3.846,112737684.0,3.846,2.1,166303494.0
1995,115169933.0,3.713,115169933.0,3.713,115169933.0,3.713,115169933.0,3.713,2.1,166303494.0
1996,117649927.0,3.591,117649927.0,3.591,117649927.0,3.591,117649927.0,3.591,2.1,166303494.0
1997,120160571.0,3.478,120160571.0,3.478,120160571.0,3.478,120160571.0,3.478,2.1,166303494.0
1998,122682818.0,3.371,122682818.0,3.371,122682818.0,3.371,122682818.0,3.371,2.1,166303494.0
1999,125189655.0,3.269,125189655.0,3.269,125189655.0,3.269,125189655.0,3.269,2.1,166303494.0
2000,127657862.0,3.169,127657862.0,3.169,127657862.0,3.169,127657862.0,3.169,2.1,166303494.0
2001,130088709.0,3.07,130088709.0,3.07,130088709.0,3.07,130088709.0,3.07,2.1,166303494.0
