year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7867374.0,2.31,7867374.0,2.31,7867374.0,2.31,7867374.0,2.31,2.1,6899125.0
1961,7943118.0,2.29,7943118.0,2.29,7943118.0,2.29,7943118.0,2.29,2.1,6899125.0
1962,8012946.0,2.24,8012946.0,2.24,8012946.0,2.24,8012946.0,2.24,2.1,6899125.0
1963,8078145.0,2.21,8078145.0,2.21,8078145.0,2.21,8078145.0,2.21,2.1,6899125.0
1964,8144340.0,2.19,8144340.0,2.19,8144340.0,2.19,8144340.0,2.19,2.1,6899125.0
1965,8204168.0,2.09,8204168.0,2.09,8204168.0,2.09,8204168.0,2.09,2.1,6899125.0
1966,8258057.0,2.03,8258057.0,2.03,8258057.0,2.03,8258057.0,2.03,2.1,6899125.0
1967,8310226.0,2.02,8310226.0,2.02,8310226.0,2.02,8310226.0,2.02,2.1,6899125.0
1968,8369603.0,2.27,8369603.0,2.27,8369603.0,2.27,8369603.0,2.27,2.1,6899125.0
1969,8434172.0,2.27,8434172.0,2.27,8434172.0,2.27,8434172.0,2.27,2.1,6899125.0
1970,8489574.0,2.17,8489574.0,2.17,8489574.0,2.17,8489574.0,2.17,2.1,6899125.0
1971,8536395.0,2.1,8536395.0,2.1,8536395.0,2.1,8536395.0,2.1,2.1,6899125.0
1972,8576200.0,2.03,8576200.0,2.03,8576200.0,2.03,8576200.0,2.03,2.1,6899125.0
1973,8620967.0,2.15,8620967.0,2.15,8620967.0,2.15,8620967.0,2.15,2.1,6899125.0
1974,8678745.0,2.29,8678745.0,2.29,8678745.0,2.29,8678745.0,2.29,2.1,6899125.0
1975,8720742.0,2.23,8720742.0,2.23,8720742.0,2.23,8720742.0,2.23,2.1,6899125.0
1976,8758599.0,2.24,8758599.0,2.24,8758599.0,2.24,8758599.0,2.24,2.1,6899125.0
1977,8804183.0,2.21,8804183.0,2.21,8804183.0,2.21,8804183.0,2.21,2.1,6899125.0
1978,8814032.0,2.15,8814032.0,2.15,8814032.0,2.15,8814032.0,2.15,2.1,6899125.0
1979,8825940.0,2.16,8825940.0,2.16,8825940.0,2.16,8825940.0,2.16,2.1,6899125.0
1980,8861535.0,2.05,8861535.0,2.05,8861535.0,2.05,8861535.0,2.05,2.1,6899125.0
1981,8891117.0,2.0,8891117.0,2.0,8891117.0,2.0,8891117.0,2.0,2.1,6899125.0
1982,8917457.0,2.01,8917457.0,2.01,8917457.0,2.01,8917457.0,2.01,2.1,6899125.0
1983,8939738.0,2.01,8939738.0,2.01,8939738.0,2.01,8939738.0,2.01,2.1,6899125.0
1984,8960679.0,2.01,8960679.0,2.01,8960679.0,2.01,8960679.0,2.01,2.1,6899125.0
1985,8960547.0,1.97,8960547.0,1.97,8960547.0,1.97,8960547.0,1.97,2.1,6899125.0
1986,8958171.0,2.02,8958171.0,2.02,8958171.0,2.02,8958171.0,2.02,2.1,6899125.0
1987,8971359.0,1.96,8971359.0,1.96,8971359.0,1.96,8971359.0,1.96,2.1,6899125.0
1988,8981446.0,1.97,8981446.0,1.97,8981446.0,1.97,8981446.0,1.97,2.1,6899125.0
1989,8876972.0,1.9,8876972.0,1.9,8876972.0,1.9,8876972.0,1.9,2.1,6899125.0
1990,8718289.0,1.82,8718289.0,1.82,8718289.0,1.82,8718289.0,1.82,2.1,6899125.0
1991,8632367.0,1.66,8632367.0,1.66,8632367.0,1.66,8632367.0,1.66,2.1,6899125.0
1992,8540164.0,1.55,8540164.0,1.55,8540164.0,1.55,8540164.0,1.55,2.1,6899125.0
1993,8472313.0,1.46,8472313.0,1.46,8472313.0,1.46,8472313.0,1.46,2.1,6899125.0
1994,8443591.0,1.37,8443591.0,1.37,8443591.0,1.37,8443591.0,1.37,2.1,6899125.0
1995,8406067.0,1.23,8406067.0,1.23,8406067.0,1.23,8406067.0,1.23,2.1,6899125.0
1996,8362826.0,1.23,8362826.0,1.23,8362826.0,1.23,8362826.0,1.23,2.1,6899125.0
1997,8312068.0,1.09,8312068.0,1.09,8312068.0,1.09,8312068.0,1.09,2.1,6899125.0
1998,8256786.0,1.11,8256786.0,1.11,8256786.0,1.11,8256786.0,1.11,2.1,6899125.0
1999,8210624.0,1.23,8210624.0,1.23,8210624.0,1.23,8210624.0,1.23,2.1,6899125.0
2000,8170172.0,1.26,8170172.0,1.26,8170172.0,1.26,8170172.0,1.26,2.1,6899125.0
2001,8009142.0,1.21,8009142.0,1.21,8009142.0,1.21,8009142.0,1.21,2.1,6899125.0
2002,7837161.0,1.23,7837161.0,1.23,7837161.0,1.23,7837161.0,1.23,2.1,6899125.0
2003,7775327.0,1.26,7775327.0,1.26,7775327.0,1.26,7775327.0,1.26,2.1,6899125.0
2004,7716860.0,1.33,7716860.0,1.33,7716860.0,1.33,7716860.0,1.33,2.1,6899125.0
2005,7658972.0,1.37,7658972.0,1.37,7658972.0,1.37,7658972.0,1.37,2.1,6899125.0
2006,7601022.0,1.44,7601022.0,1.44,7601022.0,1.44,7601022.0,1.44,2.1,6899125.0
2007,7545338.0,1.49,7545338.0,1.49,7545338.0,1.49,7545338.0,1.49,2.1,6899125.0
2008,7492561.0,1.56,7492561.0,1.56,7492561.0,1.56,7492561.0,1.56,2.1,6899125.0
2009,7444443.0,1.66,7444443.0,1.66,7444443.0,1.66,7444443.0,1.66,2.1,6899125.0
2010,7395599.0,1.57,7395599.0,1.57,7395599.0,1.57,7395599.0,1.57,2.1,6899125.0
2011,7348328.0,1.51,7348328.0,1.51,7348328.0,1.51,7348328.0,1.51,2.1,6899125.0
2012,7305888.0,1.5,7305888.0,1.5,7305888.0,1.5,7305888.0,1.5,2.1,6899125.0
2013,7265115.0,1.48,7265115.0,1.48,7265115.0,1.48,7265115.0,1.48,2.1,6899125.0
2014,7223938.0,1.53,7223938.0,1.53,7223938.0,1.53,7223938.0,1.53,2.1,6899125.0
2015,7177991.0,1.53,7177991.0,1.53,7177991.0,1.53,7177991.0,1.53,2.1,6899125.0
2016,7127822.0,1.54,7127822.0,1.54,7127822.0,1.54,7127822.0,1.54,2.1,6899125.0
2017,7075947.0,1.56,7075947.0,1.56,7075947.0,1.56,7075947.0,1.56,2.1,6899125.0
2018,7025037.0,1.56,7025037.0,1.56,7025037.0,1.56,7025037.0,1.56,2.1,6899125.0
2019,6975761.0,1.58,6975761.0,1.58,6975761.0,1.58,6975761.0,1.58,2.1,6899125.0
2020,6934015.0,1.56,6934015.0,1.56,6934015.0,1.56,6934015.0,1.56,2.1,6899125.0
2021,6899125.0,1.56,6899125.0,1.56,6899125.0,1.56,6899125.0,1.56,2.1,6899125.0
2022,6874630.821,1.551,6875147.449,1.563,6876311.605,1.589,6875023.514,1.56,2.1,6899125.0
2023,6849746.163,1.542,6851294.055,1.566,6854810.13,1.618,6850922.029,1.56,2.1,6899125.0
2024,6824473.228,1.534,6827565.037,1.568,6834644.845,1.648,6826820.543,1.56,2.1,6899125.0
2025,6798814.207,1.525,6803960.617,1.571,6815840.471,1.679,6802719.057,1.56,2.1,6899125.0
2026,6772771.277,1.517,6780481.017,1.574,6798422.184,1.71,6778617.571,1.56,2.1,6899125.0
2027,6746346.603,1.508,6757126.46,1.577,6782415.627,1.741,6754516.086,1.56,2.1,6899125.0
2028,6719542.339,1.499,6733897.167,1.58,6767846.917,1.774,6730414.6,1.56,2.1,6899125.0
2029,6692360.624,1.491,6710793.362,1.582,6754742.653,1.806,6706313.114,1.56,2.1,6899125.0
2030,6664803.589,1.483,6687815.268,1.585,6743129.928,1.84,6682211.629,1.56,2.1,6899125.0
2031,6636873.349,1.474,6664963.108,1.588,6733036.336,1.874,6658110.143,1.56,2.1,6899125.0
2032,6608572.01,1.466,6642237.108,1.591,6724489.981,1.909,6634008.657,1.56,2.1,6899125.0
2033,6579901.664,1.458,6619637.491,1.594,6717519.486,1.944,6609907.171,1.56,2.1,6899125.0
2034,6550864.394,1.449,6597164.483,1.596,6712154.004,1.98,6585805.686,1.56,2.1,6899125.0
2035,6521462.267,1.441,6574818.309,1.599,6708423.23,2.016,6561704.2,1.56,2.1,6899125.0
2036,6491697.343,1.433,6552599.194,1.602,6706357.404,2.054,6537602.714,1.56,2.1,6899125.0
2037,6461571.667,1.425,6530507.365,1.605,6705987.328,2.092,6513501.229,1.56,2.1,6899125.0
2038,6431087.274,1.417,6508543.049,1.608,6707344.374,2.13,6489399.743,1.56,2.1,6899125.0
2039,6400246.187,1.409,6486706.472,1.611,6710460.493,2.17,6465298.257,1.56,2.1,6899125.0
2040,6369050.417,1.401,6464997.861,1.614,6715368.229,2.21,6441196.771,1.56,2.1,6899125.0
2041,6337501.966,1.393,6443417.445,1.616,6722100.725,2.251,6417095.286,1.56,2.1,6899125.0
2042,6305602.822,1.385,6421965.452,1.619,6730691.741,2.292,6392993.8,1.56,2.1,6899125.0
2043,6273354.964,1.377,6400642.11,1.622,6741175.658,2.335,6368892.314,1.56,2.1,6899125.0
2044,6240760.357,1.37,6379447.649,1.625,6753587.496,2.378,6344790.829,1.56,2.1,6899125.0
2045,6207820.959,1.362,6358382.297,1.628,6767962.921,2.422,6320689.343,1.56,2.1,6899125.0
2046,6174538.712,1.354,6337446.285,1.631,6784338.26,2.467,6296587.857,1.56,2.1,6899125.0
2047,6140915.551,1.347,6316639.842,1.634,6802750.51,2.513,6272486.371,1.56,2.1,6899125.0
2048,6106953.4,1.339,6295963.2,1.637,6823237.355,2.559,6248384.886,1.56,2.1,6899125.0
2049,6072654.168,1.332,6275416.589,1.64,6845837.174,2.606,6224283.4,1.56,2.1,6899125.0
2050,6038019.759,1.324,6255000.241,1.643,6870589.058,2.655,6200181.914,1.56,2.1,6899125.0
2051,6003052.061,1.317,6234714.388,1.645,6897532.82,2.704,6176080.429,1.56,2.1,6899125.0
2052,5967752.956,1.309,6214559.261,1.648,6926709.009,2.754,6151978.943,1.56,2.1,6899125.0
2053,5932124.311,1.302,6194535.095,1.651,6958158.926,2.805,6127877.457,1.56,2.1,6899125.0
2054,5896167.987,1.294,6174642.121,1.654,6991924.635,2.857,6103775.971,1.56,2.1,6899125.0
2055,5859885.83,1.287,6154880.574,1.657,7028048.977,2.909,6079674.486,1.56,2.1,6899125.0
2056,5823279.678,1.28,6135250.687,1.66,7066575.587,2.963,6055573.0,1.56,2.1,6899125.0
2057,5786351.359,1.273,6115752.694,1.663,7107548.908,3.018,6031471.514,1.56,2.1,6899125.0
2058,5749102.69,1.265,6096386.831,1.666,7151014.203,3.074,6007370.029,1.56,2.1,6899125.0
2059,5711535.478,1.258,6077153.333,1.669,7197017.574,3.131,5983268.543,1.56,2.1,6899125.0
2060,5673651.518,1.251,6058052.435,1.672,7245605.975,3.189,5959167.057,1.56,2.1,6899125.0
2061,5635452.599,1.244,6039084.373,1.675,7296827.23,3.248,5935065.571,1.56,2.1,6899125.0
2062,5596940.495,1.237,6020249.384,1.678,7350730.046,3.308,5910964.086,1.56,2.1,6899125.0
2063,5558116.974,1.23,6001547.704,1.681,7407364.032,3.369,5886862.6,1.56,2.1,6899125.0
