year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,162429.0,7.087,162429.0,7.087,162429.0,7.087,162429.0,7.087,2.1,1748295.0
1961,167899.0,7.129,167899.0,7.129,167899.0,7.129,167899.0,7.129,2.1,1748295.0
1962,173140.0,7.163,173140.0,7.163,173140.0,7.163,173140.0,7.163,2.1,1748295.0
1963,178142.0,7.185,178142.0,7.185,178142.0,7.185,178142.0,7.185,2.1,1748295.0
1964,182888.0,7.188,182888.0,7.188,182888.0,7.188,182888.0,7.188,2.1,1748295.0
1965,187432.0,7.162,187432.0,7.162,187432.0,7.162,187432.0,7.162,2.1,1748295.0
1966,191785.0,7.099,191785.0,7.099,191785.0,7.099,191785.0,7.099,2.1,1748295.0
1967,196060.0,6.997,196060.0,6.997,196060.0,6.997,196060.0,6.997,2.1,1748295.0
1968,200652.0,6.86,200652.0,6.86,200652.0,6.86,200652.0,6.86,2.1,1748295.0
1969,206037.0,6.692,206037.0,6.692,206037.0,6.692,206037.0,6.692,2.1,1748295.0
1970,212607.0,6.501,212607.0,6.501,212607.0,6.501,212607.0,6.501,2.1,1748295.0
1971,220311.0,6.297,220311.0,6.297,220311.0,6.297,220311.0,6.297,2.1,1748295.0
1972,229151.0,6.094,229151.0,6.094,229151.0,6.094,229151.0,6.094,2.1,1748295.0
1973,239527.0,5.899,239527.0,5.899,239527.0,5.899,239527.0,5.899,2.1,1748295.0
1974,251908.0,5.721,251908.0,5.721,251908.0,5.721,251908.0,5.721,2.1,1748295.0
1975,266540.0,5.56,266540.0,5.56,266540.0,5.56,266540.0,5.56,2.1,1748295.0
1976,283746.0,5.417,283746.0,5.417,283746.0,5.417,283746.0,5.417,2.1,1748295.0
1977,303169.0,5.285,303169.0,5.285,303169.0,5.285,303169.0,5.285,2.1,1748295.0
1978,323468.0,5.158,323468.0,5.158,323468.0,5.158,323468.0,5.158,2.1,1748295.0
1979,342804.0,5.036,342804.0,5.036,342804.0,5.036,342804.0,5.036,2.1,1748295.0
1980,359897.0,4.916,359897.0,4.916,359897.0,4.916,359897.0,4.916,2.1,1748295.0
1981,374120.0,4.8,374120.0,4.8,374120.0,4.8,374120.0,4.8,2.1,1748295.0
1982,385953.0,4.688,385953.0,4.688,385953.0,4.688,385953.0,4.688,2.1,1748295.0
1983,396451.0,4.578,396451.0,4.578,396451.0,4.578,396451.0,4.578,2.1,1748295.0
1984,407233.0,4.47,407233.0,4.47,407233.0,4.47,407233.0,4.47,2.1,1748295.0
1985,419428.0,4.36,419428.0,4.36,419428.0,4.36,419428.0,4.36,2.1,1748295.0
1986,433478.0,4.245,433478.0,4.245,433478.0,4.245,433478.0,4.245,2.1,1748295.0
1987,448981.0,4.124,448981.0,4.124,448981.0,4.124,448981.0,4.124,2.1,1748295.0
1988,465198.0,3.997,465198.0,3.997,465198.0,3.997,465198.0,3.997,2.1,1748295.0
1989,481081.0,3.866,481081.0,3.866,481081.0,3.866,481081.0,3.866,2.1,1748295.0
1990,495927.0,3.732,495927.0,3.732,495927.0,3.732,495927.0,3.732,2.1,1748295.0
1991,509762.0,3.599,509762.0,3.599,509762.0,3.599,509762.0,3.599,2.1,1748295.0
