year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,109532.0,4.495,109532.0,4.495,109532.0,4.495,109532.0,4.495,2.1,396914.0
1961,115119.0,4.495,115119.0,4.495,115119.0,4.495,115119.0,4.495,2.1,396914.0
1962,121092.0,4.45,121092.0,4.45,121092.0,4.45,121092.0,4.45,2.1,396914.0
1963,127340.0,4.357,127340.0,4.357,127340.0,4.357,127340.0,4.357,2.1,396914.0
1964,133705.0,4.221,133705.0,4.221,133705.0,4.221,133705.0,4.221,2.1,396914.0
1965,140060.0,4.06,140060.0,4.06,140060.0,4.06,140060.0,4.06,2.1,396914.0
1966,146381.0,3.897,146381.0,3.897,146381.0,3.897,146381.0,3.897,2.1,396914.0
1967,152621.0,3.754,152621.0,3.754,152621.0,3.754,152621.0,3.754,2.1,396914.0
1968,158648.0,3.646,158648.0,3.646,158648.0,3.646,158648.0,3.646,2.1,396914.0
1969,164265.0,3.576,164265.0,3.576,164265.0,3.576,164265.0,3.576,2.1,396914.0
1970,169376.0,3.536,169376.0,3.536,169376.0,3.536,169376.0,3.536,2.1,396914.0
1971,173894.0,3.508,173894.0,3.508,173894.0,3.508,173894.0,3.508,2.1,396914.0
1972,177863.0,3.472,177863.0,3.472,177863.0,3.472,177863.0,3.472,2.1,396914.0
1973,181519.0,3.413,181519.0,3.413,181519.0,3.413,181519.0,3.413,2.1,396914.0
1974,185105.0,3.33,185105.0,3.33,185105.0,3.33,185105.0,3.33,2.1,396914.0
1975,188895.0,3.233,188895.0,3.233,188895.0,3.233,188895.0,3.233,2.1,396914.0
1976,192903.0,3.137,192903.0,3.137,192903.0,3.137,192903.0,3.137,2.1,396914.0
1977,197100.0,3.058,197100.0,3.058,197100.0,3.058,197100.0,3.058,2.1,396914.0
1978,201482.0,3.008,201482.0,3.008,201482.0,3.008,201482.0,3.008,2.1,396914.0
1979,205991.0,2.987,205991.0,2.987,205991.0,2.987,205991.0,2.987,2.1,396914.0
1980,210589.0,2.986,210589.0,2.986,210589.0,2.986,210589.0,2.986,2.1,396914.0
1981,215321.0,2.992,215321.0,2.992,215321.0,2.992,215321.0,2.992,2.1,396914.0
1982,220182.0,2.988,220182.0,2.988,220182.0,2.988,220182.0,2.988,2.1,396914.0
1983,225095.0,2.964,225095.0,2.964,225095.0,2.964,225095.0,2.964,2.1,396914.0
1984,229913.0,2.919,229913.0,2.919,229913.0,2.919,229913.0,2.919,2.1,396914.0
1985,234579.0,2.857,234579.0,2.857,234579.0,2.857,234579.0,2.857,2.1,396914.0
1986,239020.0,2.789,239020.0,2.789,239020.0,2.789,239020.0,2.789,2.1,396914.0
1987,243265.0,2.729,243265.0,2.729,243265.0,2.729,243265.0,2.729,2.1,396914.0
1988,247451.0,2.683,247451.0,2.683,247451.0,2.683,247451.0,2.683,2.1,396914.0
1989,251738.0,2.655,251738.0,2.655,251738.0,2.655,251738.0,2.655,2.1,396914.0
1990,256227.0,2.64,256227.0,2.64,256227.0,2.64,256227.0,2.64,2.1,396914.0
1991,261007.0,2.633,261007.0,2.633,261007.0,2.633,261007.0,2.633,2.1,396914.0
1992,266028.0,2.623,266028.0,2.623,266028.0,2.623,266028.0,2.623,2.1,396914.0
1993,271065.0,2.602,271065.0,2.602,271065.0,2.602,271065.0,2.602,2.1,396914.0
