year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3225664.0,3.801,3225664.0,3.801,3225664.0,3.801,3225664.0,3.801,2.1,3263459.0
1961,3288604.0,3.74,3288604.0,3.74,3288604.0,3.74,3288604.0,3.74,2.1,3263459.0
1962,3353228.0,3.676,3353228.0,3.676,3353228.0,3.676,3353228.0,3.676,2.1,3263459.0
1963,3417573.0,3.601,3417573.0,3.601,3417573.0,3.601,3417573.0,3.601,2.1,3263459.0
1964,3478999.0,3.515,3478999.0,3.515,3478999.0,3.515,3478999.0,3.515,2.1,3263459.0
1965,3535632.0,3.417,3535632.0,3.417,3535632.0,3.417,3535632.0,3.417,2.1,3263459.0
1966,3586630.0,3.313,3586630.0,3.313,3586630.0,3.313,3586630.0,3.313,2.1,3263459.0
1967,3632678.0,3.208,3632678.0,3.208,3632678.0,3.208,3632678.0,3.208,2.1,3263459.0
1968,3675448.0,3.109,3675448.0,3.109,3675448.0,3.109,3675448.0,3.109,2.1,3263459.0
1969,3717476.0,3.016,3717476.0,3.016,3717476.0,3.016,3717476.0,3.016,2.1,3263459.0
1970,3760536.0,2.929,3760536.0,2.929,3760536.0,2.929,3760536.0,2.929,2.1,3263459.0
1971,3805286.0,2.844,3805286.0,2.844,3805286.0,2.844,3805286.0,2.844,2.1,3263459.0
1972,3851153.0,2.759,3851153.0,2.759,3851153.0,2.759,3851153.0,2.759,2.1,3263459.0
1973,3897259.0,2.671,3897259.0,2.671,3897259.0,2.671,3897259.0,2.671,2.1,3263459.0
1974,3942221.0,2.58,3942221.0,2.58,3942221.0,2.58,3942221.0,2.58,2.1,3263459.0
1975,3985107.0,2.489,3985107.0,2.489,3985107.0,2.489,3985107.0,2.489,2.1,3263459.0
1976,4025271.0,2.401,4025271.0,2.401,4025271.0,2.401,4025271.0,2.401,2.1,3263459.0
1977,4063188.0,2.318,4063188.0,2.318,4063188.0,2.318,4063188.0,2.318,2.1,3263459.0
1978,4100355.0,2.243,4100355.0,2.243,4100355.0,2.243,4100355.0,2.243,2.1,3263459.0
1979,4138816.0,2.178,4138816.0,2.178,4138816.0,2.178,4138816.0,2.178,2.1,3263459.0
1980,4179850.0,2.122,4179850.0,2.122,4179850.0,2.122,4179850.0,2.122,2.1,3263459.0
1981,4222479.0,2.075,4222479.0,2.075,4222479.0,2.075,4222479.0,2.075,2.1,3263459.0
1982,4265183.0,2.034,4265183.0,2.034,4265183.0,2.034,4265183.0,2.034,2.1,3263459.0
1983,4307907.0,1.998,4307907.0,1.998,4307907.0,1.998,4307907.0,1.998,2.1,3263459.0
1984,4350566.0,1.964,4350566.0,1.964,4350566.0,1.964,4350566.0,1.964,2.1,3263459.0
1985,4392135.0,1.932,4392135.0,1.932,4392135.0,1.932,4392135.0,1.932,2.1,3263459.0
1986,4435925.0,1.9,4435925.0,1.9,4435925.0,1.9,4435925.0,1.9,2.1,3263459.0
1987,4479516.0,1.868,4479516.0,1.868,4479516.0,1.868,4479516.0,1.868,2.1,3263459.0
1988,4509462.0,1.835,4509462.0,1.835,4509462.0,1.835,4509462.0,1.835,2.1,3263459.0
1989,4507819.0,1.803,4507819.0,1.803,4507819.0,1.803,4507819.0,1.803,2.1,3263459.0
1990,4463422.0,1.772,4463422.0,1.772,4463422.0,1.772,4463422.0,1.772,2.1,3263459.0
1991,4369320.0,1.748,4369320.0,1.748,4369320.0,1.748,4369320.0,1.748,2.1,3263459.0
1992,4233673.0,1.73,4233673.0,1.73,4233673.0,1.73,4233673.0,1.73,2.1,3263459.0
1993,4078940.0,1.72,4078940.0,1.72,4078940.0,1.72,4078940.0,1.72,2.1,3263459.0
1994,3936527.0,1.713,3936527.0,1.713,3936527.0,1.713,3936527.0,1.713,2.1,3263459.0
1995,3829049.0,1.706,3829049.0,1.706,3829049.0,1.706,3829049.0,1.706,2.1,3263459.0
1996,3764419.0,1.69,3764419.0,1.69,3764419.0,1.69,3764419.0,1.69,2.1,3263459.0
1997,3736070.0,1.662,3736070.0,1.662,3736070.0,1.662,3736070.0,1.662,2.1,3263459.0
1998,3734338.0,1.619,3734338.0,1.619,3734338.0,1.619,3734338.0,1.619,2.1,3263459.0
1999,3743353.0,1.562,3743353.0,1.562,3743353.0,1.562,3743353.0,1.562,2.1,3263459.0
2000,3751176.0,1.497,3751176.0,1.497,3751176.0,1.497,3751176.0,1.497,2.1,3263459.0
2001,3755514.0,1.432,3755514.0,1.432,3755514.0,1.432,3755514.0,1.432,2.1,3263459.0
2002,3759389.0,1.374,3759389.0,1.374,3759389.0,1.374,3759389.0,1.374,2.1,3263459.0
2003,3762179.0,1.33,3762179.0,1.33,3762179.0,1.33,3762179.0,1.33,2.1,3263459.0
2004,3764194.0,1.301,3764194.0,1.301,3764194.0,1.301,3764194.0,1.301,2.1,3263459.0
2005,3765332.0,1.288,3765332.0,1.288,3765332.0,1.288,3765332.0,1.288,2.1,3263459.0
2006,3765422.0,1.288,3765422.0,1.288,3765422.0,1.288,3765422.0,1.288,2.1,3263459.0
2007,3762791.0,1.295,3762791.0,1.295,3762791.0,1.295,3762791.0,1.295,2.1,3263459.0
2008,3754261.0,1.303,3754261.0,1.303,3754261.0,1.303,3754261.0,1.303,2.1,3263459.0
