year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8198000.0,2.67,8198000.0,2.67,8198000.0,2.67,8198000.0,2.67,2.1,9340314.0
1961,8271216.0,2.59,8271216.0,2.59,8271216.0,2.59,8271216.0,2.59,2.1,9340314.0
1962,8351928.0,2.5,8351928.0,2.5,8351928.0,2.5,8351928.0,2.5,2.1,9340314.0
1963,8437232.0,2.4,8437232.0,2.4,8437232.0,2.4,8437232.0,2.4,2.1,9340314.0
1964,8524224.0,2.31,8524224.0,2.31,8524224.0,2.31,8524224.0,2.31,2.1,9340314.0
1965,8610000.0,2.27,8610000.0,2.27,8610000.0,2.27,8610000.0,2.27,2.1,9340314.0
1966,8696496.0,2.29,8696496.0,2.29,8696496.0,2.29,8696496.0,2.29,2.1,9340314.0
1967,8785648.0,2.26,8785648.0,2.26,8785648.0,2.26,8785648.0,2.26,2.1,9340314.0
1968,8874552.0,2.22,8874552.0,2.22,8874552.0,2.22,8874552.0,2.22,2.1,9340314.0
1969,8960304.0,2.26,8960304.0,2.26,8960304.0,2.26,8960304.0,2.26,2.1,9340314.0
1970,9040000.0,2.31,9040000.0,2.31,9040000.0,2.31,9040000.0,2.31,2.1,9340314.0
1971,9115576.0,2.31,9115576.0,2.31,9115576.0,2.31,9115576.0,2.31,2.1,9340314.0
1972,9188968.0,2.28,9188968.0,2.28,9188968.0,2.28,9188968.0,2.28,2.1,9340314.0
1973,9257272.0,2.25,9257272.0,2.25,9257272.0,2.25,9257272.0,2.25,2.1,9340314.0
1974,9317584.0,2.21,9317584.0,2.21,9317584.0,2.21,9317584.0,2.21,2.1,9340314.0
1975,9367000.0,2.17,9367000.0,2.17,9367000.0,2.17,9367000.0,2.17,2.1,9340314.0
1976,9411000.0,2.12,9411000.0,2.12,9411000.0,2.12,9411000.0,2.12,2.1,9340314.0
1977,9463000.0,2.08,9463000.0,2.08,9463000.0,2.08,9463000.0,2.08,2.1,9340314.0
1978,9525000.0,2.06,9525000.0,2.06,9525000.0,2.06,9525000.0,2.06,2.1,9340314.0
1979,9584000.0,2.05,9584000.0,2.05,9584000.0,2.05,9584000.0,2.05,2.1,9340314.0
1980,9643000.0,2.03,9643000.0,2.03,9643000.0,2.03,9643000.0,2.03,2.1,9340314.0
1981,9710000.0,2.02,9710000.0,2.02,9710000.0,2.02,9710000.0,2.02,2.1,9340314.0
1982,9776000.0,2.05,9776000.0,2.05,9776000.0,2.05,9776000.0,2.05,2.1,9340314.0
1983,9843000.0,2.11,9843000.0,2.11,9843000.0,2.11,9843000.0,2.11,2.1,9340314.0
1984,9910000.0,2.11,9910000.0,2.11,9910000.0,2.11,9910000.0,2.11,2.1,9340314.0
1985,9975000.0,2.09,9975000.0,2.09,9975000.0,2.09,9975000.0,2.09,2.1,9340314.0
1986,10043000.0,2.09,10043000.0,2.09,10043000.0,2.09,10043000.0,2.09,2.1,9340314.0
1987,10111000.0,2.03,10111000.0,2.03,10111000.0,2.03,10111000.0,2.03,2.1,9340314.0
1988,10140000.0,2.031,10140000.0,2.031,10140000.0,2.031,10140000.0,2.031,2.1,9340314.0
1989,10170000.0,2.026,10170000.0,2.026,10170000.0,2.026,10170000.0,2.026,2.1,9340314.0
1990,10189348.0,1.913,10189348.0,1.913,10189348.0,1.913,10189348.0,1.913,2.1,9340314.0
1991,10194050.0,1.805,10194050.0,1.805,10194050.0,1.805,10194050.0,1.805,2.1,9340314.0
1992,10216470.0,1.764,10216470.0,1.764,10216470.0,1.764,10216470.0,1.764,2.1,9340314.0
1993,10239050.0,1.623,10239050.0,1.623,10239050.0,1.623,10239050.0,1.623,2.1,9340314.0
1994,10226955.0,1.533,10226955.0,1.533,10226955.0,1.533,10226955.0,1.533,2.1,9340314.0
1995,10193831.0,1.406,10193831.0,1.406,10193831.0,1.406,10193831.0,1.406,2.1,9340314.0
1996,10159569.0,1.335,10159569.0,1.335,10159569.0,1.335,10159569.0,1.335,2.1,9340314.0
1997,10117433.0,1.25,10117433.0,1.25,10117433.0,1.25,10117433.0,1.25,2.1,9340314.0
1998,10071963.0,1.3,10071963.0,1.3,10071963.0,1.3,10071963.0,1.3,2.1,9340314.0
1999,10026738.0,1.31,10026738.0,1.31,10026738.0,1.31,10026738.0,1.31,2.1,9340314.0
2000,9979610.0,1.317,9979610.0,1.317,9979610.0,1.317,9979610.0,1.317,2.1,9340314.0
2001,9928549.0,1.286,9928549.0,1.286,9928549.0,1.286,9928549.0,1.286,2.1,9340314.0
2002,9865548.0,1.24,9865548.0,1.24,9865548.0,1.24,9865548.0,1.24,2.1,9340314.0
2003,9796749.0,1.232,9796749.0,1.232,9796749.0,1.232,9796749.0,1.232,2.1,9340314.0
2004,9730146.0,1.233,9730146.0,1.233,9730146.0,1.233,9730146.0,1.233,2.1,9340314.0
2005,9663915.0,1.252,9663915.0,1.252,9663915.0,1.252,9663915.0,1.252,2.1,9340314.0
2006,9604924.0,1.335,9604924.0,1.335,9604924.0,1.335,9604924.0,1.335,2.1,9340314.0
2007,9560953.0,1.429,9560953.0,1.429,9560953.0,1.429,9560953.0,1.429,2.1,9340314.0
2008,9527985.0,1.488,9527985.0,1.488,9527985.0,1.488,9527985.0,1.488,2.1,9340314.0
2009,9504583.0,1.509,9504583.0,1.509,9504583.0,1.509,9504583.0,1.509,2.1,9340314.0
2010,9483836.0,1.494,9483836.0,1.494,9483836.0,1.494,9483836.0,1.494,2.1,9340314.0
2011,9461643.0,1.515,9461643.0,1.515,9461643.0,1.515,9461643.0,1.515,2.1,9340314.0
2012,9446836.0,1.62,9446836.0,1.62,9446836.0,1.62,9446836.0,1.62,2.1,9340314.0
2013,9443211.0,1.668,9443211.0,1.668,9443211.0,1.668,9443211.0,1.668,2.1,9340314.0
2014,9448515.0,1.696,9448515.0,1.696,9448515.0,1.696,9448515.0,1.696,2.1,9340314.0
2015,9461076.0,1.724,9461076.0,1.724,9461076.0,1.724,9461076.0,1.724,2.1,9340314.0
2016,9469379.0,1.733,9469379.0,1.733,9469379.0,1.733,9469379.0,1.733,2.1,9340314.0
2017,9458989.0,1.541,9458989.0,1.541,9458989.0,1.541,9458989.0,1.541,2.1,9340314.0
2018,9438785.0,1.448,9438785.0,1.448,9438785.0,1.448,9438785.0,1.448,2.1,9340314.0
2019,9419758.0,1.382,9419758.0,1.382,9419758.0,1.382,9419758.0,1.382,2.1,9340314.0
2020,9379952.0,1.382,9379952.0,1.382,9379952.0,1.382,9379952.0,1.382,2.1,9340314.0
2021,9340314.0,1.382,9340314.0,1.382,9340314.0,1.382,9340314.0,1.382,2.1,9340314.0
2022,9296424.556,1.368,9296785.611,1.374,9297623.655,1.388,9297290.756,1.382,2.1,9340314.0
2023,9251677.971,1.353,9252755.157,1.365,9255267.548,1.393,9254267.512,1.382,2.1,9340314.0
2024,9206083.213,1.339,9208225.702,1.357,9213247.022,1.399,9211244.269,1.382,2.1,9340314.0
2025,9159649.151,1.325,9163200.289,1.349,9171563.427,1.404,9168221.025,1.382,2.1,9340314.0
2026,9112384.567,1.311,9117681.943,1.34,9130218.115,1.41,9125197.781,1.382,2.1,9340314.0
2027,9064298.146,1.298,9071673.672,1.332,9089212.449,1.416,9082174.537,1.382,2.1,9340314.0
2028,9015398.486,1.284,9025178.465,1.324,9048547.792,1.421,9039151.293,1.382,2.1,9340314.0
2029,8965694.092,1.271,8978199.29,1.316,9008225.516,1.427,8996128.05,1.382,2.1,9340314.0
2030,8915193.383,1.257,8930739.101,1.308,8968246.997,1.433,8953104.806,1.382,2.1,9340314.0
2031,8863904.688,1.244,8882800.832,1.3,8928613.618,1.439,8910081.562,1.382,2.1,9340314.0
2032,8811836.248,1.231,8834387.399,1.292,8889326.764,1.444,8867058.318,1.382,2.1,9340314.0
2033,8758996.221,1.218,8785501.7,1.284,8850387.83,1.45,8824035.074,1.382,2.1,9340314.0
2034,8705392.677,1.205,8736146.617,1.276,8811798.215,1.456,8781011.83,1.382,2.1,9340314.0
2035,8651033.603,1.193,8686325.013,1.269,8773559.322,1.462,8737988.587,1.382,2.1,9340314.0
2036,8595926.9,1.18,8636039.732,1.261,8735672.561,1.468,8694965.343,1.382,2.1,9340314.0
2037,8540080.39,1.168,8585293.605,1.253,8698139.348,1.474,8651942.099,1.382,2.1,9340314.0
2038,8483501.811,1.156,8534089.442,1.245,8660961.104,1.48,8608918.855,1.382,2.1,9340314.0
2039,8426198.821,1.144,8482430.036,1.238,8624139.256,1.485,8565895.611,1.382,2.1,9340314.0
2040,8368178.996,1.132,8430318.166,1.23,8587675.238,1.491,8522872.368,1.382,2.1,9340314.0
2041,8309449.834,1.12,8377756.59,1.223,8551570.486,1.497,8479849.124,1.382,2.1,9340314.0
2042,8250018.756,1.108,8324748.053,1.215,8515826.446,1.503,8436825.88,1.382,2.1,9340314.0
2043,8189893.104,1.097,8271295.281,1.208,8480444.568,1.51,8393802.636,1.382,2.1,9340314.0
2044,8129080.142,1.085,8217400.983,1.201,8445426.307,1.516,8350779.392,1.382,2.1,9340314.0
2045,8067587.06,1.074,8163067.852,1.193,8410773.126,1.522,8307756.149,1.382,2.1,9340314.0
2046,8005420.972,1.063,8108298.567,1.186,8376486.491,1.528,8264732.905,1.382,2.1,9340314.0
2047,7942588.918,1.051,8053095.787,1.179,8342567.877,1.534,8221709.661,1.382,2.1,9340314.0
2048,7879097.863,1.04,7997462.156,1.172,8309018.763,1.54,8178686.417,1.382,2.1,9340314.0
2049,7814954.702,1.03,7941400.303,1.164,8275840.634,1.546,8135663.173,1.382,2.1,9340314.0
2050,7750166.254,1.019,7884912.84,1.157,8243034.981,1.553,8092639.93,1.382,2.1,9340314.0
2051,7684739.269,1.008,7828002.363,1.15,8210603.303,1.559,8049616.686,1.382,2.1,9340314.0
2052,7618680.427,0.998,7770671.452,1.143,8178547.102,1.565,8006593.442,1.382,2.1,9340314.0
2053,7551996.337,0.987,7712922.673,1.136,8146867.887,1.571,7963570.198,1.382,2.1,9340314.0
2054,7484693.539,0.977,7654758.574,1.129,8115567.175,1.578,7920546.954,1.382,2.1,9340314.0
2055,7416778.505,0.967,7596181.688,1.122,8084646.487,1.584,7877523.71,1.382,2.1,9340314.0
2056,7348257.638,0.956,7537194.535,1.116,8054107.35,1.59,7834500.467,1.382,2.1,9340314.0
2057,7279137.276,0.946,7477799.615,1.109,8023951.298,1.597,7791477.223,1.382,2.1,9340314.0
2058,7209423.689,0.937,7417999.417,1.102,7994179.872,1.603,7748453.979,1.382,2.1,9340314.0
2059,7139123.083,0.927,7357796.413,1.095,7964794.617,1.61,7705430.735,1.382,2.1,9340314.0
2060,7068241.597,0.917,7297193.059,1.089,7935797.087,1.616,7662407.491,1.382,2.1,9340314.0
2061,6996785.308,0.907,7236191.799,1.082,7907188.839,1.623,7619384.248,1.382,2.1,9340314.0
2062,6924760.228,0.898,7174795.059,1.075,7878971.438,1.629,7576361.004,1.382,2.1,9340314.0
2063,6852172.307,0.889,7113005.252,1.069,7851146.456,1.636,7533337.76,1.382,2.1,9340314.0
2064,6779027.432,0.879,7050824.775,1.062,7823715.471,1.642,7490314.516,1.382,2.1,9340314.0
2065,6705331.429,0.87,6988256.011,1.056,7796680.066,1.649,7447291.272,1.382,2.1,9340314.0
2066,6631090.062,0.861,6925301.33,1.049,7770041.83,1.655,7404268.029,1.382,2.1,9340314.0
2067,6556309.036,0.852,6861963.085,1.043,7743802.362,1.662,7361244.785,1.382,2.1,9340314.0
2068,6480993.996,0.843,6798243.616,1.037,7717963.264,1.669,7318221.541,1.382,2.1,9340314.0
2069,6405150.528,0.834,6734145.248,1.03,7692526.146,1.675,7275198.297,1.382,2.1,9340314.0
2070,6328784.159,0.826,6669670.293,1.024,7667492.623,1.682,7232175.053,1.382,2.1,9340314.0
2071,6251900.359,0.817,6604821.047,1.018,7642864.317,1.689,7189151.81,1.382,2.1,9340314.0
2072,6174504.539,0.808,6539599.795,1.012,7618642.859,1.696,7146128.566,1.382,2.1,9340314.0
2073,6096602.056,0.8,6474008.805,1.005,7594829.883,1.703,7103105.322,1.382,2.1,9340314.0
2074,6018198.209,0.792,6408050.332,0.999,7571427.032,1.709,7060082.078,1.382,2.1,9340314.0
2075,5939298.243,0.783,6341726.619,0.993,7548435.954,1.716,7017058.834,1.382,2.1,9340314.0
2076,5859907.347,0.775,6275039.893,0.987,7525858.304,1.723,6974035.59,1.382,2.1,9340314.0
