year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,92068.0,6.5,92068.0,6.5,92068.0,6.5,92068.0,6.5,2.1,404915.0
1961,94700.0,6.48,94700.0,6.48,94700.0,6.48,94700.0,6.48,2.1,404915.0
1962,97392.0,6.46,97392.0,6.46,97392.0,6.46,97392.0,6.46,2.1,404915.0
1963,100165.0,6.44,100165.0,6.44,100165.0,6.44,100165.0,6.44,2.1,404915.0
1964,103069.0,6.42,103069.0,6.42,103069.0,6.42,103069.0,6.42,2.1,404915.0
1965,106120.0,6.4,106120.0,6.4,106120.0,6.4,106120.0,6.4,2.1,404915.0
1966,109348.0,6.379,109348.0,6.379,109348.0,6.379,109348.0,6.379,2.1,404915.0
1967,112707.0,6.358,112707.0,6.358,112707.0,6.358,112707.0,6.358,2.1,404915.0
1968,116065.0,6.337,116065.0,6.337,116065.0,6.337,116065.0,6.337,2.1,404915.0
1969,119269.0,6.316,119269.0,6.316,119269.0,6.316,119269.0,6.316,2.1,404915.0
1970,122184.0,6.299,122184.0,6.299,122184.0,6.299,122184.0,6.299,2.1,404915.0
1971,124795.0,6.288,124795.0,6.288,124795.0,6.288,124795.0,6.288,2.1,404915.0
1972,127152.0,6.284,127152.0,6.284,127152.0,6.284,127152.0,6.284,2.1,404915.0
1973,129294.0,6.285,129294.0,6.285,129294.0,6.285,129294.0,6.285,2.1,404915.0
1974,131305.0,6.287,131305.0,6.287,131305.0,6.287,131305.0,6.287,2.1,404915.0
1975,133264.0,6.278,133264.0,6.278,133264.0,6.278,133264.0,6.278,2.1,404915.0
1976,135143.0,6.25,135143.0,6.25,135143.0,6.25,135143.0,6.25,2.1,404915.0
1977,136990.0,6.195,136990.0,6.195,136990.0,6.195,136990.0,6.195,2.1,404915.0
1978,138975.0,6.109,138975.0,6.109,138975.0,6.109,138975.0,6.109,2.1,404915.0
1979,141302.0,5.992,141302.0,5.992,141302.0,5.992,141302.0,5.992,2.1,404915.0
1980,144142.0,5.849,144142.0,5.849,144142.0,5.849,144142.0,5.849,2.1,404915.0
1981,147572.0,5.684,147572.0,5.684,147572.0,5.684,147572.0,5.684,2.1,404915.0
1982,151486.0,5.51,151486.0,5.51,151486.0,5.51,151486.0,5.51,2.1,404915.0
1983,155820.0,5.336,155820.0,5.336,155820.0,5.336,155820.0,5.336,2.1,404915.0
1984,160341.0,5.17,160341.0,5.17,160341.0,5.17,160341.0,5.17,2.1,404915.0
1985,164918.0,5.019,164918.0,5.019,164918.0,5.019,164918.0,5.019,2.1,404915.0
1986,169569.0,4.886,169569.0,4.886,169569.0,4.886,169569.0,4.886,2.1,404915.0
1987,174333.0,4.771,174333.0,4.771,174333.0,4.771,174333.0,4.771,2.1,404915.0
1988,179023.0,4.671,179023.0,4.671,179023.0,4.671,179023.0,4.671,2.1,404915.0
1989,183471.0,4.584,183471.0,4.584,183471.0,4.584,183471.0,4.584,2.1,404915.0
1990,187554.0,4.508,187554.0,4.508,187554.0,4.508,187554.0,4.508,2.1,404915.0
1991,191136.0,4.436,191136.0,4.436,191136.0,4.436,191136.0,4.436,2.1,404915.0
1992,194324.0,4.363,194324.0,4.363,194324.0,4.363,194324.0,4.363,2.1,404915.0
1993,197625.0,4.286,197625.0,4.286,197625.0,4.286,197625.0,4.286,2.1,404915.0
1994,201679.0,4.201,201679.0,4.201,201679.0,4.201,201679.0,4.201,2.1,404915.0
1995,206962.0,4.109,206962.0,4.109,206962.0,4.109,206962.0,4.109,2.1,404915.0
1996,213660.0,4.01,213660.0,4.01,213660.0,4.01,213660.0,4.01,2.1,404915.0
1997,221575.0,3.908,221575.0,3.908,221575.0,3.908,221575.0,3.908,2.1,404915.0
1998,230248.0,3.805,230248.0,3.805,230248.0,3.805,230248.0,3.805,2.1,404915.0
1999,238979.0,3.703,238979.0,3.703,238979.0,3.703,238979.0,3.703,2.1,404915.0
2000,247310.0,3.601,247310.0,3.601,247310.0,3.601,247310.0,3.601,2.1,404915.0
2001,255068.0,3.497,255068.0,3.497,255068.0,3.497,255068.0,3.497,2.1,404915.0
2002,262387.0,3.392,262387.0,3.392,262387.0,3.392,262387.0,3.392,2.1,404915.0
2003,269428.0,3.286,269428.0,3.286,269428.0,3.286,269428.0,3.286,2.1,404915.0
2004,276516.0,3.18,276516.0,3.18,276516.0,3.18,276516.0,3.18,2.1,404915.0
2005,283798.0,3.077,283798.0,3.077,283798.0,3.077,283798.0,3.077,2.1,404915.0
2006,291338.0,2.98,291338.0,2.98,291338.0,2.98,291338.0,2.98,2.1,404915.0
2007,299031.0,2.893,299031.0,2.893,299031.0,2.893,299031.0,2.893,2.1,404915.0
2008,306822.0,2.816,306822.0,2.816,306822.0,2.816,306822.0,2.816,2.1,404915.0
2009,314655.0,2.749,314655.0,2.749,314655.0,2.749,314655.0,2.749,2.1,404915.0
2010,322465.0,2.69,322465.0,2.69,322465.0,2.69,322465.0,2.69,2.1,404915.0
2011,330236.0,2.638,330236.0,2.638,330236.0,2.638,330236.0,2.638,2.1,404915.0
2012,338001.0,2.588,338001.0,2.588,338001.0,2.588,338001.0,2.588,2.1,404915.0
2013,345707.0,2.539,345707.0,2.539,345707.0,2.539,345707.0,2.539,2.1,404915.0
2014,353366.0,2.489,353366.0,2.489,353366.0,2.489,353366.0,2.489,2.1,404915.0
2015,360926.0,2.439,360926.0,2.439,360926.0,2.439,360926.0,2.439,2.1,404915.0
2016,368399.0,2.391,368399.0,2.391,368399.0,2.391,368399.0,2.391,2.1,404915.0
2017,375775.0,2.346,375775.0,2.346,375775.0,2.346,375775.0,2.346,2.1,404915.0
2018,383071.0,2.307,383071.0,2.307,383071.0,2.307,383071.0,2.307,2.1,404915.0
2019,390351.0,2.274,390351.0,2.274,390351.0,2.274,390351.0,2.274,2.1,404915.0
2020,397621.0,2.246,397621.0,2.246,397621.0,2.246,397621.0,2.246,2.1,404915.0
2021,404915.0,2.246,404915.0,2.246,404915.0,2.246,404915.0,2.246,2.1,404915.0
2022,405188.434,2.206,405168.913,2.198,405144.352,2.189,405291.541,2.246,2.1,404915.0
2023,405360.596,2.167,405302.794,2.152,405230.257,2.133,405668.082,2.246,2.1,404915.0
2024,405433.288,2.128,405319.183,2.106,405176.357,2.079,406044.623,2.246,2.1,404915.0
2025,405408.282,2.09,405220.57,2.062,404986.207,2.026,406421.164,2.246,2.1,404915.0
2026,405287.316,2.053,405009.387,2.018,404663.268,1.975,406797.705,2.246,2.1,404915.0
2027,405072.098,2.017,404688.018,1.975,404210.914,1.925,407174.246,2.246,2.1,404915.0
2028,404764.307,1.981,404258.796,1.934,403632.434,1.876,407550.787,2.246,2.1,404915.0
2029,404365.589,1.945,403724.003,1.893,402931.033,1.828,407927.328,2.246,2.1,404915.0
2030,403877.564,1.911,403085.876,1.853,402109.833,1.782,408303.869,2.246,2.1,404915.0
2031,403301.821,1.877,402346.601,1.813,401171.88,1.736,408680.41,2.246,2.1,404915.0
2032,402639.921,1.843,401508.319,1.775,400120.14,1.692,409056.95,2.246,2.1,404915.0
2033,401893.399,1.811,400573.128,1.737,398957.503,1.649,409433.491,2.246,2.1,404915.0
2034,401063.759,1.778,399543.077,1.701,397686.789,1.607,409810.032,2.246,2.1,404915.0
2035,400152.483,1.747,398420.176,1.665,396310.743,1.566,410186.573,2.246,2.1,404915.0
