year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,44400.0,,44400.0,,44400.0,,44400.0,,2.1,63867.0
1961,45500.0,,45500.0,,45500.0,,45500.0,,2.1,63867.0
1962,46600.0,,46600.0,,46600.0,,46600.0,,2.1,63867.0
1963,47700.0,,47700.0,,47700.0,,47700.0,,2.1,63867.0
1964,48900.0,,48900.0,,48900.0,,48900.0,,2.1,63867.0
1965,50100.0,,50100.0,,50100.0,,50100.0,,2.1,63867.0
1966,51000.0,,51000.0,,51000.0,,51000.0,,2.1,63867.0
1967,52000.0,,52000.0,,52000.0,,52000.0,,2.1,63867.0
1968,53000.0,,53000.0,,53000.0,,53000.0,,2.1,63867.0
1969,54000.0,,54000.0,,54000.0,,54000.0,,2.1,63867.0
1970,55000.0,,55000.0,,55000.0,,55000.0,,2.1,63867.0
1971,54600.0,,54600.0,,54600.0,,54600.0,,2.1,63867.0
1972,54200.0,,54200.0,,54200.0,,54200.0,,2.1,63867.0
1973,53800.0,,53800.0,,53800.0,,53800.0,,2.1,63867.0
1974,53400.0,,53400.0,,53400.0,,53400.0,,2.1,63867.0
1975,53000.0,,53000.0,,53000.0,,53000.0,,2.1,63867.0
1976,53200.0,,53200.0,,53200.0,,53200.0,,2.1,63867.0
1977,53400.0,,53400.0,,53400.0,,53400.0,,2.1,63867.0
1978,53600.0,,53600.0,,53600.0,,53600.0,,2.1,63867.0
1979,53800.0,,53800.0,,53800.0,,53800.0,,2.1,63867.0
1980,54670.0,,54670.0,,54670.0,,54670.0,,2.1,63867.0
1981,55050.0,,55050.0,,55050.0,,55050.0,,2.1,63867.0
1982,55449.0,,55449.0,,55449.0,,55449.0,,2.1,63867.0
1983,55930.0,,55930.0,,55930.0,,55930.0,,2.1,63867.0
1984,56423.0,,56423.0,,56423.0,,56423.0,,2.1,63867.0
1985,56898.0,,56898.0,,56898.0,,56898.0,,2.1,63867.0
1986,57382.0,,57382.0,,57382.0,,57382.0,,2.1,63867.0
1987,57849.0,,57849.0,,57849.0,,57849.0,,2.1,63867.0
1988,58347.0,,58347.0,,58347.0,,58347.0,,2.1,63867.0
1989,58841.0,,58841.0,,58841.0,,58841.0,,2.1,63867.0
1990,59326.0,,59326.0,,59326.0,,59326.0,,2.1,63867.0
1991,59021.0,,59021.0,,59021.0,,59021.0,,2.1,63867.0
