year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3656961.0,6.358,3656961.0,6.358,3656961.0,6.358,3656961.0,6.358,2.1,11832936.0
1961,3728954.0,6.335,3728954.0,6.335,3728954.0,6.335,3728954.0,6.335,2.1,11832936.0
1962,3802996.0,6.309,3802996.0,6.309,3802996.0,6.309,3802996.0,6.309,2.1,11832936.0
1963,3879191.0,6.279,3879191.0,6.279,3879191.0,6.279,3879191.0,6.279,2.1,11832936.0
1964,3957759.0,6.245,3957759.0,6.245,3957759.0,6.245,3957759.0,6.245,2.1,11832936.0
1965,4038865.0,6.208,4038865.0,6.208,4038865.0,6.208,4038865.0,6.208,2.1,11832936.0
1966,4122517.0,6.168,4122517.0,6.168,4122517.0,6.168,4122517.0,6.168,2.1,11832936.0
1967,4208683.0,6.127,4208683.0,6.127,4208683.0,6.127,4208683.0,6.127,2.1,11832936.0
1968,4297522.0,6.086,4297522.0,6.086,4297522.0,6.086,4297522.0,6.086,2.1,11832936.0
1969,4389248.0,6.045,4389248.0,6.045,4389248.0,6.045,4389248.0,6.045,2.1,11832936.0
1970,4484004.0,6.004,4484004.0,6.004,4484004.0,6.004,4484004.0,6.004,2.1,11832936.0
1971,4581752.0,5.964,4581752.0,5.964,4581752.0,5.964,4581752.0,5.964,2.1,11832936.0
1972,4682392.0,5.923,4682392.0,5.923,4682392.0,5.923,4682392.0,5.923,2.1,11832936.0
1973,4785916.0,5.88,4785916.0,5.88,4785916.0,5.88,4785916.0,5.88,2.1,11832936.0
1974,4892294.0,5.835,4892294.0,5.835,4892294.0,5.835,4892294.0,5.835,2.1,11832936.0
1975,5001413.0,5.786,5001413.0,5.786,5001413.0,5.786,5001413.0,5.786,2.1,11832936.0
1976,5113458.0,5.732,5113458.0,5.732,5113458.0,5.732,5113458.0,5.732,2.1,11832936.0
1977,5228253.0,5.673,5228253.0,5.673,5228253.0,5.673,5228253.0,5.673,2.1,11832936.0
1978,5344946.0,5.61,5344946.0,5.61,5344946.0,5.61,5344946.0,5.61,2.1,11832936.0
1979,5462413.0,5.542,5462413.0,5.542,5462413.0,5.542,5462413.0,5.542,2.1,11832936.0
1980,5579932.0,5.474,5579932.0,5.474,5579932.0,5.474,5579932.0,5.474,2.1,11832936.0
1981,5697098.0,5.408,5697098.0,5.408,5697098.0,5.408,5697098.0,5.408,2.1,11832936.0
1982,5814344.0,5.346,5814344.0,5.346,5814344.0,5.346,5814344.0,5.346,2.1,11832936.0
1983,5932812.0,5.289,5932812.0,5.289,5932812.0,5.289,5932812.0,5.289,2.1,11832936.0
1984,6054126.0,5.238,6054126.0,5.238,6054126.0,5.238,6054126.0,5.238,2.1,11832936.0
1985,6179460.0,5.189,6179460.0,5.189,6179460.0,5.189,6179460.0,5.189,2.1,11832936.0
1986,6309129.0,5.139,6309129.0,5.139,6309129.0,5.139,6309129.0,5.139,2.1,11832936.0
1987,6442824.0,5.087,6442824.0,5.087,6442824.0,5.087,6442824.0,5.087,2.1,11832936.0
1988,6580318.0,5.028,6580318.0,5.028,6580318.0,5.028,6580318.0,5.028,2.1,11832936.0
1989,6721117.0,4.963,6721117.0,4.963,6721117.0,4.963,6721117.0,4.963,2.1,11832936.0
1990,6864839.0,4.89,6864839.0,4.89,6864839.0,4.89,6864839.0,4.89,2.1,11832936.0
1991,7011456.0,4.81,7011456.0,4.81,7011456.0,4.81,7011456.0,4.81,2.1,11832936.0
