year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,72179235.0,6.061,72179235.0,6.061,72179235.0,6.061,72179235.0,6.061,2.1,213993441.0
1961,74311338.0,6.031,74311338.0,6.031,74311338.0,6.031,74311338.0,6.031,2.1,213993441.0
1962,76514329.0,5.981,76514329.0,5.981,76514329.0,5.981,76514329.0,5.981,2.1,213993441.0
1963,78772647.0,5.91,78772647.0,5.91,78772647.0,5.91,78772647.0,5.91,2.1,213993441.0
1964,81064572.0,5.818,81064572.0,5.818,81064572.0,5.818,81064572.0,5.818,2.1,213993441.0
1965,83373533.0,5.703,83373533.0,5.703,83373533.0,5.703,83373533.0,5.703,2.1,213993441.0
1966,85696502.0,5.57,85696502.0,5.57,85696502.0,5.57,85696502.0,5.57,2.1,213993441.0
1967,88035815.0,5.424,88035815.0,5.424,88035815.0,5.424,88035815.0,5.424,2.1,213993441.0
1968,90387079.0,5.272,90387079.0,5.272,90387079.0,5.272,90387079.0,5.272,2.1,213993441.0
1969,92746607.0,5.12,92746607.0,5.12,92746607.0,5.12,92746607.0,5.12,2.1,213993441.0
1970,95113265.0,4.972,95113265.0,4.972,95113265.0,4.972,95113265.0,4.972,2.1,213993441.0
1971,97482928.0,4.836,97482928.0,4.836,97482928.0,4.836,97482928.0,4.836,2.1,213993441.0
1972,99859388.0,4.712,99859388.0,4.712,99859388.0,4.712,99859388.0,4.712,2.1,213993441.0
1973,102259497.0,4.6,102259497.0,4.6,102259497.0,4.6,102259497.0,4.6,2.1,213993441.0
1974,104706193.0,4.502,104706193.0,4.502,104706193.0,4.502,104706193.0,4.502,2.1,213993441.0
1975,107216209.0,4.415,107216209.0,4.415,107216209.0,4.415,107216209.0,4.415,2.1,213993441.0
1976,109790943.0,4.339,109790943.0,4.339,109790943.0,4.339,109790943.0,4.339,2.1,213993441.0
1977,112425392.0,4.267,112425392.0,4.267,112425392.0,4.267,112425392.0,4.267,2.1,213993441.0
1978,115121158.0,4.195,115121158.0,4.195,115121158.0,4.195,115121158.0,4.195,2.1,213993441.0
1979,117878412.0,4.12,117878412.0,4.12,117878412.0,4.12,117878412.0,4.12,2.1,213993441.0
1980,120694012.0,4.037,120694012.0,4.037,120694012.0,4.037,120694012.0,4.037,2.1,213993441.0
1981,123570327.0,3.943,123570327.0,3.943,123570327.0,3.943,123570327.0,3.943,2.1,213993441.0
1982,126498322.0,3.838,126498322.0,3.838,126498322.0,3.838,126498322.0,3.838,2.1,213993441.0
1983,129448815.0,3.723,129448815.0,3.723,129448815.0,3.723,129448815.0,3.723,2.1,213993441.0
1984,132383569.0,3.6,132383569.0,3.6,132383569.0,3.6,132383569.0,3.6,2.1,213993441.0
1985,135274083.0,3.471,135274083.0,3.471,135274083.0,3.471,135274083.0,3.471,2.1,213993441.0
1986,138108915.0,3.342,138108915.0,3.342,138108915.0,3.342,138108915.0,3.342,2.1,213993441.0
1987,140891606.0,3.217,140891606.0,3.217,140891606.0,3.217,140891606.0,3.217,2.1,213993441.0
1988,143627505.0,3.101,143627505.0,3.101,143627505.0,3.101,143627505.0,3.101,2.1,213993441.0
1989,146328305.0,2.995,146328305.0,2.995,146328305.0,2.995,146328305.0,2.995,2.1,213993441.0
1990,149003225.0,2.902,149003225.0,2.902,149003225.0,2.902,149003225.0,2.902,2.1,213993441.0
1991,151648007.0,2.822,151648007.0,2.822,151648007.0,2.822,151648007.0,2.822,2.1,213993441.0
1992,154259382.0,2.754,154259382.0,2.754,154259382.0,2.754,154259382.0,2.754,2.1,213993441.0
1993,156849086.0,2.693,156849086.0,2.693,156849086.0,2.693,156849086.0,2.693,2.1,213993441.0
1994,159432717.0,2.639,159432717.0,2.639,159432717.0,2.639,159432717.0,2.639,2.1,213993441.0
1995,162019889.0,2.588,162019889.0,2.588,162019889.0,2.588,162019889.0,2.588,2.1,213993441.0
1996,164614682.0,2.536,164614682.0,2.536,164614682.0,2.536,164614682.0,2.536,2.1,213993441.0
1997,167209046.0,2.483,167209046.0,2.483,167209046.0,2.483,167209046.0,2.483,2.1,213993441.0
1998,169785253.0,2.426,169785253.0,2.426,169785253.0,2.426,169785253.0,2.426,2.1,213993441.0
1999,172318674.0,2.365,172318674.0,2.365,172318674.0,2.365,172318674.0,2.365,2.1,213993441.0
2000,174790339.0,2.3,174790339.0,2.3,174790339.0,2.3,174790339.0,2.3,2.1,213993441.0
2001,177196051.0,2.232,177196051.0,2.232,177196051.0,2.232,177196051.0,2.232,2.1,213993441.0
2002,179537523.0,2.163,179537523.0,2.163,179537523.0,2.163,179537523.0,2.163,2.1,213993441.0
2003,181809244.0,2.097,181809244.0,2.097,181809244.0,2.097,181809244.0,2.097,2.1,213993441.0
2004,184006479.0,2.033,184006479.0,2.033,184006479.0,2.033,184006479.0,2.033,2.1,213993441.0
2005,186127108.0,1.976,186127108.0,1.976,186127108.0,1.976,186127108.0,1.976,2.1,213993441.0
2006,188167353.0,1.925,188167353.0,1.925,188167353.0,1.925,188167353.0,1.925,2.1,213993441.0
2007,190130445.0,1.882,190130445.0,1.882,190130445.0,1.882,190130445.0,1.882,2.1,213993441.0
2008,192030362.0,1.847,192030362.0,1.847,192030362.0,1.847,192030362.0,1.847,2.1,213993441.0
2009,193886505.0,1.818,193886505.0,1.818,193886505.0,1.818,193886505.0,1.818,2.1,213993441.0
2010,195713637.0,1.796,195713637.0,1.796,195713637.0,1.796,195713637.0,1.796,2.1,213993441.0
2011,197514541.0,1.781,197514541.0,1.781,197514541.0,1.781,197514541.0,1.781,2.1,213993441.0
2012,199287292.0,1.771,199287292.0,1.771,199287292.0,1.771,199287292.0,1.771,2.1,213993441.0
2013,201035904.0,1.764,201035904.0,1.764,201035904.0,1.764,201035904.0,1.764,2.1,213993441.0
2014,202763744.0,1.758,202763744.0,1.758,202763744.0,1.758,202763744.0,1.758,2.1,213993441.0
2015,204471759.0,1.753,204471759.0,1.753,204471759.0,1.753,204471759.0,1.753,2.1,213993441.0
2016,206163056.0,1.747,206163056.0,1.747,206163056.0,1.747,206163056.0,1.747,2.1,213993441.0
2017,207833825.0,1.739,207833825.0,1.739,207833825.0,1.739,207833825.0,1.739,2.1,213993441.0
2018,209469320.0,1.73,209469320.0,1.73,209469320.0,1.73,209469320.0,1.73,2.1,213993441.0
2019,211049519.0,1.719,211049519.0,1.719,211049519.0,1.719,211049519.0,1.719,2.1,213993441.0
2020,212559409.0,1.706,212559409.0,1.706,212559409.0,1.706,212559409.0,1.706,2.1,213993441.0
2021,213993441.0,1.706,213993441.0,1.706,213993441.0,1.706,213993441.0,1.706,2.1,213993441.0
2022,213417282.11,1.67,213449407.773,1.694,213426855.832,1.677,213465744.792,1.706,2.1,213993441.0
2023,212793688.432,1.634,212889154.337,1.682,212822043.594,1.648,212938048.585,1.706,2.1,213993441.0
2024,212123666.056,1.6,212312796.665,1.67,212179654.91,1.62,212410352.377,1.706,2.1,213993441.0
2025,211408199.737,1.566,211720449.904,1.658,211500329.331,1.593,211882656.17,1.706,2.1,213993441.0
2026,210648253.339,1.533,211112228.375,1.646,210784695.524,1.566,211354959.962,1.706,2.1,213993441.0
2027,209844770.286,1.5,210488245.583,1.634,210033371.455,1.539,210827263.754,1.706,2.1,213993441.0
2028,208998673.99,1.468,209848614.221,1.622,209246964.571,1.513,210299567.547,1.706,2.1,213993441.0
2029,208110868.277,1.437,209193446.176,1.611,208426071.983,1.487,209771871.339,1.706,2.1,213993441.0
2030,207182237.805,1.407,208522852.535,1.599,207571280.636,1.462,209244175.131,1.706,2.1,213993441.0
2031,206213648.466,1.377,207836943.592,1.588,206683167.489,1.437,208716478.924,1.706,2.1,213993441.0
2032,205205947.789,1.348,207135828.851,1.577,205762299.677,1.412,208188782.716,1.706,2.1,213993441.0
2033,204159965.324,1.319,206419617.033,1.565,204809234.686,1.388,207661086.509,1.706,2.1,213993441.0
2034,203076513.028,1.291,205688416.082,1.554,203824520.511,1.365,207133390.301,1.706,2.1,213993441.0
2035,201956385.637,1.264,204942333.171,1.543,202808695.821,1.342,206605694.093,1.706,2.1,213993441.0
2036,200800361.029,1.237,204181474.706,1.532,201762290.117,1.319,206077997.886,1.706,2.1,213993441.0
