year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,230985.0,4.333,230985.0,4.333,230985.0,4.333,230985.0,4.333,2.1,287708.0
1961,231718.0,4.313,231718.0,4.313,231718.0,4.313,231718.0,4.313,2.1,287708.0
1962,232623.0,4.269,232623.0,4.269,232623.0,4.269,232623.0,4.269,2.1,287708.0
1963,233632.0,4.196,233632.0,4.196,233632.0,4.196,233632.0,4.196,2.1,287708.0
1964,234588.0,4.094,234588.0,4.094,234588.0,4.094,234588.0,4.094,2.1,287708.0
1965,235415.0,3.963,235415.0,3.963,235415.0,3.963,235415.0,3.963,2.1,287708.0
1966,236084.0,3.807,236084.0,3.807,236084.0,3.807,236084.0,3.807,2.1,287708.0
1967,236661.0,3.637,236661.0,3.637,236661.0,3.637,236661.0,3.637,2.1,287708.0
1968,237241.0,3.46,237241.0,3.46,237241.0,3.46,237241.0,3.46,2.1,287708.0
1969,237963.0,3.284,237963.0,3.284,237963.0,3.284,237963.0,3.284,2.1,287708.0
1970,238895.0,3.113,238895.0,3.113,238895.0,3.113,238895.0,3.113,2.1,287708.0
1971,240093.0,2.949,240093.0,2.949,240093.0,2.949,240093.0,2.949,2.1,287708.0
1972,241523.0,2.794,241523.0,2.794,241523.0,2.794,241523.0,2.794,2.1,287708.0
1973,243076.0,2.648,243076.0,2.648,243076.0,2.648,243076.0,2.648,2.1,287708.0
1974,244643.0,2.513,244643.0,2.513,244643.0,2.513,244643.0,2.513,2.1,287708.0
1975,246158.0,2.393,246158.0,2.393,246158.0,2.393,246158.0,2.393,2.1,287708.0
1976,247584.0,2.288,247584.0,2.288,247584.0,2.288,247584.0,2.288,2.1,287708.0
1977,248931.0,2.198,248931.0,2.198,248931.0,2.198,248931.0,2.198,2.1,287708.0
1978,250200.0,2.121,250200.0,2.121,250200.0,2.121,250200.0,2.121,2.1,287708.0
1979,251347.0,2.057,251347.0,2.057,251347.0,2.057,251347.0,2.057,2.1,287708.0
1980,252388.0,2.004,252388.0,2.004,252388.0,2.004,252388.0,2.004,2.1,287708.0
1981,253296.0,1.96,253296.0,1.96,253296.0,1.96,253296.0,1.96,2.1,287708.0
1982,254078.0,1.922,254078.0,1.922,254078.0,1.922,254078.0,1.922,2.1,287708.0
1983,254791.0,1.889,254791.0,1.889,254791.0,1.889,254791.0,1.889,2.1,287708.0
1984,255493.0,1.858,255493.0,1.858,255493.0,1.858,255493.0,1.858,2.1,287708.0
1985,256260.0,1.83,256260.0,1.83,256260.0,1.83,256260.0,1.83,2.1,287708.0
1986,257117.0,1.805,257117.0,1.805,257117.0,1.805,257117.0,1.805,2.1,287708.0
1987,258012.0,1.782,258012.0,1.782,258012.0,1.782,258012.0,1.782,2.1,287708.0
1988,258970.0,1.765,258970.0,1.765,258970.0,1.765,258970.0,1.765,2.1,287708.0
1989,259961.0,1.75,259961.0,1.75,259961.0,1.75,259961.0,1.75,2.1,287708.0
1990,260933.0,1.74,260933.0,1.74,260933.0,1.74,260933.0,1.74,2.1,287708.0
1991,261912.0,1.733,261912.0,1.733,261912.0,1.733,261912.0,1.733,2.1,287708.0
1992,262890.0,1.728,262890.0,1.728,262890.0,1.728,262890.0,1.728,2.1,287708.0
1993,263869.0,1.725,263869.0,1.725,263869.0,1.725,263869.0,1.725,2.1,287708.0
1994,264893.0,1.725,264893.0,1.725,264893.0,1.725,264893.0,1.725,2.1,287708.0
1995,265955.0,1.727,265955.0,1.727,265955.0,1.727,265955.0,1.727,2.1,287708.0
1996,267047.0,1.732,267047.0,1.732,267047.0,1.732,267047.0,1.732,2.1,287708.0
1997,268183.0,1.74,268183.0,1.74,268183.0,1.74,268183.0,1.74,2.1,287708.0
1998,269334.0,1.75,269334.0,1.75,269334.0,1.75,269334.0,1.75,2.1,287708.0
1999,270455.0,1.762,270455.0,1.762,270455.0,1.762,270455.0,1.762,2.1,287708.0
2000,271511.0,1.775,271511.0,1.775,271511.0,1.775,271511.0,1.775,2.1,287708.0
2001,272494.0,1.785,272494.0,1.785,272494.0,1.785,272494.0,1.785,2.1,287708.0
2002,273423.0,1.793,273423.0,1.793,273423.0,1.793,273423.0,1.793,2.1,287708.0
2003,274331.0,1.797,274331.0,1.797,274331.0,1.797,274331.0,1.797,2.1,287708.0
2004,275283.0,1.795,275283.0,1.795,275283.0,1.795,275283.0,1.795,2.1,287708.0
2005,276320.0,1.788,276320.0,1.788,276320.0,1.788,276320.0,1.788,2.1,287708.0
2006,277475.0,1.775,277475.0,1.775,277475.0,1.775,277475.0,1.775,2.1,287708.0
