year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,81707.0,6.836,81707.0,6.836,81707.0,6.836,81707.0,6.836,2.1,441532.0
1961,85560.0,6.771,85560.0,6.771,85560.0,6.771,85560.0,6.771,2.1,441532.0
1962,89484.0,6.683,89484.0,6.683,89484.0,6.683,89484.0,6.683,2.1,441532.0
1963,93540.0,6.572,93540.0,6.572,93540.0,6.572,93540.0,6.572,2.1,441532.0
1964,97819.0,6.44,97819.0,6.44,97819.0,6.44,97819.0,6.44,2.1,441532.0
1965,102390.0,6.297,102390.0,6.297,102390.0,6.297,102390.0,6.297,2.1,441532.0
1966,107274.0,6.156,107274.0,6.156,107274.0,6.156,107274.0,6.156,2.1,441532.0
1967,112446.0,6.026,112446.0,6.026,112446.0,6.026,112446.0,6.026,2.1,441532.0
1968,117897.0,5.912,117897.0,5.912,117897.0,5.912,117897.0,5.912,2.1,441532.0
1969,123596.0,5.812,123596.0,5.812,123596.0,5.812,123596.0,5.812,2.1,441532.0
1970,129530.0,5.719,129530.0,5.719,129530.0,5.719,129530.0,5.719,2.1,441532.0
1971,135672.0,5.619,135672.0,5.619,135672.0,5.619,135672.0,5.619,2.1,441532.0
1972,142015.0,5.5,142015.0,5.5,142015.0,5.5,142015.0,5.5,2.1,441532.0
1973,148516.0,5.355,148516.0,5.355,148516.0,5.355,148516.0,5.355,2.1,441532.0
1974,155069.0,5.183,155069.0,5.183,155069.0,5.183,155069.0,5.183,2.1,441532.0
1975,161635.0,4.99,161635.0,4.99,161635.0,4.99,161635.0,4.99,2.1,441532.0
1976,168173.0,4.784,168173.0,4.784,168173.0,4.784,168173.0,4.784,2.1,441532.0
1977,174717.0,4.58,174717.0,4.58,174717.0,4.58,174717.0,4.58,2.1,441532.0
1978,181201.0,4.389,181201.0,4.389,181201.0,4.389,181201.0,4.389,2.1,441532.0
1979,187596.0,4.216,187596.0,4.216,187596.0,4.216,187596.0,4.216,2.1,441532.0
1980,193880.0,4.067,193880.0,4.067,193880.0,4.067,193880.0,4.067,2.1,441532.0
1981,200027.0,3.943,200027.0,3.943,200027.0,3.943,200027.0,3.943,2.1,441532.0
1982,206064.0,3.84,206064.0,3.84,206064.0,3.84,206064.0,3.84,2.1,441532.0
1983,212073.0,3.751,212073.0,3.751,212073.0,3.751,212073.0,3.751,2.1,441532.0
1984,218176.0,3.675,218176.0,3.675,218176.0,3.675,218176.0,3.675,2.1,441532.0
1985,224440.0,3.608,224440.0,3.608,224440.0,3.608,224440.0,3.608,2.1,441532.0
1986,230917.0,3.546,230917.0,3.546,230917.0,3.546,230917.0,3.546,2.1,441532.0
1987,237565.0,3.488,237565.0,3.488,237565.0,3.488,237565.0,3.488,2.1,441532.0
1988,244405.0,3.428,244405.0,3.428,244405.0,3.428,244405.0,3.428,2.1,441532.0
1989,251456.0,3.363,251456.0,3.363,251456.0,3.363,251456.0,3.363,2.1,441532.0
1990,258714.0,3.29,258714.0,3.29,258714.0,3.29,258714.0,3.29,2.1,441532.0
1991,266208.0,3.206,266208.0,3.206,266208.0,3.206,266208.0,3.206,2.1,441532.0
1992,273888.0,3.111,273888.0,3.111,273888.0,3.111,273888.0,3.111,2.1,441532.0
1993,281684.0,3.007,281684.0,3.007,281684.0,3.007,281684.0,3.007,2.1,441532.0
1994,289452.0,2.897,289452.0,2.897,289452.0,2.897,289452.0,2.897,2.1,441532.0
1995,297112.0,2.785,297112.0,2.785,297112.0,2.785,297112.0,2.785,2.1,441532.0
1996,304620.0,2.677,304620.0,2.677,304620.0,2.677,304620.0,2.677,2.1,441532.0
1997,311962.0,2.578,311962.0,2.578,311962.0,2.578,311962.0,2.578,2.1,441532.0
1998,319135.0,2.489,319135.0,2.489,319135.0,2.489,319135.0,2.489,2.1,441532.0
1999,326214.0,2.413,326214.0,2.413,326214.0,2.413,326214.0,2.413,2.1,441532.0
2000,333166.0,2.346,333166.0,2.346,333166.0,2.346,333166.0,2.346,2.1,441532.0
2001,340037.0,2.284,340037.0,2.284,340037.0,2.284,340037.0,2.284,2.1,441532.0
2002,346777.0,2.22,346777.0,2.22,346777.0,2.22,346777.0,2.22,2.1,441532.0
2003,353295.0,2.154,353295.0,2.154,353295.0,2.154,353295.0,2.154,2.1,441532.0
2004,359434.0,2.086,359434.0,2.086,359434.0,2.086,359434.0,2.086,2.1,441532.0
