year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,223284.0,6.635,223284.0,6.635,223284.0,6.635,223284.0,6.635,2.1,779900.0
1961,228849.0,6.622,228849.0,6.622,228849.0,6.622,228849.0,6.622,2.1,779900.0
1962,234552.0,6.611,234552.0,6.611,234552.0,6.611,234552.0,6.611,2.1,779900.0
1963,240529.0,6.603,240529.0,6.603,240529.0,6.603,240529.0,6.603,2.1,779900.0
1964,246961.0,6.597,246961.0,6.597,246961.0,6.597,246961.0,6.597,2.1,779900.0
1965,253993.0,6.595,253993.0,6.595,253993.0,6.595,253993.0,6.595,2.1,779900.0
1966,261664.0,6.595,261664.0,6.595,261664.0,6.595,261664.0,6.595,2.1,779900.0
1967,269944.0,6.596,269944.0,6.596,269944.0,6.596,269944.0,6.596,2.1,779900.0
1968,278731.0,6.598,278731.0,6.598,278731.0,6.598,278731.0,6.598,2.1,779900.0
1969,287886.0,6.599,287886.0,6.599,287886.0,6.599,287886.0,6.599,2.1,779900.0
1970,297307.0,6.601,297307.0,6.601,297307.0,6.601,297307.0,6.601,2.1,779900.0
1971,306957.0,6.604,306957.0,6.604,306957.0,6.604,306957.0,6.604,2.1,779900.0
1972,316822.0,6.608,316822.0,6.608,316822.0,6.608,316822.0,6.608,2.1,779900.0
1973,326986.0,6.613,326986.0,6.613,326986.0,6.613,326986.0,6.613,2.1,779900.0
1974,337491.0,6.618,337491.0,6.618,337491.0,6.618,337491.0,6.618,2.1,779900.0
1975,348395.0,6.62,348395.0,6.62,348395.0,6.62,348395.0,6.62,2.1,779900.0
1976,359721.0,6.616,359721.0,6.616,359721.0,6.616,359721.0,6.616,2.1,779900.0
1977,371424.0,6.605,371424.0,6.605,371424.0,6.605,371424.0,6.605,2.1,779900.0
1978,383324.0,6.584,383324.0,6.584,383324.0,6.584,383324.0,6.584,2.1,779900.0
1979,395192.0,6.553,395192.0,6.553,395192.0,6.553,395192.0,6.553,2.1,779900.0
1980,406883.0,6.511,406883.0,6.511,406883.0,6.511,406883.0,6.511,2.1,779900.0
1981,418107.0,6.46,418107.0,6.46,418107.0,6.46,418107.0,6.46,2.1,779900.0
1982,428938.0,6.402,428938.0,6.402,428938.0,6.402,428938.0,6.402,2.1,779900.0
1983,439823.0,6.336,439823.0,6.336,439823.0,6.336,439823.0,6.336,2.1,779900.0
1984,451471.0,6.262,451471.0,6.262,451471.0,6.262,451471.0,6.262,2.1,779900.0
1985,464264.0,6.176,464264.0,6.176,464264.0,6.176,464264.0,6.176,2.1,779900.0
1986,478683.0,6.075,478683.0,6.075,478683.0,6.075,478683.0,6.075,2.1,779900.0
1987,494313.0,5.956,494313.0,5.956,494313.0,5.956,494313.0,5.956,2.1,779900.0
1988,509532.0,5.819,509532.0,5.819,509532.0,5.819,509532.0,5.819,2.1,779900.0
1989,522173.0,5.664,522173.0,5.664,522173.0,5.664,522173.0,5.664,2.1,779900.0
1990,530801.0,5.493,530801.0,5.493,530801.0,5.493,530801.0,5.493,2.1,779900.0
1991,534637.0,5.306,534637.0,5.306,534637.0,5.306,534637.0,5.306,2.1,779900.0
1992,534525.0,5.11,534525.0,5.11,534525.0,5.11,534525.0,5.11,2.1,779900.0
1993,532590.0,4.909,532590.0,4.909,532590.0,4.909,532590.0,4.909,2.1,779900.0
1994,531905.0,4.704,531905.0,4.704,531905.0,4.704,531905.0,4.704,2.1,779900.0
1995,534629.0,4.5,534629.0,4.5,534629.0,4.5,534629.0,4.5,2.1,779900.0
1996,541471.0,4.297,541471.0,4.297,541471.0,4.297,541471.0,4.297,2.1,779900.0
1997,551713.0,4.095,551713.0,4.095,551713.0,4.095,551713.0,4.095,2.1,779900.0
1998,564378.0,3.895,564378.0,3.895,564378.0,3.895,564378.0,3.895,2.1,779900.0
1999,577886.0,3.701,577886.0,3.701,577886.0,3.701,577886.0,3.701,2.1,779900.0
2000,591014.0,3.515,591014.0,3.515,591014.0,3.515,591014.0,3.515,2.1,779900.0
2001,603643.0,3.342,603643.0,3.342,603643.0,3.342,603643.0,3.342,2.1,779900.0
2002,616025.0,3.183,616025.0,3.183,616025.0,3.183,616025.0,3.183,2.1,779900.0
2003,627840.0,3.037,627840.0,3.037,627840.0,3.037,627840.0,3.037,2.1,779900.0
2004,638809.0,2.906,638809.0,2.906,638809.0,2.906,638809.0,2.906,2.1,779900.0
2005,648744.0,2.788,648744.0,2.788,648744.0,2.788,648744.0,2.788,2.1,779900.0
2006,657404.0,2.679,657404.0,2.679,657404.0,2.679,657404.0,2.679,2.1,779900.0
2007,664873.0,2.577,664873.0,2.577,664873.0,2.577,664873.0,2.577,2.1,779900.0
2008,671611.0,2.48,671611.0,2.48,671611.0,2.48,671611.0,2.48,2.1,779900.0
2009,678329.0,2.387,678329.0,2.387,678329.0,2.387,678329.0,2.387,2.1,779900.0
2010,685502.0,2.301,685502.0,2.301,685502.0,2.301,685502.0,2.301,2.1,779900.0
2011,693297.0,2.224,693297.0,2.224,693297.0,2.224,693297.0,2.224,2.1,779900.0
2012,701582.0,2.159,701582.0,2.159,701582.0,2.159,701582.0,2.159,2.1,779900.0
2013,710235.0,2.107,710235.0,2.107,710235.0,2.107,710235.0,2.107,2.1,779900.0
2014,719053.0,2.067,719053.0,2.067,719053.0,2.067,719053.0,2.067,2.1,779900.0
