year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,502733.0,6.615,502733.0,6.615,502733.0,6.615,502733.0,6.615,2.1,2397240.0
1961,512688.0,6.632,512688.0,6.632,512688.0,6.632,512688.0,6.632,2.1,2397240.0
1962,523777.0,6.649,523777.0,6.649,523777.0,6.649,523777.0,6.649,2.1,2397240.0
1963,535692.0,6.666,535692.0,6.666,535692.0,6.666,535692.0,6.666,2.1,2397240.0
1964,547870.0,6.681,547870.0,6.681,547870.0,6.681,547870.0,6.681,2.1,2397240.0
1965,559996.0,6.692,559996.0,6.692,559996.0,6.692,559996.0,6.692,2.1,2397240.0
1966,571957.0,6.698,571957.0,6.698,571957.0,6.698,571957.0,6.698,2.1,2397240.0
1967,584098.0,6.697,584098.0,6.697,584098.0,6.697,584098.0,6.697,2.1,2397240.0
1968,596946.0,6.687,596946.0,6.687,596946.0,6.687,596946.0,6.687,2.1,2397240.0
1969,611297.0,6.67,611297.0,6.67,611297.0,6.67,611297.0,6.67,2.1,2397240.0
1970,627714.0,6.645,627714.0,6.645,627714.0,6.645,627714.0,6.645,2.1,2397240.0
1971,646350.0,6.615,646350.0,6.615,646350.0,6.615,646350.0,6.615,2.1,2397240.0
1972,667096.0,6.582,667096.0,6.582,667096.0,6.582,667096.0,6.582,2.1,2397240.0
1973,689906.0,6.547,689906.0,6.547,689906.0,6.547,689906.0,6.547,2.1,2397240.0
1974,714701.0,6.51,714701.0,6.51,714701.0,6.51,714701.0,6.51,2.1,2397240.0
1975,741346.0,6.472,741346.0,6.472,741346.0,6.472,741346.0,6.472,2.1,2397240.0
1976,769982.0,6.433,769982.0,6.433,769982.0,6.433,769982.0,6.433,2.1,2397240.0
1977,800532.0,6.392,800532.0,6.392,800532.0,6.392,800532.0,6.392,2.1,2397240.0
1978,832467.0,6.345,832467.0,6.345,832467.0,6.345,832467.0,6.345,2.1,2397240.0
1979,865073.0,6.288,865073.0,6.288,865073.0,6.288,865073.0,6.288,2.1,2397240.0
1980,897860.0,6.214,897860.0,6.214,897860.0,6.214,897860.0,6.214,2.1,2397240.0
1981,930412.0,6.115,930412.0,6.115,930412.0,6.115,930412.0,6.115,2.1,2397240.0
1982,962859.0,5.988,962859.0,5.988,962859.0,5.988,962859.0,5.988,2.1,2397240.0
1983,996124.0,5.833,996124.0,5.833,996124.0,5.833,996124.0,5.833,2.1,2397240.0
1984,1031439.0,5.652,1031439.0,5.652,1031439.0,5.652,1031439.0,5.652,2.1,2397240.0
1985,1069585.0,5.454,1069585.0,5.454,1069585.0,5.454,1069585.0,5.454,2.1,2397240.0
1986,1110948.0,5.245,1110948.0,5.245,1110948.0,5.245,1110948.0,5.245,2.1,2397240.0
1987,1154904.0,5.037,1154904.0,5.037,1154904.0,5.037,1154904.0,5.037,2.1,2397240.0
1988,1200073.0,4.839,1200073.0,4.839,1200073.0,4.839,1200073.0,4.839,2.1,2397240.0
1989,1244484.0,4.654,1244484.0,4.654,1244484.0,4.654,1244484.0,4.654,2.1,2397240.0
1990,1286756.0,4.485,1286756.0,4.485,1286756.0,4.485,1286756.0,4.485,2.1,2397240.0
1991,1326321.0,4.33,1326321.0,4.33,1326321.0,4.33,1326321.0,4.33,2.1,2397240.0
1992,1363541.0,4.183,1363541.0,4.183,1363541.0,4.183,1363541.0,4.183,2.1,2397240.0
1993,1399110.0,4.041,1399110.0,4.041,1399110.0,4.041,1399110.0,4.041,2.1,2397240.0
1994,1434061.0,3.904,1434061.0,3.904,1434061.0,3.904,1434061.0,3.904,2.1,2397240.0
1995,1469173.0,3.774,1469173.0,3.774,1469173.0,3.774,1469173.0,3.774,2.1,2397240.0
1996,1504724.0,3.654,1504724.0,3.654,1504724.0,3.654,1504724.0,3.654,2.1,2397240.0
1997,1540424.0,3.546,1540424.0,3.546,1540424.0,3.546,1540424.0,3.546,2.1,2397240.0
1998,1575827.0,3.452,1575827.0,3.452,1575827.0,3.452,1575827.0,3.452,2.1,2397240.0
1999,1610260.0,3.371,1610260.0,3.371,1610260.0,3.371,1610260.0,3.371,2.1,2397240.0
2000,1643333.0,3.304,1643333.0,3.304,1643333.0,3.304,1643333.0,3.304,2.1,2397240.0
2001,1674674.0,3.248,1674674.0,3.248,1674674.0,3.248,1674674.0,3.248,2.1,2397240.0
2002,1704637.0,3.2,1704637.0,3.2,1704637.0,3.2,1704637.0,3.2,2.1,2397240.0
2003,1734387.0,3.159,1734387.0,3.159,1734387.0,3.159,1734387.0,3.159,2.1,2397240.0
2004,1765533.0,3.122,1765533.0,3.122,1765533.0,3.122,1765533.0,3.122,2.1,2397240.0
2005,1799077.0,3.091,1799077.0,3.091,1799077.0,3.091,1799077.0,3.091,2.1,2397240.0
2006,1835911.0,3.066,1835911.0,3.066,1835911.0,3.066,1835911.0,3.066,2.1,2397240.0
2007,1875458.0,3.047,1875458.0,3.047,1875458.0,3.047,1875458.0,3.047,2.1,2397240.0
2008,1915636.0,3.034,1915636.0,3.034,1915636.0,3.034,1915636.0,3.034,2.1,2397240.0
2009,1953495.0,3.026,1953495.0,3.026,1953495.0,3.026,1953495.0,3.026,2.1,2397240.0
2010,1987106.0,3.022,1987106.0,3.022,1987106.0,3.022,1987106.0,3.022,2.1,2397240.0
2011,2015406.0,3.017,2015406.0,3.017,2015406.0,3.017,2015406.0,3.017,2.1,2397240.0
2012,2039551.0,3.011,2039551.0,3.011,2039551.0,3.011,2039551.0,3.011,2.1,2397240.0
2013,2062551.0,3.002,2062551.0,3.002,2062551.0,3.002,2062551.0,3.002,2.1,2397240.0
2014,2088619.0,2.988,2088619.0,2.988,2088619.0,2.988,2088619.0,2.988,2.1,2397240.0
2015,2120716.0,2.968,2120716.0,2.968,2120716.0,2.968,2120716.0,2.968,2.1,2397240.0
2016,2159925.0,2.942,2159925.0,2.942,2159925.0,2.942,2159925.0,2.942,2.1,2397240.0
2017,2205076.0,2.91,2205076.0,2.91,2205076.0,2.91,2205076.0,2.91,2.1,2397240.0
2018,2254067.0,2.874,2254067.0,2.874,2254067.0,2.874,2254067.0,2.874,2.1,2397240.0
2019,2303703.0,2.836,2303703.0,2.836,2303703.0,2.836,2303703.0,2.836,2.1,2397240.0
2020,2351625.0,2.796,2351625.0,2.796,2351625.0,2.796,2351625.0,2.796,2.1,2397240.0
2021,2397240.0,2.796,2397240.0,2.796,2397240.0,2.796,2397240.0,2.796,2.1,2397240.0
2022,2407965.057,2.756,2408316.268,2.777,2408177.247,2.769,2408623.577,2.796,2.1,2397240.0
2023,2418041.076,2.716,2419087.291,2.759,2418672.519,2.742,2420007.154,2.796,2.1,2397240.0
2024,2427477.404,2.677,2429555.121,2.74,2428730.131,2.715,2431390.731,2.796,2.1,2397240.0
2025,2436283.252,2.638,2439721.796,2.722,2438354.354,2.688,2442774.309,2.796,2.1,2397240.0
2026,2444467.698,2.6,2449589.338,2.703,2447549.418,2.662,2454157.886,2.796,2.1,2397240.0
2027,2452039.692,2.563,2459159.759,2.685,2456319.511,2.636,2465541.463,2.796,2.1,2397240.0
2028,2459008.053,2.526,2468435.055,2.667,2464668.781,2.61,2476925.04,2.796,2.1,2397240.0
2029,2465381.472,2.49,2477417.209,2.649,2472601.336,2.585,2488308.617,2.796,2.1,2397240.0
2030,2471168.517,2.454,2486108.191,2.631,2480121.242,2.56,2499692.194,2.796,2.1,2397240.0
2031,2476377.632,2.418,2494509.958,2.614,2487232.528,2.535,2511075.771,2.796,2.1,2397240.0
2032,2481017.139,2.384,2502624.453,2.596,2493939.18,2.51,2522459.349,2.796,2.1,2397240.0
2033,2485095.24,2.349,2510453.607,2.579,2500245.149,2.486,2533842.926,2.796,2.1,2397240.0
2034,2488620.02,2.316,2517999.337,2.561,2506154.345,2.461,2545226.503,2.796,2.1,2397240.0
2035,2491599.446,2.282,2525263.548,2.544,2511670.64,2.437,2556610.08,2.796,2.1,2397240.0
2036,2494041.372,2.249,2532248.132,2.527,2516797.87,2.413,2567993.657,2.796,2.1,2397240.0
2037,2495953.537,2.217,2538954.967,2.51,2521539.831,2.39,2579377.234,2.796,2.1,2397240.0
2038,2497343.57,2.185,2545385.921,2.493,2525900.284,2.367,2590760.811,2.796,2.1,2397240.0
2039,2498218.99,2.154,2551542.847,2.476,2529882.952,2.344,2602144.389,2.796,2.1,2397240.0
