year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1501668.0,5.84,1501668.0,5.84,1501668.0,5.84,1501668.0,5.84,2.1,4919987.0
1961,1526057.0,5.867,1526057.0,5.867,1526057.0,5.867,1526057.0,5.867,2.1,4919987.0
1962,1551908.0,5.891,1551908.0,5.891,1551908.0,5.891,1551908.0,5.891,2.1,4919987.0
1963,1579375.0,5.91,1579375.0,5.91,1579375.0,5.91,1579375.0,5.91,2.1,4919987.0
1964,1608618.0,5.925,1608618.0,5.925,1608618.0,5.925,1608618.0,5.925,2.1,4919987.0
1965,1639706.0,5.937,1639706.0,5.937,1639706.0,5.937,1639706.0,5.937,2.1,4919987.0
1966,1673019.0,5.946,1673019.0,5.946,1673019.0,5.946,1673019.0,5.946,2.1,4919987.0
1967,1708306.0,5.952,1708306.0,5.952,1708306.0,5.952,1708306.0,5.952,2.1,4919987.0
1968,1744198.0,5.956,1744198.0,5.956,1744198.0,5.956,1744198.0,5.956,2.1,4919987.0
1969,1778870.0,5.958,1778870.0,5.958,1778870.0,5.958,1778870.0,5.958,2.1,4919987.0
1970,1811157.0,5.958,1811157.0,5.958,1811157.0,5.958,1811157.0,5.958,2.1,4919987.0
1971,1840517.0,5.956,1840517.0,5.956,1840517.0,5.956,1840517.0,5.956,2.1,4919987.0
1972,1867786.0,5.951,1867786.0,5.951,1867786.0,5.951,1867786.0,5.951,2.1,4919987.0
1973,1894850.0,5.944,1894850.0,5.944,1894850.0,5.944,1894850.0,5.944,2.1,4919987.0
1974,1924386.0,5.935,1924386.0,5.935,1924386.0,5.935,1924386.0,5.935,2.1,4919987.0
1975,1958367.0,5.925,1958367.0,5.925,1958367.0,5.925,1958367.0,5.925,2.1,4919987.0
1976,1997017.0,5.916,1997017.0,5.916,1997017.0,5.916,1997017.0,5.916,2.1,4919987.0
1977,2039914.0,5.908,2039914.0,5.908,2039914.0,5.908,2039914.0,5.908,2.1,4919987.0
1978,2087662.0,5.902,2087662.0,5.902,2087662.0,5.902,2087662.0,5.902,2.1,4919987.0
1979,2140778.0,5.898,2140778.0,5.898,2140778.0,5.898,2140778.0,5.898,2.1,4919987.0
1980,2199359.0,5.897,2199359.0,5.897,2199359.0,5.897,2199359.0,5.897,2.1,4919987.0
1981,2264441.0,5.899,2264441.0,5.899,2264441.0,5.899,2264441.0,5.899,2.1,4919987.0
1982,2335339.0,5.904,2335339.0,5.904,2335339.0,5.904,2335339.0,5.904,2.1,4919987.0
1983,2408322.0,5.909,2408322.0,5.909,2408322.0,5.909,2408322.0,5.909,2.1,4919987.0
1984,2478382.0,5.914,2478382.0,5.914,2478382.0,5.914,2478382.0,5.914,2.1,4919987.0
1985,2542170.0,5.915,2542170.0,5.915,2542170.0,5.915,2542170.0,5.915,2.1,4919987.0
1986,2597765.0,5.91,2597765.0,5.91,2597765.0,5.91,2597765.0,5.91,2.1,4919987.0
