year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,17909009.0,3.811,17909009.0,3.811,17909009.0,3.811,17909009.0,3.811,2.1,38246108.0
1961,18271000.0,3.753,18271000.0,3.753,18271000.0,3.753,18271000.0,3.753,2.1,38246108.0
1962,18614000.0,3.681,18614000.0,3.681,18614000.0,3.681,18614000.0,3.681,2.1,38246108.0
1963,18964000.0,3.607,18964000.0,3.607,18964000.0,3.607,18964000.0,3.607,2.1,38246108.0
1964,19325000.0,3.456,19325000.0,3.456,19325000.0,3.456,19325000.0,3.456,2.1,38246108.0
1965,19678000.0,3.115,19678000.0,3.115,19678000.0,3.115,19678000.0,3.115,2.1,38246108.0
1966,20048000.0,2.749,20048000.0,2.749,20048000.0,2.749,20048000.0,2.749,2.1,38246108.0
1967,20412000.0,2.528,20412000.0,2.528,20412000.0,2.528,20412000.0,2.528,2.1,38246108.0
1968,20744000.0,2.386,20744000.0,2.386,20744000.0,2.386,20744000.0,2.386,2.1,38246108.0
1969,21028000.0,2.334,21028000.0,2.334,21028000.0,2.334,21028000.0,2.334,2.1,38246108.0
1970,21324000.0,2.258,21324000.0,2.258,21324000.0,2.258,21324000.0,2.258,2.1,38246108.0
1971,21962032.0,2.141,21962032.0,2.141,21962032.0,2.141,21962032.0,2.141,2.1,38246108.0
1972,22218463.0,1.98,22218463.0,1.98,22218463.0,1.98,22218463.0,1.98,2.1,38246108.0
1973,22491777.0,1.89,22491777.0,1.89,22491777.0,1.89,22491777.0,1.89,2.1,38246108.0
1974,22807969.0,1.837,22807969.0,1.837,22807969.0,1.837,22807969.0,1.837,2.1,38246108.0
1975,23143275.0,1.824,23143275.0,1.824,23143275.0,1.824,23143275.0,1.824,2.1,38246108.0
1976,23449808.0,1.796,23449808.0,1.796,23449808.0,1.796,23449808.0,1.796,2.1,38246108.0
1977,23725843.0,1.782,23725843.0,1.782,23725843.0,1.782,23725843.0,1.782,2.1,38246108.0
1978,23963203.0,1.768,23963203.0,1.768,23963203.0,1.768,23963203.0,1.768,2.1,38246108.0
1979,24201544.0,1.754,24201544.0,1.754,24201544.0,1.754,24201544.0,1.754,2.1,38246108.0
1980,24515667.0,1.74,24515667.0,1.74,24515667.0,1.74,24515667.0,1.74,2.1,38246108.0
1981,24819915.0,1.7,24819915.0,1.7,24819915.0,1.7,24819915.0,1.7,2.1,38246108.0
1982,25116942.0,1.69,25116942.0,1.69,25116942.0,1.69,25116942.0,1.69,2.1,38246108.0
1983,25366451.0,1.68,25366451.0,1.68,25366451.0,1.68,25366451.0,1.68,2.1,38246108.0
1984,25607053.0,1.65,25607053.0,1.65,25607053.0,1.65,25607053.0,1.65,2.1,38246108.0
1985,25842116.0,1.67,25842116.0,1.67,25842116.0,1.67,25842116.0,1.67,2.1,38246108.0
1986,26100278.0,1.675,26100278.0,1.675,26100278.0,1.675,26100278.0,1.675,2.1,38246108.0
1987,26446601.0,1.68,26446601.0,1.68,26446601.0,1.68,26446601.0,1.68,2.1,38246108.0
1988,26791747.0,1.68,26791747.0,1.68,26791747.0,1.68,26791747.0,1.68,2.1,38246108.0
1989,27276781.0,1.77,27276781.0,1.77,27276781.0,1.77,27276781.0,1.77,2.1,38246108.0
1990,27691138.0,1.83,27691138.0,1.83,27691138.0,1.83,27691138.0,1.83,2.1,38246108.0
1991,28037420.0,1.72,28037420.0,1.72,28037420.0,1.72,28037420.0,1.72,2.1,38246108.0
1992,28371264.0,1.71,28371264.0,1.71,28371264.0,1.71,28371264.0,1.71,2.1,38246108.0
1993,28684764.0,1.68,28684764.0,1.68,28684764.0,1.68,28684764.0,1.68,2.1,38246108.0
1994,29000663.0,1.69,29000663.0,1.69,29000663.0,1.69,29000663.0,1.69,2.1,38246108.0
1995,29302311.0,1.67,29302311.0,1.67,29302311.0,1.67,29302311.0,1.67,2.1,38246108.0
1996,29610218.0,1.63,29610218.0,1.63,29610218.0,1.63,29610218.0,1.63,2.1,38246108.0
1997,29905948.0,1.57,29905948.0,1.57,29905948.0,1.57,29905948.0,1.57,2.1,38246108.0
1998,30155173.0,1.56,30155173.0,1.56,30155173.0,1.56,30155173.0,1.56,2.1,38246108.0
1999,30401286.0,1.54,30401286.0,1.54,30401286.0,1.54,30401286.0,1.54,2.1,38246108.0
2000,30685730.0,1.51,30685730.0,1.51,30685730.0,1.51,30685730.0,1.51,2.1,38246108.0
