year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,91401764.0,2.497094093,91401764.0,2.497094093,91401764.0,2.497094093,91401764.0,2.497094093,2.1,101669618.0
1961,92232738.0,2.400683367,92232738.0,2.400683367,92232738.0,2.400683367,92232738.0,2.400683367,2.1,101669618.0
1962,93009498.0,2.309179415,93009498.0,2.309179415,93009498.0,2.309179415,93009498.0,2.309179415,2.1,101669618.0
1963,93840016.0,2.313874438,93840016.0,2.313874438,93840016.0,2.313874438,93840016.0,2.313874438,2.1,101669618.0
1964,94715795.0,2.258711678,94715795.0,2.258711678,94715795.0,2.258711678,94715795.0,2.258711678,2.1,101669618.0
1965,95440988.0,2.198709895,95440988.0,2.198709895,95440988.0,2.198709895,95440988.0,2.198709895,2.1,101669618.0
1966,96146336.0,2.118628511,96146336.0,2.118628511,96146336.0,2.118628511,96146336.0,2.118628511,2.1,101669618.0
1967,97043270.0,2.470612864,97043270.0,2.470612864,97043270.0,2.470612864,97043270.0,2.470612864,2.1,101669618.0
1968,97884022.0,2.452778435,97884022.0,2.452778435,97884022.0,2.452778435,97884022.0,2.452778435,2.1,101669618.0
1969,98606630.0,2.355258921,98606630.0,2.355258921,98606630.0,2.355258921,98606630.0,2.355258921,2.1,101669618.0
1970,99134548.0,2.288901388,99134548.0,2.288901388,99134548.0,2.288901388,99134548.0,2.288901388,2.1,101669618.0
1971,99635258.0,2.259077215,99635258.0,2.259077215,99635258.0,2.259077215,99635258.0,2.259077215,2.1,101669618.0
1972,100357161.0,2.233753302,100357161.0,2.233753302,100357161.0,2.233753302,100357161.0,2.233753302,2.1,101669618.0
1973,101112680.0,2.246797013,101112680.0,2.246797013,101112680.0,2.246797013,101112680.0,2.246797013,2.1,101669618.0
1974,101939916.0,2.364163239,101939916.0,2.364163239,101939916.0,2.364163239,101939916.0,2.364163239,2.1,101669618.0
1975,102860571.0,2.338123942,102860571.0,2.338123942,102860571.0,2.338123942,102860571.0,2.338123942,2.1,101669618.0
1976,103776068.0,2.322320878,103776068.0,2.322320878,103776068.0,2.322320878,103776068.0,2.322320878,2.1,101669618.0
1977,104616884.0,2.283256654,104616884.0,2.283256654,104616884.0,2.283256654,104616884.0,2.283256654,2.1,101669618.0
1978,105329397.0,2.246298547,105329397.0,2.246298547,105329397.0,2.246298547,105329397.0,2.246298547,2.1,101669618.0
1979,105948616.0,2.251510983,105948616.0,2.251510983,105948616.0,2.251510983,105948616.0,2.251510983,2.1,101669618.0
1980,106541316.0,2.194301586,106541316.0,2.194301586,106541316.0,2.194301586,106541316.0,2.194301586,2.1,101669618.0
1981,107129392.0,2.150436229,107129392.0,2.150436229,107129392.0,2.150436229,107129392.0,2.150436229,2.1,101669618.0
1982,107730380.0,2.140746548,107730380.0,2.140746548,107730380.0,2.140746548,107730380.0,2.140746548,2.1,101669618.0
1983,108297837.0,2.143558787,108297837.0,2.143558787,108297837.0,2.143558787,108297837.0,2.143558787,2.1,101669618.0
1984,108838073.0,2.164233006,108838073.0,2.164233006,108838073.0,2.164233006,108838073.0,2.164233006,2.1,101669618.0
1985,109338285.0,2.162172798,109338285.0,2.162172798,109338285.0,2.162172798,109338285.0,2.162172798,2.1,101669618.0
1986,109824166.0,2.137672004,109824166.0,2.137672004,109824166.0,2.137672004,109824166.0,2.137672004,2.1,101669618.0
1987,110296425.0,2.096933281,110296425.0,2.096933281,110296425.0,2.096933281,110296425.0,2.096933281,2.1,101669618.0
1988,110686740.0,2.077648878,110686740.0,2.077648878,110686740.0,2.077648878,110686740.0,2.077648878,2.1,101669618.0
1989,110801640.0,2.017746181,110801640.0,2.017746181,110801640.0,2.017746181,110801640.0,2.017746181,2.1,101669618.0
1990,110743128.0,1.931081933,110743128.0,1.931081933,110743128.0,1.931081933,110743128.0,1.931081933,2.1,101669618.0
1991,110469467.0,1.855832937,110469467.0,1.855832937,110469467.0,1.855832937,110469467.0,1.855832937,2.1,101669618.0
1992,110111454.0,1.751285157,110111454.0,1.751285157,110111454.0,1.751285157,110111454.0,1.751285157,2.1,101669618.0
1993,110041924.0,1.671068168,110041924.0,1.671068168,110041924.0,1.671068168,110041924.0,1.671068168,2.1,101669618.0
1994,110021594.0,1.590153698,110021594.0,1.590153698,110021594.0,1.590153698,110021594.0,1.590153698,2.1,101669618.0
1995,109864246.0,1.46879617,109864246.0,1.46879617,109864246.0,1.46879617,109864246.0,1.46879617,2.1,101669618.0
1996,109626194.0,1.429317429,109626194.0,1.429317429,109626194.0,1.429317429,109626194.0,1.429317429,2.1,101669618.0
1997,109422013.0,1.381600606,109422013.0,1.381600606,109422013.0,1.381600606,109422013.0,1.381600606,2.1,101669618.0
1998,109238340.0,1.338472197,109238340.0,1.338472197,109238340.0,1.338472197,109238340.0,1.338472197,2.1,101669618.0
1999,109060951.0,1.307854818,109060951.0,1.307854818,109060951.0,1.307854818,109060951.0,1.307854818,2.1,101669618.0
2000,108447824.0,1.317743134,108447824.0,1.317743134,108447824.0,1.317743134,108447824.0,1.317743134,2.1,101669618.0
2001,107660041.0,1.27550928,107660041.0,1.27550928,107660041.0,1.27550928,107660041.0,1.27550928,2.1,101669618.0
2002,106959751.0,1.253312738,106959751.0,1.253312738,106959751.0,1.253312738,106959751.0,1.253312738,2.1,101669618.0
2003,106624167.0,1.25090051,106624167.0,1.25090051,106624167.0,1.25090051,106624167.0,1.25090051,2.1,101669618.0
2004,106331716.0,1.276323019,106331716.0,1.276323019,106331716.0,1.276323019,106331716.0,1.276323019,2.1,101669618.0
2005,106041911.0,1.312498576,106041911.0,1.312498576,106041911.0,1.312498576,106041911.0,1.312498576,2.1,101669618.0
2006,105772481.0,1.341836063,105772481.0,1.341836063,105772481.0,1.341836063,105772481.0,1.341836063,2.1,101669618.0
2007,105378748.0,1.38110912,105378748.0,1.38110912,105378748.0,1.38110912,105378748.0,1.38110912,2.1,101669618.0
2008,105001883.0,1.463217125,105001883.0,1.463217125,105001883.0,1.463217125,105001883.0,1.463217125,2.1,101669618.0
2009,104800475.0,1.487373534,104800475.0,1.487373534,104800475.0,1.487373534,104800475.0,1.487373534,2.1,101669618.0
2010,104421447.0,1.461736885,104421447.0,1.461736885,104421447.0,1.461736885,104421447.0,1.461736885,2.1,101669618.0
2011,104174038.0,1.393421234,104174038.0,1.393421234,104174038.0,1.393421234,104174038.0,1.393421234,2.1,101669618.0
2012,103935318.0,1.416114693,103935318.0,1.416114693,103935318.0,1.416114693,103935318.0,1.416114693,2.1,101669618.0
2013,103713726.0,1.387969817,103713726.0,1.387969817,103713726.0,1.387969817,103713726.0,1.387969817,2.1,101669618.0
2014,103496179.0,1.443181764,103496179.0,1.443181764,103496179.0,1.443181764,103496179.0,1.443181764,2.1,101669618.0
2015,103257886.0,1.462370024,103257886.0,1.462370024,103257886.0,1.462370024,103257886.0,1.462370024,2.1,101669618.0
2016,102994278.0,1.52216388,102994278.0,1.52216388,102994278.0,1.52216388,102994278.0,1.52216388,2.1,101669618.0
2017,102740078.0,1.567830318,102740078.0,1.567830318,102740078.0,1.567830318,102740078.0,1.567830318,2.1,101669618.0
