year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5327827.0,2.44,5327827.0,2.44,5327827.0,2.44,5327827.0,2.44,2.1,8697723.0
1961,5434294.0,2.52,5434294.0,2.52,5434294.0,2.52,5434294.0,2.52,2.1,8697723.0
1962,5573815.0,2.58,5573815.0,2.58,5573815.0,2.58,5573815.0,2.58,2.1,8697723.0
1963,5694247.0,2.65,5694247.0,2.65,5694247.0,2.65,5694247.0,2.65,2.1,8697723.0
1964,5789228.0,2.66,5789228.0,2.66,5789228.0,2.66,5789228.0,2.66,2.1,8697723.0
1965,5856472.0,2.59,5856472.0,2.59,5856472.0,2.59,5856472.0,2.59,2.1,8697723.0
1966,5918002.0,2.5,5918002.0,2.5,5918002.0,2.5,5918002.0,2.5,2.1,8697723.0
1967,5991785.0,2.39,5991785.0,2.39,5991785.0,2.39,5991785.0,2.39,2.1,8697723.0
1968,6067714.0,2.29,6067714.0,2.29,6067714.0,2.29,6067714.0,2.29,2.1,8697723.0
1969,6136387.0,2.19,6136387.0,2.19,6136387.0,2.19,6136387.0,2.19,2.1,8697723.0
1970,6180877.0,2.1,6180877.0,2.1,6180877.0,2.1,6180877.0,2.1,2.1,8697723.0
1971,6213399.0,2.04,6213399.0,2.04,6213399.0,2.04,6213399.0,2.04,2.1,8697723.0
1972,6260956.0,1.91,6260956.0,1.91,6260956.0,1.91,6260956.0,1.91,2.1,8697723.0
1973,6307347.0,1.81,6307347.0,1.81,6307347.0,1.81,6307347.0,1.81,2.1,8697723.0
1974,6341405.0,1.73,6341405.0,1.73,6341405.0,1.73,6341405.0,1.73,2.1,8697723.0
1975,6338632.0,1.61,6338632.0,1.61,6338632.0,1.61,6338632.0,1.61,2.1,8697723.0
1976,6302504.0,1.55,6302504.0,1.55,6302504.0,1.55,6302504.0,1.55,2.1,8697723.0
1977,6281174.0,1.53,6281174.0,1.53,6281174.0,1.53,6281174.0,1.53,2.1,8697723.0
1978,6281738.0,1.51,6281738.0,1.51,6281738.0,1.51,6281738.0,1.51,2.1,8697723.0
1979,6294365.0,1.52,6294365.0,1.52,6294365.0,1.52,6294365.0,1.52,2.1,8697723.0
1980,6319408.0,1.55,6319408.0,1.55,6319408.0,1.55,6319408.0,1.55,2.1,8697723.0
1981,6354074.0,1.55,6354074.0,1.55,6354074.0,1.55,6354074.0,1.55,2.1,8697723.0
1982,6391309.0,1.56,6391309.0,1.56,6391309.0,1.56,6391309.0,1.56,2.1,8697723.0
1983,6418773.0,1.52,6418773.0,1.52,6418773.0,1.52,6418773.0,1.52,2.1,8697723.0
1984,6441865.0,1.53,6441865.0,1.53,6441865.0,1.53,6441865.0,1.53,2.1,8697723.0
1985,6470365.0,1.52,6470365.0,1.52,6470365.0,1.52,6470365.0,1.52,2.1,8697723.0
1986,6504124.0,1.53,6504124.0,1.53,6504124.0,1.53,6504124.0,1.53,2.1,8697723.0
1987,6545106.0,1.52,6545106.0,1.52,6545106.0,1.52,6545106.0,1.52,2.1,8697723.0
1988,6593386.0,1.57,6593386.0,1.57,6593386.0,1.57,6593386.0,1.57,2.1,8697723.0
1989,6646912.0,1.56,6646912.0,1.56,6646912.0,1.56,6646912.0,1.56,2.1,8697723.0
1990,6715519.0,1.58,6715519.0,1.58,6715519.0,1.58,6715519.0,1.58,2.1,8697723.0
1991,6799978.0,1.58,6799978.0,1.58,6799978.0,1.58,6799978.0,1.58,2.1,8697723.0
1992,6875364.0,1.58,6875364.0,1.58,6875364.0,1.58,6875364.0,1.58,2.1,8697723.0
1993,6938265.0,1.51,6938265.0,1.51,6938265.0,1.51,6938265.0,1.51,2.1,8697723.0
1994,6993795.0,1.49,6993795.0,1.49,6993795.0,1.49,6993795.0,1.49,2.1,8697723.0
1995,7040687.0,1.48,7040687.0,1.48,7040687.0,1.48,7040687.0,1.48,2.1,8697723.0
1996,7071850.0,1.5,7071850.0,1.5,7071850.0,1.5,7071850.0,1.5,2.1,8697723.0
1997,7088906.0,1.48,7088906.0,1.48,7088906.0,1.48,7088906.0,1.48,2.1,8697723.0
1998,7110001.0,1.47,7110001.0,1.47,7110001.0,1.47,7110001.0,1.47,2.1,8697723.0
1999,7143991.0,1.48,7143991.0,1.48,7143991.0,1.48,7143991.0,1.48,2.1,8697723.0
2000,7184250.0,1.5,7184250.0,1.5,7184250.0,1.5,7184250.0,1.5,2.1,8697723.0
2001,7229854.0,1.38,7229854.0,1.38,7229854.0,1.38,7229854.0,1.38,2.1,8697723.0
2002,7284753.0,1.39,7284753.0,1.39,7284753.0,1.39,7284753.0,1.39,2.1,8697723.0
2003,7339001.0,1.39,7339001.0,1.39,7339001.0,1.39,7339001.0,1.39,2.1,8697723.0
2004,7389625.0,1.42,7389625.0,1.42,7389625.0,1.42,7389625.0,1.42,2.1,8697723.0
2005,7437115.0,1.42,7437115.0,1.42,7437115.0,1.42,7437115.0,1.42,2.1,8697723.0
2006,7483934.0,1.44,7483934.0,1.44,7483934.0,1.44,7483934.0,1.44,2.1,8697723.0
2007,7551117.0,1.46,7551117.0,1.46,7551117.0,1.46,7551117.0,1.46,2.1,8697723.0
2008,7647675.0,1.48,7647675.0,1.48,7647675.0,1.48,7647675.0,1.48,2.1,8697723.0
2009,7743831.0,1.5,7743831.0,1.5,7743831.0,1.5,7743831.0,1.5,2.1,8697723.0
2010,7824909.0,1.52,7824909.0,1.52,7824909.0,1.52,7824909.0,1.52,2.1,8697723.0
2011,7912398.0,1.52,7912398.0,1.52,7912398.0,1.52,7912398.0,1.52,2.1,8697723.0
2012,7996861.0,1.52,7996861.0,1.52,7996861.0,1.52,7996861.0,1.52,2.1,8697723.0
2013,8089346.0,1.52,8089346.0,1.52,8089346.0,1.52,8089346.0,1.52,2.1,8697723.0
2014,8188649.0,1.54,8188649.0,1.54,8188649.0,1.54,8188649.0,1.54,2.1,8697723.0
2015,8282396.0,1.54,8282396.0,1.54,8282396.0,1.54,8282396.0,1.54,2.1,8697723.0
2016,8373338.0,1.54,8373338.0,1.54,8373338.0,1.54,8373338.0,1.54,2.1,8697723.0
2017,8451840.0,1.52,8451840.0,1.52,8451840.0,1.52,8451840.0,1.52,2.1,8697723.0
2018,8514329.0,1.52,8514329.0,1.52,8514329.0,1.52,8514329.0,1.52,2.1,8697723.0
2019,8575280.0,1.48,8575280.0,1.48,8575280.0,1.48,8575280.0,1.48,2.1,8697723.0
2020,8636561.0,1.46,8636561.0,1.46,8636561.0,1.46,8636561.0,1.46,2.1,8697723.0
2021,8697723.0,1.46,8697723.0,1.46,8697723.0,1.46,8697723.0,1.46,2.1,8697723.0
2022,8665218.218,1.448,8665830.189,1.46,8665867.3,1.461,8665825.095,1.46,2.1,8697723.0
2023,8632111.619,1.436,8633942.472,1.46,8634053.83,1.462,8633927.19,1.46,2.1,8697723.0
2024,8598408.223,1.424,8602059.849,1.46,8602282.613,1.463,8602029.286,1.46,2.1,8697723.0
2025,8564113.008,1.412,8570182.321,1.46,8570553.675,1.463,8570131.381,1.46,2.1,8697723.0
2026,8529230.909,1.4,8538309.889,1.461,8538867.04,1.464,8538233.476,1.46,2.1,8697723.0
2027,8493766.82,1.388,8506442.552,1.461,8507222.732,1.465,8506335.571,1.46,2.1,8697723.0
2028,8457725.596,1.377,8474580.31,1.461,8475620.776,1.466,8474437.667,1.46,2.1,8697723.0
2029,8421112.049,1.365,8442723.165,1.461,8444061.197,1.467,8442539.762,1.46,2.1,8697723.0
2030,8383930.953,1.354,8410871.116,1.461,8412544.019,1.468,8410641.857,1.46,2.1,8697723.0
2031,8346187.041,1.343,8379024.165,1.461,8381069.266,1.468,8378743.952,1.46,2.1,8697723.0
2032,8307885.008,1.332,8347182.31,1.461,8349636.964,1.469,8346846.048,1.46,2.1,8697723.0
2033,8269029.507,1.32,8315345.553,1.461,8318247.137,1.47,8314948.143,1.46,2.1,8697723.0
2034,8229625.156,1.309,8283513.894,1.461,8286899.81,1.471,8283050.238,1.46,2.1,8697723.0
2035,8189676.53,1.298,8251687.334,1.461,8255595.007,1.472,8251152.333,1.46,2.1,8697723.0
2036,8149188.17,1.288,8219865.872,1.462,8224332.752,1.473,8219254.429,1.46,2.1,8697723.0
2037,8108164.576,1.277,8188049.509,1.462,8193113.072,1.474,8187356.524,1.46,2.1,8697723.0
2038,8066610.214,1.266,8156238.246,1.462,8161935.989,1.474,8155458.619,1.46,2.1,8697723.0
2039,8024529.508,1.256,8124432.082,1.462,8130801.53,1.475,8123560.714,1.46,2.1,8697723.0
2040,7981926.85,1.245,8092631.018,1.462,8099709.718,1.476,8091662.81,1.46,2.1,8697723.0
