year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,109419.0,2.421,109419.0,2.421,109419.0,2.421,109419.0,2.421,2.1,175244.0
1961,110398.0,2.481,110398.0,2.481,110398.0,2.481,110398.0,2.481,2.1,175244.0
1962,111464.0,2.525,111464.0,2.525,111464.0,2.525,111464.0,2.525,2.1,175244.0
1963,112591.0,2.55,112591.0,2.55,112591.0,2.55,112591.0,2.55,2.1,175244.0
1964,113777.0,2.551,113777.0,2.551,113777.0,2.551,113777.0,2.551,2.1,175244.0
1965,114989.0,2.526,114989.0,2.526,114989.0,2.526,114989.0,2.526,2.1,175244.0
1966,116229.0,2.475,116229.0,2.475,116229.0,2.475,116229.0,2.475,2.1,175244.0
1967,117469.0,2.404,117469.0,2.404,117469.0,2.404,117469.0,2.404,2.1,175244.0
1968,118725.0,2.318,118725.0,2.318,118725.0,2.318,118725.0,2.318,2.1,175244.0
1969,119975.0,2.222,119975.0,2.222,119975.0,2.222,119975.0,2.222,2.1,175244.0
1970,121200.0,2.121,121200.0,2.121,121200.0,2.121,121200.0,2.121,2.1,175244.0
1971,122405.0,2.019,122405.0,2.019,122405.0,2.019,122405.0,2.019,2.1,175244.0
1972,123611.0,1.918,123611.0,1.918,123611.0,1.918,123611.0,1.918,2.1,175244.0
1973,124722.0,1.822,124722.0,1.822,124722.0,1.822,124722.0,1.822,2.1,175244.0
1974,125680.0,1.735,125680.0,1.735,125680.0,1.735,125680.0,1.735,2.1,175244.0
1975,126420.0,1.659,126420.0,1.659,126420.0,1.659,126420.0,1.659,2.1,175244.0
1976,126908.0,1.596,126908.0,1.596,126908.0,1.596,126908.0,1.596,2.1,175244.0
1977,127186.0,1.546,127186.0,1.546,127186.0,1.546,127186.0,1.546,2.1,175244.0
1978,127395.0,1.505,127395.0,1.505,127395.0,1.505,127395.0,1.505,2.1,175244.0
1979,127691.0,1.475,127691.0,1.475,127691.0,1.475,127691.0,1.475,2.1,175244.0
1980,128204.0,1.454,128204.0,1.454,128204.0,1.454,128204.0,1.454,2.1,175244.0
1981,128986.0,1.44,128986.0,1.44,128986.0,1.44,128986.0,1.44,2.1,175244.0
1982,129976.0,1.433,129976.0,1.433,129976.0,1.433,129976.0,1.433,2.1,175244.0
1983,131153.0,1.429,131153.0,1.429,131153.0,1.429,131153.0,1.429,2.1,175244.0
1984,132445.0,1.429,132445.0,1.429,132445.0,1.429,132445.0,1.429,2.1,175244.0
1985,133800.0,1.432,133800.0,1.432,133800.0,1.432,133800.0,1.432,2.1,175244.0
1986,135242.0,1.437,135242.0,1.437,135242.0,1.437,135242.0,1.437,2.1,175244.0
1987,136762.0,1.444,136762.0,1.444,136762.0,1.444,136762.0,1.444,2.1,175244.0
1988,138250.0,1.455,138250.0,1.455,138250.0,1.455,138250.0,1.455,2.1,175244.0
1989,139580.0,1.468,139580.0,1.468,139580.0,1.468,139580.0,1.468,2.1,175244.0
1990,140677.0,1.483,140677.0,1.483,140677.0,1.483,140677.0,1.483,2.1,175244.0
1991,141469.0,1.499,141469.0,1.499,141469.0,1.499,141469.0,1.499,2.1,175244.0
1992,142006.0,1.518,142006.0,1.518,142006.0,1.518,142006.0,1.518,2.1,175244.0
1993,142407.0,1.536,142407.0,1.536,142407.0,1.536,142407.0,1.536,2.1,175244.0
1994,142867.0,1.554,142867.0,1.554,142867.0,1.554,142867.0,1.554,2.1,175244.0
1995,143480.0,1.567,143480.0,1.567,143480.0,1.567,143480.0,1.567,2.1,175244.0
1996,144348.0,1.573,144348.0,1.573,144348.0,1.573,144348.0,1.573,2.1,175244.0
1997,145387.0,1.572,145387.0,1.572,145387.0,1.572,145387.0,1.572,2.1,175244.0
1998,146500.0,1.562,146500.0,1.562,146500.0,1.562,146500.0,1.562,2.1,175244.0
1999,147553.0,1.546,147553.0,1.546,147553.0,1.546,147553.0,1.546,2.1,175244.0
2000,148439.0,1.526,148439.0,1.526,148439.0,1.526,148439.0,1.526,2.1,175244.0
2001,149097.0,1.508,149097.0,1.508,149097.0,1.508,149097.0,1.508,2.1,175244.0
2002,149591.0,1.496,149591.0,1.496,149591.0,1.496,149591.0,1.496,2.1,175244.0
2003,150070.0,1.492,150070.0,1.492,150070.0,1.492,150070.0,1.492,2.1,175244.0
2004,150722.0,1.496,150722.0,1.496,150722.0,1.496,150722.0,1.496,2.1,175244.0
2005,151674.0,1.509,151674.0,1.509,151674.0,1.509,151674.0,1.509,2.1,175244.0
2006,152999.0,1.527,152999.0,1.527,152999.0,1.527,152999.0,1.527,2.1,175244.0
2007,154644.0,1.547,154644.0,1.547,154644.0,1.547,154644.0,1.547,2.1,175244.0
2008,156441.0,1.564,156441.0,1.564,156441.0,1.564,156441.0,1.564,2.1,175244.0
2009,158187.0,1.578,158187.0,1.578,158187.0,1.578,158187.0,1.578,2.1,175244.0
2010,159718.0,1.585,159718.0,1.585,159718.0,1.585,159718.0,1.585,2.1,175244.0
2011,160990.0,1.586,160990.0,1.586,160990.0,1.586,160990.0,1.586,2.1,175244.0
2012,162051.0,1.58,162051.0,1.58,162051.0,1.58,162051.0,1.58,2.1,175244.0
2013,163039.0,1.569,163039.0,1.569,163039.0,1.569,163039.0,1.569,2.1,175244.0
2014,164107.0,1.556,164107.0,1.556,164107.0,1.556,164107.0,1.556,2.1,175244.0
2015,165387.0,1.541,165387.0,1.541,165387.0,1.541,165387.0,1.541,2.1,175244.0
2016,166922.0,1.527,166922.0,1.527,166922.0,1.527,166922.0,1.527,2.1,175244.0
2017,168666.0,1.516,168666.0,1.516,168666.0,1.516,168666.0,1.516,2.1,175244.0
2018,170496.0,1.51,170496.0,1.51,170496.0,1.51,170496.0,1.51,2.1,175244.0
2019,172264.0,1.509,172264.0,1.509,172264.0,1.509,172264.0,1.509,2.1,175244.0
2020,173859.0,1.512,173859.0,1.512,173859.0,1.512,173859.0,1.512,2.1,175244.0
2021,175244.0,1.512,175244.0,1.512,175244.0,1.512,175244.0,1.512,2.1,175244.0
2022,174642.839,1.5,174649.204,1.507,174652.039,1.509,174654.6,1.512,2.1,175244.0
2023,174030.008,1.489,174049.033,1.501,174057.52,1.507,174065.2,1.512,2.1,175244.0
2024,173405.598,1.477,173443.504,1.496,173460.449,1.504,173475.8,1.512,2.1,175244.0
2025,172769.699,1.466,172832.636,1.491,172860.83,1.502,172886.4,1.512,2.1,175244.0
2026,172122.399,1.454,172216.45,1.485,172258.666,1.499,172297.0,1.512,2.1,175244.0
2027,171463.787,1.443,171594.964,1.48,171653.963,1.497,171707.6,1.512,2.1,175244.0
2028,170793.952,1.432,170968.196,1.475,171046.724,1.494,171118.2,1.512,2.1,175244.0
2029,170112.98,1.421,170336.166,1.469,170436.954,1.492,170528.8,1.512,2.1,175244.0
2030,169420.957,1.41,169698.892,1.464,169824.657,1.489,169939.4,1.512,2.1,175244.0
2031,168717.97,1.399,169056.392,1.459,169209.837,1.487,169350.0,1.512,2.1,175244.0
2032,168004.103,1.388,168408.687,1.454,168592.499,1.484,168760.6,1.512,2.1,175244.0
2033,167279.44,1.377,167755.793,1.449,167972.646,1.482,168171.2,1.512,2.1,175244.0
2034,166544.067,1.366,167097.73,1.443,167350.284,1.479,167581.8,1.512,2.1,175244.0
2035,165798.065,1.356,166434.516,1.438,166725.416,1.477,166992.4,1.512,2.1,175244.0
2036,165041.517,1.345,165766.169,1.433,166098.047,1.474,166403.0,1.512,2.1,175244.0
2037,164274.505,1.335,165092.707,1.428,165468.181,1.472,165813.6,1.512,2.1,175244.0
2038,163497.11,1.324,164414.15,1.423,164835.821,1.469,165224.2,1.512,2.1,175244.0
2039,162709.414,1.314,163730.514,1.418,164200.973,1.467,164634.8,1.512,2.1,175244.0
