year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,8132988.0,4.697,8132988.0,4.697,8132988.0,4.697,8132988.0,4.697,2.1,19212362.0
1961,8303804.0,4.655,8303804.0,4.655,8303804.0,4.655,8303804.0,4.655,2.1,19212362.0
1962,8476895.0,4.602,8476895.0,4.602,8476895.0,4.602,8476895.0,4.602,2.1,19212362.0
1963,8650390.0,4.536,8650390.0,4.536,8650390.0,4.536,8650390.0,4.536,2.1,19212362.0
1964,8821855.0,4.457,8821855.0,4.457,8821855.0,4.457,8821855.0,4.457,2.1,19212362.0
1965,8989607.0,4.364,8989607.0,4.364,8989607.0,4.364,8989607.0,4.364,2.1,19212362.0
1966,9152848.0,4.259,9152848.0,4.259,9152848.0,4.259,9152848.0,4.259,2.1,19212362.0
1967,9312091.0,4.144,9312091.0,4.144,9312091.0,4.144,9312091.0,4.144,2.1,19212362.0
1968,9468851.0,4.025,9468851.0,4.025,9468851.0,4.025,9468851.0,4.025,2.1,19212362.0
1969,9625304.0,3.902,9625304.0,3.902,9625304.0,3.902,9625304.0,3.902,2.1,19212362.0
1970,9783134.0,3.778,9783134.0,3.778,9783134.0,3.778,9783134.0,3.778,2.1,19212362.0
1971,9942716.0,3.654,9942716.0,3.654,9942716.0,3.654,9942716.0,3.654,2.1,19212362.0
1972,10103675.0,3.53,10103675.0,3.53,10103675.0,3.53,10103675.0,3.53,2.1,19212362.0
1973,10265827.0,3.409,10265827.0,3.409,10265827.0,3.409,10265827.0,3.409,2.1,19212362.0
1974,10428803.0,3.293,10428803.0,3.293,10428803.0,3.293,10428803.0,3.293,2.1,19212362.0
1975,10592310.0,3.182,10592310.0,3.182,10592310.0,3.182,10592310.0,3.182,2.1,19212362.0
1976,10756876.0,3.078,10756876.0,3.078,10756876.0,3.078,10756876.0,3.078,2.1,19212362.0
1977,10922777.0,2.981,10922777.0,2.981,10922777.0,2.981,10922777.0,2.981,2.1,19212362.0
1978,11089165.0,2.892,11089165.0,2.892,11089165.0,2.892,11089165.0,2.892,2.1,19212362.0
1979,11254877.0,2.812,11254877.0,2.812,11254877.0,2.812,11254877.0,2.812,2.1,19212362.0
1980,11419350.0,2.744,11419350.0,2.744,11419350.0,2.744,11419350.0,2.744,2.1,19212362.0
1981,11582020.0,2.689,11582020.0,2.689,11582020.0,2.689,11582020.0,2.689,2.1,19212362.0
1982,11743909.0,2.648,11743909.0,2.648,11743909.0,2.648,11743909.0,2.648,2.1,19212362.0
1983,11907955.0,2.619,11907955.0,2.619,11907955.0,2.619,11907955.0,2.619,2.1,19212362.0
1984,12078137.0,2.601,12078137.0,2.601,12078137.0,2.601,12078137.0,2.601,2.1,19212362.0
1985,12257238.0,2.592,12257238.0,2.592,12257238.0,2.592,12257238.0,2.592,2.1,19212362.0
1986,12445833.0,2.589,12445833.0,2.589,12445833.0,2.589,12445833.0,2.589,2.1,19212362.0
1987,12642917.0,2.59,12642917.0,2.59,12642917.0,2.59,12642917.0,2.59,2.1,19212362.0
1988,12847712.0,2.591,12847712.0,2.591,12847712.0,2.591,12847712.0,2.591,2.1,19212362.0
1989,13058758.0,2.589,13058758.0,2.589,13058758.0,2.589,13058758.0,2.589,2.1,19212362.0
1990,13274617.0,2.579,13274617.0,2.579,13274617.0,2.579,13274617.0,2.579,2.1,19212362.0
1991,13495255.0,2.558,13495255.0,2.558,13495255.0,2.558,13495255.0,2.558,2.1,19212362.0
1992,13719818.0,2.526,13719818.0,2.526,13719818.0,2.526,13719818.0,2.526,2.1,19212362.0
1993,13944934.0,2.484,13944934.0,2.484,13944934.0,2.484,13944934.0,2.484,2.1,19212362.0
1994,14166346.0,2.432,14166346.0,2.432,14166346.0,2.432,14166346.0,2.432,2.1,19212362.0
1995,14380864.0,2.372,14380864.0,2.372,14380864.0,2.372,14380864.0,2.372,2.1,19212362.0
1996,14587367.0,2.306,14587367.0,2.306,14587367.0,2.306,14587367.0,2.306,2.1,19212362.0
1997,14786227.0,2.238,14786227.0,2.238,14786227.0,2.238,14786227.0,2.238,2.1,19212362.0
1998,14977736.0,2.172,14977736.0,2.172,14977736.0,2.172,14977736.0,2.172,2.1,19212362.0
1999,15162801.0,2.11,15162801.0,2.11,15162801.0,2.11,15162801.0,2.11,2.1,19212362.0
2000,15342350.0,2.055,15342350.0,2.055,15342350.0,2.055,15342350.0,2.055,2.1,19212362.0
2001,15516112.0,2.009,15516112.0,2.009,15516112.0,2.009,15516112.0,2.009,2.1,19212362.0
2002,15684413.0,1.972,15684413.0,1.972,15684413.0,1.972,15684413.0,1.972,2.1,19212362.0
2003,15849649.0,1.943,15849649.0,1.943,15849649.0,1.943,15849649.0,1.943,2.1,19212362.0
2004,16014972.0,1.923,16014972.0,1.923,16014972.0,1.923,16014972.0,1.923,2.1,19212362.0
2005,16182713.0,1.909,16182713.0,1.909,16182713.0,1.909,16182713.0,1.909,2.1,19212362.0
2006,16354507.0,1.901,16354507.0,1.901,16354507.0,1.901,16354507.0,1.901,2.1,19212362.0
2007,16530201.0,1.898,16530201.0,1.898,16530201.0,1.898,16530201.0,1.898,2.1,19212362.0
2008,16708255.0,1.895,16708255.0,1.895,16708255.0,1.895,16708255.0,1.895,2.1,19212362.0
2009,16886184.0,1.892,16886184.0,1.892,16886184.0,1.892,16886184.0,1.892,2.1,19212362.0
2010,17062531.0,1.884,17062531.0,1.884,17062531.0,1.884,17062531.0,1.884,2.1,19212362.0
2011,17233584.0,1.87,17233584.0,1.87,17233584.0,1.87,17233584.0,1.87,2.1,19212362.0
2012,17400359.0,1.849,17400359.0,1.849,17400359.0,1.849,17400359.0,1.849,2.1,19212362.0
