year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,667070000.0,5.756,667070000.0,5.756,667070000.0,5.756,667070000.0,5.756,2.1,1412360000.0
1961,660330000.0,5.905,660330000.0,5.905,660330000.0,5.905,660330000.0,5.905,2.1,1412360000.0
1962,665770000.0,6.062,665770000.0,6.062,665770000.0,6.062,665770000.0,6.062,2.1,1412360000.0
1963,682335000.0,6.206,682335000.0,6.206,682335000.0,6.206,682335000.0,6.206,2.1,1412360000.0
1964,698355000.0,6.32,698355000.0,6.32,698355000.0,6.32,698355000.0,6.32,2.1,1412360000.0
1965,715185000.0,6.385,715185000.0,6.385,715185000.0,6.385,715185000.0,6.385,2.1,1412360000.0
1966,735400000.0,6.384,735400000.0,6.384,735400000.0,6.384,735400000.0,6.384,2.1,1412360000.0
1967,754550000.0,6.316,754550000.0,6.316,754550000.0,6.316,754550000.0,6.316,2.1,1412360000.0
1968,774510000.0,6.184,774510000.0,6.184,774510000.0,6.184,774510000.0,6.184,2.1,1412360000.0
1969,796025000.0,5.986,796025000.0,5.986,796025000.0,5.986,796025000.0,5.986,2.1,1412360000.0
1970,818315000.0,5.725,818315000.0,5.725,818315000.0,5.725,818315000.0,5.725,2.1,1412360000.0
1971,841105000.0,5.403,841105000.0,5.403,841105000.0,5.403,841105000.0,5.403,2.1,1412360000.0
1972,862030000.0,5.035,862030000.0,5.035,862030000.0,5.035,862030000.0,5.035,2.1,1412360000.0
1973,881940000.0,4.643,881940000.0,4.643,881940000.0,4.643,881940000.0,4.643,2.1,1412360000.0
1974,900350000.0,4.244,900350000.0,4.244,900350000.0,4.244,900350000.0,4.244,2.1,1412360000.0
1975,916395000.0,3.859,916395000.0,3.859,916395000.0,3.859,916395000.0,3.859,2.1,1412360000.0
1976,930685000.0,3.508,930685000.0,3.508,930685000.0,3.508,930685000.0,3.508,2.1,1412360000.0
1977,943455000.0,3.2,943455000.0,3.2,943455000.0,3.2,943455000.0,3.2,2.1,1412360000.0
1978,956165000.0,2.943,956165000.0,2.943,956165000.0,2.943,956165000.0,2.943,2.1,1412360000.0
1979,969005000.0,2.745,969005000.0,2.745,969005000.0,2.745,969005000.0,2.745,2.1,1412360000.0
1980,981235000.0,2.613,981235000.0,2.613,981235000.0,2.613,981235000.0,2.613,2.1,1412360000.0
1981,993885000.0,2.547,993885000.0,2.547,993885000.0,2.547,993885000.0,2.547,2.1,1412360000.0
1982,1008630000.0,2.536,1008630000.0,2.536,1008630000.0,2.536,1008630000.0,2.536,2.1,1412360000.0
1983,1023310000.0,2.561,1023310000.0,2.561,1023310000.0,2.561,1023310000.0,2.561,2.1,1412360000.0
1984,1036825000.0,2.607,1036825000.0,2.607,1036825000.0,2.607,1036825000.0,2.607,2.1,1412360000.0
1985,1051040000.0,2.65,1051040000.0,2.65,1051040000.0,2.65,1051040000.0,2.65,2.1,1412360000.0
1986,1066790000.0,2.666,1066790000.0,2.666,1066790000.0,2.666,1066790000.0,2.666,2.1,1412360000.0
1987,1084035000.0,2.643,1084035000.0,2.643,1084035000.0,2.643,1084035000.0,2.643,2.1,1412360000.0
1988,1101630000.0,2.575,1101630000.0,2.575,1101630000.0,2.575,1101630000.0,2.575,2.1,1412360000.0
1989,1118650000.0,2.46,1118650000.0,2.46,1118650000.0,2.46,1118650000.0,2.46,2.1,1412360000.0
1990,1135185000.0,2.309,1135185000.0,2.309,1135185000.0,2.309,1135185000.0,2.309,2.1,1412360000.0
1991,1150780000.0,2.14,1150780000.0,2.14,1150780000.0,2.14,1150780000.0,2.14,2.1,1412360000.0
1992,1164970000.0,1.977,1164970000.0,1.977,1164970000.0,1.977,1164970000.0,1.977,2.1,1412360000.0
1993,1178440000.0,1.838,1178440000.0,1.838,1178440000.0,1.838,1178440000.0,1.838,2.1,1412360000.0
1994,1191835000.0,1.731,1191835000.0,1.731,1191835000.0,1.731,1191835000.0,1.731,2.1,1412360000.0
1995,1204855000.0,1.66,1204855000.0,1.66,1204855000.0,1.66,1204855000.0,1.66,2.1,1412360000.0
1996,1217550000.0,1.622,1217550000.0,1.622,1217550000.0,1.622,1217550000.0,1.622,2.1,1412360000.0
1997,1230075000.0,1.605,1230075000.0,1.605,1230075000.0,1.605,1230075000.0,1.605,2.1,1412360000.0
1998,1241935000.0,1.597,1241935000.0,1.597,1241935000.0,1.597,1241935000.0,1.597,2.1,1412360000.0
1999,1252735000.0,1.595,1252735000.0,1.595,1252735000.0,1.595,1252735000.0,1.595,2.1,1412360000.0
2000,1262645000.0,1.596,1262645000.0,1.596,1262645000.0,1.596,1262645000.0,1.596,2.1,1412360000.0
2001,1271850000.0,1.597,1271850000.0,1.597,1271850000.0,1.597,1271850000.0,1.597,2.1,1412360000.0
2002,1280400000.0,1.6,1280400000.0,1.6,1280400000.0,1.6,1280400000.0,1.6,2.1,1412360000.0
2003,1288400000.0,1.604,1288400000.0,1.604,1288400000.0,1.604,1288400000.0,1.604,2.1,1412360000.0
2004,1296075000.0,1.608,1296075000.0,1.608,1296075000.0,1.608,1296075000.0,1.608,2.1,1412360000.0
2005,1303720000.0,1.612,1303720000.0,1.612,1303720000.0,1.612,1303720000.0,1.612,2.1,1412360000.0
2006,1311020000.0,1.615,1311020000.0,1.615,1311020000.0,1.615,1311020000.0,1.615,2.1,1412360000.0
2007,1317885000.0,1.617,1317885000.0,1.617,1317885000.0,1.617,1317885000.0,1.617,2.1,1412360000.0
2008,1324655000.0,1.62,1324655000.0,1.62,1324655000.0,1.62,1324655000.0,1.62,2.1,1412360000.0
2009,1331260000.0,1.623,1331260000.0,1.623,1331260000.0,1.623,1331260000.0,1.623,2.1,1412360000.0
2010,1337705000.0,1.627,1337705000.0,1.627,1337705000.0,1.627,1337705000.0,1.627,2.1,1412360000.0
2011,1345035000.0,1.632,1345035000.0,1.632,1345035000.0,1.632,1345035000.0,1.632,2.1,1412360000.0
2012,1354190000.0,1.639,1354190000.0,1.639,1354190000.0,1.639,1354190000.0,1.639,2.1,1412360000.0
2013,1363240000.0,1.647,1363240000.0,1.647,1363240000.0,1.647,1363240000.0,1.647,2.1,1412360000.0
2014,1371860000.0,1.656,1371860000.0,1.656,1371860000.0,1.656,1371860000.0,1.656,2.1,1412360000.0
