year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3503559.0,7.691,3503559.0,7.691,3503559.0,7.691,3503559.0,7.691,2.1,27053629.0
1961,3631547.0,7.72,3631547.0,7.72,3631547.0,7.72,3631547.0,7.72,2.1,27053629.0
1962,3770756.0,7.75,3770756.0,7.75,3770756.0,7.75,3770756.0,7.75,2.1,27053629.0
1963,3918630.0,7.781,3918630.0,7.781,3918630.0,7.781,3918630.0,7.781,2.1,27053629.0
1964,4071411.0,7.811,4071411.0,7.811,4071411.0,7.811,4071411.0,7.811,2.1,27053629.0
1965,4226843.0,7.841,4226843.0,7.841,4226843.0,7.841,4226843.0,7.841,2.1,27053629.0
1966,4383723.0,7.868,4383723.0,7.868,4383723.0,7.868,4383723.0,7.868,2.1,27053629.0
1967,4544168.0,7.893,4544168.0,7.893,4544168.0,7.893,4544168.0,7.893,2.1,27053629.0
1968,4713134.0,7.912,4713134.0,7.912,4713134.0,7.912,4713134.0,7.912,2.1,27053629.0
1969,4897470.0,7.927,4897470.0,7.927,4897470.0,7.927,4897470.0,7.927,2.1,27053629.0
1970,5102070.0,7.936,5102070.0,7.936,5102070.0,7.936,5102070.0,7.936,2.1,27053629.0
1971,5328735.0,7.941,5328735.0,7.941,5328735.0,7.941,5328735.0,7.941,2.1,27053629.0
1972,5576026.0,7.942,5576026.0,7.942,5576026.0,7.942,5576026.0,7.942,2.1,27053629.0
1973,5841513.0,7.939,5841513.0,7.939,5841513.0,7.939,5841513.0,7.939,2.1,27053629.0
1974,6121295.0,7.929,6121295.0,7.929,6121295.0,7.929,6121295.0,7.929,2.1,27053629.0
1975,6412409.0,7.91,6412409.0,7.91,6412409.0,7.91,6412409.0,7.91,2.1,27053629.0
1976,6713949.0,7.877,6713949.0,7.877,6713949.0,7.877,6713949.0,7.877,2.1,27053629.0
1977,7026497.0,7.828,7026497.0,7.828,7026497.0,7.828,7026497.0,7.828,2.1,27053629.0
1978,7350269.0,7.763,7350269.0,7.763,7350269.0,7.763,7350269.0,7.763,2.1,27053629.0
1979,7685927.0,7.682,7685927.0,7.682,7685927.0,7.682,7685927.0,7.682,2.1,27053629.0
1980,8033652.0,7.59,8033652.0,7.59,8033652.0,7.59,8033652.0,7.59,2.1,27053629.0
1981,8393689.0,7.488,8393689.0,7.488,8393689.0,7.488,8393689.0,7.488,2.1,27053629.0
1982,8764991.0,7.383,8764991.0,7.383,8764991.0,7.383,8764991.0,7.383,2.1,27053629.0
1983,9144940.0,7.278,9144940.0,7.278,9144940.0,7.278,9144940.0,7.278,2.1,27053629.0
1984,9530103.0,7.176,9530103.0,7.176,9530103.0,7.176,9530103.0,7.176,2.1,27053629.0
1985,9918204.0,7.078,9918204.0,7.078,9918204.0,7.078,9918204.0,7.078,2.1,27053629.0
1986,10307268.0,6.984,10307268.0,6.984,10307268.0,6.984,10307268.0,6.984,2.1,27053629.0
1987,10698188.0,6.892,10698188.0,6.892,10698188.0,6.892,10698188.0,6.892,2.1,27053629.0
1988,11094740.0,6.801,11094740.0,6.801,11094740.0,6.801,11094740.0,6.801,2.1,27053629.0
1989,11502453.0,6.71,11502453.0,6.71,11502453.0,6.71,11502453.0,6.71,2.1,27053629.0
1990,11924873.0,6.622,11924873.0,6.622,11924873.0,6.622,11924873.0,6.622,2.1,27053629.0
1991,12362404.0,6.536,12362404.0,6.536,12362404.0,6.536,12362404.0,6.536,2.1,27053629.0
1992,12812428.0,6.454,12812428.0,6.454,12812428.0,6.454,12812428.0,6.454,2.1,27053629.0
1993,13271638.0,6.374,13271638.0,6.374,13271638.0,6.374,13271638.0,6.374,2.1,27053629.0
1994,13735438.0,6.298,13735438.0,6.298,13735438.0,6.298,13735438.0,6.298,2.1,27053629.0
1995,14199759.0,6.225,14199759.0,6.225,14199759.0,6.225,14199759.0,6.225,2.1,27053629.0
1996,14665125.0,6.154,14665125.0,6.154,14665125.0,6.154,14665125.0,6.154,2.1,27053629.0
1997,15130674.0,6.084,15130674.0,6.084,15130674.0,6.084,15130674.0,6.084,2.1,27053629.0
1998,15589407.0,6.014,15589407.0,6.014,15589407.0,6.014,15589407.0,6.014,2.1,27053629.0
1999,16032573.0,5.943,16032573.0,5.943,16032573.0,5.943,16032573.0,5.943,2.1,27053629.0
2000,16454660.0,5.87,16454660.0,5.87,16454660.0,5.87,16454660.0,5.87,2.1,27053629.0
2001,16853027.0,5.793,16853027.0,5.793,16853027.0,5.793,16853027.0,5.793,2.1,27053629.0
2002,17231539.0,5.713,17231539.0,5.713,17231539.0,5.713,17231539.0,5.713,2.1,27053629.0
2003,17599613.0,5.63,17599613.0,5.63,17599613.0,5.63,17599613.0,5.63,2.1,27053629.0
2004,17970493.0,5.545,17970493.0,5.545,17970493.0,5.545,17970493.0,5.545,2.1,27053629.0
2005,18354513.0,5.46,18354513.0,5.46,18354513.0,5.46,18354513.0,5.46,2.1,27053629.0
2006,18754914.0,5.376,18754914.0,5.376,18754914.0,5.376,18754914.0,5.376,2.1,27053629.0
2007,19171250.0,5.296,19171250.0,5.296,19171250.0,5.296,19171250.0,5.296,2.1,27053629.0
2008,19605568.0,5.221,19605568.0,5.221,19605568.0,5.221,19605568.0,5.221,2.1,27053629.0
2009,20059147.0,5.152,20059147.0,5.152,20059147.0,5.152,20059147.0,5.152,2.1,27053629.0
2010,20532944.0,5.088,20532944.0,5.088,20532944.0,5.088,20532944.0,5.088,2.1,27053629.0
2011,21028652.0,5.029,21028652.0,5.029,21028652.0,5.029,21028652.0,5.029,2.1,27053629.0
2012,21547188.0,4.974,21547188.0,4.974,21547188.0,4.974,21547188.0,4.974,2.1,27053629.0
2013,22087506.0,4.92,22087506.0,4.92,22087506.0,4.92,22087506.0,4.92,2.1,27053629.0
2014,22647672.0,4.867,22647672.0,4.867,22647672.0,4.867,22647672.0,4.867,2.1,27053629.0
2015,23226148.0,4.813,23226148.0,4.813,23226148.0,4.813,23226148.0,4.813,2.1,27053629.0
2016,23822726.0,4.759,23822726.0,4.759,23822726.0,4.759,23822726.0,4.759,2.1,27053629.0
2017,24437475.0,4.704,24437475.0,4.704,24437475.0,4.704,24437475.0,4.704,2.1,27053629.0
2018,25069226.0,4.649,25069226.0,4.649,25069226.0,4.649,25069226.0,4.649,2.1,27053629.0
2019,25716554.0,4.593,25716554.0,4.593,25716554.0,4.593,25716554.0,4.593,2.1,27053629.0
2020,26378275.0,4.536,26378275.0,4.536,26378275.0,4.536,26378275.0,4.536,2.1,27053629.0
2021,27053629.0,4.536,27053629.0,4.536,27053629.0,4.536,27053629.0,4.536,2.1,27053629.0
2022,27584791.207,4.496,27580919.228,4.478,27580265.517,4.475,27593731.96,4.536,2.1,27053629.0
2023,28107092.145,4.456,28095559.958,4.421,28093615.907,4.415,28133834.92,4.536,2.1,27053629.0
2024,28620610.591,4.416,28597712.344,4.365,28593858.07,4.356,28673937.88,4.536,2.1,27053629.0
2025,29125424.62,4.377,29087535.489,4.309,29081167.527,4.298,29214040.84,4.536,2.1,27053629.0
2026,29621611.615,4.338,29565186.466,4.254,29555717.446,4.24,29754143.8,4.536,2.1,27053629.0
2027,30109248.27,4.299,30030820.35,4.2,30017678.677,4.184,30294246.76,4.536,2.1,27053629.0
2028,30588410.598,4.261,30484590.237,4.147,30467219.783,4.128,30834349.72,4.536,2.1,27053629.0
2029,31059173.935,4.223,30926647.276,4.094,30904507.069,4.072,31374452.68,4.536,2.1,27053629.0
2030,31521612.949,4.186,31357140.688,4.042,31329704.614,4.018,31914555.64,4.536,2.1,27053629.0
2031,31975801.643,4.149,31776217.792,3.99,31742974.299,3.964,32454658.6,4.536,2.1,27053629.0
2032,32421813.363,4.112,32184024.035,3.939,32144475.839,3.911,32994761.56,4.536,2.1,27053629.0
2033,32859720.8,4.075,32580703.005,3.889,32534366.809,3.859,33534864.52,4.536,2.1,27053629.0
2034,33289596.003,4.039,32966396.465,3.84,32912802.675,3.807,34074967.48,4.536,2.1,27053629.0
2035,33711510.379,4.003,33341244.369,3.791,33279936.82,3.756,34615070.44,4.536,2.1,27053629.0
2036,34125534.698,3.967,33705384.891,3.742,33635920.575,3.706,35155173.4,4.536,2.1,27053629.0
2037,34531739.103,3.932,34058954.442,3.695,33980903.243,3.656,35695276.36,4.536,2.1,27053629.0
2038,34930193.114,3.897,34402087.697,3.648,34315032.128,3.607,36235379.32,4.536,2.1,27053629.0
2039,35320965.632,3.862,34734917.614,3.601,34638452.563,3.559,36775482.28,4.536,2.1,27053629.0
2040,35704124.945,3.828,35057575.457,3.555,34951307.935,3.511,37315585.24,4.536,2.1,27053629.0
2041,36079738.734,3.794,35370190.818,3.51,35253739.708,3.464,37855688.2,4.536,2.1,27053629.0
2042,36447874.079,3.76,35672891.64,3.465,35545887.456,3.418,38395791.16,4.536,2.1,27053629.0
2043,36808597.463,3.727,35965804.232,3.421,35827888.881,3.372,38935894.12,4.536,2.1,27053629.0
2044,37161974.779,3.694,36249053.298,3.378,36099879.843,3.327,39475997.08,4.536,2.1,27053629.0
2045,37508071.334,3.661,36522761.95,3.334,36361994.382,3.282,40016100.04,4.536,2.1,27053629.0
2046,37846951.853,3.628,36787051.734,3.292,36614364.742,3.238,40556203.0,4.536,2.1,27053629.0
2047,38178680.486,3.596,37042042.645,3.25,36857121.399,3.195,41096305.96,4.536,2.1,27053629.0
2048,38503320.815,3.564,37287853.152,3.209,37090393.08,3.152,41636408.92,4.536,2.1,27053629.0
2049,38820935.854,3.533,37524600.212,3.168,37314306.789,3.11,42176511.88,4.536,2.1,27053629.0
