year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,5176920.0,5.647,5176920.0,5.647,5176920.0,5.647,5176920.0,5.647,2.1,27224262.0
1961,5285015.0,5.705,5285015.0,5.705,5285015.0,5.705,5285015.0,5.705,2.1,27224262.0
1962,5398730.0,5.766,5398730.0,5.766,5398730.0,5.766,5398730.0,5.766,2.1,27224262.0
1963,5518104.0,5.828,5518104.0,5.828,5518104.0,5.828,5518104.0,5.828,2.1,27224262.0
1964,5643039.0,5.89,5643039.0,5.89,5643039.0,5.89,5643039.0,5.89,2.1,27224262.0
1965,5773538.0,5.949,5773538.0,5.949,5773538.0,5.949,5773538.0,5.949,2.1,27224262.0
1966,5909874.0,6.004,5909874.0,6.004,5909874.0,6.004,5909874.0,6.004,2.1,27224262.0
1967,6052419.0,6.058,6052419.0,6.058,6052419.0,6.058,6052419.0,6.058,2.1,27224262.0
1968,6201410.0,6.108,6201410.0,6.108,6201410.0,6.108,6201410.0,6.108,2.1,27224262.0
1969,6357096.0,6.157,6357096.0,6.157,6357096.0,6.157,6357096.0,6.157,2.1,27224262.0
1970,6519754.0,6.203,6519754.0,6.203,6519754.0,6.203,6519754.0,6.203,2.1,27224262.0
1971,6689659.0,6.246,6689659.0,6.246,6689659.0,6.246,6689659.0,6.246,2.1,27224262.0
1972,6867170.0,6.287,6867170.0,6.287,6867170.0,6.287,6867170.0,6.287,2.1,27224262.0
1973,7052847.0,6.328,7052847.0,6.328,7052847.0,6.328,7052847.0,6.328,2.1,27224262.0
1974,7247284.0,6.367,7247284.0,6.367,7247284.0,6.367,7247284.0,6.367,2.1,27224262.0
1975,7451057.0,6.406,7451057.0,6.406,7451057.0,6.406,7451057.0,6.406,2.1,27224262.0
1976,7664398.0,6.448,7664398.0,6.448,7664398.0,6.448,7664398.0,6.448,2.1,27224262.0
1977,7887571.0,6.492,7887571.0,6.492,7887571.0,6.492,7887571.0,6.492,2.1,27224262.0
1978,8121081.0,6.538,8121081.0,6.538,8121081.0,6.538,8121081.0,6.538,2.1,27224262.0
1979,8365560.0,6.583,8365560.0,6.583,8365560.0,6.583,8365560.0,6.583,2.1,27224262.0
1980,8621409.0,6.625,8621409.0,6.625,8621409.0,6.625,8621409.0,6.625,2.1,27224262.0
1981,8888534.0,6.661,8888534.0,6.661,8888534.0,6.661,8888534.0,6.661,2.1,27224262.0
1982,9166813.0,6.688,9166813.0,6.688,9166813.0,6.688,9166813.0,6.688,2.1,27224262.0
1983,9456496.0,6.704,9456496.0,6.704,9456496.0,6.704,9456496.0,6.704,2.1,27224262.0
1984,9757849.0,6.707,9757849.0,6.707,9757849.0,6.707,9757849.0,6.707,2.1,27224262.0
1985,10070806.0,6.695,10070806.0,6.695,10070806.0,6.695,10070806.0,6.695,2.1,27224262.0
1986,10395481.0,6.667,10395481.0,6.667,10395481.0,6.667,10395481.0,6.667,2.1,27224262.0
1987,10731058.0,6.626,10731058.0,6.626,10731058.0,6.626,10731058.0,6.626,2.1,27224262.0
1988,11075423.0,6.573,11075423.0,6.573,11075423.0,6.573,11075423.0,6.573,2.1,27224262.0
1989,11425807.0,6.509,11425807.0,6.509,11425807.0,6.509,11425807.0,6.509,2.1,27224262.0
1990,11780086.0,6.436,11780086.0,6.436,11780086.0,6.436,11780086.0,6.436,2.1,27224262.0
1991,12137912.0,6.354,12137912.0,6.354,12137912.0,6.354,12137912.0,6.354,2.1,27224262.0
1992,12499499.0,6.264,12499499.0,6.264,12499499.0,6.264,12499499.0,6.264,2.1,27224262.0
