year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,15248256.0,6.001,15248256.0,6.001,15248256.0,6.001,15248256.0,6.001,2.1,92377986.0
1961,15637700.0,6.015,15637700.0,6.015,15637700.0,6.015,15637700.0,6.015,2.1,92377986.0
1962,16041187.0,6.03,16041187.0,6.03,16041187.0,6.03,16041187.0,6.03,2.1,92377986.0
1963,16461828.0,6.048,16461828.0,6.048,16461828.0,6.048,16461828.0,6.048,2.1,92377986.0
1964,16903830.0,6.067,16903830.0,6.067,16903830.0,6.067,16903830.0,6.067,2.1,92377986.0
1965,17369882.0,6.089,17369882.0,6.089,17369882.0,6.089,17369882.0,6.089,2.1,92377986.0
1966,17862052.0,6.111,17862052.0,6.111,17862052.0,6.111,17862052.0,6.111,2.1,92377986.0
1967,18378620.0,6.135,18378620.0,6.135,18378620.0,6.135,18378620.0,6.135,2.1,92377986.0
1968,18913874.0,6.161,18913874.0,6.161,18913874.0,6.161,18913874.0,6.161,2.1,92377986.0
1969,19459818.0,6.187,19459818.0,6.187,19459818.0,6.187,19459818.0,6.187,2.1,92377986.0
1970,20011033.0,6.215,20011033.0,6.215,20011033.0,6.215,20011033.0,6.215,2.1,92377986.0
1971,20564062.0,6.244,20564062.0,6.244,20564062.0,6.244,20564062.0,6.244,2.1,92377986.0
1972,21121360.0,6.275,21121360.0,6.275,21121360.0,6.275,21121360.0,6.275,2.1,92377986.0
1973,21690448.0,6.308,21690448.0,6.308,21690448.0,6.308,21690448.0,6.308,2.1,92377986.0
1974,22282127.0,6.341,22282127.0,6.341,22282127.0,6.341,22282127.0,6.341,2.1,92377986.0
1975,22903587.0,6.376,22903587.0,6.376,22903587.0,6.376,22903587.0,6.376,2.1,92377986.0
1976,23560470.0,6.41,23560470.0,6.41,23560470.0,6.41,23560470.0,6.41,2.1,92377986.0
1977,24249127.0,6.444,24249127.0,6.444,24249127.0,6.444,24249127.0,6.444,2.1,92377986.0
1978,24956387.0,6.476,24956387.0,6.476,24956387.0,6.476,24956387.0,6.476,2.1,92377986.0
1979,25663598.0,6.506,25663598.0,6.506,25663598.0,6.506,25663598.0,6.506,2.1,92377986.0
1980,26358905.0,6.535,26358905.0,6.535,26358905.0,6.535,26358905.0,6.535,2.1,92377986.0
1981,27040329.0,6.562,27040329.0,6.562,27040329.0,6.562,27040329.0,6.562,2.1,92377986.0
1982,27717293.0,6.587,27717293.0,6.587,27717293.0,6.587,27717293.0,6.587,2.1,92377986.0
1983,28403858.0,6.612,28403858.0,6.612,28403858.0,6.612,28403858.0,6.612,2.1,92377986.0
1984,29119663.0,6.636,29119663.0,6.636,29119663.0,6.636,29119663.0,6.636,2.1,92377986.0
1985,29881222.0,6.658,29881222.0,6.658,29881222.0,6.658,29881222.0,6.658,2.1,92377986.0
1986,30683877.0,6.679,30683877.0,6.679,30683877.0,6.679,30683877.0,6.679,2.1,92377986.0
1987,31528702.0,6.699,31528702.0,6.699,31528702.0,6.699,31528702.0,6.699,2.1,92377986.0
1988,32443784.0,6.717,32443784.0,6.717,32443784.0,6.717,32443784.0,6.717,2.1,92377986.0
1989,33464767.0,6.733,33464767.0,6.733,33464767.0,6.733,33464767.0,6.733,2.1,92377986.0
1990,34612023.0,6.746,34612023.0,6.746,34612023.0,6.746,34612023.0,6.746,2.1,92377986.0
1991,35908240.0,6.758,35908240.0,6.758,35908240.0,6.758,35908240.0,6.758,2.1,92377986.0
1992,37333917.0,6.767,37333917.0,6.767,37333917.0,6.767,37333917.0,6.767,2.1,92377986.0
1993,38815835.0,6.773,38815835.0,6.773,38815835.0,6.773,38815835.0,6.773,2.1,92377986.0
1994,40252973.0,6.777,40252973.0,6.777,40252973.0,6.777,40252973.0,6.777,2.1,92377986.0
1995,41576239.0,6.779,41576239.0,6.779,41576239.0,6.779,41576239.0,6.779,2.1,92377986.0
1996,42757239.0,6.777,42757239.0,6.777,42757239.0,6.777,42757239.0,6.777,2.1,92377986.0
1997,43827191.0,6.774,43827191.0,6.774,43827191.0,6.774,43827191.0,6.774,2.1,92377986.0
1998,44849968.0,6.768,44849968.0,6.768,44849968.0,6.768,44849968.0,6.768,2.1,92377986.0
1999,45919615.0,6.76,45919615.0,6.76,45919615.0,6.76,45919615.0,6.76,2.1,92377986.0
