year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1018254.0,5.88,1018254.0,5.88,1018254.0,5.88,1018254.0,5.88,2.1,5657017.0
1961,1043119.0,5.922,1043119.0,5.922,1043119.0,5.922,1043119.0,5.922,2.1,5657017.0
1962,1069236.0,5.966,1069236.0,5.966,1069236.0,5.966,1069236.0,5.966,2.1,5657017.0
1963,1096638.0,6.011,1096638.0,6.011,1096638.0,6.011,1096638.0,6.011,2.1,5657017.0
1964,1125354.0,6.055,1125354.0,6.055,1125354.0,6.055,1125354.0,6.055,2.1,5657017.0
1965,1155389.0,6.098,1155389.0,6.098,1155389.0,6.098,1155389.0,6.098,2.1,5657017.0
1966,1186782.0,6.138,1186782.0,6.138,1186782.0,6.138,1186782.0,6.138,2.1,5657017.0
1967,1219547.0,6.176,1219547.0,6.176,1219547.0,6.176,1219547.0,6.176,2.1,5657017.0
1968,1253761.0,6.211,1253761.0,6.211,1253761.0,6.211,1253761.0,6.211,2.1,5657017.0
1969,1289519.0,6.241,1289519.0,6.241,1289519.0,6.241,1289519.0,6.241,2.1,5657017.0
1970,1326894.0,6.267,1326894.0,6.267,1326894.0,6.267,1326894.0,6.267,2.1,5657017.0
1971,1365891.0,6.289,1365891.0,6.289,1365891.0,6.289,1365891.0,6.289,2.1,5657017.0
1972,1406510.0,6.306,1406510.0,6.306,1406510.0,6.306,1406510.0,6.306,2.1,5657017.0
1973,1448632.0,6.319,1448632.0,6.319,1448632.0,6.319,1448632.0,6.319,2.1,5657017.0
1974,1492055.0,6.324,1492055.0,6.324,1492055.0,6.324,1492055.0,6.324,2.1,5657017.0
1975,1536658.0,6.318,1536658.0,6.318,1536658.0,6.318,1536658.0,6.318,2.1,5657017.0
1976,1582361.0,6.299,1582361.0,6.299,1582361.0,6.299,1582361.0,6.299,2.1,5657017.0
1977,1629218.0,6.263,1629218.0,6.263,1629218.0,6.263,1629218.0,6.263,2.1,5657017.0
