year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,16057714.0,6.735,16057714.0,6.735,16057714.0,6.735,16057714.0,6.735,2.1,51265841.0
1961,16567817.0,6.712,16567817.0,6.712,16567817.0,6.712,16567817.0,6.712,2.1,51265841.0
1962,17092919.0,6.663,17092919.0,6.663,17092919.0,6.663,17092919.0,6.663,2.1,51265841.0
1963,17629978.0,6.584,17629978.0,6.584,17629978.0,6.584,17629978.0,6.584,2.1,51265841.0
1964,18175187.0,6.475,18175187.0,6.475,18175187.0,6.475,18175187.0,6.475,2.1,51265841.0
1965,18725242.0,6.333,18725242.0,6.333,18725242.0,6.333,18725242.0,6.333,2.1,51265841.0
1966,19279734.0,6.159,19279734.0,6.159,19279734.0,6.159,19279734.0,6.159,2.1,51265841.0
1967,19837508.0,5.957,19837508.0,5.957,19837508.0,5.957,19837508.0,5.957,2.1,51265841.0
1968,20393704.0,5.737,20393704.0,5.737,20393704.0,5.737,20393704.0,5.737,2.1,51265841.0
1969,20942453.0,5.506,20942453.0,5.506,20942453.0,5.506,20942453.0,5.506,2.1,51265841.0
1970,21480064.0,5.276,21480064.0,5.276,21480064.0,5.276,21480064.0,5.276,2.1,51265841.0
1971,22003983.0,5.057,22003983.0,5.057,22003983.0,5.057,22003983.0,5.057,2.1,51265841.0
1972,22516429.0,4.857,22516429.0,4.857,22516429.0,4.857,22516429.0,4.857,2.1,51265841.0
1973,23024512.0,4.68,23024512.0,4.68,23024512.0,4.68,23024512.0,4.68,2.1,51265841.0
1974,23538390.0,4.527,23538390.0,4.527,23538390.0,4.527,23538390.0,4.527,2.1,51265841.0
1975,24065502.0,4.398,24065502.0,4.398,24065502.0,4.398,24065502.0,4.398,2.1,51265841.0
1976,24608102.0,4.285,24608102.0,4.285,24608102.0,4.285,24608102.0,4.285,2.1,51265841.0
1977,25164544.0,4.179,25164544.0,4.179,25164544.0,4.179,25164544.0,4.179,2.1,51265841.0
1978,25733669.0,4.074,25733669.0,4.074,25733669.0,4.074,25733669.0,4.074,2.1,51265841.0
1979,26312996.0,3.967,26312996.0,3.967,26312996.0,3.967,26312996.0,3.967,2.1,51265841.0
1980,26900508.0,3.856,26900508.0,3.856,26900508.0,3.856,26900508.0,3.856,2.1,51265841.0
1981,27496608.0,3.743,27496608.0,3.743,27496608.0,3.743,27496608.0,3.743,2.1,51265841.0
1982,28101824.0,3.632,28101824.0,3.632,28101824.0,3.632,28101824.0,3.632,2.1,51265841.0
1983,28714183.0,3.527,28714183.0,3.527,28714183.0,3.527,28714183.0,3.527,2.1,51265841.0
1984,29331230.0,3.43,29331230.0,3.43,29331230.0,3.43,29331230.0,3.43,2.1,51265841.0
1985,29951194.0,3.343,29951194.0,3.343,29951194.0,3.343,29951194.0,3.343,2.1,51265841.0
1986,30572479.0,3.269,30572479.0,3.269,30572479.0,3.269,30572479.0,3.269,2.1,51265841.0
1987,31195417.0,3.208,31195417.0,3.208,31195417.0,3.208,31195417.0,3.208,2.1,51265841.0
1988,31822527.0,3.158,31822527.0,3.158,31822527.0,3.158,31822527.0,3.158,2.1,51265841.0
1989,32457497.0,3.117,32457497.0,3.117,32457497.0,3.117,32457497.0,3.117,2.1,51265841.0
1990,33102569.0,3.082,33102569.0,3.082,33102569.0,3.082,33102569.0,3.082,2.1,51265841.0
1991,33758328.0,3.047,33758328.0,3.047,33758328.0,3.047,33758328.0,3.047,2.1,51265841.0
1992,34422568.0,3.01,34422568.0,3.01,34422568.0,3.01,34422568.0,3.01,2.1,51265841.0
1993,35091272.0,2.968,35091272.0,2.968,35091272.0,2.968,35091272.0,2.968,2.1,51265841.0
1994,35758978.0,2.918,35758978.0,2.918,35758978.0,2.918,35758978.0,2.918,2.1,51265841.0
1995,36421438.0,2.862,36421438.0,2.862,36421438.0,2.862,36421438.0,2.862,2.1,51265841.0
1996,37076387.0,2.802,37076387.0,2.802,37076387.0,2.802,37076387.0,2.802,2.1,51265841.0
1997,37723803.0,2.742,37723803.0,2.742,37723803.0,2.742,37723803.0,2.742,2.1,51265841.0
1998,38364307.0,2.683,38364307.0,2.683,38364307.0,2.683,38364307.0,2.683,2.1,51265841.0
1999,38999468.0,2.627,38999468.0,2.627,38999468.0,2.627,38999468.0,2.627,2.1,51265841.0
2000,39629965.0,2.572,39629965.0,2.572,39629965.0,2.572,39629965.0,2.572,2.1,51265841.0
2001,40255956.0,2.516,40255956.0,2.516,40255956.0,2.516,40255956.0,2.516,2.1,51265841.0
2002,40875363.0,2.458,40875363.0,2.458,40875363.0,2.458,40875363.0,2.458,2.1,51265841.0
2003,41483872.0,2.395,41483872.0,2.395,41483872.0,2.395,41483872.0,2.395,2.1,51265841.0
2004,42075953.0,2.33,42075953.0,2.33,42075953.0,2.33,42075953.0,2.33,2.1,51265841.0
2005,42647731.0,2.263,42647731.0,2.263,42647731.0,2.263,42647731.0,2.263,2.1,51265841.0
2006,43200901.0,2.198,43200901.0,2.198,43200901.0,2.198,43200901.0,2.198,2.1,51265841.0
2007,43737512.0,2.137,43737512.0,2.137,43737512.0,2.137,43737512.0,2.137,2.1,51265841.0
2008,44254972.0,2.081,44254972.0,2.081,44254972.0,2.081,44254972.0,2.081,2.1,51265841.0
2009,44750054.0,2.033,44750054.0,2.033,44750054.0,2.033,44750054.0,2.033,2.1,51265841.0
2010,45222699.0,1.992,45222699.0,1.992,45222699.0,1.992,45222699.0,1.992,2.1,51265841.0
2011,45662747.0,1.958,45662747.0,1.958,45662747.0,1.958,45662747.0,1.958,2.1,51265841.0
