year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,191122.0,6.792,191122.0,6.792,191122.0,6.792,191122.0,6.792,2.1,888456.0
1961,194149.0,6.849,194149.0,6.849,194149.0,6.849,194149.0,6.849,2.1,888456.0
1962,197202.0,6.897,197202.0,6.897,197202.0,6.897,197202.0,6.897,2.1,888456.0
1963,200371.0,6.939,200371.0,6.939,200371.0,6.939,200371.0,6.939,2.1,888456.0
1964,203762.0,6.975,203762.0,6.975,203762.0,6.975,203762.0,6.975,2.1,888456.0
1965,207429.0,7.004,207429.0,7.004,207429.0,7.004,207429.0,7.004,2.1,888456.0
1966,211477.0,7.027,211477.0,7.027,211477.0,7.027,211477.0,7.027,2.1,888456.0
1967,215900.0,7.044,215900.0,7.044,215900.0,7.044,215900.0,7.044,2.1,888456.0
1968,220574.0,7.055,220574.0,7.055,220574.0,7.055,220574.0,7.055,2.1,888456.0
1969,225324.0,7.06,225324.0,7.06,225324.0,7.06,225324.0,7.06,2.1,888456.0
1970,230055.0,7.061,230055.0,7.061,230055.0,7.061,230055.0,7.061,2.1,888456.0
1971,234645.0,7.06,234645.0,7.06,234645.0,7.06,234645.0,7.06,2.1,888456.0
1972,239229.0,7.058,239229.0,7.058,239229.0,7.058,239229.0,7.058,2.1,888456.0
1973,244207.0,7.055,244207.0,7.055,244207.0,7.055,244207.0,7.055,2.1,888456.0
1974,250107.0,7.052,250107.0,7.052,250107.0,7.052,250107.0,7.052,2.1,888456.0
1975,257285.0,7.052,257285.0,7.052,257285.0,7.052,257285.0,7.052,2.1,888456.0
1976,265958.0,7.055,265958.0,7.055,265958.0,7.055,265958.0,7.055,2.1,888456.0
1977,275903.0,7.061,275903.0,7.061,275903.0,7.061,275903.0,7.061,2.1,888456.0
1978,286628.0,7.069,286628.0,7.069,286628.0,7.069,286628.0,7.069,2.1,888456.0
1979,297451.0,7.075,297451.0,7.075,297451.0,7.075,297451.0,7.075,2.1,888456.0
1980,307831.0,7.078,307831.0,7.078,307831.0,7.078,307831.0,7.078,2.1,888456.0
1981,317617.0,7.072,317617.0,7.072,317617.0,7.072,317617.0,7.072,2.1,888456.0
1982,326944.0,7.056,326944.0,7.056,326944.0,7.056,326944.0,7.056,2.1,888456.0
1983,336088.0,7.026,336088.0,7.026,336088.0,7.026,336088.0,7.026,2.1,888456.0
1984,345455.0,6.982,345455.0,6.982,345455.0,6.982,345455.0,6.982,2.1,888456.0
1985,355337.0,6.921,355337.0,6.921,355337.0,6.921,355337.0,6.921,2.1,888456.0
1986,365765.0,6.842,365765.0,6.842,365765.0,6.842,365765.0,6.842,2.1,888456.0
1987,376647.0,6.749,376647.0,6.749,376647.0,6.749,376647.0,6.749,2.1,888456.0
1988,387964.0,6.644,387964.0,6.644,387964.0,6.644,387964.0,6.644,2.1,888456.0
1989,399638.0,6.531,399638.0,6.531,399638.0,6.531,399638.0,6.531,2.1,888456.0
1990,411598.0,6.412,411598.0,6.412,411598.0,6.412,411598.0,6.412,2.1,888456.0
1991,423873.0,6.291,423873.0,6.291,423873.0,6.291,423873.0,6.291,2.1,888456.0
1992,436454.0,6.171,436454.0,6.171,436454.0,6.171,436454.0,6.171,2.1,888456.0
1993,449270.0,6.053,449270.0,6.053,449270.0,6.053,449270.0,6.053,2.1,888456.0
1994,462280.0,5.941,462280.0,5.941,462280.0,5.941,462280.0,5.941,2.1,888456.0
1995,475394.0,5.835,475394.0,5.835,475394.0,5.835,475394.0,5.835,2.1,888456.0
1996,488625.0,5.736,488625.0,5.736,488625.0,5.736,488625.0,5.736,2.1,888456.0
1997,501955.0,5.642,501955.0,5.642,501955.0,5.642,501955.0,5.642,2.1,888456.0
1998,515382.0,5.552,515382.0,5.552,515382.0,5.552,515382.0,5.552,2.1,888456.0
1999,528853.0,5.466,528853.0,5.466,528853.0,5.466,528853.0,5.466,2.1,888456.0
2000,542358.0,5.384,542358.0,5.384,542358.0,5.384,542358.0,5.384,2.1,888456.0
2001,555895.0,5.307,555895.0,5.307,555895.0,5.307,555895.0,5.307,2.1,888456.0
2002,569480.0,5.235,569480.0,5.235,569480.0,5.235,569480.0,5.235,2.1,888456.0
2003,583213.0,5.167,583213.0,5.167,583213.0,5.167,583213.0,5.167,2.1,888456.0
2004,597230.0,5.103,597230.0,5.103,597230.0,5.103,597230.0,5.103,2.1,888456.0
2005,611625.0,5.042,611625.0,5.042,611625.0,5.042,611625.0,5.042,2.1,888456.0
2006,626427.0,4.984,626427.0,4.984,626427.0,4.984,626427.0,4.984,2.1,888456.0
2007,641624.0,4.927,641624.0,4.927,641624.0,4.927,641624.0,4.927,2.1,888456.0
2008,657227.0,4.87,657227.0,4.87,657227.0,4.87,657227.0,4.87,2.1,888456.0
2009,673251.0,4.813,673251.0,4.813,673251.0,4.813,673251.0,4.813,2.1,888456.0
2010,689696.0,4.754,689696.0,4.754,689696.0,4.754,689696.0,4.754,2.1,888456.0
