year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,201770.0,6.885,201770.0,6.885,201770.0,6.885,201770.0,6.885,2.1,561901.0
1961,205321.0,6.922,205321.0,6.922,205321.0,6.922,205321.0,6.922,2.1,561901.0
1962,210141.0,6.953,210141.0,6.953,210141.0,6.953,210141.0,6.953,2.1,561901.0
1963,216087.0,6.976,216087.0,6.976,216087.0,6.976,216087.0,6.976,2.1,561901.0
1964,222949.0,6.989,222949.0,6.989,222949.0,6.989,222949.0,6.989,2.1,561901.0
1965,230421.0,6.993,230421.0,6.993,230421.0,6.993,230421.0,6.993,2.1,561901.0
1966,238655.0,6.99,238655.0,6.99,238655.0,6.99,238655.0,6.99,2.1,561901.0
1967,247522.0,6.982,247522.0,6.982,247522.0,6.982,247522.0,6.982,2.1,561901.0
1968,256169.0,6.97,256169.0,6.97,256169.0,6.97,256169.0,6.97,2.1,561901.0
1969,263461.0,6.954,263461.0,6.954,263461.0,6.954,263461.0,6.954,2.1,561901.0
1970,268633.0,6.935,268633.0,6.935,268633.0,6.935,268633.0,6.935,2.1,561901.0
1971,271315.0,6.913,271315.0,6.913,271315.0,6.913,271315.0,6.913,2.1,561901.0
1972,271841.0,6.887,271841.0,6.887,271841.0,6.887,271841.0,6.887,2.1,561901.0
1973,271068.0,6.855,271068.0,6.855,271068.0,6.855,271068.0,6.855,2.1,561901.0
1974,270228.0,6.818,270228.0,6.818,270228.0,6.818,270228.0,6.818,2.1,561901.0
1975,270240.0,6.771,270240.0,6.771,270240.0,6.771,270240.0,6.771,2.1,561901.0
1976,271345.0,6.714,271345.0,6.714,271345.0,6.714,271345.0,6.714,2.1,561901.0
1977,273335.0,6.645,273335.0,6.645,273335.0,6.645,273335.0,6.645,2.1,561901.0
1978,276182.0,6.564,276182.0,6.564,276182.0,6.564,276182.0,6.564,2.1,561901.0
1979,279729.0,6.473,279729.0,6.473,279729.0,6.473,279729.0,6.473,2.1,561901.0
1980,283848.0,6.375,283848.0,6.375,283848.0,6.375,283848.0,6.375,2.1,561901.0
1981,288678.0,6.273,288678.0,6.273,288678.0,6.273,288678.0,6.273,2.1,561901.0
1982,294244.0,6.17,294244.0,6.17,294244.0,6.17,294244.0,6.17,2.1,561901.0
1983,300226.0,6.068,300226.0,6.068,300226.0,6.068,300226.0,6.068,2.1,561901.0
1984,306140.0,5.97,306140.0,5.97,306140.0,5.97,306140.0,5.97,2.1,561901.0
1985,311668.0,5.875,311668.0,5.875,311668.0,5.875,311668.0,5.875,2.1,561901.0
1986,316613.0,5.784,316613.0,5.784,316613.0,5.784,316613.0,5.784,2.1,561901.0
1987,321137.0,5.695,321137.0,5.695,321137.0,5.695,321137.0,5.695,2.1,561901.0
1988,325744.0,5.603,325744.0,5.603,325744.0,5.603,325744.0,5.603,2.1,561901.0
1989,331180.0,5.504,331180.0,5.504,331180.0,5.504,331180.0,5.504,2.1,561901.0
1990,337953.0,5.392,337953.0,5.392,337953.0,5.392,337953.0,5.392,2.1,561901.0
1991,346229.0,5.259,346229.0,5.259,346229.0,5.259,346229.0,5.259,2.1,561901.0
1992,355763.0,5.102,355763.0,5.102,355763.0,5.102,355763.0,5.102,2.1,561901.0
1993,366057.0,4.921,366057.0,4.921,366057.0,4.921,366057.0,4.921,2.1,561901.0
1994,376409.0,4.72,376409.0,4.72,376409.0,4.72,376409.0,4.72,2.1,561901.0
1995,386288.0,4.505,386288.0,4.505,386288.0,4.505,386288.0,4.505,2.1,561901.0
1996,395533.0,4.287,395533.0,4.287,395533.0,4.287,395533.0,4.287,2.1,561901.0
1997,404248.0,4.074,404248.0,4.074,404248.0,4.074,404248.0,4.074,2.1,561901.0
1998,412513.0,3.876,412513.0,3.876,412513.0,3.876,412513.0,3.876,2.1,561901.0
