year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1330787.0,6.712,1330787.0,6.712,1330787.0,6.712,1330787.0,6.712,2.1,5139053.0
1961,1381187.0,6.651,1381187.0,6.651,1381187.0,6.651,1381187.0,6.651,2.1,5139053.0
1962,1433346.0,6.543,1433346.0,6.543,1433346.0,6.543,1433346.0,6.543,2.1,5139053.0
1963,1486555.0,6.389,1486555.0,6.389,1486555.0,6.389,1486555.0,6.389,2.1,5139053.0
1964,1539942.0,6.193,1539942.0,6.193,1539942.0,6.193,1539942.0,6.193,2.1,5139053.0
1965,1592834.0,5.96,1592834.0,5.96,1592834.0,5.96,1592834.0,5.96,2.1,5139053.0
1966,1645076.0,5.697,1645076.0,5.697,1645076.0,5.697,1645076.0,5.697,2.1,5139053.0
1967,1696742.0,5.416,1696742.0,5.416,1696742.0,5.416,1696742.0,5.416,2.1,5139053.0
1968,1747690.0,5.13,1747690.0,5.13,1747690.0,5.13,1747690.0,5.13,2.1,5139053.0
1969,1797891.0,4.852,1797891.0,4.852,1797891.0,4.852,1797891.0,4.852,2.1,5139053.0
1970,1847394.0,4.595,1847394.0,4.595,1847394.0,4.595,1847394.0,4.595,2.1,5139053.0
1971,1896074.0,4.369,1896074.0,4.369,1896074.0,4.369,1896074.0,4.369,2.1,5139053.0
1972,1944170.0,4.177,1944170.0,4.177,1944170.0,4.177,1944170.0,4.177,2.1,5139053.0
1973,1992522.0,4.019,1992522.0,4.019,1992522.0,4.019,1992522.0,4.019,2.1,5139053.0
1974,2042242.0,3.895,2042242.0,3.895,2042242.0,3.895,2042242.0,3.895,2.1,5139053.0
1975,2094186.0,3.804,2094186.0,3.804,2094186.0,3.804,2094186.0,3.804,2.1,5139053.0
1976,2148681.0,3.74,2148681.0,3.74,2148681.0,3.74,2148681.0,3.74,2.1,5139053.0
1977,2205618.0,3.692,2205618.0,3.692,2205618.0,3.692,2205618.0,3.692,2.1,5139053.0
1978,2264942.0,3.652,2264942.0,3.652,2264942.0,3.652,2264942.0,3.652,2.1,5139053.0
1979,2326460.0,3.615,2326460.0,3.615,2326460.0,3.615,2326460.0,3.615,2.1,5139053.0
1980,2389973.0,3.581,2389973.0,3.581,2389973.0,3.581,2389973.0,3.581,2.1,5139053.0
1981,2455593.0,3.548,2455593.0,3.548,2455593.0,3.548,2455593.0,3.548,2.1,5139053.0
1982,2523358.0,3.521,2523358.0,3.521,2523358.0,3.521,2523358.0,3.521,2.1,5139053.0
1983,2593015.0,3.5,2593015.0,3.5,2593015.0,3.5,2593015.0,3.5,2.1,5139053.0
1984,2664220.0,3.482,2664220.0,3.482,2664220.0,3.482,2664220.0,3.482,2.1,5139053.0
1985,2736719.0,3.464,2736719.0,3.464,2736719.0,3.464,2736719.0,3.464,2.1,5139053.0
1986,2810245.0,3.441,2810245.0,3.441,2810245.0,3.441,2810245.0,3.441,2.1,5139053.0
1987,2884856.0,3.412,2884856.0,3.412,2884856.0,3.412,2884856.0,3.412,2.1,5139053.0
1988,2960932.0,3.373,2960932.0,3.373,2960932.0,3.373,2960932.0,3.373,2.1,5139053.0
1989,3039015.0,3.324,3039015.0,3.324,3039015.0,3.324,3039015.0,3.324,2.1,5139053.0
1990,3119436.0,3.264,3119436.0,3.264,3119436.0,3.264,3119436.0,3.264,2.1,5139053.0
1991,3202083.0,3.193,3202083.0,3.193,3202083.0,3.193,3202083.0,3.193,2.1,5139053.0
