year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4194711.0,5.60034003,4194711.0,5.60034003,4194711.0,5.60034003,4194711.0,5.60034003,2.1,7481631.0
1961,4274052.0,5.613679491,4274052.0,5.613679491,4274052.0,5.613679491,4274052.0,5.613679491,2.1,7481631.0
1962,4353623.0,5.604207305,4353623.0,5.604207305,4353623.0,5.604207305,4353623.0,5.604207305,2.1,7481631.0
1963,4432240.0,5.571821184,4432240.0,5.571821184,4432240.0,5.571821184,4432240.0,5.571821184,2.1,7481631.0
1964,4508189.0,5.517187587,4508189.0,5.517187587,4508189.0,5.517187587,4508189.0,5.517187587,2.1,7481631.0
1965,4580382.0,5.442333336,4580382.0,5.442333336,4580382.0,5.442333336,4580382.0,5.442333336,2.1,7481631.0
1966,4648353.0,5.347816186,4648353.0,5.347816186,4648353.0,5.347816186,4648353.0,5.347816186,2.1,7481631.0
1967,4712556.0,5.23825737,4712556.0,5.23825737,4712556.0,5.23825737,4712556.0,5.23825737,2.1,7481631.0
1968,4773890.0,5.118622335,4773890.0,5.118622335,4773890.0,5.118622335,4773890.0,5.118622335,2.1,7481631.0
1969,4833839.0,4.992995999,4833839.0,4.992995999,4833839.0,4.992995999,4833839.0,4.992995999,2.1,7481631.0
1970,4893444.0,4.863466512,4893444.0,4.863466512,4893444.0,4.863466512,4893444.0,4.863466512,2.1,7481631.0
1971,4953088.0,4.726027946,4953088.0,4.726027946,4953088.0,4.726027946,4953088.0,4.726027946,2.1,7481631.0
1972,5012600.0,4.582064827,5012600.0,4.582064827,5012600.0,4.582064827,5012600.0,4.582064827,2.1,7481631.0
1973,5071912.0,4.433035348,5071912.0,4.433035348,5071912.0,4.433035348,5071912.0,4.433035348,2.1,7481631.0
1974,5130797.0,4.27994986,5130797.0,4.27994986,5130797.0,4.27994986,5130797.0,4.27994986,2.1,7481631.0
1975,5189174.0,4.129701598,5189174.0,4.129701598,5189174.0,4.129701598,5189174.0,4.129701598,2.1,7481631.0
1976,5246547.0,3.992704623,5246547.0,3.992704623,5246547.0,3.992704623,5246547.0,3.992704623,2.1,7481631.0
1977,5303289.0,3.869682344,5303289.0,3.869682344,5303289.0,3.869682344,5303289.0,3.869682344,2.1,7481631.0
1978,5360562.0,3.763198276,5360562.0,3.763198276,5360562.0,3.763198276,5360562.0,3.763198276,2.1,7481631.0
1979,5419911.0,3.67513548,5419911.0,3.67513548,5419911.0,3.67513548,5419911.0,3.67513548,2.1,7481631.0
1980,5482191.0,3.600970005,5482191.0,3.600970005,5482191.0,3.600970005,5482191.0,3.600970005,2.1,7481631.0
