year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7141241.0,4.192,7141241.0,4.192,7141241.0,4.192,7141241.0,4.192,2.1,11317498.0
1961,7291201.0,4.365,7291201.0,4.365,7291201.0,4.365,7291201.0,4.365,2.1,11317498.0
1962,7453535.0,4.502,7453535.0,4.502,7453535.0,4.502,7453535.0,4.502,2.1,11317498.0
1963,7623300.0,4.584,7623300.0,4.584,7623300.0,4.584,7623300.0,4.584,2.1,11317498.0
1964,7793258.0,4.6,7793258.0,4.6,7793258.0,4.6,7793258.0,4.6,2.1,11317498.0
1965,7958171.0,4.552,7958171.0,4.552,7958171.0,4.552,7958171.0,4.552,2.1,11317498.0
1966,8115487.0,4.455,8115487.0,4.455,8115487.0,4.455,8115487.0,4.455,2.1,11317498.0
1967,8266373.0,4.333,8266373.0,4.333,8266373.0,4.333,8266373.0,4.333,2.1,11317498.0
1968,8413549.0,4.205,8413549.0,4.205,8413549.0,4.205,8413549.0,4.205,2.1,11317498.0
1969,8561391.0,4.074,8561391.0,4.074,8561391.0,4.074,8561391.0,4.074,2.1,11317498.0
1970,8712535.0,3.935,8712535.0,3.935,8712535.0,3.935,8712535.0,3.935,2.1,11317498.0
1971,8868087.0,3.774,8868087.0,3.774,8868087.0,3.774,8868087.0,3.774,2.1,11317498.0
1972,9025347.0,3.58,9025347.0,3.58,9025347.0,3.58,9025347.0,3.58,2.1,11317498.0
1973,9178809.0,3.351,9178809.0,3.351,9178809.0,3.351,9178809.0,3.351,2.1,11317498.0
1974,9320943.0,3.094,9320943.0,3.094,9320943.0,3.094,9320943.0,3.094,2.1,11317498.0
1975,9446441.0,2.824,9446441.0,2.824,9446441.0,2.824,9446441.0,2.824,2.1,11317498.0
1976,9554186.0,2.562,9554186.0,2.562,9554186.0,2.562,9554186.0,2.562,2.1,11317498.0
1977,9646142.0,2.328,9646142.0,2.328,9646142.0,2.328,9646142.0,2.328,2.1,11317498.0
1978,9724044.0,2.135,9724044.0,2.135,9724044.0,2.135,9724044.0,2.135,2.1,11317498.0
1979,9790850.0,1.99,9790850.0,1.99,9790850.0,1.99,9790850.0,1.99,2.1,11317498.0
1980,9849457.0,1.896,9849457.0,1.896,9849457.0,1.896,9849457.0,1.896,2.1,11317498.0
1981,9898891.0,1.848,9898891.0,1.848,9898891.0,1.848,9898891.0,1.848,2.1,11317498.0
1982,9940314.0,1.831,9940314.0,1.831,9940314.0,1.831,9940314.0,1.831,2.1,11317498.0
1983,9981303.0,1.831,9981303.0,1.831,9981303.0,1.831,9981303.0,1.831,2.1,11317498.0
1984,10031651.0,1.838,10031651.0,1.838,10031651.0,1.838,10031651.0,1.838,2.1,11317498.0
1985,10097910.0,1.843,10097910.0,1.843,10097910.0,1.843,10097910.0,1.843,2.1,11317498.0
1986,10183894.0,1.839,10183894.0,1.839,10183894.0,1.839,10183894.0,1.839,2.1,11317498.0
1987,10286645.0,1.823,10286645.0,1.823,10286645.0,1.823,10286645.0,1.823,2.1,11317498.0
1988,10397519.0,1.797,10397519.0,1.797,10397519.0,1.797,10397519.0,1.797,2.1,11317498.0
1989,10503967.0,1.759,10503967.0,1.759,10503967.0,1.759,10503967.0,1.759,2.1,11317498.0
1990,10596986.0,1.714,10596986.0,1.714,10596986.0,1.714,10596986.0,1.714,2.1,11317498.0
1991,10673534.0,1.668,10673534.0,1.668,10673534.0,1.668,10673534.0,1.668,2.1,11317498.0
1992,10736386.0,1.628,10736386.0,1.628,10736386.0,1.628,10736386.0,1.628,2.1,11317498.0
1993,10789312.0,1.6,10789312.0,1.6,10789312.0,1.6,10789312.0,1.6,2.1,11317498.0
1994,10838461.0,1.584,10838461.0,1.584,10838461.0,1.584,10838461.0,1.584,2.1,11317498.0
1995,10888246.0,1.58,10888246.0,1.58,10888246.0,1.58,10888246.0,1.58,2.1,11317498.0
1996,10939285.0,1.585,10939285.0,1.585,10939285.0,1.585,10939285.0,1.585,2.1,11317498.0
1997,10989730.0,1.593,10989730.0,1.593,10989730.0,1.593,10989730.0,1.593,2.1,11317498.0
1998,11038706.0,1.6,11038706.0,1.6,11038706.0,1.6,11038706.0,1.6,2.1,11317498.0
