year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,124826.0,,124826,,124826,,124826,,2.1,152369.0
1961,126125.0,,126125,,126125,,126125,,2.1,152369.0
1962,128414.0,,128414,,128414,,128414,,2.1,152369.0
1963,130860.0,,130860,,130860,,130860,,2.1,152369.0
1964,133148.0,,133148,,133148,,133148,,2.1,152369.0
1965,135266.0,,135266,,135266,,135266,,2.1,152369.0
1966,136682.0,,136682,,136682,,136682,,2.1,152369.0
1967,138140.0,,138140,,138140,,138140,,2.1,152369.0
1968,140298.0,,140298,,140298,,140298,,2.1,152369.0
1969,142581.0,,142581,,142581,,142581,,2.1,152369.0
1970,144739.0,,144739,,144739,,144739,,2.1,152369.0
1971,147389.0,,147389,,147389,,147389,,2.1,152369.0
1972,147710.0,,147710,,147710,,147710,,2.1,152369.0
1973,146912.0,,146912,,146912,,146912,,2.1,152369.0
1974,148351.0,,148351,,148351,,148351,,2.1,152369.0
1975,149129.0,,149129,,149129,,149129,,2.1,152369.0
1976,149399.0,,149399,,149399,,149399,,2.1,152369.0
1977,149459.0,,149459,,149459,,149459,,2.1,152369.0
1978,148341.0,,148341,,148341,,148341,,2.1,152369.0
1979,147851.0,,147851,,147851,,147851,,2.1,152369.0
1980,148041.0,,148041,,148041,,148041,,2.1,152369.0
1981,148629.0,,148629,,148629,,148629,,2.1,152369.0
1982,150101.0,,150101,,150101,,150101,,2.1,152369.0
1983,151159.0,,151159,,151159,,151159,,2.1,152369.0
1984,151940.0,,151940,,151940,,151940,,2.1,152369.0
1985,152711.0,,152711,,152711,,152711,,2.1,152369.0
1986,152662.0,,152662,,152662,,152662,,2.1,152369.0
1987,151456.0,,151456,,151456,,151456,,2.1,152369.0
1988,149254.0,,149254,,149254,,149254,,2.1,152369.0
1989,146937.0,,146937,,146937,,146937,,2.1,152369.0
1990,145400.0,,145400,,145400,,145400,,2.1,152369.0
1991,144403.0,,144403,,144403,,144403,,2.1,152369.0
1992,143912.0,,143912,,143912,,143912,,2.1,152369.0
1993,144299.0,,144299,,144299,,144299,,2.1,152369.0
1994,144630.0,,144630,,144630,,144630,,2.1,152369.0
1995,145139.0,,145139,,145139,,145139,,2.1,152369.0
1996,146306.0,,146306,,146306,,146306,,2.1,152369.0
1997,146956.0,,146956,,146956,,146956,,2.1,152369.0
1998,144472.0,,144472,,144472,,144472,,2.1,152369.0
1999,139428.0,,139428,,139428,,139428,,2.1,152369.0
2000,133860.0,,133860,,133860,,133860,,2.1,152369.0
2001,129047.0,,129047,,129047,,129047,,2.1,152369.0
2002,129205.0,,129205,,129205,,129205,,2.1,152369.0
2003,131897.0,,131897,,131897,,131897,,2.1,152369.0
2004,134192.0,,134192,,134192,,134192,,2.1,152369.0
2005,137658.0,,137658,,137658,,137658,,2.1,152369.0
2006,141239.0,2.1,141239,2.1,141239,2.1,141239,2.1,2.1,152369.0
2007,144056.0,2.0,144056,2.0,144056,2.0,144056,2.0,2.1,152369.0
2008,145880.0,2.2,145880,2.2,145880,2.2,145880,2.2,2.1,152369.0
2009,146833.0,2.1,146833,2.1,146833,2.1,146833,2.1,2.1,152369.0
2010,148703.0,2.2,148703,2.2,148703,2.2,148703,2.2,2.1,152369.0
2011,150831.0,2.1,150831,2.1,150831,2.1,150831,2.1,2.1,152369.0
2012,152088.0,2.2,152088,2.2,152088,2.2,152088,2.2,2.1,152369.0
2013,153822.0,2.1,153822,2.1,153822,2.1,153822,2.1,2.1,152369.0
2014,155909.0,2.0,155909,2.0,155909,2.0,155909,2.0,2.1,152369.0
2015,157980.0,1.9,157980,1.9,157980,1.9,157980,1.9,2.1,152369.0
2016,159664.0,1.7,159664,1.7,159664,1.7,159664,1.7,2.1,152369.0
2017,160175.0,1.5,160175,1.5,160175,1.5,160175,1.5,2.1,152369.0
2018,159336.0,1.7,159336,1.7,159336,1.7,159336,1.7,2.1,152369.0
2019,157441.0,1.6,157441,1.6,157441,1.6,157441,1.6,2.1,152369.0
2020,154947.0,1.6,154947,1.6,154947,1.6,154947,1.6,2.1,152369.0
2021,152369.0,1.6,152369,1.6,152369,1.6,152369,1.6,2.1,152369.0
2022,152369.0,1.594,152369,1.554,152369,1.581,152369,1.6,2.1,152369.0
2023,152369.0,1.587,152369,1.509,152369,1.563,152369,1.6,2.1,152369.0
2024,152369.0,1.581,152369,1.466,152369,1.544,152369,1.6,2.1,152369.0
2025,152369.0,1.575,152369,1.424,152369,1.526,152369,1.6,2.1,152369.0
2026,152369.0,1.568,152369,1.383,152369,1.508,152369,1.6,2.1,152369.0
2027,152369.0,1.562,152369,1.343,152369,1.491,152369,1.6,2.1,152369.0
2028,152369.0,1.556,152369,1.305,152369,1.473,152369,1.6,2.1,152369.0
2029,152369.0,1.55,152369,1.267,152369,1.456,152369,1.6,2.1,152369.0
2030,152369.0,1.544,152369,1.231,152369,1.439,152369,1.6,2.1,152369.0
2031,152369.0,1.537,152369,1.196,152369,1.422,152369,1.6,2.1,152369.0
2032,152369.0,1.531,152369,1.161,152369,1.405,152369,1.6,2.1,152369.0
2033,152369.0,1.525,152369,1.128,152369,1.389,152369,1.6,2.1,152369.0
2034,152369.0,1.519,152369,1.096,152369,1.372,152369,1.6,2.1,152369.0
2035,152369.0,1.513,152369,1.064,152369,1.356,152369,1.6,2.1,152369.0
2036,152369.0,1.507,152369,1.034,152369,1.34,152369,1.6,2.1,152369.0
2037,152369.0,1.501,152369,1.004,152369,1.325,152369,1.6,2.1,152369.0
2038,152369.0,1.495,152369,0.975,152369,1.309,152369,1.6,2.1,152369.0
2039,152369.0,1.489,152369,0.947,152369,1.294,152369,1.6,2.1,152369.0
2040,152369.0,1.483,152369,0.92,152369,1.278,152369,1.6,2.1,152369.0
2041,152369.0,1.477,152369,0.894,152369,1.263,152369,1.6,2.1,152369.0
2042,152369.0,1.471,152369,0.868,152369,1.249,152369,1.6,2.1,152369.0
2043,152369.0,1.466,152369,0.843,152369,1.234,152369,1.6,2.1,152369.0
2044,152369.0,1.46,152369,0.819,152369,1.219,152369,1.6,2.1,152369.0
2045,152369.0,1.454,152369,0.795,152369,1.205,152369,1.6,2.1,152369.0
2046,152369.0,1.448,152369,0.772,152369,1.191,152369,1.6,2.1,152369.0
2047,152369.0,1.442,152369,0.75,152369,1.177,152369,1.6,2.1,152369.0
2048,152369.0,1.437,152369,0.729,152369,1.163,152369,1.6,2.1,152369.0
2049,152369.0,1.431,152369,0.708,152369,1.15,152369,1.6,2.1,152369.0
2050,152369.0,1.425,152369,0.687,152369,1.136,152369,1.6,2.1,152369.0
2051,152369.0,1.42,152369,0.668,152369,1.123,152369,1.6,2.1,152369.0
2052,152369.0,1.414,152369,0.649,152369,1.11,152369,1.6,2.1,152369.0
2053,152369.0,1.408,152369,0.63,152369,1.096,152369,1.6,2.1,152369.0
2054,152369.0,1.403,152369,0.612,152369,1.084,152369,1.6,2.1,152369.0
2055,152369.0,1.397,152369,0.594,152369,1.071,152369,1.6,2.1,152369.0
2056,152369.0,1.392,152369,0.577,152369,1.058,152369,1.6,2.1,152369.0
2057,152369.0,1.386,152369,0.561,152369,1.046,152369,1.6,2.1,152369.0
2058,152369.0,1.381,152369,0.545,152369,1.034,152369,1.6,2.1,152369.0
2059,152369.0,1.375,152369,0.529,152369,1.021,152369,1.6,2.1,152369.0
2060,152369.0,1.37,152369,0.514,152369,1.009,152369,1.6,2.1,152369.0
2061,152369.0,1.364,152369,0.499,152369,0.998,152369,1.6,2.1,152369.0
2062,152369.0,1.359,152369,0.485,152369,0.986,152369,1.6,2.1,152369.0
2063,152369.0,1.353,152369,0.471,152369,0.974,152369,1.6,2.1,152369.0
2064,152369.0,1.348,152369,0.457,152369,0.963,152369,1.6,2.1,152369.0
2065,152369.0,1.343,152369,0.444,152369,0.952,152369,1.6,2.1,152369.0
2066,152369.0,1.337,152369,0.431,152369,0.94,152369,1.6,2.1,152369.0
2067,152369.0,1.332,152369,0.419,152369,0.929,152369,1.6,2.1,152369.0
2068,152369.0,1.327,152369,0.407,152369,0.918,152369,1.6,2.1,152369.0
2069,152369.0,1.321,152369,0.395,152369,0.908,152369,1.6,2.1,152369.0
2070,152369.0,1.316,152369,0.384,152369,0.897,152369,1.6,2.1,152369.0
2071,152369.0,1.311,152369,0.373,152369,0.887,152369,1.6,2.1,152369.0
