year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,7870.0,,7870.0,,7870.0,,7870.0,,2.1,66498.0
1961,8024.0,,8024.0,,8024.0,,8024.0,,2.1,66498.0
1962,8141.0,,8141.0,,8141.0,,8141.0,,2.1,66498.0
1963,8219.0,,8219.0,,8219.0,,8219.0,,2.1,66498.0
1964,8299.0,,8299.0,,8299.0,,8299.0,,2.1,66498.0
1965,8370.0,,8370.0,,8370.0,,8370.0,,2.1,66498.0
1966,8444.0,,8444.0,,8444.0,,8444.0,,2.1,66498.0
1967,8518.0,,8518.0,,8518.0,,8518.0,,2.1,66498.0
1968,8638.0,,8638.0,,8638.0,,8638.0,,2.1,66498.0
1969,8833.0,,8833.0,,8833.0,,8833.0,,2.1,66498.0
1970,9143.0,,9143.0,,9143.0,,9143.0,,2.1,66498.0
1971,9588.0,,9588.0,,9588.0,,9588.0,,2.1,66498.0
1972,10135.0,,10135.0,,10135.0,,10135.0,,2.1,66498.0
1973,10778.0,,10778.0,,10778.0,,10778.0,,2.1,66498.0
1974,11488.0,,11488.0,,11488.0,,11488.0,,2.1,66498.0
1975,12234.0,,12234.0,,12234.0,,12234.0,,2.1,66498.0
1976,13023.0,,13023.0,,13023.0,,13023.0,,2.1,66498.0
1977,13848.0,,13848.0,,13848.0,,13848.0,,2.1,66498.0
1978,14681.0,,14681.0,,14681.0,,14681.0,,2.1,66498.0
1979,15485.0,,15485.0,,15485.0,,15485.0,,2.1,66498.0
1980,16207.0,,16207.0,,16207.0,,16207.0,,2.1,66498.0
1981,16857.0,,16857.0,,16857.0,,16857.0,,2.1,66498.0
1982,17436.0,,17436.0,,17436.0,,17436.0,,2.1,66498.0
1983,18005.0,,18005.0,,18005.0,,18005.0,,2.1,66498.0
1984,18662.0,,18662.0,,18662.0,,18662.0,,2.1,66498.0
1985,19460.0,,19460.0,,19460.0,,19460.0,,2.1,66498.0
1986,20426.0,,20426.0,,20426.0,,20426.0,,2.1,66498.0
1987,21539.0,,21539.0,,21539.0,,21539.0,,2.1,66498.0
1988,22775.0,,22775.0,,22775.0,,22775.0,,2.1,66498.0
1989,24028.0,,24028.0,,24028.0,,24028.0,,2.1,66498.0
1990,25307.0,,25307.0,,25307.0,,25307.0,,2.1,66498.0
1991,26540.0,,26540.0,,26540.0,,26540.0,,2.1,66498.0
1992,27784.0,,27784.0,,27784.0,,27784.0,,2.1,66498.0
1993,29068.0,,29068.0,,29068.0,,29068.0,,2.1,66498.0
1994,30521.0,,30521.0,,30521.0,,30521.0,,2.1,66498.0
1995,32161.0,,32161.0,,32161.0,,32161.0,,2.1,66498.0
1996,34065.0,,34065.0,,34065.0,,34065.0,,2.1,66498.0
1997,36155.0,,36155.0,,36155.0,,36155.0,,2.1,66498.0
1998,38330.0,,38330.0,,38330.0,,38330.0,,2.1,66498.0
1999,40423.0,,40423.0,,40423.0,,40423.0,,2.1,66498.0
2000,42305.0,,42305.0,,42305.0,,42305.0,,2.1,66498.0
2001,43934.0,,43934.0,,43934.0,,43934.0,,2.1,66498.0
2002,45347.0,,45347.0,,45347.0,,45347.0,,2.1,66498.0
2003,46624.0,,46624.0,,46624.0,,46624.0,,2.1,66498.0
2004,47899.0,,47899.0,,47899.0,,47899.0,,2.1,66498.0
2005,49261.0,,49261.0,,49261.0,,49261.0,,2.1,66498.0
2006,50729.0,,50729.0,,50729.0,,50729.0,,2.1,66498.0
2007,52280.0,,52280.0,,52280.0,,52280.0,,2.1,66498.0
2008,53835.0,,53835.0,,53835.0,,53835.0,,2.1,66498.0
2009,55321.0,,55321.0,,55321.0,,55321.0,,2.1,66498.0
2010,56672.0,,56672.0,,56672.0,,56672.0,,2.1,66498.0
2011,57877.0,,57877.0,,57877.0,,57877.0,,2.1,66498.0
2012,58963.0,,58963.0,,58963.0,,58963.0,,2.1,66498.0
2013,59933.0,,59933.0,,59933.0,,59933.0,,2.1,66498.0
2014,60848.0,,60848.0,,60848.0,,60848.0,,2.1,66498.0
2015,61721.0,,61721.0,,61721.0,,61721.0,,2.1,66498.0
2016,62564.0,,62564.0,,62564.0,,62564.0,,2.1,66498.0
2017,63382.0,,63382.0,,63382.0,,63382.0,,2.1,66498.0
2018,64172.0,,64172.0,,64172.0,,64172.0,,2.1,66498.0
2019,64948.0,,64948.0,,64948.0,,64948.0,,2.1,66498.0
2020,65720.0,,65720.0,,65720.0,,65720.0,,2.1,66498.0
2021,66498.0,,66498.0,,66498.0,,66498.0,,2.1,66498.0
2022,,,,,,,,,2.1,66498.0
2023,,,,,,,,,2.1,66498.0
2024,,,,,,,,,2.1,66498.0
2025,,,,,,,,,2.1,66498.0
2026,,,,,,,,,2.1,66498.0
2027,,,,,,,,,2.1,66498.0
2028,,,,,,,,,2.1,66498.0
2029,,,,,,,,,2.1,66498.0
2030,,,,,,,,,2.1,66498.0
2031,,,,,,,,,2.1,66498.0
2032,,,,,,,,,2.1,66498.0
2033,,,,,,,,,2.1,66498.0
2034,,,,,,,,,2.1,66498.0
2035,,,,,,,,,2.1,66498.0
2036,,,,,,,,,2.1,66498.0
2037,,,,,,,,,2.1,66498.0
2038,,,,,,,,,2.1,66498.0
2039,,,,,,,,,2.1,66498.0
2040,,,,,,,,,2.1,66498.0
2041,,,,,,,,,2.1,66498.0
2042,,,,,,,,,2.1,66498.0
2043,,,,,,,,,2.1,66498.0
2044,,,,,,,,,2.1,66498.0
2045,,,,,,,,,2.1,66498.0
2046,,,,,,,,,2.1,66498.0
2047,,,,,,,,,2.1,66498.0
2048,,,,,,,,,2.1,66498.0
2049,,,,,,,,,2.1,66498.0
2050,,,,,,,,,2.1,66498.0
2051,,,,,,,,,2.1,66498.0
2052,,,,,,,,,2.1,66498.0
2053,,,,,,,,,2.1,66498.0
2054,,,,,,,,,2.1,66498.0
2055,,,,,,,,,2.1,66498.0
2056,,,,,,,,,2.1,66498.0
2057,,,,,,,,,2.1,66498.0
2058,,,,,,,,,2.1,66498.0
2059,,,,,,,,,2.1,66498.0
2060,,,,,,,,,2.1,66498.0
2061,,,,,,,,,2.1,66498.0
2062,,,,,,,,,2.1,66498.0
2063,,,,,,,,,2.1,66498.0
2064,,,,,,,,,2.1,66498.0
2065,,,,,,,,,2.1,66498.0
2066,,,,,,,,,2.1,66498.0
2067,,,,,,,,,2.1,66498.0
2068,,,,,,,,,2.1,66498.0
2069,,,,,,,,,2.1,66498.0
2070,,,,,,,,,2.1,66498.0
2071,,,,,,,,,2.1,66498.0
2072,,,,,,,,,2.1,66498.0
2073,,,,,,,,,2.1,66498.0
