year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,572933.0,3.5,572933.0,3.5,572933.0,3.5,572933.0,3.5,2.1,1215588.0
1961,576402.0,3.471,576402.0,3.471,576402.0,3.471,576402.0,3.471,2.1,1215588.0
1962,577696.0,3.421,577696.0,3.421,577696.0,3.421,577696.0,3.421,2.1,1215588.0
1963,577918.0,3.346,577918.0,3.346,577918.0,3.346,577918.0,3.346,2.1,1215588.0
1964,578628.0,3.249,578628.0,3.249,578628.0,3.249,578628.0,3.249,2.1,1215588.0
1965,580972.0,3.133,580972.0,3.133,580972.0,3.133,580972.0,3.133,2.1,1215588.0
1966,585313.0,3.01,585313.0,3.01,585313.0,3.01,585313.0,3.01,2.1,1215588.0
1967,591301.0,2.889,591301.0,2.889,591301.0,2.889,591301.0,2.889,2.1,1215588.0
1968,598495.0,2.779,598495.0,2.779,598495.0,2.779,598495.0,2.779,2.1,1215588.0
1969,606121.0,2.686,606121.0,2.686,606121.0,2.686,606121.0,2.686,2.1,1215588.0
1970,613618.0,2.61,613618.0,2.61,613618.0,2.61,613618.0,2.61,2.1,1215588.0
1971,620860.0,2.547,620860.0,2.547,620860.0,2.547,620860.0,2.547,2.1,1215588.0
1972,628002.0,2.491,628002.0,2.491,628002.0,2.491,628002.0,2.491,2.1,1215588.0
1973,635105.0,2.44,635105.0,2.44,635105.0,2.44,635105.0,2.44,2.1,1215588.0
1974,642322.0,2.393,642322.0,2.393,642322.0,2.393,642322.0,2.393,2.1,1215588.0
1975,649753.0,2.352,649753.0,2.352,649753.0,2.352,649753.0,2.352,2.1,1215588.0
1976,657524.0,2.323,657524.0,2.323,657524.0,2.323,657524.0,2.323,2.1,1215588.0
1977,665521.0,2.31,665521.0,2.31,665521.0,2.31,665521.0,2.31,2.1,1215588.0
1978,673253.0,2.312,673253.0,2.312,673253.0,2.312,673253.0,2.312,2.1,1215588.0
1979,680010.0,2.328,680010.0,2.328,680010.0,2.328,680010.0,2.328,2.1,1215588.0
1980,685408.0,2.354,685408.0,2.354,685408.0,2.354,685408.0,2.354,2.1,1215588.0
1981,689170.0,2.385,689170.0,2.385,689170.0,2.385,689170.0,2.385,2.1,1215588.0
1982,691716.0,2.415,691716.0,2.415,691716.0,2.415,691716.0,2.415,2.1,1215588.0
1983,694076.0,2.438,694076.0,2.438,694076.0,2.438,694076.0,2.438,2.1,1215588.0
1984,697715.0,2.453,697715.0,2.453,697715.0,2.453,697715.0,2.453,2.1,1215588.0
1985,703694.0,2.458,703694.0,2.458,703694.0,2.458,703694.0,2.458,2.1,1215588.0
1986,712335.0,2.456,712335.0,2.456,712335.0,2.456,712335.0,2.456,2.1,1215588.0
1987,723384.0,2.45,723384.0,2.45,723384.0,2.45,723384.0,2.45,2.1,1215588.0
1988,736476.0,2.442,736476.0,2.442,736476.0,2.442,736476.0,2.442,2.1,1215588.0
1989,751043.0,2.43,751043.0,2.43,751043.0,2.43,751043.0,2.43,2.1,1215588.0
1990,766616.0,2.411,766616.0,2.411,766616.0,2.411,766616.0,2.411,2.1,1215588.0
1991,783121.0,2.381,783121.0,2.381,783121.0,2.381,783121.0,2.381,2.1,1215588.0
1992,800610.0,2.337,800610.0,2.337,800610.0,2.337,800610.0,2.337,2.1,1215588.0
1993,818750.0,2.278,818750.0,2.278,818750.0,2.278,818750.0,2.278,2.1,1215588.0
1994,837104.0,2.206,837104.0,2.206,837104.0,2.206,837104.0,2.206,2.1,1215588.0
1995,855391.0,2.124,855391.0,2.124,855391.0,2.124,855391.0,2.124,2.1,1215588.0
1996,873426.0,2.036,873426.0,2.036,873426.0,2.036,873426.0,2.036,2.1,1215588.0
1997,891190.0,1.946,891190.0,1.946,891190.0,1.946,891190.0,1.946,2.1,1215588.0
1998,908710.0,1.861,908710.0,1.861,908710.0,1.861,908710.0,1.861,2.1,1215588.0
1999,926049.0,1.783,926049.0,1.783,926049.0,1.783,926049.0,1.783,2.1,1215588.0
2000,943288.0,1.716,943288.0,1.716,943288.0,1.716,943288.0,1.716,2.1,1215588.0
2001,960274.0,1.66,960274.0,1.66,960274.0,1.66,960274.0,1.66,2.1,1215588.0
2002,976968.0,1.614,976968.0,1.614,976968.0,1.614,976968.0,1.614,2.1,1215588.0
2003,993562.0,1.576,993562.0,1.576,993562.0,1.576,993562.0,1.576,2.1,1215588.0
2004,1010410.0,1.545,1010410.0,1.545,1010410.0,1.545,1010410.0,1.545,2.1,1215588.0
2005,1027657.0,1.52,1027657.0,1.52,1027657.0,1.52,1027657.0,1.52,2.1,1215588.0
2006,1045508.0,1.498,1045508.0,1.498,1045508.0,1.498,1045508.0,1.498,2.1,1215588.0
2007,1063708.0,1.479,1063708.0,1.479,1063708.0,1.479,1063708.0,1.479,2.1,1215588.0
2008,1081568.0,1.461,1081568.0,1.461,1081568.0,1.461,1081568.0,1.461,2.1,1215588.0
2009,1098089.0,1.443,1098089.0,1.443,1098089.0,1.443,1098089.0,1.443,2.1,1215588.0
2010,1112617.0,1.424,1112617.0,1.424,1112617.0,1.424,1112617.0,1.424,2.1,1215588.0
2011,1124837.0,1.406,1124837.0,1.406,1124837.0,1.406,1124837.0,1.406,2.1,1215588.0
2012,1135046.0,1.39,1135046.0,1.39,1135046.0,1.39,1135046.0,1.39,2.1,1215588.0
2013,1143866.0,1.376,1143866.0,1.376,1143866.0,1.376,1143866.0,1.376,2.1,1215588.0
2014,1152297.0,1.364,1152297.0,1.364,1152297.0,1.364,1152297.0,1.364,2.1,1215588.0
2015,1160987.0,1.354,1160987.0,1.354,1160987.0,1.354,1160987.0,1.354,2.1,1215588.0
2016,1170189.0,1.345,1170189.0,1.345,1170189.0,1.345,1170189.0,1.345,2.1,1215588.0
2017,1179685.0,1.337,1179685.0,1.337,1179685.0,1.337,1179685.0,1.337,2.1,1215588.0
2018,1189262.0,1.329,1189262.0,1.329,1189262.0,1.329,1189262.0,1.329,2.1,1215588.0
2019,1198574.0,1.321,1198574.0,1.321,1198574.0,1.321,1198574.0,1.321,2.1,1215588.0
2020,1207361.0,1.313,1207361.0,1.313,1207361.0,1.313,1207361.0,1.313,2.1,1215588.0
2021,1215588.0,1.313,1215588.0,1.313,1215588.0,1.313,1215588.0,1.313,2.1,1215588.0
2022,1209820.068,1.292,1209879.457,1.3,1209814.635,1.291,1209973.317,1.313,2.1,1215588.0
2023,1203901.394,1.27,1204077.993,1.287,1203885.275,1.269,1204358.634,1.313,2.1,1215588.0
2024,1197834.443,1.25,1198184.541,1.274,1197802.564,1.247,1198743.951,1.313,2.1,1215588.0
2025,1191621.643,1.229,1192200.021,1.261,1191569.099,1.226,1193129.269,1.313,2.1,1215588.0
2026,1185265.378,1.209,1186125.347,1.249,1185187.434,1.205,1187514.586,1.313,2.1,1215588.0
