year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,9602006.0,2.09,9602006.0,2.09,9602006.0,2.09,9602006.0,2.09,2.1,10703446.0
1961,9586651.0,2.11,9586651.0,2.11,9586651.0,2.11,9586651.0,2.11,2.1,10703446.0
1962,9624660.0,2.12,9624660.0,2.12,9624660.0,2.12,9624660.0,2.12,2.1,10703446.0
1963,9670685.0,2.31,9670685.0,2.31,9670685.0,2.31,9670685.0,2.31,2.1,10703446.0
1964,9727804.0,2.34,9727804.0,2.34,9727804.0,2.34,9727804.0,2.34,2.1,10703446.0
1965,9779358.0,2.18,9779358.0,2.18,9779358.0,2.18,9779358.0,2.18,2.1,10703446.0
1966,9821040.0,2.02,9821040.0,2.02,9821040.0,2.02,9821040.0,2.02,2.1,10703446.0
1967,9852899.0,1.91,9852899.0,1.91,9852899.0,1.91,9852899.0,1.91,2.1,10703446.0
1968,9876346.0,1.84,9876346.0,1.84,9876346.0,1.84,9876346.0,1.84,2.1,10703446.0
1969,9896580.0,1.87,9896580.0,1.87,9896580.0,1.87,9896580.0,1.87,2.1,10703446.0
1970,9858071.0,1.92,9858071.0,1.92,9858071.0,1.92,9858071.0,1.92,2.1,10703446.0
1971,9826815.0,2.0,9826815.0,2.0,9826815.0,2.0,9826815.0,2.0,2.1,10703446.0
1972,9867632.0,2.09,9867632.0,2.09,9867632.0,2.09,9867632.0,2.09,2.1,10703446.0
1973,9922266.0,2.31,9922266.0,2.31,9922266.0,2.31,9922266.0,2.31,2.1,10703446.0
1974,9988459.0,2.46,9988459.0,2.46,9988459.0,2.46,9988459.0,2.46,2.1,10703446.0
1975,10058620.0,2.43,10058620.0,2.43,10058620.0,2.43,10058620.0,2.43,2.1,10703446.0
1976,10125939.0,2.39,10125939.0,2.39,10125939.0,2.39,10125939.0,2.39,2.1,10703446.0
1977,10186755.0,2.34,10186755.0,2.34,10186755.0,2.34,10186755.0,2.34,2.1,10703446.0
1978,10242098.0,2.33,10242098.0,2.33,10242098.0,2.33,10242098.0,2.33,2.1,10703446.0
1979,10292341.0,2.27,10292341.0,2.27,10292341.0,2.27,10292341.0,2.27,2.1,10703446.0
1980,10304193.0,2.08,10304193.0,2.08,10304193.0,2.08,10304193.0,2.08,2.1,10703446.0
1981,10300591.0,2.0,10300591.0,2.0,10300591.0,2.0,10300591.0,2.0,2.1,10703446.0
1982,10314826.0,2.0,10314826.0,2.0,10314826.0,2.0,10314826.0,2.0,2.1,10703446.0
1983,10323856.0,1.97,10323856.0,1.97,10323856.0,1.97,10323856.0,1.97,2.1,10703446.0
1984,10330213.0,1.97,10330213.0,1.97,10330213.0,1.97,10330213.0,1.97,2.1,10703446.0
1985,10337118.0,1.95,10337118.0,1.95,10337118.0,1.95,10337118.0,1.95,2.1,10703446.0
1986,10342227.0,1.92,10342227.0,1.92,10342227.0,1.92,10342227.0,1.92,2.1,10703446.0
1987,10347318.0,1.91,10347318.0,1.91,10347318.0,1.91,10347318.0,1.91,2.1,10703446.0
1988,10355276.0,1.94,10355276.0,1.94,10355276.0,1.94,10355276.0,1.94,2.1,10703446.0
1989,10361068.0,1.87,10361068.0,1.87,10361068.0,1.87,10361068.0,1.87,2.1,10703446.0
1990,10333355.0,1.9,10333355.0,1.9,10333355.0,1.9,10333355.0,1.9,2.1,10703446.0
1991,10308578.0,1.86,10308578.0,1.86,10308578.0,1.86,10308578.0,1.86,2.1,10703446.0
1992,10319123.0,1.71,10319123.0,1.71,10319123.0,1.71,10319123.0,1.71,2.1,10703446.0
