year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,72814900.0,2.37,72814900.0,2.37,72814900.0,2.37,72814900.0,2.37,2.1,83129285.0
1961,73377632.0,2.45,73377632.0,2.45,73377632.0,2.45,73377632.0,2.45,2.1,83129285.0
1962,74025784.0,2.44,74025784.0,2.44,74025784.0,2.44,74025784.0,2.44,2.1,83129285.0
1963,74714353.0,2.51,74714353.0,2.51,74714353.0,2.51,74714353.0,2.51,2.1,83129285.0
1964,75318337.0,2.54,75318337.0,2.54,75318337.0,2.54,75318337.0,2.54,2.1,83129285.0
1965,75963695.0,2.5,75963695.0,2.5,75963695.0,2.5,75963695.0,2.5,2.1,83129285.0
1966,76600311.0,2.53,76600311.0,2.53,76600311.0,2.53,76600311.0,2.53,2.1,83129285.0
1967,76951336.0,2.48,76951336.0,2.48,76951336.0,2.48,76951336.0,2.48,2.1,83129285.0
1968,77294314.0,2.38,77294314.0,2.38,77294314.0,2.38,77294314.0,2.38,2.1,83129285.0
1969,77909682.0,2.21,77909682.0,2.21,77909682.0,2.21,77909682.0,2.21,2.1,83129285.0
1970,78169289.0,2.03,78169289.0,2.03,78169289.0,2.03,78169289.0,2.03,2.1,83129285.0
1971,78312842.0,1.92,78312842.0,1.92,78312842.0,1.92,78312842.0,1.92,2.1,83129285.0
1972,78688452.0,1.71,78688452.0,1.71,78688452.0,1.71,78688452.0,1.71,2.1,83129285.0
1973,78936666.0,1.54,78936666.0,1.54,78936666.0,1.54,78936666.0,1.54,2.1,83129285.0
1974,78967433.0,1.51,78967433.0,1.51,78967433.0,1.51,78967433.0,1.51,2.1,83129285.0
1975,78673554.0,1.45,78673554.0,1.45,78673554.0,1.45,78673554.0,1.45,2.1,83129285.0
1976,78336950.0,1.45,78336950.0,1.45,78336950.0,1.45,78336950.0,1.45,2.1,83129285.0
1977,78159814.0,1.4,78159814.0,1.4,78159814.0,1.4,78159814.0,1.4,2.1,83129285.0
1978,78091820.0,1.38,78091820.0,1.38,78091820.0,1.38,78091820.0,1.38,2.1,83129285.0
1979,78126350.0,1.38,78126350.0,1.38,78126350.0,1.38,78126350.0,1.38,2.1,83129285.0
1980,78288576.0,1.44,78288576.0,1.44,78288576.0,1.44,78288576.0,1.44,2.1,83129285.0
1981,78407907.0,1.43,78407907.0,1.43,78407907.0,1.43,78407907.0,1.43,2.1,83129285.0
1982,78333366.0,1.41,78333366.0,1.41,78333366.0,1.41,78333366.0,1.41,2.1,83129285.0
1983,78128282.0,1.33,78128282.0,1.33,78128282.0,1.33,78128282.0,1.33,2.1,83129285.0
1984,77858685.0,1.29,77858685.0,1.29,77858685.0,1.29,77858685.0,1.29,2.1,83129285.0
1985,77684873.0,1.37,77684873.0,1.37,77684873.0,1.37,77684873.0,1.37,2.1,83129285.0
1986,77720436.0,1.43,77720436.0,1.43,77720436.0,1.43,77720436.0,1.43,2.1,83129285.0
1987,77839920.0,1.43,77839920.0,1.43,77839920.0,1.43,77839920.0,1.43,2.1,83129285.0
1988,78144619.0,1.46,78144619.0,1.46,78144619.0,1.46,78144619.0,1.46,2.1,83129285.0
1989,78751283.0,1.42,78751283.0,1.42,78751283.0,1.42,78751283.0,1.42,2.1,83129285.0
1990,79433029.0,1.45,79433029.0,1.45,79433029.0,1.45,79433029.0,1.45,2.1,83129285.0
1991,80013896.0,1.33,80013896.0,1.33,80013896.0,1.33,80013896.0,1.33,2.1,83129285.0
1992,80624598.0,1.29,80624598.0,1.29,80624598.0,1.29,80624598.0,1.29,2.1,83129285.0
1993,81156363.0,1.28,81156363.0,1.28,81156363.0,1.28,81156363.0,1.28,2.1,83129285.0
1994,81438348.0,1.24,81438348.0,1.24,81438348.0,1.24,81438348.0,1.24,2.1,83129285.0
1995,81678051.0,1.25,81678051.0,1.25,81678051.0,1.25,81678051.0,1.25,2.1,83129285.0
1996,81914831.0,1.3,81914831.0,1.3,81914831.0,1.3,81914831.0,1.3,2.1,83129285.0
1997,82034771.0,1.35,82034771.0,1.35,82034771.0,1.35,82034771.0,1.35,2.1,83129285.0
1998,82047195.0,1.36,82047195.0,1.36,82047195.0,1.36,82047195.0,1.36,2.1,83129285.0
1999,82100243.0,1.36,82100243.0,1.36,82100243.0,1.36,82100243.0,1.36,2.1,83129285.0
2000,82211508.0,1.38,82211508.0,1.38,82211508.0,1.38,82211508.0,1.38,2.1,83129285.0
2001,82349925.0,1.35,82349925.0,1.35,82349925.0,1.35,82349925.0,1.35,2.1,83129285.0
2002,82488495.0,1.34,82488495.0,1.34,82488495.0,1.34,82488495.0,1.34,2.1,83129285.0
2003,82534176.0,1.34,82534176.0,1.34,82534176.0,1.34,82534176.0,1.34,2.1,83129285.0
2004,82516260.0,1.36,82516260.0,1.36,82516260.0,1.36,82516260.0,1.36,2.1,83129285.0
2005,82469422.0,1.34,82469422.0,1.34,82469422.0,1.34,82469422.0,1.34,2.1,83129285.0
2006,82376451.0,1.33,82376451.0,1.33,82376451.0,1.33,82376451.0,1.33,2.1,83129285.0
2007,82266372.0,1.37,82266372.0,1.37,82266372.0,1.37,82266372.0,1.37,2.1,83129285.0
2008,82110097.0,1.38,82110097.0,1.38,82110097.0,1.38,82110097.0,1.38,2.1,83129285.0
2009,81902307.0,1.36,81902307.0,1.36,81902307.0,1.36,81902307.0,1.36,2.1,83129285.0
2010,81776930.0,1.39,81776930.0,1.39,81776930.0,1.39,81776930.0,1.39,2.1,83129285.0
2011,80274983.0,1.39,80274983.0,1.39,80274983.0,1.39,80274983.0,1.39,2.1,83129285.0
2012,80425823.0,1.41,80425823.0,1.41,80425823.0,1.41,80425823.0,1.41,2.1,83129285.0
2013,80645605.0,1.42,80645605.0,1.42,80645605.0,1.42,80645605.0,1.42,2.1,83129285.0
2014,80982500.0,1.47,80982500.0,1.47,80982500.0,1.47,80982500.0,1.47,2.1,83129285.0
2015,81686611.0,1.5,81686611.0,1.5,81686611.0,1.5,81686611.0,1.5,2.1,83129285.0
2016,82348669.0,1.6,82348669.0,1.6,82348669.0,1.6,82348669.0,1.6,2.1,83129285.0
2017,82657002.0,1.57,82657002.0,1.57,82657002.0,1.57,82657002.0,1.57,2.1,83129285.0
2018,82905782.0,1.57,82905782.0,1.57,82905782.0,1.57,82905782.0,1.57,2.1,83129285.0
2019,83092962.0,1.54,83092962.0,1.54,83092962.0,1.54,83092962.0,1.54,2.1,83129285.0
2020,83160871.0,1.53,83160871.0,1.53,83160871.0,1.53,83160871.0,1.53,2.1,83129285.0
2021,83129285.0,1.53,83129285.0,1.53,83129285.0,1.53,83129285.0,1.53,2.1,83129285.0
2022,82845491.652,1.52,82859012.782,1.547,82855353.771,1.54,82850519.986,1.53,2.1,83129285.0
2023,82556703.76,1.51,82597329.753,1.565,82586287.554,1.55,82571754.971,1.53,2.1,83129285.0
2024,82262954.888,1.499,82344333.402,1.583,82322117.776,1.56,82292989.957,1.53,2.1,83129285.0
2025,81964278.373,1.489,82100122.32,1.601,82062876.069,1.57,82014224.943,1.53,2.1,83129285.0
2026,81660707.33,1.479,81864796.222,1.619,81808594.268,1.58,81735459.929,1.53,2.1,83129285.0
2027,81352274.649,1.469,81638455.953,1.637,81559304.413,1.59,81456694.914,1.53,2.1,83129285.0
2028,81039013.001,1.459,81421203.5,1.656,81315038.754,1.601,81177929.9,1.53,2.1,83129285.0
2029,80720954.837,1.45,81213142.011,1.675,81075829.745,1.611,80899164.886,1.53,2.1,83129285.0
2030,80398132.388,1.44,81014375.803,1.694,80841710.054,1.621,80620399.871,1.53,2.1,83129285.0
2031,80070577.671,1.43,80825010.378,1.713,80612712.557,1.632,80341634.857,1.53,2.1,83129285.0
2032,79738322.488,1.421,80645152.434,1.732,80388870.344,1.642,80062869.843,1.53,2.1,83129285.0
2033,79401398.424,1.411,80474909.882,1.752,80170216.717,1.653,79784104.829,1.53,2.1,83129285.0
2034,79059836.855,1.402,80314391.856,1.772,79956785.195,1.664,79505339.814,1.53,2.1,83129285.0
2035,78713668.945,1.392,80163708.73,1.792,79748609.513,1.674,79226574.8,1.53,2.1,83129285.0
2036,78362925.648,1.383,80022972.13,1.812,79545723.623,1.685,78947809.786,1.53,2.1,83129285.0
2037,78007637.711,1.374,79892294.948,1.833,79348161.697,1.696,78669044.771,1.53,2.1,83129285.0
2038,77647835.675,1.364,79771791.359,1.854,79155958.129,1.707,78390279.757,1.53,2.1,83129285.0
2039,77283549.873,1.355,79661576.834,1.875,78969147.534,1.718,78111514.743,1.53,2.1,83129285.0
2040,76914810.437,1.346,79561768.153,1.896,78787764.749,1.729,77832749.729,1.53,2.1,83129285.0
2041,76541647.295,1.337,79472483.422,1.917,78611844.838,1.74,77553984.714,1.53,2.1,83129285.0
2042,76164090.174,1.328,79393842.089,1.939,78441423.093,1.752,77275219.7,1.53,2.1,83129285.0
2043,75782168.603,1.319,79325964.956,1.961,78276535.03,1.763,76996454.686,1.53,2.1,83129285.0
2044,75395911.909,1.31,79268974.197,1.983,78117216.398,1.774,76717689.671,1.53,2.1,83129285.0
2045,75005349.226,1.301,79222993.372,2.006,77963503.175,1.786,76438924.657,1.53,2.1,83129285.0
2046,74610509.489,1.293,79188147.443,2.029,77815431.571,1.797,76160159.643,1.53,2.1,83129285.0
2047,74211421.44,1.284,79164562.793,2.052,77673038.033,1.809,75881394.629,1.53,2.1,83129285.0
2048,73808113.628,1.275,79152367.236,2.075,77536359.239,1.821,75602629.614,1.53,2.1,83129285.0
2049,73400614.41,1.267,79151690.038,2.099,77405432.108,1.832,75323864.6,1.53,2.1,83129285.0
2050,72988951.951,1.258,79162661.933,2.122,77280293.795,1.844,75045099.586,1.53,2.1,83129285.0
2051,72573154.23,1.25,79185415.139,2.147,77160981.696,1.856,74766334.571,1.53,2.1,83129285.0
2052,72153249.034,1.241,79220083.372,2.171,77047533.447,1.868,74487569.557,1.53,2.1,83129285.0
2053,71729263.966,1.233,79266801.87,2.196,76939986.931,1.88,74208804.543,1.53,2.1,83129285.0
2054,71301226.443,1.225,79325707.401,2.22,76838380.271,1.892,73930039.529,1.53,2.1,83129285.0
2055,70869163.697,1.217,79396938.289,2.246,76742751.84,1.904,73651274.514,1.53,2.1,83129285.0
2056,70433102.778,1.208,79480634.427,2.271,76653140.257,1.917,73372509.5,1.53,2.1,83129285.0
2057,69993070.553,1.2,79576937.295,2.297,76569584.39,1.929,73093744.486,1.53,2.1,83129285.0
2058,69549093.71,1.192,79685989.98,2.323,76492123.359,1.942,72814979.471,1.53,2.1,83129285.0
2059,69101198.757,1.184,79807937.192,2.349,76420796.537,1.954,72536214.457,1.53,2.1,83129285.0
2060,68649412.023,1.176,79942925.284,2.376,76355643.552,1.967,72257449.443,1.53,2.1,83129285.0
2061,68193759.661,1.168,80091102.27,2.403,76296704.285,1.979,71978684.429,1.53,2.1,83129285.0
2062,67734267.648,1.16,80252617.844,2.43,76244018.879,1.992,71699919.414,1.53,2.1,83129285.0
2063,67270961.786,1.153,80427623.399,2.458,76197627.732,2.005,71421154.4,1.53,2.1,83129285.0
2064,66803867.705,1.145,80616272.046,2.486,76157571.505,2.018,71142389.386,1.53,2.1,83129285.0
2065,66333010.861,1.137,80818718.634,2.514,76123891.122,2.031,70863624.371,1.53,2.1,83129285.0
2066,65858416.54,1.13,81035119.771,2.542,76096627.772,2.044,70584859.357,1.53,2.1,83129285.0
2067,65380109.858,1.122,81265633.839,2.571,76075822.908,2.057,70306094.343,1.53,2.1,83129285.0
2068,64898115.762,1.114,81510421.021,2.601,76061518.251,2.071,70027329.329,1.53,2.1,83129285.0
2069,64412459.032,1.107,81769643.317,2.63,76053755.794,2.084,69748564.314,1.53,2.1,83129285.0
2070,63923164.28,1.1,82043464.565,2.66,76052577.799,2.098,69469799.3,1.53,2.1,83129285.0
2071,63430255.954,1.092,82332050.463,2.69,76058026.801,2.111,69191034.286,1.53,2.1,83129285.0
2072,62933758.337,1.085,82635568.591,2.721,76070145.611,2.125,68912269.271,1.53,2.1,83129285.0
2073,62433695.549,1.078,82954188.428,2.751,76088977.316,2.139,68633504.257,1.53,2.1,83129285.0
2074,61930091.548,1.07,83288081.38,2.783,76114565.281,2.152,68354739.243,1.53,2.1,83129285.0
2075,61422970.131,1.063,83637420.796,2.814,76146953.152,2.166,68075974.229,1.53,2.1,83129285.0
2076,60912354.935,1.056,84002381.993,2.846,76186184.856,2.18,67797209.214,1.53,2.1,83129285.0
2077,60398269.438,1.049,84383142.279,2.879,76232304.603,2.194,67518444.2,1.53,2.1,83129285.0
2078,59880736.961,1.042,84779880.973,2.911,76285356.892,2.208,67239679.186,1.53,2.1,83129285.0
2079,59359780.668,1.035,85192779.431,2.944,76345386.506,2.223,66960914.171,1.53,2.1,83129285.0
2080,58835423.566,1.028,85622021.066,2.978,76412438.518,2.237,66682149.157,1.53,2.1,83129285.0
2081,58307688.508,1.021,86067791.372,3.011,76486558.294,2.252,66403384.143,1.53,2.1,83129285.0
2082,57776598.196,1.014,86530277.95,3.046,76567791.491,2.266,66124619.129,1.53,2.1,83129285.0
2083,57242175.175,1.007,87009670.53,3.08,76656184.062,2.281,65845854.114,1.53,2.1,83129285.0
