year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,83634.0,6.461,83634.0,6.461,83634.0,6.461,83634.0,6.461,2.1,1002197.0
1961,88503.0,6.493,88503.0,6.493,88503.0,6.493,88503.0,6.493,2.1,1002197.0
1962,94203.0,6.527,94203.0,6.527,94203.0,6.527,94203.0,6.527,2.1,1002197.0
1963,100618.0,6.561,100618.0,6.561,100618.0,6.561,100618.0,6.561,2.1,1002197.0
1964,107582.0,6.595,107582.0,6.595,107582.0,6.595,107582.0,6.595,2.1,1002197.0
1965,114976.0,6.629,114976.0,6.629,114976.0,6.629,114976.0,6.629,2.1,1002197.0
1966,122876.0,6.665,122876.0,6.665,122876.0,6.665,122876.0,6.665,2.1,1002197.0
1967,131405.0,6.702,131405.0,6.702,131405.0,6.702,131405.0,6.702,2.1,1002197.0
1968,140462.0,6.739,140462.0,6.739,140462.0,6.739,140462.0,6.739,2.1,1002197.0
1969,149889.0,6.774,149889.0,6.774,149889.0,6.774,149889.0,6.774,2.1,1002197.0
1970,159662.0,6.804,159662.0,6.804,159662.0,6.804,159662.0,6.804,2.1,1002197.0
1971,169372.0,6.823,169372.0,6.823,169372.0,6.823,169372.0,6.823,2.1,1002197.0
1972,179237.0,6.83,179237.0,6.83,179237.0,6.83,179237.0,6.83,2.1,1002197.0
1973,190569.0,6.823,190569.0,6.823,190569.0,6.823,190569.0,6.823,2.1,1002197.0
1974,205180.0,6.803,205180.0,6.803,205180.0,6.803,205180.0,6.803,2.1,1002197.0
1975,224177.0,6.77,224177.0,6.77,224177.0,6.77,224177.0,6.77,2.1,1002197.0
1976,248556.0,6.729,248556.0,6.729,248556.0,6.729,248556.0,6.729,2.1,1002197.0
1977,277472.0,6.685,277472.0,6.685,277472.0,6.685,277472.0,6.685,2.1,1002197.0
1978,308008.0,6.639,308008.0,6.639,308008.0,6.639,308008.0,6.639,2.1,1002197.0
1979,336080.0,6.596,336080.0,6.596,336080.0,6.596,336080.0,6.596,2.1,1002197.0
1980,358960.0,6.554,358960.0,6.554,358960.0,6.554,358960.0,6.554,2.1,1002197.0
1981,374934.0,6.513,374934.0,6.513,374934.0,6.513,374934.0,6.513,2.1,1002197.0
1982,385268.0,6.471,385268.0,6.471,385268.0,6.471,385268.0,6.471,2.1,1002197.0
1983,393800.0,6.426,393800.0,6.426,393800.0,6.426,393800.0,6.426,2.1,1002197.0
1984,406018.0,6.378,406018.0,6.378,406018.0,6.378,406018.0,6.378,2.1,1002197.0
1985,425608.0,6.328,425608.0,6.328,425608.0,6.328,425608.0,6.328,2.1,1002197.0
1986,454359.0,6.28,454359.0,6.28,454359.0,6.28,454359.0,6.28,2.1,1002197.0
1987,490337.0,6.234,490337.0,6.234,490337.0,6.234,490337.0,6.234,2.1,1002197.0
1988,528993.0,6.188,528993.0,6.188,528993.0,6.188,528993.0,6.188,2.1,1002197.0
1989,563855.0,6.137,563855.0,6.137,563855.0,6.137,563855.0,6.137,2.1,1002197.0
1990,590393.0,6.073,590393.0,6.073,590393.0,6.073,590393.0,6.073,2.1,1002197.0
1991,606843.0,5.986,606843.0,5.986,606843.0,5.986,606843.0,5.986,2.1,1002197.0
1992,615050.0,5.869,615050.0,5.869,615050.0,5.869,615050.0,5.869,2.1,1002197.0
1993,618504.0,5.721,618504.0,5.721,618504.0,5.721,618504.0,5.721,2.1,1002197.0
1994,622364.0,5.546,622364.0,5.546,622364.0,5.546,622364.0,5.546,2.1,1002197.0
1995,630385.0,5.352,630385.0,5.352,630385.0,5.352,630385.0,5.352,2.1,1002197.0
1996,643649.0,5.152,643649.0,5.152,643649.0,5.152,643649.0,5.152,2.1,1002197.0
1997,660858.0,4.958,660858.0,4.958,660858.0,4.958,660858.0,4.958,2.1,1002197.0
1998,680465.0,4.78,680465.0,4.78,680465.0,4.78,680465.0,4.78,2.1,1002197.0
1999,699973.0,4.622,699973.0,4.622,699973.0,4.622,699973.0,4.622,2.1,1002197.0
2000,717577.0,4.484,717577.0,4.484,717577.0,4.484,717577.0,4.484,2.1,1002197.0
2001,733019.0,4.359,733019.0,4.359,733019.0,4.359,733019.0,4.359,2.1,1002197.0
2002,746947.0,4.24,746947.0,4.24,746947.0,4.24,746947.0,4.24,2.1,1002197.0
2003,759639.0,4.118,759639.0,4.118,759639.0,4.118,759639.0,4.118,2.1,1002197.0
2004,771599.0,3.994,771599.0,3.994,771599.0,3.994,771599.0,3.994,2.1,1002197.0
2005,783248.0,3.867,783248.0,3.867,783248.0,3.867,783248.0,3.867,2.1,1002197.0
2006,794554.0,3.739,794554.0,3.739,794554.0,3.739,794554.0,3.739,2.1,1002197.0
2007,805456.0,3.617,805456.0,3.617,805456.0,3.617,805456.0,3.617,2.1,1002197.0
2008,816361.0,3.502,816361.0,3.502,816361.0,3.502,816361.0,3.502,2.1,1002197.0
2009,827820.0,3.397,827820.0,3.397,827820.0,3.397,827820.0,3.397,2.1,1002197.0
2010,840194.0,3.3,840194.0,3.3,840194.0,3.3,840194.0,3.3,2.1,1002197.0
2011,853671.0,3.213,853671.0,3.213,853671.0,3.213,853671.0,3.213,2.1,1002197.0
2012,868136.0,3.131,868136.0,3.131,868136.0,3.131,868136.0,3.131,2.1,1002197.0
2013,883296.0,3.054,883296.0,3.054,883296.0,3.054,883296.0,3.054,2.1,1002197.0
2014,898707.0,2.981,898707.0,2.981,898707.0,2.981,898707.0,2.981,2.1,1002197.0
2015,913998.0,2.912,913998.0,2.912,913998.0,2.912,913998.0,2.912,2.1,1002197.0
