year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,60020.0,,60020.0,,60020.0,,60020.0,,2.1,72172.0
1961,61036.0,,61036.0,,61036.0,,61036.0,,2.1,72172.0
1962,61978.0,,61978.0,,61978.0,,61978.0,,2.1,72172.0
1963,62917.0,,62917.0,,62917.0,,62917.0,,2.1,72172.0
1964,63921.0,,63921.0,,63921.0,,63921.0,,2.1,72172.0
1965,65044.0,,65044.0,,65044.0,,65044.0,,2.1,72172.0
1966,66300.0,,66300.0,,66300.0,,66300.0,,2.1,72172.0
1967,67687.0,,67687.0,,67687.0,,67687.0,,2.1,72172.0
1968,69034.0,,69034.0,,69034.0,,69034.0,,2.1,72172.0
1969,70214.0,,70214.0,,70214.0,,70214.0,,2.1,72172.0
1970,71084.0,,71084.0,,71084.0,,71084.0,,2.1,72172.0
1971,71569.0,,71569.0,,71569.0,,71569.0,,2.1,72172.0
1972,71731.0,5.5,71731.0,5.5,71731.0,5.5,71731.0,5.5,2.1,72172.0
1973,71739.0,,71739.0,,71739.0,,71739.0,,2.1,72172.0
1974,71814.0,,71814.0,,71814.0,,71814.0,,2.1,72172.0
1975,72088.0,,72088.0,,72088.0,,72088.0,,2.1,72172.0
1976,72662.0,,72662.0,,72662.0,,72662.0,,2.1,72172.0
1977,73443.0,,73443.0,,73443.0,,73443.0,,2.1,72172.0
1978,74280.0,,74280.0,,74280.0,,74280.0,,2.1,72172.0
1979,74960.0,,74960.0,,74960.0,,74960.0,,2.1,72172.0
1980,75318.0,,75318.0,,75318.0,,75318.0,,2.1,72172.0
1981,75314.0,,75314.0,,75314.0,,75314.0,,2.1,72172.0
1982,75012.0,3.52,75012.0,3.52,75012.0,3.52,75012.0,3.52,2.1,72172.0
1983,74484.0,,74484.0,,74484.0,,74484.0,,2.1,72172.0
1984,73846.0,,73846.0,,73846.0,,73846.0,,2.1,72172.0
1985,73207.0,,73207.0,,73207.0,,73207.0,,2.1,72172.0
1986,72531.0,,72531.0,,72531.0,,72531.0,,2.1,72172.0
1987,71842.0,3.0,71842.0,3.0,71842.0,3.0,71842.0,3.0,2.1,72172.0
1988,71212.0,,71212.0,,71212.0,,71212.0,,2.1,72172.0
1989,70722.0,,70722.0,,70722.0,,70722.0,,2.1,72172.0
1990,70422.0,,70422.0,,70422.0,,70422.0,,2.1,72172.0
1991,70377.0,,70377.0,,70377.0,,70377.0,,2.1,72172.0
1992,70546.0,2.5,70546.0,2.5,70546.0,2.5,70546.0,2.5,2.1,72172.0
1993,70818.0,,70818.0,,70818.0,,70818.0,,2.1,72172.0
