year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,4579603.0,2.57,4579603.0,2.57,4579603.0,2.57,4579603.0,2.57,2.1,5856733.0
1961,4611687.0,2.55,4611687.0,2.55,4611687.0,2.55,4611687.0,2.55,2.1,5856733.0
1962,4647727.0,2.55,4647727.0,2.55,4647727.0,2.55,4647727.0,2.55,2.1,5856733.0
1963,4684483.0,2.67,4684483.0,2.67,4684483.0,2.67,4684483.0,2.67,2.1,5856733.0
1964,4722072.0,2.6,4722072.0,2.6,4722072.0,2.6,4722072.0,2.6,2.1,5856733.0
1965,4759012.0,2.61,4759012.0,2.61,4759012.0,2.61,4759012.0,2.61,2.1,5856733.0
1966,4797381.0,2.62,4797381.0,2.62,4797381.0,2.62,4797381.0,2.62,2.1,5856733.0
1967,4835354.0,2.35,4835354.0,2.35,4835354.0,2.35,4835354.0,2.35,2.1,5856733.0
1968,4864883.0,2.12,4864883.0,2.12,4864883.0,2.12,4864883.0,2.12,2.1,5856733.0
1969,4891860.0,2.0,4891860.0,2.0,4891860.0,2.0,4891860.0,2.0,2.1,5856733.0
1970,4928757.0,1.95,4928757.0,1.95,4928757.0,1.95,4928757.0,1.95,2.1,5856733.0
1971,4963126.0,2.04,4963126.0,2.04,4963126.0,2.04,4963126.0,2.04,2.1,5856733.0
1972,4991596.0,2.03,4991596.0,2.03,4991596.0,2.03,4991596.0,2.03,2.1,5856733.0
1973,5021861.0,1.92,5021861.0,1.92,5021861.0,1.92,5021861.0,1.92,2.1,5856733.0
1974,5045297.0,1.9,5045297.0,1.9,5045297.0,1.9,5045297.0,1.9,2.1,5856733.0
1975,5059862.0,1.92,5059862.0,1.92,5059862.0,1.92,5059862.0,1.92,2.1,5856733.0
1976,5072596.0,1.75,5072596.0,1.75,5072596.0,1.75,5072596.0,1.75,2.1,5856733.0
1977,5088419.0,1.66,5088419.0,1.66,5088419.0,1.66,5088419.0,1.66,2.1,5856733.0
1978,5104248.0,1.67,5104248.0,1.67,5104248.0,1.67,5104248.0,1.67,2.1,5856733.0
1979,5116801.0,1.6,5116801.0,1.6,5116801.0,1.6,5116801.0,1.6,2.1,5856733.0
1980,5123027.0,1.55,5123027.0,1.55,5123027.0,1.55,5123027.0,1.55,2.1,5856733.0
1981,5121572.0,1.44,5121572.0,1.44,5121572.0,1.44,5121572.0,1.44,2.1,5856733.0
1982,5117810.0,1.43,5117810.0,1.43,5117810.0,1.43,5117810.0,1.43,2.1,5856733.0
1983,5114297.0,1.38,5114297.0,1.38,5114297.0,1.38,5114297.0,1.38,2.1,5856733.0
1984,5111619.0,1.4,5111619.0,1.4,5111619.0,1.4,5111619.0,1.4,2.1,5856733.0
1985,5113691.0,1.45,5113691.0,1.45,5113691.0,1.45,5113691.0,1.45,2.1,5856733.0
1986,5120534.0,1.48,5120534.0,1.48,5120534.0,1.48,5120534.0,1.48,2.1,5856733.0
1987,5127024.0,1.5,5127024.0,1.5,5127024.0,1.5,5127024.0,1.5,2.1,5856733.0
1988,5129516.0,1.56,5129516.0,1.56,5129516.0,1.56,5129516.0,1.56,2.1,5856733.0
1989,5132594.0,1.62,5132594.0,1.62,5132594.0,1.62,5132594.0,1.62,2.1,5856733.0
1990,5140939.0,1.67,5140939.0,1.67,5140939.0,1.67,5140939.0,1.67,2.1,5856733.0
1991,5154298.0,1.68,5154298.0,1.68,5154298.0,1.68,5154298.0,1.68,2.1,5856733.0
1992,5171370.0,1.76,5171370.0,1.76,5171370.0,1.76,5171370.0,1.76,2.1,5856733.0
1993,5188628.0,1.75,5188628.0,1.75,5188628.0,1.75,5188628.0,1.75,2.1,5856733.0
1994,5206180.0,1.81,5206180.0,1.81,5206180.0,1.81,5206180.0,1.81,2.1,5856733.0
1995,5233373.0,1.8,5233373.0,1.8,5233373.0,1.8,5233373.0,1.8,2.1,5856733.0
1996,5263074.0,1.75,5263074.0,1.75,5263074.0,1.75,5263074.0,1.75,2.1,5856733.0
1997,5284991.0,1.75,5284991.0,1.75,5284991.0,1.75,5284991.0,1.75,2.1,5856733.0
1998,5304219.0,1.72,5304219.0,1.72,5304219.0,1.72,5304219.0,1.72,2.1,5856733.0
1999,5321799.0,1.73,5321799.0,1.73,5321799.0,1.73,5321799.0,1.73,2.1,5856733.0
2000,5339616.0,1.77,5339616.0,1.77,5339616.0,1.77,5339616.0,1.77,2.1,5856733.0
2001,5358783.0,1.74,5358783.0,1.74,5358783.0,1.74,5358783.0,1.74,2.1,5856733.0
2002,5375931.0,1.72,5375931.0,1.72,5375931.0,1.72,5375931.0,1.72,2.1,5856733.0
2003,5390574.0,1.76,5390574.0,1.76,5390574.0,1.76,5390574.0,1.76,2.1,5856733.0
2004,5404523.0,1.78,5404523.0,1.78,5404523.0,1.78,5404523.0,1.78,2.1,5856733.0
2005,5419432.0,1.8,5419432.0,1.8,5419432.0,1.8,5419432.0,1.8,2.1,5856733.0
2006,5437272.0,1.85,5437272.0,1.85,5437272.0,1.85,5437272.0,1.85,2.1,5856733.0
2007,5461438.0,1.84,5461438.0,1.84,5461438.0,1.84,5461438.0,1.84,2.1,5856733.0
2008,5493621.0,1.89,5493621.0,1.89,5493621.0,1.89,5493621.0,1.89,2.1,5856733.0
2009,5523095.0,1.84,5523095.0,1.84,5523095.0,1.84,5523095.0,1.84,2.1,5856733.0
2010,5547683.0,1.87,5547683.0,1.87,5547683.0,1.87,5547683.0,1.87,2.1,5856733.0
2011,5570572.0,1.75,5570572.0,1.75,5570572.0,1.75,5570572.0,1.75,2.1,5856733.0
2012,5591572.0,1.73,5591572.0,1.73,5591572.0,1.73,5591572.0,1.73,2.1,5856733.0
2013,5614932.0,1.67,5614932.0,1.67,5614932.0,1.67,5614932.0,1.67,2.1,5856733.0
2014,5643475.0,1.69,5643475.0,1.69,5643475.0,1.69,5643475.0,1.69,2.1,5856733.0
2015,5683483.0,1.71,5683483.0,1.71,5683483.0,1.71,5683483.0,1.71,2.1,5856733.0
2016,5728010.0,1.79,5728010.0,1.79,5728010.0,1.79,5728010.0,1.79,2.1,5856733.0
2017,5764980.0,1.75,5764980.0,1.75,5764980.0,1.75,5764980.0,1.75,2.1,5856733.0
2018,5793636.0,1.73,5793636.0,1.73,5793636.0,1.73,5793636.0,1.73,2.1,5856733.0
2019,5814422.0,1.7,5814422.0,1.7,5814422.0,1.7,5814422.0,1.7,2.1,5856733.0
2020,5831404.0,1.67,5831404.0,1.67,5831404.0,1.67,5831404.0,1.67,2.1,5856733.0
2021,5856733.0,1.67,5856733.0,1.67,5856733.0,1.67,5856733.0,1.67,2.1,5856733.0
2022,5841648.603,1.659,5841451.0,1.653,5842013.541,1.67,5842027.819,1.67,2.1,5856733.0
2023,5826187.509,1.648,5825598.006,1.636,5827279.809,1.669,5827322.638,1.67,2.1,5856733.0
2024,5810352.217,1.637,5809179.786,1.62,5812531.805,1.669,5812617.457,1.67,2.1,5856733.0
2025,5794145.214,1.626,5792202.049,1.604,5797769.535,1.668,5797912.276,1.67,2.1,5856733.0
2026,5777568.967,1.615,5774670.445,1.587,5782993.001,1.668,5783207.095,1.67,2.1,5856733.0
2027,5760625.929,1.605,5756590.568,1.571,5768202.207,1.667,5768501.914,1.67,2.1,5856733.0
2028,5743318.533,1.594,5737967.957,1.555,5753397.157,1.667,5753796.733,1.67,2.1,5856733.0
2029,5725649.201,1.583,5718808.092,1.54,5738577.855,1.667,5739091.552,1.67,2.1,5856733.0
2030,5707620.335,1.573,5699116.401,1.524,5723744.303,1.666,5724386.371,1.67,2.1,5856733.0
2031,5689234.322,1.562,5678898.254,1.509,5708896.505,1.666,5709681.19,1.67,2.1,5856733.0
2032,5670493.534,1.552,5658158.969,1.494,5694034.466,1.665,5694976.01,1.67,2.1,5856733.0
2033,5651400.326,1.542,5636903.809,1.478,5679158.188,1.665,5680270.829,1.67,2.1,5856733.0
2034,5631957.04,1.531,5615137.984,1.464,5664267.675,1.665,5665565.648,1.67,2.1,5856733.0
2035,5612165.998,1.521,5592866.653,1.449,5649362.931,1.664,5650860.467,1.67,2.1,5856733.0
2036,5592029.511,1.511,5570094.92,1.434,5634443.958,1.664,5636155.286,1.67,2.1,5856733.0
2037,5571549.872,1.501,5546827.84,1.42,5619510.762,1.663,5621450.105,1.67,2.1,5856733.0
2038,5550729.359,1.491,5523070.417,1.405,5604563.345,1.663,5606744.924,1.67,2.1,5856733.0
2039,5529570.236,1.481,5498827.601,1.391,5589601.711,1.663,5592039.743,1.67,2.1,5856733.0
2040,5508074.752,1.471,5474104.297,1.377,5574625.863,1.662,5577334.562,1.67,2.1,5856733.0
2041,5486245.139,1.462,5448905.356,1.363,5559635.805,1.662,5562629.381,1.67,2.1,5856733.0
2042,5464083.617,1.452,5423235.583,1.349,5544631.541,1.661,5547924.2,1.67,2.1,5856733.0
2043,5441592.389,1.442,5397099.733,1.336,5529613.073,1.661,5533219.019,1.67,2.1,5856733.0
2044,5418773.645,1.433,5370502.514,1.322,5514580.407,1.66,5518513.838,1.67,2.1,5856733.0
2045,5395629.559,1.423,5343448.585,1.309,5499533.544,1.66,5503808.657,1.67,2.1,5856733.0
2046,5372162.291,1.414,5315942.559,1.296,5484472.489,1.66,5489103.476,1.67,2.1,5856733.0
2047,5348373.988,1.404,5287989.002,1.283,5469397.246,1.659,5474398.295,1.67,2.1,5856733.0
2048,5324266.78,1.395,5259592.434,1.27,5454307.817,1.659,5459693.114,1.67,2.1,5856733.0
2049,5299842.787,1.386,5230757.331,1.257,5439204.207,1.658,5444987.933,1.67,2.1,5856733.0
2050,5275104.11,1.377,5201488.12,1.244,5424086.418,1.658,5430282.752,1.67,2.1,5856733.0
2051,5250052.84,1.367,5171789.187,1.232,5408954.455,1.658,5415577.571,1.67,2.1,5856733.0
2052,5224691.053,1.358,5141664.871,1.219,5393808.321,1.657,5400872.39,1.67,2.1,5856733.0
2053,5199020.809,1.349,5111119.469,1.207,5378648.02,1.657,5386167.21,1.67,2.1,5856733.0
2054,5173044.158,1.34,5080157.234,1.195,5363473.554,1.656,5371462.029,1.67,2.1,5856733.0
2055,5146763.133,1.332,5048782.377,1.183,5348284.929,1.656,5356756.848,1.67,2.1,5856733.0
2056,5120179.756,1.323,5016999.063,1.171,5333082.146,1.655,5342051.667,1.67,2.1,5856733.0
2057,5093296.034,1.314,4984811.42,1.159,5317865.21,1.655,5327346.486,1.67,2.1,5856733.0
2058,5066113.962,1.305,4952223.53,1.147,5302634.124,1.655,5312641.305,1.67,2.1,5856733.0
2059,5038635.521,1.296,4919239.436,1.135,5287388.892,1.654,5297936.124,1.67,2.1,5856733.0
2060,5010862.678,1.288,4885863.14,1.124,5272129.518,1.654,5283230.943,1.67,2.1,5856733.0
2061,4982797.389,1.279,4852098.603,1.113,5256856.004,1.653,5268525.762,1.67,2.1,5856733.0
2062,4954441.595,1.271,4817949.746,1.101,5241568.354,1.653,5253820.581,1.67,2.1,5856733.0
2063,4925797.225,1.262,4783420.451,1.09,5226266.573,1.653,5239115.4,1.67,2.1,5856733.0
2064,4896866.196,1.254,4748514.561,1.079,5210950.663,1.652,5224410.219,1.67,2.1,5856733.0
2065,4867650.41,1.246,4713235.878,1.068,5195620.628,1.652,5209705.038,1.67,2.1,5856733.0
2066,4838151.76,1.237,4677588.168,1.058,5180276.471,1.651,5194999.857,1.67,2.1,5856733.0
2067,4808372.121,1.229,4641575.159,1.047,5164918.197,1.651,5180294.676,1.67,2.1,5856733.0
2068,4778313.362,1.221,4605200.539,1.036,5149545.808,1.65,5165589.495,1.67,2.1,5856733.0
2069,4747977.334,1.213,4568467.962,1.026,5134159.308,1.65,5150884.314,1.67,2.1,5856733.0
2070,4717365.879,1.205,4531381.041,1.016,5118758.701,1.65,5136179.133,1.67,2.1,5856733.0
2071,4686480.827,1.197,4493943.358,1.005,5103343.99,1.649,5121473.952,1.67,2.1,5856733.0
2072,4655323.992,1.189,4456158.453,0.995,5087915.178,1.649,5106768.771,1.67,2.1,5856733.0
2073,4623897.181,1.181,4418029.834,0.985,5072472.27,1.648,5092063.59,1.67,2.1,5856733.0
2074,4592202.186,1.173,4379560.972,0.975,5057015.269,1.648,5077358.41,1.67,2.1,5856733.0
2075,4560240.787,1.165,4340755.305,0.965,5041544.177,1.648,5062653.229,1.67,2.1,5856733.0
2076,4528014.753,1.158,4301616.233,0.956,5026059.0,1.647,5047948.048,1.67,2.1,5856733.0
2077,4495525.842,1.15,4262147.124,0.946,5010559.74,1.647,5033242.867,1.67,2.1,5856733.0
2078,4462775.8,1.142,4222351.312,0.936,4995046.4,1.646,5018537.686,1.67,2.1,5856733.0
2079,4429766.359,1.135,4182232.095,0.927,4979518.985,1.646,5003832.505,1.67,2.1,5856733.0
2080,4396499.243,1.127,4141792.741,0.917,4963977.498,1.646,4989127.324,1.67,2.1,5856733.0
2081,4362976.162,1.12,4101036.483,0.908,4948421.942,1.645,4974422.143,1.67,2.1,5856733.0
2082,4329198.816,1.112,4059966.522,0.899,4932852.322,1.645,4959716.962,1.67,2.1,5856733.0
2083,4295168.894,1.105,4018586.026,0.89,4917268.639,1.644,4945011.781,1.67,2.1,5856733.0
2084,4260888.072,1.098,3976898.131,0.881,4901670.898,1.644,4930306.6,1.67,2.1,5856733.0
2085,4226358.016,1.09,3934905.942,0.872,4886059.103,1.643,4915601.419,1.67,2.1,5856733.0
2086,4191580.382,1.083,3892612.532,0.863,4870433.257,1.643,4900896.238,1.67,2.1,5856733.0
2087,4156556.813,1.076,3850020.945,0.855,4854793.363,1.643,4886191.057,1.67,2.1,5856733.0
2088,4121288.942,1.069,3807134.191,0.846,4839139.426,1.642,4871485.876,1.67,2.1,5856733.0
2089,4085778.392,1.062,3763955.251,0.837,4823471.447,1.642,4856780.695,1.67,2.1,5856733.0
2090,4050026.773,1.055,3720487.078,0.829,4807789.432,1.641,4842075.514,1.67,2.1,5856733.0
2091,4014035.687,1.048,3676732.591,0.821,4792093.383,1.641,4827370.333,1.67,2.1,5856733.0
2092,3977806.724,1.041,3632694.683,0.812,4776383.305,1.641,4812665.152,1.67,2.1,5856733.0
2093,3941341.462,1.034,3588376.216,0.804,4760659.199,1.64,4797959.971,1.67,2.1,5856733.0
2094,3904641.472,1.027,3543780.024,0.796,4744921.071,1.64,4783254.79,1.67,2.1,5856733.0
2095,3867708.312,1.02,3498908.912,0.788,4729168.924,1.639,4768549.61,1.67,2.1,5856733.0
2096,3830543.529,1.013,3453765.657,0.78,4713402.76,1.639,4753844.429,1.67,2.1,5856733.0
2097,3793148.662,1.007,3408353.007,0.772,4697622.584,1.639,4739139.248,1.67,2.1,5856733.0
2098,3755525.239,1.0,3362673.683,0.764,4681828.399,1.638,4724434.067,1.67,2.1,5856733.0
2099,3717674.778,0.993,3316730.378,0.757,4666020.208,1.638,4709728.886,1.67,2.1,5856733.0
2100,3679598.785,0.987,3270525.76,0.749,4650198.016,1.637,4695023.705,1.67,2.1,5856733.0
2101,3641298.758,0.98,3224062.466,0.741,4634361.825,1.637,4680318.524,1.67,2.1,5856733.0
2102,3602776.185,0.974,3177343.111,0.734,4618511.639,1.637,4665613.343,1.67,2.1,5856733.0
2103,3564032.544,0.967,3130370.279,0.726,4602647.462,1.636,4650908.162,1.67,2.1,5856733.0
2104,3525069.303,0.961,3083146.531,0.719,4586769.296,1.636,4636202.981,1.67,2.1,5856733.0
2105,3485887.919,0.954,3035674.401,0.712,4570877.147,1.635,4621497.8,1.67,2.1,5856733.0
2106,3446489.842,0.948,2987956.398,0.705,4554971.016,1.635,4606792.619,1.67,2.1,5856733.0
2107,3406876.509,0.942,2939995.006,0.698,4539050.908,1.634,4592087.438,1.67,2.1,5856733.0
2108,3367049.351,0.935,2891792.682,0.69,4523116.826,1.634,4577382.257,1.67,2.1,5856733.0
2109,3327009.786,0.929,2843351.859,0.684,4507168.773,1.634,4562677.076,1.67,2.1,5856733.0
2110,3286759.227,0.923,2794674.948,0.677,4491206.753,1.633,4547971.895,1.67,2.1,5856733.0
2111,3246299.072,0.917,2745764.332,0.67,4475230.77,1.633,4533266.714,1.67,2.1,5856733.0
2112,3205630.715,0.911,2696622.371,0.663,4459240.827,1.632,4518561.533,1.67,2.1,5856733.0
2113,3164755.538,0.905,2647251.402,0.656,4443236.928,1.632,4503856.352,1.67,2.1,5856733.0
2114,3123674.913,0.899,2597653.739,0.65,4427219.075,1.632,4489151.171,1.67,2.1,5856733.0
2115,3082390.206,0.893,2547831.671,0.643,4411187.273,1.631,4474445.99,1.67,2.1,5856733.0
2116,3040902.771,0.887,2497787.463,0.637,4395141.525,1.631,4459740.81,1.67,2.1,5856733.0
2117,2999213.954,0.881,2447523.361,0.63,4379081.834,1.63,4445035.629,1.67,2.1,5856733.0
2118,2957325.092,0.875,2397041.585,0.624,4363008.204,1.63,4430330.448,1.67,2.1,5856733.0
2119,2915237.515,0.869,2346344.333,0.618,4346920.639,1.63,4415625.267,1.67,2.1,5856733.0
2120,2872952.541,0.864,2295433.781,0.611,4330819.141,1.629,4400920.086,1.67,2.1,5856733.0
2121,2830471.48,0.858,2244312.085,0.605,4314703.715,1.629,4386214.905,1.67,2.1,5856733.0
