year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,3294222.0,7.555,3294222.0,7.555,3294222.0,7.555,3294222.0,7.555,2.1,10953714.0
1961,3406282.0,7.487,3406282.0,7.487,3406282.0,7.487,3406282.0,7.487,2.1,10953714.0
1962,3521018.0,7.404,3521018.0,7.404,3521018.0,7.404,3521018.0,7.404,2.1,10953714.0
1963,3638110.0,7.303,3638110.0,7.303,3638110.0,7.303,3638110.0,7.303,2.1,10953714.0
1964,3757123.0,7.186,3757123.0,7.186,3757123.0,7.186,3757123.0,7.186,2.1,10953714.0
1965,3877768.0,7.053,3877768.0,7.053,3877768.0,7.053,3877768.0,7.053,2.1,10953714.0
1966,3999796.0,6.903,3999796.0,6.903,3999796.0,6.903,3999796.0,6.903,2.1,10953714.0
1967,4123100.0,6.738,4123100.0,6.738,4123100.0,6.738,4123100.0,6.738,2.1,10953714.0
1968,4247559.0,6.561,4247559.0,6.561,4247559.0,6.561,4247559.0,6.561,2.1,10953714.0
1969,4373127.0,6.375,4373127.0,6.375,4373127.0,6.375,4373127.0,6.375,2.1,10953714.0
1970,4499722.0,6.182,4499722.0,6.182,4499722.0,6.182,4499722.0,6.182,2.1,10953714.0
1971,4627202.0,5.984,4627202.0,5.984,4627202.0,5.984,4627202.0,5.984,2.1,10953714.0
1972,4755464.0,5.784,4755464.0,5.784,4755464.0,5.784,4755464.0,5.784,2.1,10953714.0
1973,4884460.0,5.584,4884460.0,5.584,4884460.0,5.584,4884460.0,5.584,2.1,10953714.0
1974,5014187.0,5.388,5014187.0,5.388,5014187.0,5.388,5014187.0,5.388,2.1,10953714.0
1975,5144632.0,5.198,5144632.0,5.198,5144632.0,5.198,5144632.0,5.198,2.1,10953714.0
1976,5275767.0,5.017,5275767.0,5.017,5275767.0,5.017,5275767.0,5.017,2.1,10953714.0
1977,5407496.0,4.844,5407496.0,4.844,5407496.0,4.844,5407496.0,4.844,2.1,10953714.0
1978,5539596.0,4.68,5539596.0,4.68,5539596.0,4.68,5539596.0,4.68,2.1,10953714.0
1979,5671801.0,4.526,5671801.0,4.526,5671801.0,4.526,5671801.0,4.526,2.1,10953714.0
1980,5803929.0,4.381,5803929.0,4.381,5803929.0,4.381,5803929.0,4.381,2.1,10953714.0
1981,5935895.0,4.247,5935895.0,4.247,5935895.0,4.247,5935895.0,4.247,2.1,10953714.0
1982,6067769.0,4.122,6067769.0,4.122,6067769.0,4.122,6067769.0,4.122,2.1,10953714.0
1983,6199657.0,4.005,6199657.0,4.005,6199657.0,4.005,6199657.0,4.005,2.1,10953714.0
1984,6331760.0,3.896,6331760.0,3.896,6331760.0,3.896,6331760.0,3.896,2.1,10953714.0
1985,6464229.0,3.795,6464229.0,3.795,6464229.0,3.795,6464229.0,3.795,2.1,10953714.0
1986,6596967.0,3.703,6596967.0,3.703,6596967.0,3.703,6596967.0,3.703,2.1,10953714.0
1987,6729930.0,3.62,6729930.0,3.62,6729930.0,3.62,6729930.0,3.62,2.1,10953714.0
1988,6863438.0,3.544,6863438.0,3.544,6863438.0,3.544,6863438.0,3.544,2.1,10953714.0
1989,6997877.0,3.475,6997877.0,3.475,6997877.0,3.475,6997877.0,3.475,2.1,10953714.0
1990,7133491.0,3.411,7133491.0,3.411,7133491.0,3.411,7133491.0,3.411,2.1,10953714.0
1991,7270413.0,3.349,7270413.0,3.349,7270413.0,3.349,7270413.0,3.349,2.1,10953714.0
1992,7408339.0,3.287,7408339.0,3.287,7408339.0,3.287,7408339.0,3.287,2.1,10953714.0
1993,7546467.0,3.226,7546467.0,3.226,7546467.0,3.226,7546467.0,3.226,2.1,10953714.0
1994,7683707.0,3.163,7683707.0,3.163,7683707.0,3.163,7683707.0,3.163,2.1,10953714.0
1995,7819239.0,3.101,7819239.0,3.101,7819239.0,3.101,7819239.0,3.101,2.1,10953714.0
1996,7952766.0,3.04,7952766.0,3.04,7952766.0,3.04,7952766.0,3.04,2.1,10953714.0
1997,8084407.0,2.983,8084407.0,2.983,8084407.0,2.983,8084407.0,2.983,2.1,10953714.0
1998,8214427.0,2.93,8214427.0,2.93,8214427.0,2.93,8214427.0,2.93,2.1,10953714.0
1999,8343288.0,2.882,8343288.0,2.882,8343288.0,2.882,8343288.0,2.882,2.1,10953714.0
2000,8471317.0,2.839,8471317.0,2.839,8471317.0,2.839,8471317.0,2.839,2.1,10953714.0
2001,8598599.0,2.799,8598599.0,2.799,8598599.0,2.799,8598599.0,2.799,2.1,10953714.0
2002,8724974.0,2.762,8724974.0,2.762,8724974.0,2.762,8724974.0,2.762,2.1,10953714.0
2003,8850317.0,2.725,8850317.0,2.725,8850317.0,2.725,8850317.0,2.725,2.1,10953714.0
2004,8974444.0,2.689,8974444.0,2.689,8974444.0,2.689,8974444.0,2.689,2.1,10953714.0
2005,9097262.0,2.653,9097262.0,2.653,9097262.0,2.653,9097262.0,2.653,2.1,10953714.0
2006,9218681.0,2.619,9218681.0,2.619,9218681.0,2.619,9218681.0,2.619,2.1,10953714.0
2007,9338856.0,2.586,9338856.0,2.586,9338856.0,2.586,9338856.0,2.586,2.1,10953714.0
2008,9458079.0,2.556,9458079.0,2.556,9458079.0,2.556,9458079.0,2.556,2.1,10953714.0
2009,9576736.0,2.528,9576736.0,2.528,9576736.0,2.528,9576736.0,2.528,2.1,10953714.0
2010,9695117.0,2.503,9695117.0,2.503,9695117.0,2.503,9695117.0,2.503,2.1,10953714.0
2011,9813219.0,2.481,9813219.0,2.481,9813219.0,2.481,9813219.0,2.481,2.1,10953714.0
2012,9930916.0,2.46,9930916.0,2.46,9930916.0,2.46,9930916.0,2.46,2.1,10953714.0
2013,10048226.0,2.441,10048226.0,2.441,10048226.0,2.441,10048226.0,2.441,2.1,10953714.0
2014,10165182.0,2.423,10165182.0,2.423,10165182.0,2.423,10165182.0,2.423,2.1,10953714.0
2015,10281675.0,2.405,10281675.0,2.405,10281675.0,2.405,10281675.0,2.405,2.1,10953714.0
2016,10397738.0,2.387,10397738.0,2.387,10397738.0,2.387,10397738.0,2.387,2.1,10953714.0
2017,10513111.0,2.367,10513111.0,2.367,10513111.0,2.367,10513111.0,2.367,2.1,10953714.0
2018,10627147.0,2.346,10627147.0,2.346,10627147.0,2.346,10627147.0,2.346,2.1,10953714.0
2019,10738957.0,2.323,10738957.0,2.323,10738957.0,2.323,10738957.0,2.323,2.1,10953714.0
2020,10847904.0,2.299,10847904.0,2.299,10847904.0,2.299,10847904.0,2.299,2.1,10953714.0
2021,10953714.0,2.299,10953714.0,2.299,10953714.0,2.299,10953714.0,2.299,2.1,10953714.0
2022,10964473.866,2.253,10966154.96,2.277,10965828.753,2.272,10967692.329,2.299,2.1,10953714.0
2023,10972079.414,2.208,10977073.186,2.255,10976101.437,2.246,10981670.657,2.299,2.1,10953714.0
2024,10976593.509,2.164,10986483.176,2.234,10984553.308,2.22,10995648.986,2.299,2.1,10953714.0
2025,10978077.763,2.121,10994399.288,2.213,10991205.38,2.195,11009627.314,2.299,2.1,10953714.0
2026,10976592.563,2.079,11000835.743,2.192,10996078.421,2.169,11023605.643,2.299,2.1,10953714.0
2027,10972197.088,2.037,11005806.627,2.171,10999192.962,2.144,11037583.971,2.299,2.1,10953714.0
2028,10964949.34,1.997,11009325.894,2.15,11000569.295,2.12,11051562.3,2.299,2.1,10953714.0
2029,10954906.166,1.957,11011407.362,2.13,11000227.481,2.095,11065540.629,2.299,2.1,10953714.0
2030,10942123.278,1.918,11012064.719,2.109,10998187.345,2.071,11079518.957,2.299,2.1,10953714.0
2031,10926655.278,1.88,11011311.523,2.089,10994468.487,2.047,11093497.286,2.299,2.1,10953714.0
2032,10908555.682,1.842,11009161.203,2.069,10989090.28,2.023,11107475.614,2.299,2.1,10953714.0
2033,10887876.936,1.806,11005627.058,2.05,10982071.872,2.0,11121453.943,2.299,2.1,10953714.0
2034,10864670.443,1.77,11000722.263,2.03,10973432.19,1.977,11135432.271,2.299,2.1,10953714.0
2035,10838986.582,1.734,10994459.866,2.011,10963189.945,1.954,11149410.6,2.299,2.1,10953714.0
2036,10810874.725,1.7,10986852.792,1.992,10951363.631,1.932,11163388.929,2.299,2.1,10953714.0
2037,10780383.263,1.666,10977913.843,1.973,10937971.526,1.909,11177367.257,2.299,2.1,10953714.0
2038,10747559.622,1.633,10967655.697,1.954,10923031.701,1.887,11191345.586,2.299,2.1,10953714.0
2039,10712450.282,1.6,10956090.913,1.935,10906562.016,1.866,11205323.914,2.299,2.1,10953714.0
2040,10675100.797,1.568,10943231.931,1.917,10888580.126,1.844,11219302.243,2.299,2.1,10953714.0
2041,10635555.813,1.537,10929091.071,1.899,10869103.482,1.823,11233280.571,2.299,2.1,10953714.0
2042,10593859.085,1.506,10913680.537,1.881,10848149.332,1.802,11247258.9,2.299,2.1,10953714.0
2043,10550053.5,1.476,10897012.416,1.863,10825734.729,1.781,11261237.229,2.299,2.1,10953714.0
2044,10504181.085,1.447,10879098.68,1.845,10801876.524,1.76,11275215.557,2.299,2.1,10953714.0
2045,10456283.033,1.418,10859951.188,1.827,10776591.377,1.74,11289193.886,2.299,2.1,10953714.0
2046,10406399.716,1.39,10839581.685,1.81,10749895.756,1.72,11303172.214,2.299,2.1,10953714.0
2047,10354570.698,1.362,10818001.805,1.793,10721805.937,1.7,11317150.543,2.299,2.1,10953714.0
2048,10300834.758,1.335,10795223.069,1.776,10692338.009,1.68,11331128.871,2.299,2.1,10953714.0
2049,10245229.902,1.308,10771256.892,1.759,10661507.875,1.661,11345107.2,2.299,2.1,10953714.0
2050,10187793.376,1.282,10746114.578,1.742,10629331.256,1.642,11359085.529,2.299,2.1,10953714.0
2051,10128561.685,1.257,10719807.323,1.725,10595823.689,1.623,11373063.857,2.299,2.1,10953714.0
2052,10067570.608,1.232,10692346.218,1.709,10561000.535,1.604,11387042.186,2.299,2.1,10953714.0
2053,10004855.209,1.207,10663742.248,1.693,10524876.974,1.586,11401020.514,2.299,2.1,10953714.0
2054,9940449.853,1.183,10634006.293,1.677,10487468.014,1.567,11414998.843,2.299,2.1,10953714.0
2055,9874388.222,1.16,10603149.128,1.661,10448788.488,1.549,11428977.171,2.299,2.1,10953714.0
2056,9806703.324,1.136,10571181.428,1.645,10408853.058,1.531,11442955.5,2.299,2.1,10953714.0
2057,9737427.513,1.114,10538113.766,1.629,10367676.217,1.514,11456933.829,2.299,2.1,10953714.0
2058,9666592.494,1.092,10503956.613,1.614,10325272.292,1.496,11470912.157,2.299,2.1,10953714.0
2059,9594229.343,1.07,10468720.341,1.598,10281655.443,1.479,11484890.486,2.299,2.1,10953714.0
2060,9520368.515,1.048,10432415.222,1.583,10236839.667,1.462,11498868.814,2.299,2.1,10953714.0
2061,9445039.859,1.028,10395051.434,1.568,10190838.799,1.445,11512847.143,2.299,2.1,10953714.0
2062,9368272.628,1.007,10356639.053,1.553,10143666.516,1.428,11526825.471,2.299,2.1,10953714.0
2063,9290095.495,0.987,10317188.063,1.538,10095336.336,1.412,11540803.8,2.299,2.1,10953714.0
2064,9210536.557,0.967,10276708.351,1.524,10045861.621,1.396,11554782.129,2.299,2.1,10953714.0
2065,9129623.355,0.948,10235209.711,1.509,9995255.578,1.38,11568760.457,2.299,2.1,10953714.0
2066,9047382.878,0.929,10192701.843,1.495,9943531.264,1.364,11582738.786,2.299,2.1,10953714.0
2067,8963841.58,0.911,10149194.354,1.481,9890701.583,1.348,11596717.114,2.299,2.1,10953714.0
2068,8879025.386,0.893,10104696.762,1.467,9836779.291,1.332,11610695.443,2.299,2.1,10953714.0
2069,8792959.704,0.875,10059218.491,1.453,9781776.997,1.317,11624673.771,2.299,2.1,10953714.0
2070,8705669.437,0.857,10012768.878,1.439,9725707.164,1.302,11638652.1,2.299,2.1,10953714.0
2071,8617178.991,0.84,9965357.171,1.425,9668582.112,1.287,11652630.429,2.299,2.1,10953714.0
