year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,11057864.0,7.524,11057864.0,7.524,11057864.0,7.524,11057864.0,7.524,2.1,44616626.0
1961,11336336.0,7.573,11336336.0,7.573,11336336.0,7.573,11336336.0,7.573,2.1,44616626.0
1962,11619828.0,7.614,11619828.0,7.614,11619828.0,7.614,11619828.0,7.614,2.1,44616626.0
1963,11912800.0,7.646,11912800.0,7.646,11912800.0,7.646,11912800.0,7.646,2.1,44616626.0
1964,12221675.0,7.665,12221675.0,7.665,12221675.0,7.665,12221675.0,7.665,2.1,44616626.0
1965,12550880.0,7.675,12550880.0,7.675,12550880.0,7.675,12550880.0,7.675,2.1,44616626.0
1966,12902626.0,7.676,12902626.0,7.676,12902626.0,7.676,12902626.0,7.676,2.1,44616626.0
1967,13275020.0,7.672,13275020.0,7.672,13275020.0,7.672,13275020.0,7.672,2.1,44616626.0
1968,13663581.0,7.666,13663581.0,7.666,13663581.0,7.666,13663581.0,7.666,2.1,44616626.0
1969,14061724.0,7.656,14061724.0,7.656,14061724.0,7.656,14061724.0,7.656,2.1,44616626.0
1970,14464992.0,7.643,14464992.0,7.643,14464992.0,7.643,14464992.0,7.643,2.1,44616626.0
1971,14872253.0,7.624,14872253.0,7.624,14872253.0,7.624,14872253.0,7.624,2.1,44616626.0
1972,15285992.0,7.597,15285992.0,7.597,15285992.0,7.597,15285992.0,7.597,2.1,44616626.0
1973,15709831.0,7.558,15709831.0,7.558,15709831.0,7.558,15709831.0,7.558,2.1,44616626.0
1974,16149018.0,7.505,16149018.0,7.505,16149018.0,7.505,16149018.0,7.505,2.1,44616626.0
1975,16607706.0,7.434,16607706.0,7.434,16607706.0,7.434,16607706.0,7.434,2.1,44616626.0
1976,17085799.0,7.344,17085799.0,7.344,17085799.0,7.344,17085799.0,7.344,2.1,44616626.0
1977,17582899.0,7.234,17582899.0,7.234,17582899.0,7.234,17582899.0,7.234,2.1,44616626.0
1978,18102266.0,7.105,18102266.0,7.105,18102266.0,7.105,18102266.0,7.105,2.1,44616626.0
1979,18647801.0,6.957,18647801.0,6.957,18647801.0,6.957,18647801.0,6.957,2.1,44616626.0
1980,19221659.0,6.794,19221659.0,6.794,19221659.0,6.794,19221659.0,6.794,2.1,44616626.0
1981,19824297.0,6.617,19824297.0,6.617,19824297.0,6.617,19824297.0,6.617,2.1,44616626.0
1982,20452901.0,6.43,20452901.0,6.43,20452901.0,6.43,20452901.0,6.43,2.1,44616626.0
1983,21101875.0,6.237,21101875.0,6.237,21101875.0,6.237,21101875.0,6.237,2.1,44616626.0
1984,21763578.0,6.038,21763578.0,6.038,21763578.0,6.038,21763578.0,6.038,2.1,44616626.0
1985,22431507.0,5.835,22431507.0,5.835,22431507.0,5.835,22431507.0,5.835,2.1,44616626.0
1986,23102386.0,5.627,23102386.0,5.627,23102386.0,5.627,23102386.0,5.627,2.1,44616626.0
1987,23774287.0,5.412,23774287.0,5.412,23774287.0,5.412,23774287.0,5.412,2.1,44616626.0
1988,24443472.0,5.191,24443472.0,5.191,24443472.0,5.191,24443472.0,5.191,2.1,44616626.0
1989,25106192.0,4.962,25106192.0,4.962,25106192.0,4.962,25106192.0,4.962,2.1,44616626.0
1990,25758872.0,4.726,25758872.0,4.726,25758872.0,4.726,25758872.0,4.726,2.1,44616626.0
1991,26400468.0,4.479,26400468.0,4.479,26400468.0,4.479,26400468.0,4.479,2.1,44616626.0
1992,27028330.0,4.223,27028330.0,4.223,27028330.0,4.223,27028330.0,4.223,2.1,44616626.0
1993,27635517.0,3.962,27635517.0,3.962,27635517.0,3.962,27635517.0,3.962,2.1,44616626.0
1994,28213777.0,3.702,28213777.0,3.702,28213777.0,3.702,28213777.0,3.702,2.1,44616626.0
1995,28757788.0,3.448,28757788.0,3.448,28757788.0,3.448,28757788.0,3.448,2.1,44616626.0
1996,29266415.0,3.208,29266415.0,3.208,29266415.0,3.208,29266415.0,3.208,2.1,44616626.0
1997,29742980.0,2.988,29742980.0,2.988,29742980.0,2.988,29742980.0,2.988,2.1,44616626.0
1998,30192750.0,2.796,30192750.0,2.796,30192750.0,2.796,30192750.0,2.796,2.1,44616626.0
1999,30623406.0,2.635,30623406.0,2.635,30623406.0,2.635,30623406.0,2.635,2.1,44616626.0
2000,31042238.0,2.514,31042238.0,2.514,31042238.0,2.514,31042238.0,2.514,2.1,44616626.0
2001,31451513.0,2.438,31451513.0,2.438,31451513.0,2.438,31451513.0,2.438,2.1,44616626.0
2002,31855110.0,2.403,31855110.0,2.403,31855110.0,2.403,31855110.0,2.403,2.1,44616626.0
2003,32264159.0,2.405,32264159.0,2.405,32264159.0,2.405,32264159.0,2.405,2.1,44616626.0
2004,32692153.0,2.438,32692153.0,2.438,32692153.0,2.438,32692153.0,2.438,2.1,44616626.0
2005,33149720.0,2.496,33149720.0,2.496,33149720.0,2.496,33149720.0,2.496,2.1,44616626.0
2006,33641007.0,2.569,33641007.0,2.569,33641007.0,2.569,33641007.0,2.569,2.1,44616626.0
2007,34166976.0,2.649,34166976.0,2.649,34166976.0,2.649,34166976.0,2.649,2.1,44616626.0
2008,34730604.0,2.728,34730604.0,2.728,34730604.0,2.728,34730604.0,2.728,2.1,44616626.0
2009,35333882.0,2.799,35333882.0,2.799,35333882.0,2.799,35333882.0,2.799,2.1,44616626.0
2010,35977451.0,2.86,35977451.0,2.86,35977451.0,2.86,35977451.0,2.86,2.1,44616626.0
2011,36661438.0,2.909,36661438.0,2.909,36661438.0,2.909,36661438.0,2.909,2.1,44616626.0
2012,37383899.0,2.952,37383899.0,2.952,37383899.0,2.952,37383899.0,2.952,2.1,44616626.0
2013,38140135.0,2.99,38140135.0,2.99,38140135.0,2.99,38140135.0,2.99,2.1,44616626.0
2014,38923688.0,3.022,38923688.0,3.022,38923688.0,3.022,38923688.0,3.022,2.1,44616626.0
2015,39728020.0,3.043,39728020.0,3.043,39728020.0,3.043,39728020.0,3.043,2.1,44616626.0
2016,40551398.0,3.052,40551398.0,3.052,40551398.0,3.052,40551398.0,3.052,2.1,44616626.0
2017,41389174.0,3.045,41389174.0,3.045,41389174.0,3.045,41389174.0,3.045,2.1,44616626.0
2018,42228415.0,3.023,42228415.0,3.023,42228415.0,3.023,42228415.0,3.023,2.1,44616626.0
2019,43053054.0,2.988,43053054.0,2.988,43053054.0,2.988,43053054.0,2.988,2.1,44616626.0
2020,43851043.0,2.942,43851043.0,2.942,43851043.0,2.942,43851043.0,2.942,2.1,44616626.0
2021,44616626.0,2.942,44616626.0,2.942,44616626.0,2.942,44616626.0,2.942,2.1,44616626.0
2022,44836279.771,2.897,44856232.821,2.969,44851706.885,2.953,44848762.593,2.942,2.1,44616626.0
2023,45043642.829,2.852,45103378.669,2.996,45089742.749,2.963,45080899.187,2.942,2.1,44616626.0
2024,45238904.33,2.808,45358132.98,3.024,45330744.319,2.974,45313035.78,2.942,2.1,44616626.0
2025,45422250.515,2.765,45620565.828,3.052,45574722.36,2.985,45545172.373,2.942,2.1,44616626.0
2026,45593864.762,2.722,45890747.931,3.08,45821687.678,2.996,45777308.967,2.942,2.1,44616626.0
2027,45753927.625,2.681,46168750.661,3.108,46071651.115,3.007,46009445.56,2.942,2.1,44616626.0
2028,45902616.88,2.639,46454646.045,3.137,46324623.555,3.018,46241582.153,2.942,2.1,44616626.0
2029,46040107.567,2.599,46748506.775,3.166,46580615.921,3.029,46473718.747,2.942,2.1,44616626.0
2030,46166572.032,2.559,47050406.211,3.195,46839639.175,3.04,46705855.34,2.942,2.1,44616626.0
2031,46282179.968,2.519,47360418.391,3.224,47101704.319,3.051,46937991.933,2.942,2.1,44616626.0
2032,46387098.457,2.481,47678618.031,3.254,47366822.395,3.062,47170128.527,2.942,2.1,44616626.0
2033,46481492.011,2.442,48005080.54,3.284,47635004.485,3.073,47402265.12,2.942,2.1,44616626.0
2034,46565522.606,2.405,48339882.018,3.314,47906261.712,3.084,47634401.713,2.942,2.1,44616626.0
