year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,894885526.0,5.826285046,894885526.0,5.826285046,894885526.0,5.826285046,894885526.0,5.826285046,2.1,2122086315.0
1961,894489549.0,5.932399082,894489549.0,5.932399082,894489549.0,5.932399082,894489549.0,5.932399082,2.1,2122086315.0
1962,906424232.0,6.041498853,906424232.0,6.041498853,906424232.0,6.041498853,906424232.0,6.041498853,2.1,2122086315.0
1963,929645285.0,6.140324352,929645285.0,6.140324352,929645285.0,6.140324352,929645285.0,6.140324352,2.1,2122086315.0
1964,952505018.0,6.217618633,952505018.0,6.217618633,952505018.0,6.217618633,952505018.0,6.217618633,2.1,2122086315.0
1965,976371564.0,6.260132064,976371564.0,6.260132064,976371564.0,6.260132064,976371564.0,6.260132064,2.1,2122086315.0
1966,1003810717.0,6.253437823,1003810717.0,6.253437823,1003810717.0,6.253437823,1003810717.0,6.253437823,2.1,2122086315.0
1967,1030352359.0,6.197035887,1030352359.0,6.197035887,1030352359.0,6.197035887,1030352359.0,6.197035887,2.1,2122086315.0
1968,1057860301.0,6.091200663,1057860301.0,6.091200663,1057860301.0,6.091200663,1057860301.0,6.091200663,2.1,2122086315.0
1969,1087066238.0,5.933173164,1087066238.0,5.933173164,1087066238.0,5.933173164,1087066238.0,5.933173164,2.1,2122086315.0
1970,1117174724.0,5.724202783,1117174724.0,5.724202783,1117174724.0,5.724202783,1117174724.0,5.724202783,2.1,2122086315.0
1971,1147919427.0,5.466132684,1147919427.0,5.466132684,1147919427.0,5.466132684,1147919427.0,5.466132684,2.1,2122086315.0
1972,1176921767.0,5.17038493,1176921767.0,5.17038493,1176921767.0,5.17038493,1176921767.0,5.17038493,2.1,2122086315.0
1973,1204968832.0,4.854212725,1204968832.0,4.854212725,1204968832.0,4.854212725,1204968832.0,4.854212725,2.1,2122086315.0
1974,1231494202.0,4.530875644,1231494202.0,4.530875644,1231494202.0,4.530875644,1231494202.0,4.530875644,2.1,2122086315.0
1975,1255581230.0,4.216476096,1255581230.0,4.216476096,1255581230.0,4.216476096,1255581230.0,4.216476096,2.1,2122086315.0
1976,1277799717.0,3.92501162,1277799717.0,3.92501162,1277799717.0,3.92501162,1277799717.0,3.92501162,2.1,2122086315.0
1977,1298416025.0,3.664988099,1298416025.0,3.664988099,1298416025.0,3.664988099,1298416025.0,3.664988099,2.1,2122086315.0
1978,1318997911.0,3.442190528,1318997911.0,3.442190528,1318997911.0,3.442190528,1318997911.0,3.442190528,2.1,2122086315.0
1979,1339887224.0,3.262608721,1339887224.0,3.262608721,1339887224.0,3.262608721,1339887224.0,3.262608721,2.1,2122086315.0
1980,1360449290.0,3.131742932,1360449290.0,3.131742932,1360449290.0,3.131742932,1360449290.0,3.131742932,2.1,2122086315.0
1981,1381744531.0,3.048449096,1381744531.0,3.048449096,1381744531.0,3.048449096,1381744531.0,3.048449096,2.1,2122086315.0
1982,1405401300.0,3.004557499,1405401300.0,3.004557499,1405401300.0,3.004557499,1405401300.0,3.004557499,2.1,2122086315.0
1983,1429192105.0,2.98665001,1429192105.0,2.98665001,1429192105.0,2.98665001,1429192105.0,2.98665001,2.1,2122086315.0
1984,1451914914.0,2.984835168,1451914914.0,2.984835168,1451914914.0,2.984835168,1451914914.0,2.984835168,2.1,2122086315.0
1985,1475353577.0,2.98136492,1475353577.0,2.98136492,1475353577.0,2.98136492,1475353577.0,2.98136492,2.1,2122086315.0
1986,1500324330.0,2.959365944,1500324330.0,2.959365944,1500324330.0,2.959365944,1500324330.0,2.959365944,2.1,2122086315.0
1987,1526788538.0,2.910834104,1526788538.0,2.910834104,1526788538.0,2.910834104,1526788538.0,2.910834104,2.1,2122086315.0
1988,1553562636.0,2.832034704,1553562636.0,2.832034704,1553562636.0,2.832034704,1553562636.0,2.832034704,2.1,2122086315.0
1989,1579680966.0,2.721600312,1579680966.0,2.721600312,1579680966.0,2.721600312,1579680966.0,2.721600312,2.1,2122086315.0
1990,1605202723.0,2.587220249,1605202723.0,2.587220249,1605202723.0,2.587220249,1605202723.0,2.587220249,2.1,2122086315.0
1991,1629647064.0,2.442449178,1629647064.0,2.442449178,1629647064.0,2.442449178,1629647064.0,2.442449178,2.1,2122086315.0
1992,1652544138.0,2.302365641,1652544138.0,2.302365641,1652544138.0,2.302365641,1652544138.0,2.302365641,2.1,2122086315.0
1993,1674596506.0,2.179956163,1674596506.0,2.179956163,1674596506.0,2.179956163,1674596506.0,2.179956163,2.1,2122086315.0
1994,1696480853.0,2.081563258,1696480853.0,2.081563258,1696480853.0,2.081563258,1696480853.0,2.081563258,2.1,2122086315.0
1995,1717918821.0,2.010849768,1717918821.0,2.010849768,1717918821.0,2.010849768,1717918821.0,2.010849768,2.1,2122086315.0
1996,1738967370.0,1.963818183,1738967370.0,1.963818183,1738967370.0,1.963818183,1738967370.0,1.963818183,2.1,2122086315.0
1997,1759768570.0,1.935593063,1759768570.0,1.935593063,1759768570.0,1.935593063,1759768570.0,1.935593063,2.1,2122086315.0
1998,1779806863.0,1.916995239,1779806863.0,1.916995239,1779806863.0,1.916995239,1779806863.0,1.916995239,2.1,2122086315.0
1999,1798658267.0,1.904930619,1798658267.0,1.904930619,1798658267.0,1.904930619,1798658267.0,1.904930619,2.1,2122086315.0
2000,1816474904.0,1.896443698,1816474904.0,1.896443698,1816474904.0,1.896443698,1816474904.0,1.896443698,2.1,2122086315.0
2001,1833442370.0,1.890001831,1833442370.0,1.890001831,1833442370.0,1.890001831,1833442370.0,1.890001831,2.1,2122086315.0
2002,1849627169.0,1.885434861,1849627169.0,1.885434861,1849627169.0,1.885434861,1849627169.0,1.885434861,2.1,2122086315.0
2003,1865152550.0,1.881637756,1865152550.0,1.881637756,1865152550.0,1.881637756,1865152550.0,1.881637756,2.1,2122086315.0
2004,1880268773.0,1.878544078,1880268773.0,1.878544078,1880268773.0,1.878544078,1880268773.0,1.878544078,2.1,2122086315.0
2005,1895295259.0,1.875995077,1895295259.0,1.875995077,1895295259.0,1.875995077,1895295259.0,1.875995077,2.1,2122086315.0
2006,1909911027.0,1.873517911,1909911027.0,1.873517911,1909911027.0,1.873517911,1909911027.0,1.873517911,2.1,2122086315.0
2007,1924037330.0,1.871054726,1924037330.0,1.871054726,1924037330.0,1.871054726,1924037330.0,1.871054726,2.1,2122086315.0
2008,1938075970.0,1.869892848,1938075970.0,1.869892848,1938075970.0,1.869892848,1938075970.0,1.869892848,2.1,2122086315.0
