year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,980003345.0,6.144161827,980003345.0,6.144161827,980003345.0,6.144161827,980003345.0,6.144161827,2.1,3373866849.0
1961,1003194972.0,6.142475714,1003194972.0,6.142475714,1003194972.0,6.142475714,1003194972.0,6.142475714,2.1,3373866849.0
1962,1027204700.0,6.137404564,1027204700.0,6.137404564,1027204700.0,6.137404564,1027204700.0,6.137404564,2.1,3373866849.0
1963,1051972834.0,6.127970501,1051972834.0,6.127970501,1051972834.0,6.127970501,1051972834.0,6.127970501,2.1,3373866849.0
1964,1077531237.0,6.113312033,1077531237.0,6.113312033,1077531237.0,6.113312033,1077531237.0,6.113312033,2.1,3373866849.0
1965,1103859981.0,6.092939013,1103859981.0,6.092939013,1103859981.0,6.092939013,1103859981.0,6.092939013,2.1,3373866849.0
1966,1130947721.0,6.066790708,1130947721.0,6.066790708,1130947721.0,6.066790708,1130947721.0,6.066790708,2.1,3373866849.0
1967,1158861175.0,6.034551785,1158861175.0,6.034551785,1158861175.0,6.034551785,1158861175.0,6.034551785,2.1,3373866849.0
1968,1187474694.0,5.996569557,1187474694.0,5.996569557,1187474694.0,5.996569557,1187474694.0,5.996569557,2.1,3373866849.0
1969,1216839339.0,5.952860359,1216839339.0,5.952860359,1216839339.0,5.952860359,1216839339.0,5.952860359,2.1,3373866849.0
1970,1246947673.0,5.902234316,1246947673.0,5.902234316,1246947673.0,5.902234316,1246947673.0,5.902234316,2.1,3373866849.0
1971,1277799456.0,5.844009733,1277799456.0,5.844009733,1277799456.0,5.844009733,1277799456.0,5.844009733,2.1,3373866849.0
1972,1309397210.0,5.778739196,1309397210.0,5.778739196,1309397210.0,5.778739196,1309397210.0,5.778739196,2.1,3373866849.0
1973,1341779503.0,5.706979235,1341779503.0,5.706979235,1341779503.0,5.706979235,1341779503.0,5.706979235,2.1,3373866849.0
1974,1374824941.0,5.630416964,1374824941.0,5.630416964,1374824941.0,5.630416964,1374824941.0,5.630416964,2.1,3373866849.0
1975,1408534717.0,5.551027799,1408534717.0,5.551027799,1408534717.0,5.551027799,1408534717.0,5.551027799,2.1,3373866849.0
1976,1442862522.0,5.471282063,1442862522.0,5.471282063,1442862522.0,5.471282063,1442862522.0,5.471282063,2.1,3373866849.0
1977,1477869964.0,5.392764891,1477869964.0,5.392764891,1477869964.0,5.392764891,1477869964.0,5.392764891,2.1,3373866849.0
1978,1513819992.0,5.316301071,1513819992.0,5.316301071,1513819992.0,5.316301071,1513819992.0,5.316301071,2.1,3373866849.0
1979,1551093148.0,5.24164999,1551093148.0,5.24164999,1551093148.0,5.24164999,1551093148.0,5.24164999,2.1,3373866849.0
1980,1589897378.0,5.16813018,1589897378.0,5.16813018,1589897378.0,5.16813018,1589897378.0,5.16813018,2.1,3373866849.0
1981,1630293423.0,5.093337794,1630293423.0,5.093337794,1630293423.0,5.093337794,1630293423.0,5.093337794,2.1,3373866849.0
1982,1672134835.0,5.01537973,1672134835.0,5.01537973,1672134835.0,5.01537973,1672134835.0,5.01537973,2.1,3373866849.0
1983,1715134126.0,4.932747489,1715134126.0,4.932747489,1715134126.0,4.932747489,1715134126.0,4.932747489,2.1,3373866849.0
1984,1758863284.0,4.844659763,1758863284.0,4.844659763,1758863284.0,4.844659763,1758863284.0,4.844659763,2.1,3373866849.0
1985,1803032659.0,4.750554504,1803032659.0,4.750554504,1803032659.0,4.750554504,1803032659.0,4.750554504,2.1,3373866849.0
1986,1847526576.0,4.650088558,1847526576.0,4.650088558,1847526576.0,4.650088558,1847526576.0,4.650088558,2.1,3373866849.0
1987,1892336352.0,4.546497561,1892336352.0,4.546497561,1892336352.0,4.546497561,1892336352.0,4.546497561,2.1,3373866849.0
1988,1937278919.0,4.438534632,1937278919.0,4.438534632,1937278919.0,4.438534632,1937278919.0,4.438534632,2.1,3373866849.0
1989,1982160339.0,4.330125849,1982160339.0,4.330125849,1982160339.0,4.330125849,1982160339.0,4.330125849,2.1,3373866849.0
1990,2028993568.0,4.22514377,2028993568.0,4.22514377,2028993568.0,4.22514377,2028993568.0,4.22514377,2.1,3373866849.0
1991,2073591177.0,4.120648734,2073591177.0,4.120648734,2073591177.0,4.120648734,2073591177.0,4.120648734,2.1,3373866849.0
1992,2117785781.0,4.016243947,2117785781.0,4.016243947,2117785781.0,4.016243947,2117785781.0,4.016243947,2.1,3373866849.0
1993,2161761687.0,3.916313884,2161761687.0,3.916313884,2161761687.0,3.916313884,2161761687.0,3.916313884,2.1,3373866849.0
1994,2205758867.0,3.819840403,2205758867.0,3.819840403,2205758867.0,3.819840403,2205758867.0,3.819840403,2.1,3373866849.0
1995,2249993925.0,3.731706356,2249993925.0,3.731706356,2249993925.0,3.731706356,2249993925.0,3.731706356,2.1,3373866849.0
1996,2294576653.0,3.645324154,2294576653.0,3.645324154,2294576653.0,3.645324154,2294576653.0,3.645324154,2.1,3373866849.0
1997,2339379359.0,3.563895595,2339379359.0,3.563895595,2339379359.0,3.563895595,2339379359.0,3.563895595,2.1,3373866849.0
1998,2384127937.0,3.485617243,2384127937.0,3.485617243,2384127937.0,3.485617243,2384127937.0,3.485617243,2.1,3373866849.0
1999,2428606122.0,3.413006111,2428606122.0,3.413006111,2428606122.0,3.413006111,2428606122.0,3.413006111,2.1,3373866849.0
2000,2472852816.0,3.34278177,2472852816.0,3.34278177,2472852816.0,3.34278177,2472852816.0,3.34278177,2.1,3373866849.0
2001,2516662185.0,3.276037582,2516662185.0,3.276037582,2516662185.0,3.276037582,2516662185.0,3.276037582,2.1,3373866849.0
2002,2560101448.0,3.213509302,2560101448.0,3.213509302,2560101448.0,3.213509302,2560101448.0,3.213509302,2.1,3373866849.0
2003,2603300762.0,3.151657241,2603300762.0,3.151657241,2603300762.0,3.151657241,2603300762.0,3.151657241,2.1,3373866849.0
2004,2646483605.0,3.094215037,2646483605.0,3.094215037,2646483605.0,3.094215037,2646483605.0,3.094215037,2.1,3373866849.0
2005,2689792006.0,3.036747447,2689792006.0,3.036747447,2689792006.0,3.036747447,2689792006.0,3.036747447,2.1,3373866849.0
2006,2733278857.0,2.981580179,2733278857.0,2.981580179,2733278857.0,2.981580179,2733278857.0,2.981580179,2.1,3373866849.0
2007,2776922505.0,2.929354533,2776922505.0,2.929354533,2776922505.0,2.929354533,2776922505.0,2.929354533,2.1,3373866849.0
2008,2820636607.0,2.877108176,2820636607.0,2.877108176,2820636607.0,2.877108176,2820636607.0,2.877108176,2.1,3373866849.0
2009,2864298814.0,2.823812669,2864298814.0,2.823812669,2864298814.0,2.823812669,2864298814.0,2.823812669,2.1,3373866849.0
2010,2907916947.0,2.772057026,2907916947.0,2.772057026,2907916947.0,2.772057026,2907916947.0,2.772057026,2.1,3373866849.0
2011,2951423688.0,2.723512928,2951423688.0,2.723512928,2951423688.0,2.723512928,2951423688.0,2.723512928,2.1,3373866849.0
2012,2994346938.0,2.679459005,2994346938.0,2.679459005,2994346938.0,2.679459005,2994346938.0,2.679459005,2.1,3373866849.0
2013,3037084158.0,2.640801964,3037084158.0,2.640801964,3037084158.0,2.640801964,3037084158.0,2.640801964,2.1,3373866849.0
2014,3079685581.0,2.605271338,3079685581.0,2.605271338,3079685581.0,2.605271338,3079685581.0,2.605271338,2.1,3373866849.0
2015,3122156833.0,2.57249804,3122156833.0,2.57249804,3122156833.0,2.57249804,3122156833.0,2.57249804,2.1,3373866849.0
2016,3164439749.0,2.54152111,3164439749.0,2.54152111,3164439749.0,2.54152111,3164439749.0,2.54152111,2.1,3373866849.0
2017,3206485623.0,2.512916991,3206485623.0,2.512916991,3206485623.0,2.512916991,3206485623.0,2.512916991,2.1,3373866849.0
2018,3248413593.0,2.487735418,3248413593.0,2.487735418,3248413593.0,2.487735418,3248413593.0,2.487735418,2.1,3373866849.0
2019,3290291029.0,2.462958375,3290291029.0,2.462958375,3290291029.0,2.462958375,3290291029.0,2.462958375,2.1,3373866849.0
2020,3332103561.0,2.438556313,3332103561.0,2.438556313,3332103561.0,2.438556313,3332103561.0,2.438556313,2.1,3373866849.0
2021,3373866849.0,2.438556313,3373866849.0,2.438556313,3373866849.0,2.438556313,3373866849.0,2.438556313,2.1,3373866849.0
