year,60_years_popu,60_years_fert,10_years_popu,10_years_fert,20_years_popu,20_years_fert,1_years_popu,1_years_fert,no_growth_fert,current_popu
1960,1041673567.0,5.393637012,1041673567.0,5.393637012,1041673567.0,5.393637012,1041673567.0,5.393637012,2.1,2368622859.0
1961,1043656626.0,5.474658973,1043656626.0,5.474658973,1043656626.0,5.474658973,1043656626.0,5.474658973,2.1,2368622859.0
1962,1058119847.0,5.548913906,1058119847.0,5.548913906,1058119847.0,5.548913906,1058119847.0,5.548913906,2.1,2368622859.0
1963,1083884354.0,5.623323081,1083884354.0,5.623323081,1083884354.0,5.623323081,1083884354.0,5.623323081,2.1,2368622859.0
1964,1109291332.0,5.681401715,1109291332.0,5.681401715,1109291332.0,5.681401715,1109291332.0,5.681401715,2.1,2368622859.0
1965,1135760430.0,5.719740116,1135760430.0,5.719740116,1135760430.0,5.719740116,1135760430.0,5.719740116,2.1,2368622859.0
1966,1165660993.0,5.649871921,1165660993.0,5.649871921,1165660993.0,5.649871921,1165660993.0,5.649871921,2.1,2368622859.0
1967,1194423916.0,5.643103137,1194423916.0,5.643103137,1194423916.0,5.643103137,1194423916.0,5.643103137,2.1,2368622859.0
1968,1224481196.0,5.56916311,1224481196.0,5.56916311,1224481196.0,5.56916311,1224481196.0,5.56916311,2.1,2368622859.0
1969,1256501888.0,5.436360392,1256501888.0,5.436360392,1256501888.0,5.436360392,1256501888.0,5.436360392,2.1,2368622859.0
1970,1289442011.0,5.266683528,1289442011.0,5.266683528,1289442011.0,5.266683528,1289442011.0,5.266683528,2.1,2368622859.0
1971,1324084663.0,5.052299979,1324084663.0,5.052299979,1324084663.0,5.052299979,1324084663.0,5.052299979,2.1,2368622859.0
1972,1355934840.0,4.78764859,1355934840.0,4.78764859,1355934840.0,4.78764859,1355934840.0,4.78764859,2.1,2368622859.0
1973,1386816705.0,4.517431278,1386816705.0,4.517431278,1386816705.0,4.517431278,1386816705.0,4.517431278,2.1,2368622859.0
1974,1416257332.0,4.226250399,1416257332.0,4.226250399,1416257332.0,4.226250399,1416257332.0,4.226250399,2.1,2368622859.0
1975,1442992143.0,3.933732662,1442992143.0,3.933732662,1442992143.0,3.933732662,1442992143.0,3.933732662,2.1,2368622859.0
1976,1467572978.0,3.674584202,1467572978.0,3.674584202,1467572978.0,3.674584202,1467572978.0,3.674584202,2.1,2368622859.0
1977,1490458433.0,3.445355097,1490458433.0,3.445355097,1490458433.0,3.445355097,1490458433.0,3.445355097,2.1,2368622859.0
1978,1513242365.0,3.246536951,1513242365.0,3.246536951,1513242365.0,3.246536951,1513242365.0,3.246536951,2.1,2368622859.0
1979,1536454977.0,3.099294494,1536454977.0,3.099294494,1536454977.0,3.099294494,1536454977.0,3.099294494,2.1,2368622859.0
1980,1559219642.0,2.983740416,1559219642.0,2.983740416,1559219642.0,2.983740416,1559219642.0,2.983740416,2.1,2368622859.0
1981,1582802675.0,2.906462904,1582802675.0,2.906462904,1582802675.0,2.906462904,1582802675.0,2.906462904,2.1,2368622859.0
1982,1608709544.0,2.866937324,1608709544.0,2.866937324,1608709544.0,2.866937324,1608709544.0,2.866937324,2.1,2368622859.0
1983,1634587947.0,2.845394361,1634587947.0,2.845394361,1634587947.0,2.845394361,1634587947.0,2.845394361,2.1,2368622859.0
1984,1659196213.0,2.836265002,1659196213.0,2.836265002,1659196213.0,2.836265002,1659196213.0,2.836265002,2.1,2368622859.0
1985,1684377898.0,2.828482667,1684377898.0,2.828482667,1684377898.0,2.828482667,1684377898.0,2.828482667,2.1,2368622859.0
1986,1710979840.0,2.803053509,1710979840.0,2.803053509,1710979840.0,2.803053509,1710979840.0,2.803053509,2.1,2368622859.0
1987,1739049562.0,2.759248059,1739049562.0,2.759248059,1739049562.0,2.759248059,1739049562.0,2.759248059,2.1,2368622859.0
1988,1767394678.0,2.692588827,1767394678.0,2.692588827,1767394678.0,2.692588827,1767394678.0,2.692588827,2.1,2368622859.0
1989,1795112149.0,2.588340878,1795112149.0,2.588340878,1795112149.0,2.588340878,1795112149.0,2.588340878,2.1,2368622859.0
1990,1822134188.0,2.471930075,1822134188.0,2.471930075,1822134188.0,2.471930075,1822134188.0,2.471930075,2.1,2368622859.0
1991,1848265154.0,2.346195486,1848265154.0,2.346195486,1848265154.0,2.346195486,1848265154.0,2.346195486,2.1,2368622859.0
1992,1872676768.0,2.223554704,1872676768.0,2.223554704,1872676768.0,2.223554704,1872676768.0,2.223554704,2.1,2368622859.0
1993,1896190507.0,2.110849752,1896190507.0,2.110849752,1896190507.0,2.110849752,1896190507.0,2.110849752,2.1,2368622859.0
1994,1919576721.0,2.02678534,1919576721.0,2.02678534,1919576721.0,2.02678534,1919576721.0,2.02678534,2.1,2368622859.0
1995,1942464423.0,1.95925237,1942464423.0,1.95925237,1942464423.0,1.95925237,1942464423.0,1.95925237,2.1,2368622859.0
1996,1965146473.0,1.91614189,1965146473.0,1.91614189,1965146473.0,1.91614189,1965146473.0,1.91614189,2.1,2368622859.0
1997,1987315524.0,1.888344959,1987315524.0,1.888344959,1987315524.0,1.888344959,1987315524.0,1.888344959,2.1,2368622859.0
1998,2008705487.0,1.865935157,2008705487.0,1.865935157,2008705487.0,1.865935157,2008705487.0,1.865935157,2.1,2368622859.0
1999,2028650228.0,1.85358691,2028650228.0,1.85358691,2028650228.0,1.85358691,2028650228.0,1.85358691,2.1,2368622859.0
2000,2047640091.0,1.850909074,2047640091.0,1.850909074,2047640091.0,1.850909074,2047640091.0,1.850909074,2.1,2368622859.0
2001,2065912033.0,1.835931047,2065912033.0,1.835931047,2065912033.0,1.835931047,2065912033.0,1.835931047,2.1,2368622859.0
2002,2083186086.0,1.828220043,2083186086.0,1.828220043,2083186086.0,1.828220043,2083186086.0,1.828220043,2.1,2368622859.0
2003,2099602481.0,1.823021593,2099602481.0,1.823021593,2099602481.0,1.823021593,2099602481.0,1.823021593,2.1,2368622859.0
2004,2115458625.0,1.820182791,2115458625.0,1.820182791,2115458625.0,1.820182791,2115458625.0,1.820182791,2.1,2368622859.0
2005,2131146847.0,1.815172808,2131146847.0,1.815172808,2131146847.0,1.815172808,2131146847.0,1.815172808,2.1,2368622859.0
2006,2146744105.0,1.818555609,2146744105.0,1.818555609,2146744105.0,1.818555609,2146744105.0,1.818555609,2.1,2368622859.0
2007,2161785511.0,1.821334646,2161785511.0,1.821334646,2161785511.0,1.821334646,2161785511.0,1.821334646,2.1,2368622859.0
2008,2177119138.0,1.820310117,2177119138.0,1.820310117,2177119138.0,1.820310117,2177119138.0,1.820310117,2.1,2368622859.0
2009,2192059400.0,1.818401061,2192059400.0,1.818401061,2192059400.0,1.818401061,2192059400.0,1.818401061,2.1,2368622859.0
2010,2206884622.0,1.819649145,2206884622.0,1.819649145,2206884622.0,1.819649145,2206884622.0,1.819649145,2.1,2368622859.0
2011,2222577723.0,1.822560498,2222577723.0,1.822560498,2222577723.0,1.822560498,2222577723.0,1.822560498,2.1,2368622859.0
2012,2240312711.0,1.82841533,2240312711.0,1.82841533,2240312711.0,1.82841533,2240312711.0,1.82841533,2.1,2368622859.0
